name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Чистопольский филиал библиотеки для слепых им. Ш. К. Еникеева,"Респ Татарстан,р-н Чистопольский,г Чистополь,ул Г.Тукая,д 43",50.636946,55.365177,"Филиал библиотеки был открыт в 1936 году. Здание находится в оперативном управлении РСБСиС. В фондах библиотеки насчитывается 32 169 книг и журналов, ежегодно обслуживается до 300 читателей. Филиал обслуживает читателей города Чистополя, Алькеевского, Алексеевского, Новошешминского и Чистопольского районов. Библиотека для незрячего – это место, где можно получить интересную книгу, ответ на все интересующие вопросы, также это место встреч и общения незрячих друг с другом. В филиале активно проводятся массовые мероприятия: встречи с интересными людьми – писателями и поэтами, работниками музеев, различные конкурсы и др.",Республика Татарстан,2022-11-09T07:04:51Z,2024-02-22T12:17:01Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,,,
Филиал Вологодской библиотеки им. И. В. Бабушкина,"обл Вологодская,г Вологда,ул Конева,д 6",39.904,59.192725,"Филиал у Вологодской областной научной библиотеки на ул. Маршала Конева, 6 появился в феврале 2016 года после присоединения Юношеской библиотеки им. В. Ф. Тендрякова. Объем фонда филиала составляет около 60 тысяч экземпляров. Это литература из различных отраслей знаний и художественные тексты. Также в библиотеке хранится и детская литература. Посещаемость здания составляет от 3 000 до 5 000 человек в месяц. Сотрудниками филиала проводятся культурно-массовые мероприятия для детей и взрослых с участием писателей и поэтов. На базе библиотеки работают различные кружки и клубы по интересам. Каждый найдет себе занятие по сердцу!",Вологодская область,2017-08-01T13:16:11Z,2023-02-27T09:26:48Z,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,,,11:00:00,18:00:00,11:00:00,18:00:00
Библиотека им. Маяковского – филиал № 3,"край Красноярский,г Зеленогорск,ул Набережная,д 44",94.5611767244501,56.1080434942872,"Библиотека-филиал № 3 открыла свои двери для читателей в 2006 году. Она обслуживает горожан различных социально-возрастных групп с учетом их потребностей и интересов.Фонд регулярно пополняется художественной и отраслевой литературой для взрослых и детей. Общее количество книг – 30 599 экземпляров, из них периодических изданий – 3 426. Более 2 000 читателей посещает библиотеку ежегодно более 15 000 раз. Для ребят, впервые посетивших библиотеку, проводятся ознакомительные беседы о правилах поведения и о бережном обращении с книгой. Для формирования устойчивого и осознанного интереса к чтению у детей дошкольного и младшего школьного возрастов работает программа «Книжный лабораториУМ». Также функционирует творческая мастерская «Гитара – голос души» для жителей города разных возрастов, в которой каждый желающий может бесплатно изучить азы игры на гитаре. В структуре библиотеки есть абонемент для взрослых и сектор для детей до 14 лет, читальный зал адаптирован для проведения массовых мероприятий и работы клуба. Организовано комфортное открытое пространство для молодежи, есть условия для интеллектуального досуга, творческого развития и общения жителей города всех возрастов.",Зеленогорск,2021-04-30T05:37:56Z,2023-09-01T08:17:21Z,,,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,11:00:00,18:00:00,,
Половодовская сельская библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Соликамский,с Половодово,ул Школьная,д 14",57.065029,59.655931,"Половодовская сельская библиотека была открыта в 1903 году при земском начальном училище на средства петербургского миллионера и книгоиздателя Ф. Павленкова, завещавшего свой капитал на открытие библиотек в самых отдаленных уголках России. В настоящее время читателями библиотеки являются около 500 жителей села. Фонд составляет 8 500 экземпляров книг.Здесь организуются уроки памяти и доброты, конкурсы, часы краеведения, встречи с интересными людьми. Библиотека плодотворно работает с сельским музеем, школой, детским садом. На протяжении многих лет занимается краеведением. Интерес жителей села вызывают альбомы и папки, оформленные в результате поисковой работы: «История старинного села», «Бабиновская дорога – государева дорога», «Орден в вашем доме», «Родная улица моя» и другие. Уважение к памяти предков, гордость за талантливых земляков способствует работа кружка для детей «У истоков Половодья».",Соликамск,2015-10-11T18:30:18Z,2023-03-20T05:15:35Z,,,09:30:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,09:30:00,18:00:00,10:00:00,17:00:00,,
Библиотека № 6 им. А. М. Колчанова,"обл Кировская,г Киров,ул Боровая,д 20",49.737912,58.642052,"Год открытия библиотеки – 1919. С 30 марта 2011 года она носит имя почетного гражданина г. Кирова, художника-графика Аркадия Михайловича Колчанова. В связи с этим в читальном зале организована мемориальная зона, проходят выставки художников, встречи с интересными людьми города. Организуются творческие экспозиции читателей библиотеки и жителей микрорайона.Творческая деятельность библиотечной профессии требует от коллектива постоянного поиска нового, нестандартного подхода, эрудиции, потому что через впечатление, производимое библиотекой на читателей, жителей микрорайона, лежит путь к повышению статуса и роли библиотеки в жизни микрорайона Коминтерн.Фонд библиотеки насчитывает 47 051 экземпляр, количество посетителей – 28 059.",Городской округ город Киров,2017-10-24T06:41:05Z,2023-02-22T11:44:16Z,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,11:00:00,19:00:00,,,,,10:00:00,18:00:00
Библиотека-филиал № 6 им. В. В. Ходарева,"край Ставропольский,г Ставрополь,ул Серова,д 422",41.9986951391467,45.0319052411416,"Библиотека основана в 1952 году. В 2015 году по инициативе городской Думы Ставрополя ей было присвоено имя ставропольского поэта Витислава Васильевича Ходарева. Библиотека ставит перед собой цели – обеспечить доступность к своим информационным ресурсам всем слоям населения, удовлетворить потребности пользователей в различных областях знаний, способствовать продвижению чтения и повышению статуса книги. Приоритеты – популяризация творчества ставропольского поэта В. В. Ходарева. Основное направление работы – патриотическое воспитание детей и юношества. Работа центра «Патриот». Девиз – «Мы любим вас, читатели! Мы ценим вас, читатели! Мы работаем для вас!» Читателей – более 3 500 чел., фонд – более 60 000 экз. Библиотека работает по программам: «Патриотическое воспитание граждан Российской Федерации» – формирование нравственного отношения к историческому и героическому прошлому России.«Уважение к государственной символике» – воспитание в каждом человеке уважения к своей Родине. «Культура России» – ознакомление с культурным наследием России. «Земли родной благословенный край» – воспитание любви к родному городу и краю.«Лето с книгой» – ежегодная программа летних чтений. «Школа экологии» для учащихся младших классов – воспитание экологической культуры и ответственности, любви к природе родной страны и родного края и пропаганда здорового образа жизни.",Ставрополь,2021-01-26T12:32:45Z,2023-02-10T07:48:02Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,10:00:00,19:00:00
Камчатская краевая детская библиотека им. В. Кручины,"край Камчатский,г Петропавловск-Камчатский,ул Владивостокская,д 16",158.653703927994,53.0468498828373,"Самая крупная библиотека для детей в Камчатском крае как самостоятельное учреждение начала свою работу 23 октября 1949 года. За время работы сменила множество адресов, с 2016 располагается в новом здании, которое было построено с учетом всех современных требований. Просторный, пронизанный светом, оснащенный комфортной мебелью и техникой, «книжкин дом» предлагает целых три этажа читательских удовольствий. Сегодня в библиотеке читает 10 000 детей в возрасте от 0 и до осознания себя взрослым человеком. Библиотечный фонд насчитывает почти 200 000 экземпляров. В библиотеке работают 26 специалистов, которые ведут 5 кружков и творческих объединений. Не останавливаясь на достигнутом, коллектив библиотеки расширяет круг своих читателей, не отказывая в гостеприимности и доступности ни малышам, ни молодежи. Библиотека открыта диалогу со всеми библиотеками края независимо от их ведомственной принадлежности, для них она является методическим центром по работе с детьми.",Камчатский край,2016-04-18T22:35:04Z,2023-03-04T05:10:25Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,10:00:00,18:00:00
Калининская библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Кунгурский,с Калинино,ул Октябрьская,д 33",56.33654,57.329629,"Калининская библиотека имени Ф. Ф. Павленкова – любимое место досуга, культурного и духовного общения жителей и гостей села Калинино. В стенах библиотеки для взрослого населения действуют кружки «Мастерицы» и «Садоводы», для детей – «Умелые ручки» и English for kids. Деятельность библиотеки отличается разнообразием мероприятий по продвижению чтения, организацией конкурсов, оформлением тематических выставок и фотозон, организацией досуговой деятельности для школьников в каникулярное время, активной работой в соцсетях. Качество работы отражается в положительных откликах читателей и поддержке населения в целом. Калининская библиотека старается шагать в ногу со временем и охватывать новые горизонты современного будущего. Библиотека сегодня: фонд – 13 312;число пользователей – 1 094;стационарных посещений – 24 472.",Кунгур,2022-02-28T10:46:43Z,2023-03-13T14:11:04Z,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,,
Центральная городская библиотека им. А. М. Каутского,"обл Мурманская,г Полярный,ул Сивко,д 11",33.458696,69.197108,"Центральная городская библиотека Полярного расположена на горе, ее видно издалека. Она была открыта в 1949 году.Первоначально она находилась в здании кинотеатра «РайСарай» и занимала небольшое помещение. В библиотеке работал один сотрудник, который объединил активных читателей в совет библиотеки. В 1970 году городская библиотека переехала в здание городской администрации и начала сотрудничать с учреждениями города: хлебозаводом, молокозаводом, средними школами, отделением связи, кинотеатром, клубом книголюбов, инспекцией по делам несовершеннолетних.В 1983 году учреждению выделено помещение в здании, где она и размещается по сей день. В 1994 году в Полярном была создана Централизованная библиотечная система, и городская библиотека стала Центральной. В том же году ей было присвоено имя подводника-североморца, капитана 3-го ранга, командира гвардейской Краснознаменной подводной лодки «402 Щ» Александра Моисеевича Каутского.Количество экземпляров библиотеки самое большое среди всех структурных подразделений – 86 180, а читателей, посещающих ее, свыше 45 000.",Городской округ ЗАТО Александровск,2017-01-18T10:19:23Z,2023-05-26T13:45:27Z,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,12:00:00,19:00:00,12:00:00,19:00:00
Центральная библиотека им. И. И. Фешина,"обл Саратовская,р-н Романовский,рп Романовка,ул Ленина,зд 71А",42.754373,51.74949,"Центральная библиотека имени Ивана Ивановича Фешина – это методический центр для всех библиотек Романовского района. Она была открыта в 1921 году в здании хлебного магазина купца Попова по улице Советской, 60 (ныне здание Дома пионеров). Библиотека занимала всего одну комнату, первоначально фонд насчитывал 60 книг, первым библиотекарем была Полина Смолина. С 1935 года библиотека располагалась в отдельном здании по улице Народная, 44 (бывшее здание милиции). В 1978 году специально для библиотеке в центре поселка было построено новое двухэтажное здание. И по сегодняшний день Центральная библиотека имени И. И. Фешина располагается в просторном здании по улице Ленина. В 2013 году при библиотеке открыт Центр правовой информации. С 2014 года действует мини-музей Святителя Луки, архиепископа Симферопольского и Крымского (Валентина Феликсовича Войно-Ясенецкого). Фонд в настоящее время насчитывает 38 611 экз. Число читателей – 3 150 человек. Ежегодно библиотека выдает 69 181 экземпляр книг и периодических изданий. При библиотеке действуют клубы по интересам: литературно-поэтический клуб «Перезвон сердец», клуб людей мудрого возраста «Вдохновение».",Романовский район,2021-04-20T10:10:38Z,2024-02-20T07:21:37Z,,,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,09:00:00,16:00:00,09:00:00,16:00:00
Библиотека им. Ю. А. Адрианова г. Нижнего Новгорода,"обл Нижегородская,г Нижний Новгород,ул Дьяконова,д 25",43.885675,56.264447,"Библиотека носит имя известного нижегородского поэта Юрия Адрианова. В своих стихах поэт часто воспевал родной город. Воспитание любви к родному краю – ведущая тема библиотеки. Гордость учреждения – большой фонд краеведческой литературы и литературно-мемориальная экспозиция, посвященная жизни и творчеству Юрия Адрианова. Ежегодно осенью проводятся Адриановские встречи, собирающие почитателей поэзии, друзей и знакомых поэта. Сотрудники организуют выставки, тематические встречи и городские экскурсии, устраивают кинопоказы и праздники, проводят занятия в кружках и на открытых площадках.Количество читателей – 6 600 человек. Книжный фонд – 45 000 экз.Структура:абонемент для взрослых;абонемент для детей;справочно-информационный зал;сектор краеведения;литературно-мемориальная экспозиция Ю. Адрианова.",Нижний Новгород,2016-10-20T08:24:41Z,2023-07-14T11:24:39Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,10:00:00,17:00:00
Черновская сельская библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Большесосновский,с Черновское,ул Октябрьская,д 10",54.536712,57.500419,"В 1890-х годах в Оханском уезде при церквях открывали народные библиотеки. Среди 20 открытых была и Черновская. Первым библиотекарем был комсомольский вожак Николай Демидович Кузнецов. В избе-читальне собирался неграмотный народ, и Николай Демидович читал газеты, знакомил с новостями, учил писать. Примерно в 1926 году образовался Черновской отдел культуры. Небольшая изба-читальня стала Черновской районной библиотекой. Заведующим был назначен Михаил Федорович Кошкаров, дипломированный педагог. 26 марта 1999 года Черновской зональной библиотеке присвоено имя Флорентия Федоровича Павленкова и статус «Павленковская библиотека». В 2000 году она переехала в здание, которое находится во дворе дома купца Горохова. В настоящее время в библиотеке проводятся различные мероприятия: мастер-классы, экскурсии, литературные вечера, мини-концерты, встречи с интересными людьми – писателями и краеведами. Фонд насчитывает более 10 000 документов. Посещает библиотеку свыше 800 читателей.",Большесосновский район,2015-09-27T21:25:19Z,2023-07-25T06:35:15Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,
Слудская библиотека им. А. В. Некрасова,"Респ Коми,р-н Сыктывдинский,с Слудка,ул Магистральная,д 33",50.173792,61.951858,"Слудская библиотека была открыта 10 февраля 1909 года. 27 сентября 2018 года решением Совета Сыктывдинского района учреждению было присвоено имя Александра Васильевича Некрасова, коми поэта. В библиотеке проводятся встречи с поэтами, писателями и другими интересными людьми, народные праздники. Библиотекарь сотрудничает с администрацией села, Домом культуры, школой, детским садом. Зона обслуживания – сельское поселение Слудка, деревни Шыладор, Ипатово, Прокопьевка. Читатели библиотеки участвуют в районных и республиканских конкурсах и викторинах и занимают призовые места. Фонд насчитывает более 8 000 экземпляров книг.",Сыктывдинский район,2023-10-31T11:30:02Z,2023-11-01T13:22:08Z,,,13:30:00,18:00:00,13:30:00,18:00:00,13:30:00,18:00:00,13:30:00,18:00:00,13:30:00,18:00:00,13:30:00,18:00:00
