UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
ebf9d624-d967-4550-9cf1-6b6cea695e1d,Book 3,Pillars,char-offset:25055,PLACE,http://pleiades.stoa.org/places/256198,35.971667,-5.485833,"river,water-open",VERIFIED,,,,
3e2378dc-19d1-4ba3-8e94-177770fae793,Book 8,Pisatis,char-offset:64113,PLACE,http://pleiades.stoa.org/places/570613,37.75,21.75,region,UNVERIFIED,,,,
f06a9462-0fd7-4612-aca0-d4ec0048b706,Book 1,Syria,char-offset:125227,PLACE,http://pleiades.stoa.org/places/981550,37.5,37.5,province,VERIFIED,,,,
ca8a2f4e-b0ca-4684-bc64-5095e760291b,Book 8,Argos,char-offset:101206,PLACE,http://sws.geonames.org/200844,,,,UNVERIFIED,,,,
bdfe2f19-15b1-48cd-941b-95888c660335,Book 6,river Metauro,char-offset:12544,PLACE,http://pleiades.stoa.org/places/452380,38.25,15.75,river,VERIFIED,,,,
8c108281-b78c-4042-b429-9a23514c3e32,Book 4,Antipolis,char-offset:20964,PLACE,http://pleiades.stoa.org/places/157812,43.5807,7.1209,"settlement,port",VERIFIED,,,,
a0f386b7-df13-42c9-a435-724c993145f1,Book 3,Tartessus,char-offset:39512,PLACE,http://pleiades.stoa.org/places/256468,36.93672,-6.4119,"unlocated,settlement,port",VERIFIED,,,,
c308593a-01f8-43b1-80b9-fa9c9f62ba8f,Book 1,Thrace,char-offset:156635,PLACE,http://pleiades.stoa.org/places/981552,42.5,22.5,province,VERIFIED,,,,
ebd5c7c0-b47a-4d49-9547-b5a3223d7cfb,Book 7,Olympus,char-offset:119210,PLACE,http://pleiades.stoa.org/places/491677,40.0862269,22.3584897,"mountain,settlement",UNVERIFIED,,,,
f411674e-3938-48fa-a7a8-545b132652ed,Book 7,Getæ,char-offset:47341,PLACE,http://pleiades.stoa.org/places/216817,44.5,25.5,people,VERIFIED,,,,
bda0b488-6669-4503-9b74-1966e245e821,Book 8,Dyme,char-offset:27111,PLACE,http://pleiades.stoa.org/places/543692,,,unlocated,UNVERIFIED,,,,
8a550337-3078-4b76-a0bf-056ab9bf2fed,Book 6,Apollonia,char-offset:42413,PLACE,http://pleiades.stoa.org/places/481728,40.720583,19.470413,settlement,VERIFIED,,,,
4ffb081e-c4bc-4438-8bdf-daed9767fa08,Book 1,Atlantic,char-offset:100050,PLACE,http://pleiades.stoa.org/places/845,42.97665274736841,-7.072833872807018,water-open,VERIFIED,,,,
5ba6b296-5535-4acb-81eb-293c3c198fb2,Book 6,Sybarites,char-offset:2717,PLACE,http://pleiades.stoa.org/places/452457,39.71705745,16.4927745,"theatre,settlement,port",VERIFIED,,,,
fc9381bd-87c8-46e7-b0f9-95de6a5065ff,Book 3,Side- tani,char-offset:72071,PLACE,http://pleiades.stoa.org/places/265888,39.624587,-0.594758,region,VERIFIED,,,,
4c8611f0-372b-4ad1-ad91-2765e8927969,Book 7,Taurisci,char-offset:13987,PLACE,http://pleiades.stoa.org/places/197545,46.5,14.5,people,VERIFIED,,,,
dedb89c7-fdb0-4b47-a773-22af93d0dbb6,Book 3,Bastetani,char-offset:9110,PLACE,http://pleiades.stoa.org/places/265822,37.5,-2.5,region,VERIFIED,,,,
c827a712-73e8-449c-87f1-e5ad6ed34e33,Book 13,Lesbos,char-offset:90164,PLACE,http://pleiades.stoa.org/places/550695,39.177279,25.867117,fort,UNVERIFIED,,,,
a6d5fdc1-794e-41dd-bd84-2a660dd86b0c,Book 13,Caria,char-offset:77753,PLACE,http://pleiades.stoa.org/places/991381,37.213163833551015,28.088996902733474,province,UNVERIFIED,,,,
76014cab-c221-46fa-8323-a9c862d72af0,Book 7,Kimmerii,char-offset:59401,PLACE,http://pleiades.stoa.org/places/857711,,,unlocated,VERIFIED,,,,
84fee29a-dbf9-403b-aa01-79d412ceec24,Book 9,Attica,char-offset:929,PLACE,http://pleiades.stoa.org/places/579888,38.051998833333336,23.8189911,region,VERIFIED,,,,
af7dafae-0aee-45f3-ab41-722e0118fff3,Book 7,Hæmus,char-offset:133698,PLACE,,,,,UNVERIFIED,,,,
9abdf0cb-fc73-4ae3-a1e4-13709de75e5b,Book 1,Charybdis,char-offset:57941,PLACE,http://pleiades.stoa.org/places/462157,38.260268,15.660384,whirlpool,VERIFIED,,,,
f08349f2-287f-4731-8fd0-4cd375c0fcce,Book 10,Chalcis,char-offset:8736,PLACE,http://pleiades.stoa.org/places/540703,38.464,23.602,settlement,UNVERIFIED,,,,
cb8c8ccc-5c2a-4e8a-a779-e2c96c1cc7a7,Book 6,Lipari Islands,char-offset:50718,PLACE,http://pleiades.stoa.org/places/462284,38.50554,14.93394,island,VERIFIED,,,,
7fd23476-c5c6-4e97-9064-558a10c9db0a,Book 8,Tænarum,char-offset:110246,PLACE,http://pleiades.stoa.org/places/383790,45.0072,8.766309,river,UNVERIFIED,,,,
0f8c0856-0907-4774-9a8e-e495133b483c,Book 7,Cyaneæ,char-offset:88277,PLACE,http://pleiades.stoa.org/places/521160,41.23498,29.11443,"island,archipelago",VERIFIED,,,,
fc0bb5d7-9353-4305-8e96-6e3b35e667cf,Book 8,Dorians,char-offset:2998,PLACE,http://sws.geonames.org/4237177,,,,UNVERIFIED,,,,
680ff800-bd10-47a2-81b2-7bbe9b24a2e1,Book 4,Lugdunum,char-offset:2524,PLACE,http://pleiades.stoa.org/places/99003,52.225647,4.394802,fort,VERIFIED,,,,
2335a8fb-1c27-4737-b5a2-35adc311d266,Book 4,Ligurians,char-offset:73735,PLACE,http://pleiades.stoa.org/places/383698,44.22656549434755,9.235707726672372,region,VERIFIED,,,,
214ef54a-3d43-44cf-90fd-2a7580b3d1e0,Book 7,Euxine,char-offset:56540,PLACE,http://pleiades.stoa.org/places/1224,43.0786852,34.7425505,water-open,VERIFIED,,,,
691b96f4-b07e-4c1c-bd05-052d01a8add5,Book 3,Oleastrum,char-offset:61385,PLACE,http://pleiades.stoa.org/places/246529,40.994075,0.920619,station,VERIFIED,,,,
642251e8-8e6b-4285-aefa-b102fc98cfee,Book 6,Carthaginians,char-offset:31944,PLACE,http://pleiades.stoa.org/places/314921,36.857569,10.327986,"amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath",VERIFIED,,,,
58d78fd8-b3da-4d9f-a3d4-63e195644bd1,Book 6,Carthaginians,char-offset:3775,PLACE,http://pleiades.stoa.org/places/314921,36.857569,10.327986,"amphitheatre,cemetery,villa,theatre,port,church,settlement,circus,bath",VERIFIED,,,,
787ed6b7-c75d-4ddd-9713-eab7697ad5e5,Book 7,Thracian,char-offset:76809,PLACE,http://pleiades.stoa.org/places/981552,42.5,22.5,province,VERIFIED,,,,
861183c4-e903-4477-879c-54dde7d6b0d0,Book 7,Dnieper,char-offset:50705,PLACE,http://pleiades.stoa.org/places/226544,51.80271566666667,32.013616533333334,river,VERIFIED,,,,
179534f2-0bc2-4dfa-800c-3c928bf25281,Book 7,Hippemolgi,char-offset:33181,PLACE,,,,,NOT_IDENTIFIABLE,,,,
1ea5c1d2-4889-4587-8c09-bddd9a862386,Book 7,Danube,char-offset:47976,PLACE,http://pleiades.stoa.org/places/226577,45.16291,29.647293,river,VERIFIED,,,,
3d11504b-86e4-48af-a1f3-5e1891b868f7,Book 1,Egypt,char-offset:109354,PLACE,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region,VERIFIED,,,,
5355a739-dd0c-4050-ac8e-6a6ceccda933,Book 7,Byzantium,char-offset:89953,PLACE,http://pleiades.stoa.org/places/520985,41.012379,28.975926,"settlement,urban",VERIFIED,,,,
649c5810-a972-4d29-9f45-cff48bb62539,Book 8,Don,char-offset:744,PLACE,,,,,UNVERIFIED,,,,
a2d84a42-e183-41dd-8f03-662a891e465f,Book 7,Danube,char-offset:68243,PLACE,http://pleiades.stoa.org/places/226577,45.16291,29.647293,river,VERIFIED,,,,
0b83f7ec-c9c0-416e-9e13-de07734680a6,Book 4,Prausi,char-offset:30335,PLACE,,,,,NOT_IDENTIFIABLE,,,,
b94531dd-1292-4c65-9269-8c89d806bfc3,Book 13,Thebe,char-offset:80156,PLACE,http://www.imperium.ahlfeldt.se/places/24237,,,,UNVERIFIED,,,,
62d9672f-e492-4dc5-bd07-2d2e8c0ae5c1,Book 6,strait,char-offset:25887,PLACE,http://pleiades.stoa.org/places/462494,38.260268,15.660384,water-open,VERIFIED,,,,
9ed53df2-9371-45d0-ae2e-6e561e173f52,Book 13,Æsepus,char-offset:27597,PLACE,http://sws.geonames.org/5116667,,,,UNVERIFIED,,,,
2cb39606-28f3-4deb-aa9f-9b03b2049fc2,Book 7,Suevi,char-offset:5006,PLACE,http://pleiades.stoa.org/places/118982,49.5,8.5,people,VERIFIED,,,,
149a37dc-a91a-410b-8b72-182587819bde,Book 6,Zanole,char-offset:31658,PLACE,http://pleiades.stoa.org/places/462538,38.1923323,15.5555232,settlement,VERIFIED,,,,
c1997a5e-2db8-43f2-8542-9583b8b17691,Book 7,Buchetium,char-offset:99907,PLACE,http://pleiades.stoa.org/places/530822,39.156,20.848,settlement,VERIFIED,,,,
2baf8b6a-c56b-4354-b18e-d5dfa7ca1eb9,Book 1,Stethe,char-offset:137558,PLACE,,,,,NOT_IDENTIFIABLE,,,,
cb5af23c-0937-420d-aaa8-e17ad05bdfe9,Book 1,Arctic Circle,char-offset:5095,PLACE,,,,,NOT_IDENTIFIABLE,,,,
11b60b63-ed1a-4784-8f7d-a294fd0668bf,Book 8,Elis,char-offset:92201,PLACE,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement",UNVERIFIED,,,,
c4ec3db4-2c8c-4855-b2ee-2be06036c3dc,Book 8,Sicily,char-offset:72681,PLACE,,,,,UNVERIFIED,,,,
124fdbf1-8558-48f0-8d9d-36c3b4c3160a,Book 1,Arabians,char-offset:103089,PLACE,http://pleiades.stoa.org/places/981506,27.5,32.5,province,VERIFIED,,,,
2776db1c-efb1-402e-b4ba-5c49027e5b3f,Book 10,Crete,char-offset:87905,PLACE,,,,,UNVERIFIED,,,,
f8d49098-5eb7-4820-878e-621b263eb948,Book 13,Zeleia,char-offset:7184,PLACE,http://pleiades.stoa.org/places/270303,,,unlocated,UNVERIFIED,,,,
9235ca80-37f9-4fe5-b6a0-e8a30907288d,Book 1,Lake Bistonis,char-offset:156490,PLACE,http://pleiades.stoa.org/places/501378,41.03,25.12,lake,VERIFIED,,,,
c56d09fc-5e75-414d-9342-14306a932061,Book 6,Samnites,char-offset:73924,PLACE,http://pleiades.stoa.org/places/442765,41.25,14.75,people,VERIFIED,,,,
fe80ab10-2d76-471c-838e-5c9bacde7189,Book 1,Syene,char-offset:82352,PLACE,http://pleiades.stoa.org/places/786123,24.08292,32.89066,settlement,VERIFIED,,,,
574b7319-83e3-4e82-a63c-c77ab693a5bf,Book 6,Asia,char-offset:73694,PLACE,,,,,NOT_IDENTIFIABLE,,,,
93c4dc9a-427f-4357-8f2e-4a9d4eace45c,Book 13,Abydos,char-offset:26186,PLACE,http://pleiades.stoa.org/places/494527,,,unlocated,UNVERIFIED,,,,
25335501-8510-4a65-b58f-429e7863739f,Book 4,Augustus Cæsar,char-offset:20889,PLACE,http://pleiades.stoa.org/places/157836,43.436934803,6.73812747002,"amphitheatre,theatre,port,city-gate,settlement",VERIFIED,,,,
bccd3ff0-3d8d-4ab8-b744-7d600e16ac38,Book 4,Sequani,char-offset:43128,PLACE,http://pleiades.stoa.org/places/167922,47.7018263,6.0421883,people,VERIFIED,,,,
74085468-9579-44d2-b839-42c65887e8cf,Book 3,Exitani,char-offset:90266,PLACE,,,,,NOT_IDENTIFIABLE,,,,
39b0d7f0-4229-4e80-a0cb-efc92e529430,Book 1,Italy,char-offset:142027,PLACE,http://pleiades.stoa.org/places/992073,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
0971ffaa-0667-425d-9b3f-ce1c5d00f790,Book 3,Oretani,char-offset:54321,PLACE,http://pleiades.stoa.org/places/265989,38.760085,-3.718138,"region,people",VERIFIED,,,,
772b13ae-fcfb-4f5d-b815-cf5c560e4641,Book 8,Eleian,char-offset:48184,PLACE,http://sws.geonames.org/1329351,,,,UNVERIFIED,,,,
74d073f9-ffae-489a-b22a-8379e90707b5,Book 1,Gates of the Caspian,char-offset:158224,PLACE,http://pleiades.stoa.org/places/903004,35.27617,52.1696,pass,VERIFIED,,,,
35f4e0cc-3016-4a13-937f-a8cefb834a59,Book 13,Zeugma,char-offset:25693,PLACE,,,,,UNVERIFIED,,,,
0c8fdb5b-daec-415f-a360-e7001138f83c,Book 7,Helvetii,char-offset:14194,PLACE,http://pleiades.stoa.org/places/177534,46.5,6.5,people,VERIFIED,,,,
0ad75b1d-b192-4618-9d5d-e2da7641cc17,Book 8,Argos,char-offset:99013,PLACE,http://sws.geonames.org/200844,,,,UNVERIFIED,,,,
fb999014-8b7a-448f-9c8e-99e1a457718e,Book 7,Thesprotis,char-offset:110132,PLACE,http://sws.geonames.org/252941,,,,UNVERIFIED,,,,
a3af39d6-4c01-4008-9fcc-15afb5ecc93f,Book 1,Erythræan,char-offset:146719,PLACE,http://pleiades.stoa.org/places/39290,19,39.5,water-open,VERIFIED,,,,
dccd88d0-4ea2-426e-a4fc-9fa69934f5f8,Book 7,Egypt,char-offset:43966,PLACE,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region,VERIFIED,,,,
26d4848f-2eb5-41d3-874e-e0d7eb9301d9,Book 4,Narbonne,char-offset:37198,PLACE,http://pleiades.stoa.org/places/246347,43.184722,3.003611,settlement,VERIFIED,,,,
1a47d148-bdc4-48d9-b40b-0debbd5f8d24,Book 1,Adriatic,char-offset:120613,PLACE,http://pleiades.stoa.org/places/1004,42.7752864,15.885196,water-open,VERIFIED,,,,
90244c47-12ec-453c-abf6-7042c9fb89ac,Book 1,Ierne,char-offset:168677,PLACE,,,,,NOT_IDENTIFIABLE,,,,
