language,glottocode,latitude,longitude,value
Tanzanian Ngoni,tanz1241,-11.779,35.459,absent
Cakfem-Mushere-Jibyal,cakf1236,9.00924,9.16071,absent
Kom (India),komi1270,24.8688,94.534,absent
Central Chong,cent2314,12.608611,102.270556,absent
Domaaki,doma1260,36.3258,74.7984,absent
Ramoaaina,ramo1244,-4.17306,152.451,absent
Paunaka,paun1241,-14.353747,-63.086994,absent
Katukína do Biá-Ipixuna,katu1276,-6.45399,-68.7678,absent
Semelai,seme1247,2.82799,102.806,absent
Shipibo-Conibo,ship1254,-7.17105,-74.8219,absent
North Moluccan Malay,nort2828,-0.86437,128.323,absent
Warumungu,waru1265,-20.6479,134.375,absent
Nyahkur,nyah1250,15.8909,101.515,absent
Kele (Papua New Guinea),kele1258,-2.09163,147.064,absent
Central Cagayan Agta,cent2084,17.9571,121.857,absent
Gambera,gamb1251,-14.29546,126.27131,absent
Komi-Zyrian,komi1268,64.0527,54.946,absent
Bit,bitt1240,21.3474,101.916,absent
Kuanyama,kuan1247,-17.7176,16.58,absent
Kalanga,kala1384,-21.2887,27.401,absent
Hruso,hrus1242,27.27,92.63,absent
Ndobo,ndob1238,1.32539,18.6151,absent
Jerung,jeru1240,27.1741,86.2547,absent
Southern Jinghpaw,kach1280,25.4634,97.3278,absent
Nilamba,nila1242,-4.50002,34.3068,absent
Aisi,musa1266,-5.37407,145.197,absent
Dura,dura1244,28.173,84.435,absent
Baikeno,baik1238,-9.32991,124.256,absent
Imonda,imon1245,-3.31228,141.171,absent
Iwam,iwam1256,-4.27346,141.817,absent
Mortlockese,mort1237,5.50735,153.710778,absent
Ulithian,ulit1238,9.961388,139.603611,absent
Evenki,even1259,61.972,94.689,absent
Desano,desa1247,0.58157,-69.4955,absent
Tulu,tulu1258,12.8114,75.2651,absent
Kinshasa Lingala,ling1263,-4.409174,15.28532,absent
Namia,nami1256,-3.85538,141.788,absent
Korean,kore1280,37.5,128,absent
Luiseno-Juaneño,luis1253,33.3184,-116.939,absent
Udi,udii1243,40.9,47.7236,absent
Tuki,tuki1240,4.64348,11.5353,absent
Maxakalí,maxa1247,-16.9402,-40.7891,absent
Tuvinian,tuvi1240,51.7,94.36667,absent
Jur Modo,jurm1239,6.03321,29.974,absent
Waja,waja1259,9.91175,11.7206,absent
Lovono,vano1237,-11.6107,166.7984,absent
Indian Kurux,kuru1302,24.4644,86.4657,absent
Woods Cree,wood1236,57,-99,absent
Hu,huuu1240,22.0163,100.881,absent
Sierra de Juárez Zapotec,sier1250,17.4219,-96.6191,absent
Livvi,livv1243,61.6565,29.0726,absent
Wanman,wanm1242,-22.7078,122.325,absent
Wotu,wotu1240,-2.59593,120.9,absent
Godoberi,ghod1238,42.7428,46.2252,absent
Kenuzi-Dongola,kenu1236,21.2837,31.8992,absent
Xishanba Lalo,xish1235,24.8709,100.711,absent
Bodo Gadaba,bodo1267,18.3857,82.771,absent
Toba-Maskoy,toba1268,-21.5474,-58.0158,absent
