country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Germany,1700,19960,BUDBERG,4,186,189,51.564748414111,7.8758489427609,Uncertain whether the coins were found together or single finds. Only four coins were provided with some information.,Dispersed,II century
Netherlands,1990,10036,VECHTEN 1990 2,14,145,176,52.058,5.162,14 silver and bronze coins of unknown denominations: Republic - Antoninus Pius/Marcus Aurelius (Faustina II) (AD 145-176).,Private collection,II century
Albania,2010,18315,DURRËS 2010,64,161,180,41.317893118999,19.448191178349,64 denarii found in a wall of a glass workshop: Nerva - Marcus Aurelius (AD 161-180).,NA,II century
Bulgaria,1928,10081,MAKRESH,90,161,180,43.7644,22.6439,"(90) 27 denarii: 7 republican, 20 imperial: Republic - Marcus Aurelius (AD 161-180). Found in a ceramic vessel.",NA,II century
Bosnia-Herzegovina,1935,5392,GRAČANICA,1500,122,123,44.705,18.31,"A large hoard of 1,500-2,000 coins: 508 republican coins are identified; all the emperors up to Hadrian are represented except Augustus.",NA,II century
Georgia,1930,16068,TAKHULANI,8,117,138,42.653562,41.960428,"Hoard of didrachms and drachms of the 1st and 2nd centuries AD. 8 coins have been purchased by the local museum in Zugdidi: 5 didrachms Trajan, 2 didrachms Hadrian, 1 drachm Trajan.","Town museum, Zugdidi, Georgia",II century
Romania,1933,16270,STRUNGA 1933,25,180,192,47.164718,26.957596,"Unknown originally number of denarii. 25 coins were seen: Nero – Commodus (AD 180-192). Possible, part of the hoards with Strunga I and III.","National History Museum, Bucharest, Romania (inv.no. 265/1933)",II century
Portugal,1940,12880,NANDUFE,18,121,123,40.542,-8.076,17 denarii and 1 aureus: Gaius - Hadrian (AD 121-123).,Lost,II century
France,1841,12465,ORVAL,141,177,192,46.7263,2.48,"The hoard was found in April 1841, in an ceramic vessel under a stone. It comprised 140 sestertii, dupondii and 1 as, all from the antonine dynasty.",NA,II century
France,1908,7330,VICHY 1908,65,138,161,46.128,3.418,"The find comprised 65 coins of Hadrian and Antoninus Pius, 7 copper-alloy figurines, a stone figurine of Sucellus, some copper-alloy and glass plates, a scythe, some knives, an amphora, moulded glazed cups, bells, an incense burner, a triangular stone pediment and some carbonised cereals.",NA,II century
"Israel, Palestinian Territories",1953,18784,QUMRAN 1953,10,134,135,31.741,35.459,10 coins found in the bottom of a bowl in locus 29.,NA,II century
Poland,1900,13686,ŁUNOWO,2,161,180,53.454887,18.96087,"Two denarii: Trajan, Marcus Aurelius for Lucilla. No further details.","Museum of Archaeology, Gdańsk, Poland",II century
