name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Библиотека № 1 им. А. С. Грибоедова. Отдел чтения для детей и юношества,"г Москва,г Москва,ул Сущёвский Вал,д 66",37.627813,55.792124,"Детская библиотека была организована как детское отделение при Московской городской публичной библиотеке имени А. С. Грибоедова еще в 1911 году. Это одна из старейших детских читален Москвы. В детской читальне впервые в России проводились вечера художественного чтения, работал специальный кружок бесед «Ласточка» для трудных подростков, где дети занимались рисованием и приобщались к библиотечному делу. Библиотека работала даже в военные годы. И в XXI веке юные читатели могут получить здесь интересные книги, послушать сказки. Сегодня это место встреч и открытая площадка для творчества.В фонде библиотеки есть книги не только для детей, но и для родителей. Здесь работают различные клубы по интересам, проводятся творческие мастер-классы, публичные чтения, организуются детские спектакли. Также можно изучать иностранные языки, научиться рисовать. Библиотека растит маленьких читателей, прививая им безграничную любовь к чтению. Фонд – 27 088 единиц хранения.",Москва,2015-07-26T21:15:15Z,2023-02-20T08:56:33Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,им. А. С. Грибоедова
Библиотека № 30 (филиал № 2) г. Москвы,"г Москва,г Москва,ул Софьи Ковалевской,д 10",37.533068,55.884282,"Библиотека была основана в 1969 году. Здание расположено в живописном месте северной части Москвы рядом с парком Ангарские пруды, ставшим в последнее время окружной площадкой для проведения масштабных культурно-массовых мероприятий. В настоящее время входит в состав библиотеки № 30 как отделение, обслуживающее детское население.Детский фонд библиотеки насчитывает 22 445 единиц хранения.Библиотека выполняет функции центра семейного чтения, досуга, работают кружки детского творчества, любительское объединение «Помоги себе сам» для родителей. Проводится большое количество массовых мероприятий для детей от 0 до 14 лет, регулярно проходят мероприятия по военно-патриотическому воспитанию подрастающего поколения. Библиотека тесно сотрудничает с пятью образовательными учреждениями, с отделом экологического просвещения по САО, межрайонным центром «Дети улиц».Библиотека принадлежит ГБУК г. Москвы «ЦБС САО».",Москва,2015-07-27T02:07:59Z,2023-02-21T09:12:32Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,NA
Библиотека № 240 Technoscience г. Москвы,"г Москва,г Москва,ул Паршина,д 33",37.455534,55.788793,"В 1972 году в доме № 33 по улице Паршина отмечалось радостное событие. К 10-летию со дня открытия библиотеки № 51 городские власти предоставили ей новое помещение. До этого библиотека располагалась в подвале жилого дома по улице Генерала Глаголева.В настоящее время число читателей превышает 6 тысяч человек. Библиотека имеет многолетние традиции и солидный книжный фонд, который насчитывает 50 тысяч экземпляров. 9 февраля 2018 года в рамках реализации программы департамента культуры города Москвы «Точки роста» библиотека № 240 получила свою уникальную специализацию – Technoscience. Научно-просветительский проект Technoscience ориентирован на поддержку научной и творческой активности молодежи, создание условий для раскрытия ее способностей и эффективной самореализации. Формат проекта продиктован все возрастающим главенством цифровой реальности, интеграцией высоких технологий в науку и повседневную жизнь. Оформлено библиотечное пространство Technoscience, в котором читатели попадают в новый интерьер в красных, оранжевых, зеленых и белых тонах, стены украшают информационные тематические баннеры «Фантастика, ставшая реальностью» и «Будущее технологий». Здесь представлен фонд научной и научно-популярной литературы «100 книг Technoscience», о робототехнике, искусственном интеллекте, в котором можно найти издания, посвященные самым современным технологиям и перспективам их развития. А в разделе научно-фантастической литературы «Читаем будущее!» представлены книги о возможных изобретениях будущего, которые сейчас уже стали для нас привычными.",Москва,2015-07-23T23:21:23Z,2023-02-17T14:46:59Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 132 (филиал № 1) г. Москва,"г Москва,г Москва,ул Курьяновская 1-я,д 31",37.70293,55.654117,"В 1987 году библиотека была открыта как пункт выдачи при детской библиотеке № 80 ЦБС Люблино. В 1998 году преобразована в детскую библиотеку № 34, а с 2015 года входит в состав библиотеки № 132 ЦБС ЮВАО. Здесь можно получить и сдать литературу или оставить заявку на книгу. Книжный фонд – более 9 000 экз. (включая аудиовизуальные материалы).За эти годы библиотека стала информационным и культурно-досуговым центром для жителей района Печатники. Здесь проходят конкурсы и мероприятия различной тематики, выставки работ творческих коллективов района. Проводится работа с детьми-инвалидами и детьми из социально незащищенных семей. Проходят платные мастер-классы.",Москва,2016-04-07T08:43:10Z,2023-02-21T08:57:52Z,NA,NA,43200,72000,43200,72000,43200,72000,43200,72000,43200,72000,NA,NA,NA
Центральная детская библиотека № 78 имени И. А. Крылова,"г Москва,г Москва,ул Сокольническая Слободка,д 14/18",37.675945,55.7889,"Центральная детская библиотека № 78 имени Ивана Андреевича Крылова является небольшой публичной библиотекой в составе ЦБС Восточного административного округа города Москвы.Библиотека была организована в 1930 году в одноэтажном деревянном доме с печным отоплением. В 1956 году библиотека переезжает в новое здание, которое занимает по настоящее время. Накануне 200-летия со дня рождения И. А. Крылова в 1968 году и в связи успешной работой библиотеки по организации чтения среди детей ей было присвоено имя великого русского баснописца. В 2015 году – Центральная детская библиотека № 78 имени И. А. Крылова. Библиотеке в 2015 году исполнилось 85 лет.В настоящее время Центральная детская библиотека № 78 имени И. А. Крылова является культурно-информационным центром, в котором реализуются программы чтения, культурно-досуговые и образовательные проекты для детей и руководителей детским чтением. Возрастной ценз литературы представленный в библиотеке – 12+.Объем книжного фонда – 54270 экз.Библиотека обслуживает более 3500 читателей от года до 16 лет, но нередко услугами библиотеки пользуются и студенты, и пенсионеры.Структура библиотеки: абонемент для дошкольников и младших школьников; абонемент для учащихся средних и старших классов; читальный зал для детей и руководителей детским чтением. В библиотеке открыт раздел с литературой, художественными и учебными фильмами для семей с приемными детьми и тех, кто только задумал взять ребенка в свою семью, – «Зеленая полка». Регулярно проводятся беседы, мастер-классы, викторины, литературные игры, утренники, спектакли, встречи с писателями. Современная детская библиотека способна предоставить пользователю возможность развития творческого потенциала, который, несомненно, кроется в каждом ребёнке.В конце 2015 года в библиотеке Крылова заработала студия «Добрая площадка», ориентированная на работу с детьми с особенностями развития. Направление проекта «Добрая площадка» – оказание психолого-педагогической помощи семьям, где имеются дети с особенностями развития (синдром Дауна, аутисты, ДЦП, мукасахаридоз и другие.) Создание условий для взаимодействия и проведения совместных мероприятий со здоровыми детьми и детьми с особенностями развития.Кружки и клубы (культурно-досуговые формирования):– Волшебный карандаш (кружок). Каждую среду в 17:30. От 4 до 12 лет. Бесплатно.– Воробышки (кружок). Каждый четверг в 16:00. От 8 до 16 лет. Бесплатно.– Добрая площадка (другое). Каждую пятницу в 17:00. От 3 до 12 лет. Бесплатно.– Possumus studio – студия иностранных языков. Ежедневно с 10:00 до 19:00. От 4 до 12 лет. Платно.Проезд общественным транспортом: от станции метро «Сокольники» 2 минуты пешком.Санитарный день: последняя пятница месяца.",Москва,2015-07-22T21:15:26Z,2023-02-21T07:37:33Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,им. И. А. Крылова
Культурный центр имени Н. Ф. Погодина,"г Москва,г Москва,ул Госпитальный Вал,д 5",37.709021,55.773363,"Библиотека создана в 1938 году как читальня-передвижка. Ее книжные фонды размещались на пунктах выдачи в различных организациях, учреждениях, на заводах и фабриках. Действовали библиотечные пункты и при домоуправлениях. В годы Великой Отечественной войны библиотека работала в госпиталях, на призывных пунктах, в бомбоубежище, оборудованном на станции метро «Красные ворота». В 1963 году в связи с 25-летним юбилеем библиотеке было присвоено имя Н. Ф. Погодина, а в 2014 году читальня вошла в состав библиотеки № 20 имени А.А. Дельвига.Сегодня библиотека – это настоящий информационный, образовательный и культурный центр микрорайона с широким спектром разнообразных услуг для читателей самого разного возраста.",Москва,2015-07-27T13:05:26Z,2023-02-21T07:58:04Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. Н. Ф. Погодина
Библиотека № 233 г. Москвы,"г Москва,г Москва,пер Митинский 3-й,д 2",37.353432,55.848539,"Новогодним подарком в январе 1951 года для всех ребятишек города было открытие первой детской библиотеки. Она находилась на Сходненской улице, в полуподвальной части дома № 28. Первоначальный фонд состоял из 5 000 книг, переданных для детей Российской государственной библиотекой им. В. И. Ленина и взрослой библиотекой № 55, которая находилась в Строительном проезде. В 1953 году в библиотеке открылся читальный зал. В начале 60-х годов детская библиотека № 1 переехала в новое помещение на первом этаже дома № 13 по Сходненской улице. В конце 1994 года фонд детской библиотеки № 30 был передан библиотеке № 252, которая открыла свои двери в январе 1995 года, изначально обслуживая и взрослых, и детей всего района.В конце 1995 года под детскую библиотеку в Митине выделили помещение общей площадью 207,8 кв. м и передали ей оставшийся книжный фонд детской библиотеки вместе с ее номером (№ 30). А в январе 1996 года детская библиотека № 30 распахнула свои двери.Сегодня библиотечный фонд – 34 726 экземпляров, состав фонда универсален по содержанию и комплектуется с учетом разнообразных читательских интересов. В практике работы – самые разнообразные мероприятия. Посещений за 2021 год – 38 292. В библиотеке работает языковый клуб «Чеширский кот».",Москва,2015-07-23T21:42:20Z,2023-02-17T09:52:19Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,75600,43200,72000,NA
Библиотека № 82 (фонд взрослой литературы),"г Москва,г Москва,пр-кт Измайловский,д 83",37.8017020225525,55.7889457814932,"Библиотека гуманитарного профиля, одна из старейших в Восточном Измайлове, была официально открыта для читателей в сентябре 1965 года. Объем книжного фонда – 34 300 экз. Возрастной ценз литературы – 14+.Для читателей постоянно открыты абонемент, предлагающий литературу по всем отраслям знаний, читальный зал с фондом энциклопедических изданий и гордостью библиотеки – коллекцией дореволюционных и редких довоенных книг, а также краеведческий комплекс с музейной экспозицией предметов городского быта прошлых лет.Для проведения массовых мероприятий имеется зал, оборудованный аудио- и видеоаппаратурой.В залах библиотеки небольшими выставочными комплексами постоянно экспонируются выставки творчества читателей.Библиотека располагает справочно-библиографическим аппаратом: алфавитным каталогом, систематическим каталогом, электронным каталогом, каталогом заглавий художественных произведений.Сотрудники библиотеки проводят для своих читателей встречи с интересными людьми, выявляя их из общей массы посетителей.В зале для массовых мероприятий проходят литературно-музыкальные и тематические вечера, библиотечные уроки, творческие выставки, громкие чтения, викторины, конкурсы, творческие встречи, театральные спектакли.В библиотеке имеются рабочие места с бесплатным входом в сеть Интернет и Wi-Fi.Для читателей с ограниченными возможностями по зрению есть возможность воспользоваться бестеневой лупой и стационарным увеличителем TOPAZ.Библиотека доступна для инвалидов.Возможна печать документов в библиотеке.Кружки и клубы (культурно-досуговые формирования):«Альбион» (языковый клуб по интересам). Во вторник и пятницу с 15:00 до 18:00. От 40 до 70 лет. Бесплатно;«Зеленая лампа Измайлова» (литературно-поэтический клуб). 3-й четверг месяца в 15:00. От 25 до 80 лет. Бесплатно;«Измайловская старина» (историко-краеведческий клуб любителей старой Москвы). 4-й четверг месяца в 17:00. От 20 до 80 лет. Бесплатно;«Пчелиная среда» (экологический просветительский клуб друзей «Царской пасеки»). 1–2 раза в месяц по договоренности. От 5 до 80. Бесплатно;«Содружество» (клуб по интересам). От 18 до 85 лет. Бесплатно;вокальный ансамбль «СуперБабушки». Вторник и пятница в 13:00;хоровая группа «Ретро». В среду в 16:00;«Вторая молодость» – танцевальный час. Во вторник в 18:00;«Скерцо» – мини-театр музыкальной комедии. В четверг в 16:00;кинолекторий «Книга + кино». 1 раз в месяц в 15:00;«Соседки» (дизайн-клуб). В субботу с 14:00. От 18 до 85 лет. Бесплатно;«Все обо всем» (кружок). От 7 до 9 лет. Бесплатно;«Клуб одиноких сердец» (клуб по интересам). От 10 до 25 лет. Бесплатно;«Музыкальные встречи» (кружок). От 7 до 8 лет. Бесплатно.",Москва,2015-07-22T19:43:46Z,2023-02-21T06:25:51Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 97 (детское отделение) г. Москва,"г Москва,г Москва,ул Суздальская,д 38",37.8727054595947,55.7455602981965,"26 марта 1951 года в Куйбышевском районе г. Москвы открылась детская библиотека № 82, в июле 1960 году была переименована в детскую библиотеку № 7 Бауманского района, в июне 1976 года – передана в Перовский район.25 августа 1988 году библиотека открыла свои двери в новом помещении по адресу: ул. Суздальская, 38, корп. 2. Это была первая детская библиотека, открытая в микрорайоне Новокосино. С 1 января 2015 года детская библиотека № 7 переименована в детскую библиотеку № 99.В августе 2018 года библиотека была присоединена к библиотеке № 97.Ежегодно библиотеку посещают около 5 000 читателей. За прошедшие 27 лет детская библиотека № 97 стала культурным и информационным центром для детей Новокосино. Удовлетворение читательской потребности в необходимой информации – важнейшее направление в работе детской библиотеки. Работа детской библиотеки № 97 тесно связана с процессом школьного обучения. Библиотека развивает интерес к книге, чтению, формирует читательские запросы, воспитывает интересы, литературные вкусы, прививает любовь к литературе и постоянному общению с печатным словом. Здесь учат самостоятельно выбирать книги, библиотека активно содействует развитию необходимых знаний и навыков для пользования книгой, периодикой, содействует осмыслению и усвоению читаемого.Ведется работа с читателями: библиографические уроки, информационные и прочие обзоры литературы, беседы о навыках работы с книгой, литературные часы, викторины, проведение недели детской книги, Дня матери, Дня Земли. Также ведется работа с учителями и родителями. Приоритетами в работе библиотеки являются краеведение, экология.В детской библиотеке читатель может посещать мероприятия, слушать или читать книги, любые другие документы по своей теме, а также смотреть кино и слушать музыку на самых разных носителях. Структура библиотеки:абонемент: первое отделение. Младший абонемент. Для дошкольников и учащихся 1–4 классов; второе отделение. Средний и старший абонемент. Для учащихся 5–6 классов, для учащихся 7–9 классов и читателей старшего возраста;читальный зал. Для дошкольников и учащихся. В библиотеке № 97 работает кружок «Книжкин дом» для дошкольников.",Москва,2015-07-22T20:20:48Z,2023-02-21T07:32:00Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Детская библиотека № 45 (филиал № 1) г. Москва,"г Москва,г Москва,ул Пулковская,д 3",37.4814677238464,55.8443031986969,"Библиотека начала свою работу в 1968 году и сразу же стала уютным и тёплым домом для юных жителей Головинского района. В настоящее время входит в состав детской библиотеки № 45. Универсальный детский фонд насчитывает 39 630 единиц хранения.В библиотеке проводится огромное количество культурных мероприятий для детей: праздники, познавательные программы, конкурсы, игры, викторины, уроки доброты, экскурсии на свежем воздухе, мастер-классы. У юных читателей есть возможность встретиться с современными детскими писателями, книги которых они знают и любят. Значительным событием библиотеки стал экологический проект «Мы с тобой одной крови».Принадлежит ГБУК г. Москвы «ЦБС САО».",Москва,2015-07-27T02:49:49Z,2023-02-21T09:32:11Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
