country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
France,1894,8721,ANNECY 1894,26,183,183,45.907,6.124,26 bronze coins: Vespasian - Commodus (AD 183).,"Musée Château d'Annecy, France; Registre d'entrée, II, p. 230, no. 12.428",II century
Switzerland,2019,16175,PRATTELN BL 2019,304,181,182,47.5099,7.6959,"A hoard of 304 silver coins (303 denarii and 1 drachm), ranging from Nero to Commodus, found in summer 2019 (with 6 additional coins found in 2020) on the Adlerberg, near Pratteln.",Archäologie Baselland,II century
Poland,2007,13495,PRZEZWISKA,28,194,197,52.1201,19.6482,Around 200 denarii. The person who ppresented 46 denarii mentioned that in total may have found around 200 pieces. Only 28 coins could be described. One denarius of Antoninus Pius was found in 2010: Vitellius - Clodius Albinus (AD 194-197).,NA,II century
"England, United Kingdom",1956,14556,TEAN,3,194,195,49.963481,-6.3242033,"Penhallurick 2009, 269: ""The museum on St Mary's has three sestertii found in a midden layer on the southern shoreline of Tean in 1956. Accompanying pottery indicated an occupation from the first to the fourth centuries and included sherds of samian ware and a bronze brooch (Thomas 1985, p.183)"". He notes that the second sestertius of Marcus Aurelius listed here may have been turned into a brooch (bronze adhered to the bottom of the reverse), though this has not been verified.",NA,II century
Germany,1966,17475,GNOTZHEIM 1966-1968,47,194,195,49.05712,10.70444,A hoard of Roman denarii comprising at least 47 coins ranging from Nero to Septimius Severus.,NA,II century
Poland,1920,16241,ZARZECZE,120,161,180,50.524565,22.205134,"Hoard of 120 denarii. Among issuers, Trajan and Marcus Aurelius. No further details.",NA,II century
Germany,1932,15482,WINHÖRING,6,183,191,48.265403,12.64678,6 sestertii were found at a gravel pit close to Eisenfeld.,NA,II century
Poland,1700,13453,KORZKIEW,189,180,192,50.1626,19.8823,Around 800 denarii of wchich 189 provided information on the issuers: Nero - Commodus (AD 180-192).,"National Museum, Poznań, Poland",II century
Israel,1961,8463,CAVE OF HORROR,4,132,136,31.42981099715,35.347862539594,Four coins of Bar Kochba (AD 132-136).,NA,II century
Germany,1950,6948,GAUTING 1950/51,12,134,138,48.06,11.3758,A hoard of 12 denarii (Vespasian - Hadrian) was found during the archaeological excavation of a building thought to be a granary and comprised of thirteen Denarii coins.,NA,II century
Romania,1933,16317,FEDELEȘENI,46,180,192,47.122581,26.974436,"Hoard of at least 46 denarii: Nero – Commodus (AD 180-192). Possible, part of the hoard from Strunga.","National History Museum, Bucharest, Romania (25 coins)",II century
Germany,1870,16598,BURG DELLINGEN BEI BRUGGEN,27,145,176,47.92439,8.41776,27 bronze coins (Tiberius - Marcus Aurelius) found in an ash layer covered by a stone and interpreted as a votive deposit.,NA,II century
"England, United Kingdom",2001,14669,SPRINGHEAD ROMAN TOWN 2001,16,138,161,51.415161,0.31384514,"A number of coin finds were made during controlled archaeological excavation by Wessex Archaeology at the RLE sites Springhead Roman Town (RLE Event Code ARC SPH00) and Springhead Nursery (ARC SHN02) as part of the programme of archaeological works undertaken in advance of the construction of the Channel Tunnel Rail Link (now known as HS1), between 2000 and 2003.",NA,II century
Slovakia,1904,8204,DRŽENICE,236,161,180,48.286742,18.697001,236 aurei and denarii from the time of Marcus Aurelius (AD 161-180).,NA,II century
Sweden,1857,15595,SANDA,5,186,186,57.428889,18.229138,"Originally 5 denarii, 1 preserved: Hadrian - Commodus (AD 186). Found together with 1 gold finger ring, 3 silver finger rings.","Swedish History Museum, Stockholm (inv.no. 2409)",II century
Germany,1936,17085,GRESSENICH VICHT,45,138,161,50.74482,6.26577,A find of 45 Roman denarii (Otho - Antoninus Pius) was made in a garden in Vicht. The coins were found in charcoal residues.,NA,II century
Romania,1938,2595,TIBRU,220,141,161,46.196,23.558,"220 denarii: Republican (163), Imperial (57); Republican - Antoninus Pius (AD post 141)","Union Museum Alba Iulia, Romania (49 coins)",II century
Ukraine,2018,20664,CYHYRYN - SURROUNDINGS,32,180,192,49.0719491069,32.6743013453,"A hoard of 32 Roman imperial denarii (from Trajan to Commodus) was found in April 2018 in Cherkassy region. Information about the hoard was published in three videos on YouTube, in the channel “Aleksander Mercedes w poiske klada”. The hoard was discovered by a group of treasure hunters on April 20, 2018 on ploughed field, at a depth of up to 15 cm. 21 coins and half of a bronze bracelet were collected from the surface of ca. 10-15 square m (the main concentration, 12 coins, in an area of 5x5 m). On April, 24 a sondage was undertaken at the findspot (ca. 3x3 m. with a depth of ca. 20-50 cm), and 6 more coins were found, including one broken into several pieces. On August 31, 2018, one of the finders found another 5 denarii at the site of the main concentration of coins. It is possible that further searches were also made at this site. The fate of the coins in the hoard is unknown. The identification of the coins was based on the photos that were posted in this video.",NA,II century
Syria,1932,9826,DURA EUROPOS 21,18,183,183,34.747,40.73,"A hoard of 18 denarii (Otho-Commodus) found during excavations at Dura Europos, in E4-15.",Yale University,II century
