creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"R.W. Mathisen, H.S. Sivan",Ste-Gemmes-sur-Loire,"An ancient place, cited: BAtlas 14 E1 Ste-Gemmes-sur-Loire",Ste-Gemmes-sur-Loire,-30,640,47.420902,-0.556862
"E.J. Keall, M. Roaf",Qal'eh Kharabeh,"An ancient place, cited: BAtlas 96 C2 Qal'eh Kharabeh",Qal'eh Kharabeh,-330,640,37.087259,54.41742
"C. Foss, G. Reger, S. Mitchell",Satala,"An ancient place, cited: BAtlas 56 G4 Satala",Adala,-30,640,38.5792,28.267472
"M. Pearce, R. Peretto, P. Tozzi",[Castrum Volaenes],"An ancient place, cited: BAtlas 40 A1 [Castrum Volaenes]",Volano?,300,640,45.918526,11.063331
"E.M. Meyers, J.P. Brown",Tibetha,"An ancient place, cited: BAtlas 69 B5 Tibetha",et Tayyibe ISR,-30,640,32.266524,35.009661
"J. Kunow, C. Haselgrove",Mosomagus,"An ancient place, cited: BAtlas 11 F3 Mosomagus",Mouzon,-30,2100,49.580788,5.105463
E.W. Haley,Forum Limicorum,"An ancient place, cited: BAtlas 24 D2 Forum Limicorum",Monte do Viso (Sarreaus),-30,640,42.086263,-7.603322
"M. Roaf, St J. Simpson",Bint al-Emir/Daskara?,"An ancient place, cited: BAtlas 91 F4 Bint al-Emir/Daskara?",Bint al-Emir,300,640,33.924602,44.983288
E.W.B. Fentress,Vahartanenses,"An ancient place, cited: BAtlas 31 D3 Vahartanenses",Mechta Skaif,-30,640,36.550096,5.983386
C. Foss,Berg(o)ule/Arkadioupolis,"An ancient place, cited: BAtlas 52 A2 Berg(o)ule/Arkadioupolis",Lüleburgaz,-30,640,41.4017405,27.352699
R. Müller Wollermann,Krokodilopolis/Ptolemais Euergetis,An ancient city in the Heptanomis and the capital of Arsinoites nome. The ancient Egyptian name of the site was Shedyet and in Pharaonic times it was a major cult center for the god Sobek.,Medinet el-Fayyum,-2600000,2100,29.3149635,30.8399565
A.S. Esmonde Cleary,Baldock,A pre-Roman and Romano-British settlement was located at Baldock along the Icknield Way.,Baldock,-30,640,51.9897381,-0.1809379
S. Mitchell,Korna?,"An ancient place, cited: BAtlas 66 A1 Korna?",Dinorna (hüyük),300,640,37.489139,32.467014
"E.M. Meyers, J.P. Brown",Abila Lysaniou,"An ancient place, cited: BAtlas 69 D2 Abila Lysaniou",Suq Le Basi Barada SYR,-30,640,33.627108,36.1159485
"M. Pearce, R. Peretto, P. Tozzi",Tarvisium,"Tarvisium (Treviso) is a settlement located in the plain of the Silis river, not far from the Via Claudia Augusta.",Treviso,-330,2100,45.666251,12.242061
B. Isaac,Aphekou Pyrgos,"An ancient place, cited: BAtlas 70 F1 Aphekou Pyrgos",Migdal Afeq/Medjel Yaba,-330,640,32.090798,34.951852
zrosalinsky,Ḥorbat 'Uẓa,Settlement east of Acre with remains from the Neolithic through the 12th century. The site was destroyed to make a highway in 1991.,NA,-10000,1291,32.91418,35.151529
"C. Foss, G. Reger",Mastaura,"An ancient place, cited: BAtlas 61 G2 Mastaura",Mastavra,-30,640,37.9504305,28.3528415
A.S. Esmonde Cleary,Uxacona,A Roman site with evidence for a series of ditched enclosures of the first century.,Red Hill,-30,640,52.6950985,-2.4070175
R.B. Hitchner,Thimida,"An ancient place, cited: BAtlas 32 E2 Thimida",Henchir-Tindja,-330,640,37.16244,9.763771
"J.P. Brown, P.-L. Gatier",Otthara,"An ancient place, cited: BAtlas 68 D5 Otthara",Ghunthur?,-30,640,34.422928,37.173068
"C. Haselgrove, J. Kunow",Marcomagus?,"Marcomagus was a road station along the Roman road from Augusta Treverorum to Colonia Agrippinensis, the modern Nettersheim-Marmagen.",Nettersheim-Marmagen GER,-30,640,50.4772858,6.6220457
A. Bernand,Taya,"An ancient place, cited: BAtlas 74 E3 Taya","Ezbet Tuwa, near Tanta",-30,640,30.7709265,31.004611
"J. Fossey, J. Morin",Naupactus,"Originally a city of the Ozolian Locrians, Naupactus eventually fell to Athens; under Macedonian rule Philip II ceded it to the Aetolians.",Lepanto/Navpaktos,-550,640,38.399726,21.831267
C. Foss,Hebdomon,"An ancient place, cited: BAtlas 53 A3 Hebdomon",Bakırköy,300,640,40.976033,28.876487
H. Bender,Kleinlangheim,"An ancient place, cited: BAtlas 12 D3 Kleinlangheim",Kleinlangheim,-30,640,49.770684,10.286554
"M. Šašel Kos, P. Kos",Celeia,Celeia was an important settlement in Noricum.,Celje SVN,-30,2100,46.219721,15.27184
A.G. Poulter,Babadag,"An ancient place, cited: BAtlas 22 F4 Babadag",Babadag,-30,640,44.891249,28.717592
E.W. Haley,Caladunum,"An ancient place, cited: BAtlas 24 D3 Caladunum",Vilar de Perdizes (Montalegre)? POR,-30,640,41.856332,-7.634577
"M. Pearce, P. Tozzi",Brixia,An ancient settlement. Modern Brescia in Italy.,Brescia,-550,2100,45.539773,10.223135
"T. Sinclair, P.-L. Gatier",Birtha,"An ancient place, cited: BAtlas 67 F2 Birtha",Birecik,-550,640,37.025429,37.978775
"H.S. Sivan, R.W. Mathisen",Sikor Limen?,"An ancient place, cited: BAtlas 14 C1 Sikor Limen?",Prigny,-30,640,47.066094,-1.981225
"I.E.M. Edlund Berry, A.M. Small",Heraclea,Heraclea was an ancient city of Magna Graecia.,near Policoro,-550,640,40.2197296732,16.6703978702
"C. Haselgrove, J. Kunow",Contrua?,"An ancient place, cited: BAtlas 11 H2 Contrua?",Kobern-Gondorf GER,-30,640,50.308279,7.459608
E.N. Borza,Charakoma,"An ancient place, cited: BAtlas 50 C3 Charakoma",Drymos?,-30,640,40.793957,22.959993
gmckee,Tall-e Geser,Village in Iran inhabited since the 6th millennium BCE.,NA,-6500,2100,31.3582590855,49.4193956725
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Deyrulzafaran,"An ancient place, cited: BAtlas 89 C3 Deyrulzafaran",Deyrulzafaran,300,640,37.296138,40.778357
J.J. Wilkes,Kolobaise,"An ancient place, cited: BAtlas 49 D2 Kolobaise",Treskovec MAC,-30,640,41.351447,21.562403
