name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Центральная модельная библиотека им. М. Ю. Лермонтова г. Ефремов,"обл Тульская,р-н Ефремовский,г Ефремов,ул Лермонтова,д 19",38.1179264187813,53.1453578680464,"Ефремовская центральная районная библиотека им. М. Ю. Лермонтова – одно из старейших учреждений культуры города и района. Она входит в десятку районных библиотек Тульской области, которым 100 и более лет. Ее открытие состоялось на пороге XX века в середине декабря 1899 г. В 2019 году библиотека отметила свое 120-летие. А в 2020 году получила статус модельной. Благодаря национальному проекту «Культура» фонд библиотеки увеличился на 5 500 экземпляров и в настоящее время составляет 83 455 экземпляров. Модернизированная в рамках нацпроекта «Культура» библиотека располагает 19 компьютерными рабочими и досуговыми местами для пользователей, в том числе и компьютером для слабовидящих. Это библиотека современного формата с инновационным мультимедийным оборудованием: сенсорный киоск, 3D-оборудование для квестов, интерактивная книга в этнографическом уголке. Зонирование в библиотеке предусматривает площадки: для взрослых читателей (журнальные столики, мягкие кресла-мешки, где можно уединенно почитать книгу); уголок для молодежи «Читать &amp; пить» (кофе-машина); детский уголок, в котором имеется стеллаж «Гусеничка» с детскими книгами, телевизор для просмотра мультфильмов, мягкие пуфики, напольный ковер, стол с песком для рисования. Библиотека готова принять людей с ограниченными возможностями здоровья.",Ефремовский район,2015-04-01T07:43:56Z,2023-03-05T06:12:37Z,,,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00
Иркутская областная библиотека им. И. И. Молчанова-Сибирского,"обл Иркутская,г Иркутск,ул Лермонтова,д 253",104.267549255627,52.2513718675368,"Иркутская областная государственная универсальная научная библиотека им. И. И. Молчанова-Сибирского (ИОГУНБ) – одно из старейших крупнейших современных фондохранилищ Восточной Сибири, методический и консультативный центр для библиотек Иркутской области, центр краеведческой библиографии, информационный центр по культуре и искусству. История библиотеки берет свое начало от городской публичной библиотеки, которая была открыта 25 (13) марта 1861 года. В год 100-летнего юбилея областной библиотеке присвоено имя поэта, общественного деятеля Ивана Ивановича Молчанова-Сибирского. Со временем появилось второе народное название библиотеки – Молчановка. Регулярно обновляемый книжный фонд свыше 1 000 000 книг, более 6 500 виниловых пластинок, 7 этажей пространства для чтения и отдыха, Wi-Fi и свободные компьютеры в каждом читальном зале.",Иркутская область,2016-04-01T10:33:30Z,2023-09-01T10:11:24Z,,,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00,11:00:00,20:00:00
Библиотеки им. Маяковского – филиал № 1,"край Красноярский,г Зеленогорск,ул Шолохова,д 1",94.655949,56.062771,"В январе 1961 года в поселке Орловка был открыт филиал № 1 Центральной городской библиотеки имени Маяковского. Он разместился в одном здании с почтой по улице Орловская, 29. Библиотеке выделили 2 комнаты – читальный зал и абонемент. В 1982 году к 60-летию СССР в Орловке построен Дом культуры. В это здание переехала и библиотека, где находится и сейчас.Сегодня фонд библиотеки насчитывает более 23 000 книг и периодических изданий. Для посетителей открыт абонемент и читальный зал, библиотека оснащена компьютерной техникой. Более 20 лет в библиотеке собирались предметы быта: самопрялка, гребень, валек, долбленка, подзор и другие малопонятные предметы для современного человека. На основе собранных краеведческих материалов и уникальных предметов была открыта этнографическая комната «Светелка». Собранные в ней предметы помогают в проведении краеведческих часов, иллюстрируют выставки. Экспонаты мини-музея можно взять в руки и окунуться в быт крестьян Сибири. Уже традиционными для жителей поселка стали «Орловские встречи» в библиотеке.",Зеленогорск,2021-04-27T05:56:19Z,2023-09-01T08:15:00Z,10:00:00,19:00:00,12:00:00,18:00:00,10:00:00,19:00:00,12:00:00,18:00:00,,,,,10:00:00,18:00:00
Республиканская специальная библиотека для слепых и слабовидящих им. Ш. К. Еникеева,"Респ Татарстан,г Казань,ул Серова,д 3",49.062945,55.830872,"Информационно-библиотечным обслуживанием охвачено около 4 000 инвалидов по зрению всех возрастных групп, членов их семей, других категорий инвалидов, заболевание которых препятствует пользованию общедоступными библиотеками и чтению печатных документов, а также физических и юридических лиц, профессионально занимающихся проблемами инвалидов и инвалидности. Универсальный книжный фонд литературы на русском и татарском языках включает более 340 000 экземпляров книг на различных видах носителей информации: книги плоскопечатного шрифта, укрупненного шрифта, рельефно-точечные книги, «говорящие» книги на кассетах, CD и флеш-картах, рельефно-графические пособия, литература по проблемам реабилитации и социальной адаптации незрячих, базы данных конвертированных «говорящих» книг с криптозащитой. Библиотека ведет издательскую деятельность по выпуску изданий краеведческого и тифлокраеведческого характера, художественной, учебной литературы на татарском и русском языках на электронных носителях, рельефно-точечным и укрупненным шрифтом.",Республика Татарстан,2015-07-30T07:58:28Z,2024-02-21T06:21:12Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,
Центральная библиотека им. А. Н. Островского,"обл Тверская,г Ржев,ул Карла Маркса,д 46",34.3270719051361,56.2626297668882,"История центральной библиотеки им. А. Н. Островского сложилась так, что ее судьба неразрывно связана с историей города. Прародительницей городской библиотеки являлась народная библиотека для бесплатного пользования бедного населения Успенского собора, которая была открыта в апреле 1896 года. Большой вклад в ее создание внесли известный государственный деятель Т. И. Филиппов и миссионер, священник П. Шавров. С установлением в городе cоветской власти в 1918 году на Ново-Советской площади в бывшем купеческом доме на основе земской библиотеки создается библиотека. Ее фонды пополняются за счет реквизированных книг и журналов из личных библиотек дворян, купцов и мещан, а также за счет добровольных пожертвований. Одним из первых разрушенных зданий в 1941 году была городская библиотека с 60 тысячами книг. Сразу же после освобождения города началось его восстановление. Уже летом 1943 года библиотека распахнула двери перед читателями (она располагалась на улице Марата). В трудных условиях послевоенной поры библиотека вынуждена была менять свое местонахождение дважды. В конце 1950 года она располагалась на улице Коммуны. Интерес к чтению в те годы был огромен, растет число посещений городской библиотеки, увеличивается книжный фонд. Было принято решение о строительстве нового здания. В сентябре 1972 года городская библиотека переезжает в новое уютное здание на левом берегу Волги, где и находится сейчас. А через год, в 1973 году библиотеке было присвоено имя великого русского драматурга А. Н. Островского, неоднократно бывавшего в городе в конце XIX века. Статус городской библиотеки изменился в 1977 году в связи с централизацией библиотечной системы, библиотека стала методическим и организационным центром для библиотек города Ржева и Ржевского района. Сегодня центральная библиотека им. А. Н. Островского – это 77 тысяч книг и около 90 названий газет и журналов, тысяча электронных изданий; около 9 тысяч пользователей и более 300 тысяч выдаваемых документов ежегодно. Для жителей города – это не только источник информации, но и центр культуры и общения. Здесь проводятся литературно-музыкальные вечера, концерты, встречи с интересными людьми, увлекательные мероприятия для детей и молодежи. Коллектив ведет большую работу по патриотическому воспитанию подрастающего поколения.",Ржев,2016-08-09T09:26:35Z,2023-02-06T10:03:05Z,,,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00
Библиотека-филиал № 2 им. Е. И. Носова г. Курска,"обл Курская,г Курск,ул Октябрьская,д 65",36.2216770648956,51.7552927448963,"История библиотеки-филиала № 2 им. Е. И. Носова неразрывно связана с историей города Курска, который уверенно идет к своему 1000-летию. В 2019 г. библиотеке, открытой в 1937 г. для обслуживания жителей Ямской слободы, исполнилось 82 года. Важным событием в истории библиотеки-филиала № 2 стало присвоение ей в 2003 г. имени курского писателя-фронтовика Евгения Ивановича Носова. В 2013 г. в результате реорганизации двух библиотечных систем библиотека № 2 им. Е. И. Носова вошла в состав Централизованной системы библиотек города Курска. Сегодня универсальный фонд библиотеки насчитывает более 55 000 экземпляров документов на различных видах носителей. Ежегодно библиотеку посещают более 3 000 курян. На базе библиотеки организован доступ к электронным ресурсам ФГИС «Национальная электронная библиотека», Национальная электронная детская библиотека. Широко востребованы у курян реализуемые библиотекой культурно-досуговые проекты: «Летний парк чтения», «Прогулки по литературным улицам», «В названиях улиц – имена героев», «Компетентный курянин.ру» и др.",Курск,2020-05-13T14:46:59Z,2023-02-21T13:39:21Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,10:00:00,19:00:00,10:00:00,18:00:00
Бородулинская библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Верещагинский,п Бородулино,ул 1 Мая,д 27",54.3780740153629,57.9962716414614,"Бородулинская библиотека открыта в 1909 году на средства просветителя, мецената, книгоиздателя Ф. Ф. Павленкова. Она обслуживает население поселка Бородулино и 8 близлежащих деревень в количестве 1 205 человек. Это библиотека народной культуры, она работает по программе «Восхождение к истокам». Здесь организован музейный уголок. При библиотеке действуют клубы и кружки: «Истоки» (детский краеведческий), «Ромашка» (женский), семейный клуб «Дин-дон», хобби-студия «Клубочек» (женское рукоделие), «Матрешкина мастерская» (детский). Сведения на 1 января 2024 года:книжный фонд – 8 488 экземпляров;пользователи – 1 177, в том числе 530 детей;посещения – 16 107.",Верещагинский район,2015-09-27T22:17:30Z,2023-12-22T06:29:09Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,11:00:00,18:00:00,11:00:00,18:00:00
Городская библиотека им. А. Р. Беляева,"край Красноярский,г Лесосибирск,ул Яблочкова,д 8",92.537479,58.181651,"Библиотека была открыта в 1966 году, она является одной из самых старейших библиотек города. В 2021 году была модернизирована в рамках проекта «Библиотеки будущего» и получила свое новое имя – Городская библиотека им. А. Р. Беляева. Фонд рассредоточен по залам и составляет около 19 000 экземпляров. Библиотека обслуживает более 2 500 читателей. Учреждение позиционирует себя как информационный центр, выступает навигатором в мире литературы, активно участвует в проектах и программах. Для читателей доступны книжный зал, детский зал, лаборатория технологий будущего, комфортное пространство для чтения и общения. В лаборатории технологий будущего проводятся курсы компьютерной грамотности, веб-квесты и квесты в реальности. Для всех, кому интересен мир современных IT-технологий, проходят мастер-классы по работе в популярных графических редакторах Krita, Scratch, GIMP, Inkscape. Библиотека реализует с помощью волонтеров и привлеченных специалистов собственные образовательные программы через организацию разнообразных курсов, кружков и других форм неформального образования.",Лесосибирск,2016-10-17T09:30:25Z,2023-05-06T04:40:47Z,,,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,10:00:00,18:00:00,10:00:00,18:00:00
Библиотека им. А. М. Горького г. Екатеринбурга,"обл Свердловская,г Екатеринбург,ул Ильича,д 20",60.599657,56.8906,"Библиотека им. А. М. Горького расположена в центре самого большого района Екатеринбурга – Орджоникидзевского, в котором сосредоточены крупнейшие промышленные предприятия: ОАО «Уралмаш», ОАО «Энерогомаш», ОАО «Трансмаш» и другие. Библиотека основана в 1931 году первыми строителями Уралмаша. За десятилетия своего существования стала одним из самых заметных культурных и информационных центров Екатеринбурга. Неоднократно становилась победителем престижных региональных и всероссийских профессиональных конкурсов. Продвижение книги и повышение престижа чтения в городском пространстве – наиболее значимое направление деятельности библиотеки. Творческие фестивали, чемпионаты чтения, уличные акции, публичные лекции известных писателей, организованные библиотекой, превратили рабочую окраину в один из самых читающих районов города. Стремление идти навстречу ожиданиям горожан сделали «Горьковку» настоящим «третьим местом».",Екатеринбург,2015-08-31T07:47:25Z,2023-02-22T07:59:16Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,09:00:00,18:00:00
Уинская центральная библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Уинский,с Уинское,ул Пролетарская,д 8",56.583577,56.881124,"Уинская центральная библиотека им. Ф. Ф. Павленкова была основана в 1912 году как основная (центральная районная) на средства Флорентия Федоровича Павленкова. Фонд библиотеки насчитывает 28 318 экземпляров (книги, периодические издания, видео, CD), книги на национальных языках, книги с автографами пермских писателей и поэтов. Количество посетителей – 1 721 человек. Библиотека включает в себя отдел методической, библиографической работы и обслуживания читателей, абонемент, коворкинг-центр (читальный зал), отдел обработки, комплектования, книгохранения и использования единого фонда.В библиотеке работают: краеведческий уголок «Здесь край мой, исток мой, дорога моя»;Центр правовой информации по вопросам местного самоуправления;молодежная информационная служба;Центр экологической информации «Экониформ»;литературный киносалон;клуб любителей художественной литературы «Встреча»;«Бюро добрых услуг» (для людей с ограниченными возможностями здоровья).",Уинский район,2015-10-11T23:29:12Z,2023-06-02T13:12:25Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,10:00:00,17:00:00,,
