title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
"Лао Сяо Е Чунь Люй Ча, 2005",green,98,1260,"Выдержанный зеленый чай из провинции Хунань. Урожй 2005 года. В сухом виде: тонкие бурые жгутики скрученных листиков. Аромат сдержанный, пряно-древесный с цветочной ноткой. Настой прозрачный, виноградно-желтого оттенка. Букет готового чая выдержанный, пряно-древесный с цветочными и ореховыми нотками. Аромат нежный, пряно-травянистый. Вкус плотный, очень мягкий, маслянистый, сладкий, с легкой фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8-9 завариваний. Воздействие освежающее, легкое тонизирующее.",3,4,,,,60,,80,,,40,,,,,,,60,,,,,,,,,,,,,,,,,,,,60,,
Сяо Чжун Улун,red,90,690,"Красный чай «Сяо Чжун» из чайного региона Уишань. В качестве сырья использованы осенние побеги сорта Улун. В сухом виде: среднего размера, тонкие, темно-коричневые жгутики чайных листьев. Аромат интенсивный, фруктово-пряный. Настой прозрачный, красно-каштанового оттенка. Букет готового чая теплый и яркий, фруктово-пряный, с бисквитными, медовыми и цитрусовыми нотками. Аромат густой и глубокий, фруктово-пряный; холодный аромат – сладкий, фруктово-цветочный. Вкус сочный, плотный, шелковистый, чуть вяжущий, сладковатый, с легкой фруктовой кислинкой. Сочное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Прекрасный выбор для эмоциональной перезагрузки во второй половине дня – яркий, сочный, ароматный. Воздействие согревающее, умеренно тонизирующее, в невысокой концентрации – расслабляющее.",2,5,60,40,60,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мэнхай Чэнь Цан Шэн Пуэр (2007), 357 г.",puer,96,15459,"Выдержанный шэн пуэр урожая 2007 года из сырья округа Мэнхай. 357-граммовый блинчик средней плотности, разделяется на буро-коричневые скрученные листики, почки и тонкие черенки (незначительное количество). Аромат сдержанный, древесно-фруктовый. Настой прозрачный, оттенка темного янтаря. Букет готового чая зрелый, фруктово-древесный, с бальзамическими и пряными нотками. Аромат яркий, фруктово-древесный. Вкус плотный, шелковистый, сладковатый, немного терпкий, с легкой горчинкой, фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 5-7 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Воздействие согревающее, мягкое тонизирующее.",2,6,,,,,80,60,40,,80,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch01-2022 (limited 42 pieces), 357 г",red,92,15350,"В сухом виде: спрессованные крупные, изогнутые, бордово-коричневые жгутики скрученных листиков с тонкими черенками, бежевые и рыжие почки. Аромат интенсивный, фруктово-медовый. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, пряно-цветочный, с нотками осенних листьев, свежих ягод, игристых вин, сухофруктов и меда. Аромат теплый, нежный, пряно-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Превосходный чай для искушенных любителей с многогранным вкусом и мощным медитативным воздействием.",3,6,,80,,80,,80,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,
Шуйсян Мэйчжоу Чао Ча (2017),ulun,98,1560,"«Нарцисс из Мэйчжоу» сделан по аутентичной технологии чао ча в неизменном виде сохранившейся с эпохи Мин до наших дней. Суть метода сводится к длительному обжариванию чайных листьев и почек в котлах при относительно низких температурах, с перерывами на охлаждение. В сухом виде: небольшие, серо-бурые жгутики скрученных листиков. Аромат густой, пряный с ореховой ноткой. Настой прозрачный, оттенка темного янтаря. Букет готового чая яркий, многогранный, хлебно-пряный, с ореховыми, древесными, сливочными, табачными, цитрусовыми и черносливовыми нотками. Аромат глубокий и теплый, сложный, орехово-пряный с легким «дымком». Вкус очень плотный, мягкий, бархатистый, приятно вяжущий (в избыточной концентрации – терпкий), сладковатый, с тонкой фруктовой кислинкой. Послевкусие долгое и сочное. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 3-4 г на 100 мл (чай обладает очень плотным телом, поэтому для первого раза возьмите чуть меньше заварки, чем обычно). Пить проливом с постепенным увеличением экспозиции. Выдерживает 10 завариваний. Оригинальный, интересный чай с ярким, многогранным вкусом и мощным энергетическим воздействием.",1,3,,,,,,,,,60,,,,,,60,80,,,,,,,,60,,,,60,,,,,,,,,,
"Ту Шуйсянь Чао Ча, 2018",ulun,100,1680,"Сделан в округе Мэйчжоу из весенних побегов сорта Шуйсянь по аутентичной технологии чао ча. В сухом виде: лилово-коричневые фрагменты скрученных почек, тонкие черенки. Аромат тонкий, древесно-ягодный. Настой прозрачный, оттенка красного дерева, в процессе заваривания желтеет. Букет готового чая яркий, многогранный, цветочно-ягодный, с пряными, цитрусовыми и ореховыми нотками. Аромат нежный, теплый, цветочно-ягодный. Вкус плотный, терпкий, сладковатый, с легкой цитрусовой горчинкой, ягодной кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Залейте чай горячей водой, дайте настояться в течение 5-7 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 8 завариваний. Воздействие согревающее, тонизирующее.",2,4,,,40,80,,60,,,,100,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Цзюнь Шань Инь Чжэнь 10 (2004) (Желтый чай),yellow,40,8400,"«Серебряные иглы с государевой горы» урожая 2004 года, провинция Хунань. Коллекция Клуба чайной культуры. В сухом виде: тонкие, остроконечные, серебристо-бурые почки. Аромат интенсивный, пряно-травянистый с копченой ноткой. Настой прозрачный, пшеничного оттенка. Букет готового чая зрелый, многогранный, пряно-травянистый, с нотками сухофруктов, орехов, льняного семени, свежих ягод и копченостей. Аромат тонкий, фруктово-пряный, с дымком. Вкус мягкий, объемный, сочный, немного вяжущий, сладковатый, с легкой ягодной кислинкой и нюансами специй – раскрывается постепенно, играя множеством оттенков. Устойчивое, сочное послевкусие. Заваривать горячей водой (90°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Прекрасный выбор для особого случая – многогранный, долгий, запоминающийся.",5,5,,,,,60,60,,,,60,,,,,,60,,,,,,,60,,,,,,,,,,,,,,,
Чунь Ву Е Даньцун,ulun,100,1430,"Сильно-ферментированный улун «Ву Е» («Темный лист»,) весенний («Чунь») урожай 2023 года. В сухом виде: крупные, лилово-коричневые жгутики скрученных чайных листьев. Аромат интенсивный, фруктово-цветочный. Настой прозрачный, светлого оттенка красного дерева, в процессе заваривания желтеет. Букет готового чая яркий, цветочно-ягодный с медовыми, пряными, древесными и цитрусовыми нотками. Аромат нежный и теплый, цветочно-ягодный. Вкус плотный, в меру терпкий, пряный, сладковатый, с лимонной кислинкой и освежающим послевкусием. Заваривать горячей водой (90-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 9 завариваний. Воздействие согревающее, тонизирующее.",3,5,,,100,100,,,80,,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Чао Люй, 2022",ulun,66,650,"Cделан в округе Мэйчжоу по аутентичной технологии чао ча. В сухом виде: мелкие, лилово-коричневые фрагменты скрученных листиков. Аромат интенсивный, острый, пряно-травянистый. Настой прозрачный, лилово-коричневого оттенка. Букет готового чая яркий, многогранный, пряно-цветочный, с фруктовыми, ореховыми, табачными и бисквитными нотками. Аромат высокий, свежий, сложный, фруктово-пряный. Вкус плотный, сочно-терпкий, маслянистый, сладковатый, с легкой горчинкой, ягодной кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 3-4 г на 100 мл (чай обладает очень плотным телом, поэтому для первой дегустации возьмите чуть меньше заварки, чем обычно). Залейте чай горячей водой и дайте настояться в течение 8-10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 9-10 завариваний. Отличный выбор для повседневных чаепитий. Воздействие освежающее, выраженное тонизирующее.",1,4,,,,80,80,80,,,,,,,,,,60,,,,,,,,,,,,40,,,,,,,,,,
Лишивэй Милань,ulun,94,1890,"«Милань» или «Медовая орхидея» – один из самых популярных сортов даньцунов Чаочжоу. Сбор – весна 2019 года, хунбэй – осень 2019 года. Средний огонь. В сухом виде: крупные, темно-лиловые жгутики скрученных чайных листьев с тонкими черенками. Аромат интенсивный, цветочно-ягодный. Настой прозрачный, оттенка красного дерева. Букет готового чая многогранный и яркий, цветочно-ягодный, с нотками древесных смол, пряных трав, молочного шоколада и сухофруктов. Аромат нежный, фруктово-цветочный. Вкус тонкий, сочный и сладкий, шелковистый, чуть вяжущий, с ягодной кислинкой и долгим, освежающим послевкусием. Заваривать горячей водой (85-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 4-5 г на 100 мл. Для первого раза настоять 5-7 секунд, после чего пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 10 завариваний. Отличный выбор для церемониального чаепития: тонкий, многогранный и ароматный.",3,5,,,,100,80,40,,,,100,,,,,,,,,,,40,,,,,,,,,,,,,,,,,
