name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Большеямская библиотека – филиал № 3,"обл Кемеровская,р-н Юргинский,д Большеямное,ул Школьная,д 1",85.490644,55.581383,"Библиотека-филиал № 3 находится в здании Дома культуры деревни Большеямное. Общая площадь, занимаемая библиотекой, – 100 кв. м. На сегодняшний день фонд составляет 17 100 экземпляров книг. Число читателей библиотеки – 500 человек. Библиотека работает по приоритетным направлениям: экология, краеведение, изучение чтения. Сотрудница библиотеки принимает активное участие в культурной жизни деревни, привлекает к участию в мероприятиях и детей и взрослых. При библиотеке работает волонтерско-патриотический клуб, его участники – дети до 14 лет, активисты. Они принимают участие в различных патриотических и экологических акциях, помогают ветеранам, труженикам тыла и т. д.",Юргинский район,2017-11-03T13:34:04Z,2023-02-07T11:02:52Z,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,
Якуповская сельская библиотека,"Респ Башкортостан,р-н Буздякский,с Якупово,ул Центральная,д 46/3",54.5346750469659,54.8156688897926,"Якуповская сельская библиотека основана 15 июня 1955 года. Первоначально она располагалась в учительской Амировской сельской школы, затем много раз переезжала из одного здания в другое. В 1979 году было построено новое здание клуба, где выделили помещение для библиотеки. Здесь она находится по настоящее время. Фонд на 2022 год насчитывает 7 435 экз. книг, количество читателей – 189 человек. Библиотека оснащена компьютерной техникой. Основные направления работы – экологическое и семейное воспитание. Ведется деятельность в рамках программы по экологии «Один день в лесу», проводятся весенние фольклорные праздники народов Башкортостана «Воронья каша» и «Праздник цветов». Библиотека организовывает мероприятия ко Дню семьи, любви и верности и Дню Государственного флага РФ, а также посвященные террористическому акту в Беслане («Трагедия Беслана»); детские конкурсы рисунков «Волшебный мир Тукая», «Для милых мам». Оформлена выставка «Секреты семейного счастья». Работают кружки «Умелые руки» и «Муравейник».",Буздякский район,2020-09-17T11:12:26Z,2023-07-31T07:44:18Z,09:00:00,11:00:00,09:00:00,11:00:00,09:00:00,11:00:00,09:00:00,11:00:00,09:00:00,11:00:00,,,,
Библиотека № 3 г. Каменска-Уральского,"обл Свердловская,г Каменск-Уральский,ул Жуковского,д 8",61.978481,56.381898,"Библиотека была основана в 1956 году. Здесь работает библиотечный пункт для инвалидов по зрению, представлена литература специальных форматов: электронные книги, флеш-карты, книги со шрифтом Брайля (рельефно-точечный шрифт), плоскопечатная литература (крупный шрифт). Возможна запись электронных изданий для инвалидов по зрению на флеш-карты из базы данных Свердловской областной библиотеки для слепых и библиотеки Михайлова. Есть автоматизированное рабочее место для людей с ограниченными возможностями по зрению, стационарный видеоувеличитель для чтения плоскопечатных изданий (75-кратное увеличение текста, изображений). Работает кружок громкого чтения для инвалидов по зрению «Чтение – окно в мир».",Каменск-Уральский,2022-02-15T06:07:41Z,2023-03-14T07:40:10Z,,,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,11:00:00,17:00:00,,
Барковская сельская библиотека,"обл Нижегородская,р-н Княгининский,д Бубенки,ул Школьная,д 4",44.925229444458,55.8350761792324,"Во время Великой Отечественной войны в д. Яковлево Яколевского сельсовета была открыта изба-читальня. В 1948 году избу-читальню переименовали в библиотеку. Книги привозили из бибколлектора г. Горький, книги регистрировали сами, заносили в инвентарную книгу и ставили номер. В 1967 году библиотеку перевели в новый Дом культуры, где она располагется и по сей день. Книжный фонд составляет 12 827 экземпляров документов. Сельская библиотека в течение года выполняет главную миссию своего учреждения – развивается, представляя информацию и услуги пользователям библиотеки, используя имеющиеся каталог. Чаще всего и с особым удовольствием посещают библиотеку дети и подростки.",Княгининский район,2021-07-07T08:11:57Z,2023-03-09T13:04:04Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,15:00:00
Опочецкая районная библиотека им. А. С. Пушкина,"обл Псковская,р-н Опочецкий,г Опочка,ул Коммунальная,д 12",28.663624,56.714694,"Опочецкая библиотека им. А. С. Пушкина была основана в 1892 году П. Федоровым при деятельном участии И. А. Иванова и Н. А. Ладыгина (врача Опочецкой земской больницы). В настоящее время является муниципальным общедоступным, информационным и культурно-просветительским учреждением. Основное направление работы – организация информационно-библиотечного обслуживания населения Опочецкого района.На начало 2020 года фонд районной библиотеки насчитывает более 50 000 экземпляров литературы. Количество пользователей в год – 5 000 человек. В библиотеке есть доступ к Национальной электронной библиотеке. С 2020 года читателям предоставляется возможность чтения электронных книг библиотеки «ЛитРес».",Опочецкий район,2021-04-16T07:47:39Z,2023-03-20T11:55:47Z,,,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00
Тарасовская сельская библиотека,"обл Кемеровская область - Кузбасс,р-н Промышленновский,с Тарасово,ул Центральная,63А",85.147659,54.888097,"Тарасовская сельская библиотека в с. Тарасово была открыта в 1911 году. Сейчас библиотека находиться в здании сельского Дома культуры. Ежегодно услугами библиотеки пользуются более 500 читателей, выдача книг составляет более 8 500 экземпляров. Библиотека обслуживает пользователей дошкольного, младшего и старшего школьного возраста, а также взрослое население. Библиотека активно сотрудничает со школой, детским садом и администрацией поселения. Для юных читателей действуют клубные формирования: кружок ""Окружающий мир"" и клуб ""Девчата"". Информация о работе библиотеки доносится до пользователя через рекламные объявления, которые распространяются как внутри библиотеки, так и за пределами здания. К юбилейным событиям и датам писателей, а также на актуальные темы были выпущены памятки, закладки и аннотированные списки литературы, которые помогали читателям ориентироваться в массиве книг",Промышленновский район,2018-02-02T03:31:42Z,2023-03-20T11:38:23Z,,,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,
Библиотека № 23 г. Уфы,"Респ Башкортостан,г Уфа,б-р Хадии Давлетшиной,д 19",55.9959033904634,54.7348189845212,"Библиотека была организована 24 августа 1953 года. До централизации она занимала площадь 80 кв. м в здании на ул. Заводской, 22. В 1979 году переехала в просторное помещение на бульваре Хадии Давлетшиной. Еще в конце 70-х годов на этой улице стояли двухэтажные коммуналки – бараки. Буквально через несколько лет на их месте возник новый микрорайон – Молодежный. Была построена новая школа № 15, рядом с ней и находится библиотека № 23. В новом здании появились читальный зал и детский отдел, количество читателей выросло до 3 тысяч человек. В библиотеке побывали такие известные люди, как Мустай Карим, Газик Шафиков, Зайнаб Биишева и другие: их автографы и пожелания хранятся в тетради отзывов тех лет. Основное направление работы библиотеки – гражданско-патриотическое.Фонд – 33 021 экземпляр. Читателей – 3 120 человек.",Уфа,2020-09-15T09:35:28Z,2023-01-27T14:37:51Z,,,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,,
Юношеская библиотека г. Балашихи,"обл Московская,г Балашиха,ул Спортивная,д 17",37.9648876190186,55.8177881412545,"Городская юношеская библиотека открыта решением Исполкома Балашихинского городского Совета народных депутатов 1 июля 1981 года в соответствии с планом развития сети массовых библиотек в Балашихинском районе. Одна из немногих специализированных библиотек Подмосковья, которая постоянно ищет новые формы и направления работы в молодежной среде. С 2018 года в состав городской юношеской библиотеки входит сектор по работе с детьми. Фонд библиотеки составляет 28476 экземпляров книг. Читателей – 2204 человек. На сегодняшний день библиотека стала не только информационным, культурнообразовательным центром, но и местом организации досуга детей, подростков и юношества. Библиотека активно сотрудничает с муниципальными бюджетными образовательными учреждениями, детскими садами микрорайона, Молодежными организациями Городского округа Балашиха, Советом ветеранов Северного округа БРООВ, с Балашихинским Клубом поэтов «НОВАЯ Лира» (руководитель Давид Тасалов). В библиотеке реализуются проекты для детей, подростков и юношества: «Память», «Россия обновленная: здоровый образ жизни», литературная гостиная «России верные сыны». В библиотеке работает музейная экспозиция «Сам я – вятский уроженец», посвященная русскому писателю В.Н. Крупину. С 2017 года открыта историко-краеведческая музейная экспозиция «Город над тихой Пехоркой».",Балашиха,2015-03-18T08:35:17Z,2023-03-15T11:59:59Z,,,12:00:00,21:00:00,12:00:00,21:00:00,12:00:00,21:00:00,12:00:00,21:00:00,12:00:00,20:00:00,12:00:00,20:00:00
Библиотека семейного чтения г. Железногорска,"обл Курская,г Железногорск,ул Обогатителей,д 4/3",35.362298,52.346598,"Библиотека семейного чтения начала действовать в Железногорске с 1988 года, она являлась образцом библиотеки так называемого нового типа. На момент открытия стала первой и единственной в области специализированной «семейной» библиотекой для всех категорий пользователей. Фонд отвечает ее общесемейной направленности. Библиотека принимает до 4 тысяч читателей в год.Информационные ресурсы библиотеки:универсальный фонд – более 21 тысячи экземпляров книжных и периодических изданий, аудио– и видеодокументов;справочно-библиографический аппарат – каталоги (алфавитный, систематический) и картотеки (систематическая картотека статей, краеведческая картотека, литературоведческая картотека, картотека стихов, загадок и пословиц);электронные справочно-библиографические базы данных («Аналитическая роспись статей Библиотеки семейного чтения», «Периодика Библиотеки семейного чтения»);безлимитный интернет и Wi-Fi.",Железногорск,2018-01-25T08:43:43Z,2023-02-21T14:21:29Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,11:00:00,18:00:00,,
Пилюгинская модельная сельская библиотека,"обл Оренбургская,р-н Бугурусланский,с Пилюгино,ул Чапаевская,д 52",52.409223,53.40537,"Пилюгинская сельская библиотека была создана в 1945 году. В 2010 году ей был присвоен статус модельной. Фонд библиотеки насчитывает 14 688 экземпляров книг по всем отраслям знаний. Количество читателей – 950 человек, они обслуживаются на площади в 90 кв. м. В библиотеке реализуются программы «Пусть помнят и знают потомки» и «С компьютером на «ты». С 2011 года при учреждении работает клуб экологии «Друзья природы» (20 участников). Для привлечения детей в библиотеку разработана программа «Мир детской книги», согласно которой работает детский клуб по интересам «Лукоморье». Участниками клуба являются 28 детей от 7 до 12 лет. Особое внимание уделяется работе с лицами с ограниченными возможностями здоровья. При подготовке всех мероприятий в библиотеке учитывается возможность участия в них этой категории граждан. Сотрудники библиотеки оказывают помощь нуждающимся в подборе литературы и получении информации.",Бугурусланский район,2022-11-15T09:06:29Z,2023-06-20T14:37:43Z,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,
