country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Hungary,1950,2847,SZEMELY,129,157,165,46.008,18.326,129 bronze coins (1 provincial) unknown denomination: Vespasian - Antoninus Pius (AD 157-158),NA,II century
Germany,1929,17009,KASTELL SAALBURG 1929,8,161,161,50.27146,8.56672,"A roll of eight corroded and partly worn AE coins (Trajan to Lucius Verus), found within the group of furnaces north of the west gate (inside the Roman fort), in front of the furnace 5",NA,II century
Italy,1914,18810,MARZAMEMI,24,178,183,36.742,15.118,24 sestertii found with a ceramic vessel: Claudius I to Commodus (AD 180-183).,"Museum of Siracusa, Italy (inv.nos. 34791-34815, casette 195)",II century
Germany,1979,17279,SÜDEROOG (HALLIG),4,148,149,54.4638,8.5533,"Four Roman bronze coins, excavated in shell sand north of the island Süderoog. The find depth was approximately 6 m.",NA,II century
Armenia,1955,17473,GAṘNI [ԳԱՌՆԻ] 1955,48,185,191,40.1195,44.723,"A hoard of 48 denarii, ranging from Vespasian to Commodus, discovered in the fortress of Gaṙni in 1955.",History Museum of Armenia,II century
Italy,1988,17460,TINDARI,13,166,166,38.1421,15.0444,"13 bronze coins: 9 sestertii, 4 asses: Domitian - Marcus Aurelius Aurelius (AD 166).","Antiquarium, Villa Romana di Patti",II century
"England, United Kingdom",1910,1662,OLLERTON,427,180,180,53.178264,-1.0438701,"A hoard of 427 silver coins (426 denarii and one Lycian drachm), of which the first lot was found in 1910 in a clay pot, while ploughing a field. It comprised 367 Roman denarii (Nero to Commodus), one Lycian drachm of Trajan and one contemporary cast forgery, also from Trajan. A further lot of 50 denarii (Mark Antony – Commodus) was found between April and December 1988 by members of the Chesterfield Metal Detector Club, in the vicinity of the first lot and can be regarded as a further portion of the same find. A further 8 denarii (Vitellius - Antoninus Pius) were found with the aid of metal detectors in November 2012.",Doncaster Museum (part); Newark Museum (part); British Museum (part),II century
France,1842,5776,DAMVILLE,5,162,163,48.87,1.073,"The hoard was found in a heap of stones without any obvious container and comprised 'some Roman gold coins. There is some debate over the number of coins found. According to Chassant, there were 5, but Leclerc de Pulligny suggests there was 'a multitude'. Pulligny also mentions a coin of Lucius Verus, but this is not recorded amongst the coins examined by Chassant. Found in a pile of stones with no obvious container.",Miard,II century
Belgium,1844,8303,WULVERGEM,270,180,192,50.76,2.852,"270 coins. Only 10 sestertii are known: Trajan, - Commodus (AD 180-192).","Collection vicar Verstraete, Kortrijk, Belgium (c. 155 coins), in 1846; collection .C. Lefèvre,Brugge, Belgium (10 coins), in 1846",II century
France,1953,6354,SAINT-JUST,151,189,189,44.2798,4.615,"The coins were found in a block, stuck together with corrosion products and comprised 151 sestertii, dupondii and asses from Trajan to Commodus. The coins were found during gravel extraction in the river and may represent a hoard washed out from a riverbank or a votive deposit.",NA,II century
Poland,2009,13511,SŁOCHY ANNOPOLSKIE,53,134,138,52.394772,22.834857,"Around 70-80 denarii, 53 were recovered: Republic - Hadrian (AD 117-138).",NA,II century
Poland,1877,13448,KALISZ - SURROUNDINGS,2000,190,190,51.7625,18.089722,"Around 2,000 denarii found on the surface after the river outflow. Only 8 denarii were known: Trajan 2, Hadrian 1, Faustina I 3, Commodus 2.",Lost,II century
France,1983,7077,CHÂTEAUBLEAU SANCTUARY,6,153,153,48.5922,3.1091,The deposit was found under a second century occupation layer in the central part of the Gallo-Roman spring sanctuary and comprised 4 sestertii from Trajan to Antoninus Pius and two asses of Antoninus Pius with a tpq of AD 153 to 154.,NA,II century
