id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
6498,2016-06-14T09:45:20Z,Автор: Аноним (художник)    Период оригинала: 16 век ?; 17 век ?; 18 век ?,ОТТИСК,,22.5,17,,,"Размеры: В. 22.5, Ш. 17 (доска, лист)    Ссылка на каталоги / инвентари: В источнике не указаны названия, период, автор, школа, сюжеты и т.д.  Состояние: после реставрации (?)",254
7217,2016-06-14T09:45:24Z,Святая Троица (название изначальное); Отечество  (название употребляемое); Новозаветная Троица (название придуманное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?    Период оригинала: 16 век,ИКОНА,,30,24,,,"Стиль: С басмой ?/ С окладом/ризой ?: Серебро    Размеры: В. 30, Ш. 24 (в окладе ?) / В. 24, Ш. 30 (в окладе ?)",2496
4580,2016-06-14T09:44:59Z,Богоматерь Троеручица (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,28,30,,,"Стиль: Дерево поделочное    Размеры: В. 28, Ш. 30 (доска) / В. 30, Ш. 28 (доска)",2496
1095,2016-06-14T09:44:31Z,"Старый католический монах с рюмкой в руке (название последнее); Монах , пьяница (название придуманное)    Автор: Аноним (художник)    Школа / Место издания: Западная Европа",ЖИВОПИСЬ,,35,42,,,"Размеры: В. 35, Ш. 42 (без обрамления)",2320
987,2016-06-14T09:44:29Z,Николай Чудотворец(название употребляемое); Святой Николай Чудотворец (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: середина 19 век,ИКОНА,,31,25.5,,,"Стиль: Синий: голубой ? фон, переплет книги, гиматий на Христе;  Красный: одеяние Николая, хитон Христа, мафорий Богородицы; Зеленый: омофор на Николае.    Размеры: В. 31, Ш. 25.5 (доска)    Характер подписи: СВТ. ХРТОВ НIКОЛАЙ ЧYДОТВОРЕЦ (с титлами, по кругу над  нимбом)    Ссылка на каталоги / инвентари: Состояние: на лицевой стороне утраты живописи; на нимбе в центральной части 5 удлиненных пятен от утраченной живописи и множественные утраты в левом нижнем углу, пятно на запястье, ряд пятен по нижнему краю иконы.",2496
3622,2016-06-14T09:44:54Z,Святой Николай Чудотворец (название изначальное); Николай Угодник (название старое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия,ИКОНА,,20,25,,,"Стиль: Другое: роспись (?)    Размеры: В. 20, Ш. 25 (приблизительно) / В. 25, Ш. 20 (приблизительно)",2496
8490,2016-06-14T09:45:43Z,"Антиминс. Подписан Устином, епископом Пермским и Екатеринбургским.    Автор: ? (гравер)    Школа / Место издания: Россия    Период оригинала: 19 век, 1 четверть; Дата: 1806 г.",ОТТИСК,,57.5,55.5,,,"Размеры: В. 55,5; Дл. 57,5    Ссылка на каталоги / инвентари: Из старых поступлений",254
1341,2016-06-14T09:44:36Z,"Плач Ярославны (название изначальное)    Автор: Буторин Александр Николаевич (художник) ?; Буторин Дмитрий Николаевич (художник)?; Буторин Станислав Александрович (художник) ?    Школа / Место издания: Россия, Палех    Художественно-производственные мастерские Палехского отделения Худфонда РСФСР    Период оригинала: 20 век",ЖИВОПИСЬ,,15,10,,,"Размеры: В. 15, Ш. 10 (крышка ?) /  В. 10, Ш. 15 (крышка ?)    Характер подписи: 142 ?",2320
1090,2016-06-14T09:44:30Z,"Спаситель (название старое); Спас (название употребляемое); Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 2 половина 19 век",ИКОНА,,31,26,,,"Стиль: Золочение, Золотистый: фон; поля; Резьба: гравировка по левкасу ? (орнамент на полях и фоне ?)    Размеры: В. 31, Ш. 26 (доска)    Характер подписи: ? (книга, см. фото)    Ссылка на каталоги / инвентари: Опись/Саратов: № 130",2496
130,2016-06-14T09:44:15Z,Минин (название старое); Козьма Минин (название изначальное)    Автор: Русанов ? (художник) ?; Русанов Александр Андреевич (художник) ?; Русинов ? (художник) ?    Школа / Место издания: Россия    Период оригинала: 2 половина 19 век ?,ЖИВОПИСЬ,,48,78,,,"Размеры: В. 48, Ш. 78 (приблизительно) / В. 48, Ш. 73 (без обрамления ?) / В. 52, Ш. 82 (без обрамления ?)    Ссылка на каталоги / инвентари: ЧИХМ: № 111    Ссылка на каталоги / инвентари: Состояние: повреждена в годы ВОВ, после реставрации на месте (1961).  Последние размеры из ЧГК, Отчета , см. Источники.",2320
9345,2016-06-14T09:45:39Z,Улица Парижа    Автор: Щербинойский Дмитрий Анфимович,ЖИВОПИСЬ,,,32,,,"Размеры: B. 43,5, Ш. 32    Инвентарный номер: Инв. №86. Инв. №801 и №1250 по ИК ВКМ",2320
7312,2016-06-14T09:45:28Z,Уголок двора на улице Таранченко (название изначальное)    Автор: Васильев Аркадий Павлович    Школа / Место издания: Россия    Период оригинала: 3 четверть 20 век,ЖИВОПИСЬ,,31,20,,,"Размеры: В. 31, Ш. 20 (без обрамления)    Ссылка на каталоги / инвентари: В источнике нет сведений о наличии подписи / надписи.  Из источника: на переднем плане старый деревянный дом, ворота, вид дворика; справа силуэт храмовой части Никольской церкви; по центру в верхней части - белое облако",2320
8618,2016-06-14T09:45:45Z,Портрет Куликовского-Пожанова    Автор: Неизвестный художник XIX века,ЖИВОПИСЬ,,,35,,,"Размеры: B. 45, Ш. 35",2320
