creators,title,description,geoContext,minDate,maxDate,latitude,longitude
A.S. Esmonde Cleary,Wycomb,"An ancient place, cited: BAtlas 8 F3 Wycomb",Wycomb,-30,640,51.884537,-1.931548
E. Bertrand,Rouession,"An ancient place, cited: BAtlas 17 B3 Rouession",St-Paulien,-330,640,45.134811,3.81242
P.O. Spann,Tugia,"An ancient place, cited: BAtlas 27 B4 Tugia",Toya (Peal del Becerro),-550,640,37.877689,-3.152365
R. Müller Wollermann,Hwt-nsw,"An ancient place, cited: BAtlas 75 D3 Hwt-nsw",el-Kom el-Ahmar/Sharuna,-330,640,28.594029,30.851566
J.S. Traill,"Artemis, T.","An ancient place, cited: BAtlas 59 D3 Artemis, T.",Halai Araphenides,-750,640,37.979325,24.007747
"J. Fossey, J. Morin",Aigai,"An ancient place, cited: BAtlas 55 F3 Aigai","Politika Kafkala (contra Bakhuizen 1985, 125-27, 134)",-750,640,38.598185,23.552631
R. Müller Wollermann,Kerkethoeris?,"An ancient place, cited: BAtlas 75 D2 Kerkethoeris?",Kom el-Khamsin,-330,640,29.099726,30.650186
"C. Foss, G. Reger",Minoa,"An ancient settlement on the Aegean island of Amorgos, located on a hill now known as Moundouliá, which is a short distance south-southwest of modern Katapola.",on Amorgos GRE,-750,640,36.8215075082,25.8613797921
E.W. Haley,A Lanzada,"An ancient place, cited: BAtlas 24 C2 A Lanzada","A Lanzada, hilltop settlement; Sanxenxo",-330,640,42.429021,-8.872273
R. Müller Wollermann,Sophthis,"An ancient place, cited: BAtlas 75 E2 Sophthis",Saft Meidum,-330,2100,29.391404,31.159341
C. Foss,Kyptasia,"An ancient place, cited: BAtlas 86 F2 Kyptasia",near Eren Boğazı,-30,640,41.92842,35.068707
H. Bender,Anaunion,"An ancient place, cited: BAtlas 19 D3 Anaunion",Nanno ITL,-30,640,46.315249,11.04805
H. Bender,Bilitio,"Bilitio (modern Bellinzona, Switzerland) is an ancient settlement in proximity to both the Po and Ticino rivers. A Roman settlement was established there during the Augustan period.",Bellinzona SWI,-30,640,46.193329,9.018035
"A. Hausleiter, M. Roaf, St J. Simpson, R. Wenke",KS920,"An ancient place, cited: BAtlas 93 E1 KS920",KS920,-30,640,32.099519,48.623275
T. Drew Bear,Araukome,"An ancient place, cited: BAtlas 62 D3 Araukome",Eymir?,300,640,39.154577,30.040127
J.J. Wilkes,Slupčane,"An ancient place, cited: BAtlas 49 D1 Slupčane","Slupčane, settlement and mine MAC",-30,640,42.173924,21.628883
