language,glottocode,latitude,longitude,value
Aneityum,anei1239,-20.1864,169.825,absent
Betawi,beta1252,-6.21174,107.022,absent
Batak Toba,bata1289,2.35498,99.1761,absent
Mandarin Chinese,mand1415,40.0209,116.228,absent
Bezhta,bezh1248,42.1206,46.0332,absent
Siroi,siro1249,-5.52893,145.994,absent
Ngombe (Democratic Republic of Congo),ngom1268,1.45357,20.14148,absent
Pangwa,pang1287,-9.96782,34.8039,absent
East Ambae,east2443,-15.3523,167.89,absent
Fur,furr1244,12.0455,23.6401,absent
Northern Khmer,nort2684,14.4674,103.863,absent
Miami,miam1252,40,-90,absent
Botolan Sambal,boto1242,15.2315,120.164,absent
Alorese,alor1247,-8.20382,124.264,absent
Mara Chin,mara1382,22.1138,93.0387,absent
Rengao,reng1252,14.456,107.9459,absent
Jur Modo,jurm1239,6.03321,29.974,absent
Buru (Indonesia),buru1303,-3.43957,126.632,absent
Modern Iñapari,inap1243,-12.4653,-69.3083,absent
Yandruwandha,yand1253,-28.4744,140.583,absent
Kokata,koka1244,-29.94,135.55,absent
Lele (Papua New Guinea),lele1270,-2.04783,147.207,absent
Hamer-Banna,hame1242,5.06515,36.5176,absent
Imonda,imon1245,-3.31228,141.171,absent
Ksingmul,puoc1238,20.8862,103.931,absent
Arapaho,arap1274,43.3879,-108.81,absent
Kasaba,nort2701,12.70645,79.95209,absent
Mak (China),makc1235,25.5946,107.726,absent
Central Cagayan Agta,cent2084,17.9571,121.857,absent
Kuku-Uwanh,kuku1280,-14.0756,141.724,absent
Thavung,aheu1239,17.7655,104.229,absent
Pendau,pend1242,-0.11396,119.862,absent
Hyam,hyam1245,9.57832,7.95163,absent
Ngarnawu,ngar1285,-15.700055,127.452018,absent
Chukchi,chuk1273,68.6436,170.045,absent
Golin,goli1247,-6.2249,144.8505,absent
Amahuaca,amah1246,-10.2012,-72.3208,absent
Central Gelao-Qau,qaua1234,26.155438,106.16455,absent
Hinuq,hinu1240,42.4502,45.8064,absent
Pangutaran Sama,pang1291,6.27167,120.536,absent
Maru,maru1249,24.942535,99.8338,absent
Sauria Paharia,saur1249,24.8124,87.6432,absent
Ila,ilaa1246,-15.60807,26.45548,absent
Gurung,guru1261,27.41687,86.28988,absent
Akkadian,akka1240,33.1,44.1,absent
Kaike,kaik1246,28.853,83.1384,absent
Asoa,asoa1238,2.26818,26.7198,absent
Mabaale,maba1270,2.11942,20.8759,absent
Nsenga,nsen1242,-15.3946,31.3544,absent
Southern Ghale,sout2715,28.106,84.8511,absent
Ambulas,ambu1247,-3.7801,143.059,absent
Rumai Palaung,ruma1248,23.6404,97.3172,absent
Eastern Penan,east2485,4.5915,114.584,absent
Puluwatese,pulu1242,7.35695,149.2005,absent
Kuot,kuot1243,-3.06952,151.537,absent
Ngarinyin,ngar1284,-16.4006,126.433,absent
Taushiro,taus1253,-3.22497,-75.5603,absent
Yindjibarndi,yind1247,-21.5379,117.001,absent
Thulung,thul1246,27.5389,87.6063,absent
Old Khmer,oldk1249,13.4125,103.866667,absent
Thayore,thay1249,-14.8159,142.034,absent
Akha,akha1245,21.2309,100.964,absent
Western Canadian Inuktitut,west2618,64.3486,-96.148,absent
Khwarshi-Inkhoqwari,khva1239,42.2743,45.9977,absent
Sakha,yaku1245,61.6974,133.98,absent
Achagua,acha1250,4.38649,-72.2005,absent
Sie,siee1239,-18.8181,169.166,absent
