country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
Egypt,1980,19284,KOM EL-DUWANI,105,383,395,28.222112,30.649428,"Found by residents of Bahriya at the Roman settlement of Kom el-Duwani, 1 km west of the village of el-Qamadir. The hoard consisted of 105 late Roman coins (AE 4), 102 of which were illegible.",NA
Romania,2023,20556,GÂRCINA 2023 B,408,117,138,46.975697796636,26.342532583518,408 denari found by metal detecting: Nero - Hadrian. No further detail.,NA
Israel,1961,7605,DOMINUS FLEVIT,16,70,71,31.777984364297,35.241898857002,"The hoard comprised 16 silver coins from the First Jewish Revolt (AD 66-72) and was found close to a ceramic oil lamp which may have acted as a marker for the hoard. The hoard contained 10 shekels of the First Jewish Revolt: 3 Year 1, 3 Year 2, 3 Year 3, and 1 Year 5; 1 half-shekel of Year 1, 3 half-shekels of Year 2; 1 Tyrian Shekel (AD 52/3); 1 Antiochene tetradrachm.",NA
Romania,1976,16449,SPRÂNCENATA,18,-16,-16,44.057934,24.641722,18 denarii found together during the archaeological excavations at the Dacian fortress: Republic – Augustus (16 BC).,NA
UK,2009,2456,FILEY AREA II,22,395,402,54.159669,-0.36284507,"21 siliquae and 1 nummus, up to Honorius, AD 402.",Unknown
Netherlands,1889,9905,GRONINGEN 1889,8,187,188,53.232,6.563,8 sestertii: Antoninus Pius - Commodus (AD 191-192).,Groninger Museum (GRM find X) 1964/XII-63/1-7 en 63a (no. 7)
UK,1800,33,PODINGTON WOLD,15,253,268,52.248161,-0.6245473,"15 coins in a pot, found on Podington Wold in the early 19th century, including coins of Gallienus (AD 253-268) and Philippus Augustus (AD 244-249), a st1 described as of circular form with a hole for a winch, which sounds like a rotary quern, and fragments of pottery.",NA
Israel,1973,7708,MIGDAL,188,218,222,32.8257,35.5136,The hoard comprised 188 bronze coins from a variety of provincial mints in the Levant.,Israel Antiquities Authority (IAA 10481-10518; 23993; 10519-10668)
Egypt,1967,4455,NORTH SAQQARA,11,395,408,29.85,31.216667,"A hoard of 11 solidi (Constantius II to Arcadius) found in North Saqqarah, in a cache under a wall of 1 of the Christian houses north of the sanctuary.",NA
Poland,1926,13529,TUREK - SURROUNDINGS,600,180,192,52.017532,18.494011,Around 600 denarii of which only 17 provide information on issuers: Vespasian - Commodus (AD 180-192).,"Archaeological Museum, Łodz, Poland (3 coins)"
Greece,1968,6852,AMPHIPOLIS 1968,3,244,249,40.82442,23.84618,"A hoard of 3 provincial coins, found in a grave in Amphipolis.",Kavala museum
UK,2010,1089,LYMINGE,28,-90,-90,51.118931,1.0707071,27 Kentish potin and 1 Roman Republican denarius of C. Vibius Pansa (RRC 342). The Republican denarius is later in date than the potins.,Returned to finder
France,1851,6240,AUBENTON,371,80,81,49.837,4.205,The hoard comprised 371 denarii from the Republic to Domitian dating to AD 80-81. The Republican denarii are identified to 57 'families' but cannot be given RRC equivalents.,NA
France,1992,5464,MONTANS 1992,40,41,42,43.86,1.88,40 aurei found in a ceramic atramentarium (inkpot): Augustus - Claudius I (AD 41-42).,NA
Italy,1973,13867,STINTINO,231,-9,-9,40.960366,8.226845,231 denarii - republican and imperial issues - found witha an amphora at the a depth of 8m in the sea: Republic - Augustus (9 BC). In the same amphora was found a brooch spring.,"Museo Nazionale ""G.A. Sanna"", Sassari, Italy"
Egypt,1900,7860,TELL UMM EL-BREIGAT A81,2,218,222,29.107,30.762,"2 coins: 1 Alexandrian bronze of Vespasian, 1 provincial bronze of Elagabalus found together with 6 lead tokens (produced in Memphis) during excavations.","Museum of Anthropology of the University of California, Berkeley, USA (1935)"
Italy,1986,17456,NAXOS-B,8,337,361,37.8253,15.2666,"8 bronze coins, range: Carus - Constantinus' successors. Findspot is a Greek sanctuary. Possible, multiple votive offerings.",Museo Arch. di Naxos
Belgium,1970,8518,PLOEGSTEERT,40,260,269,50.727,2.881,"ca. 40 coins in a leather purse, but only 5 coins are identified: Septimius Severus (1), Postumus (4).",NA
France,1867,8722,ANNECY 1867,4127,270,275,45.907,6.123,4127 antoniniani: Valerian I - Aurelian (AD 270-275); silver w8: c. 1261.0-5249.0 g,"Musée d'Annecy, France; inv.no. 3477 (3828 coins); 400 coins dispersed"
Belgium,1840,8345,JAMBES,15,306,361,50.456,4.872,15 nummi: House of Constantine I (AD 306-361).,NA
Tunisia,1938,5380,SOUSSE 1938-1940,601,260,268,35.8245,10.6368,601 silver coins found in a ceramic vessel: Septimius Severus - Gallienus (sole) (AD 260-268).,NA
UK,2005,15265,ORFORD,9,20,50,52.078734,1.4865307,"A hoard of Iron Age silver units dispersed in a field and discovered over a period of years. The latest addenda are not listed in de Jersey, but included here.",Orford Museum
Italy,1995,15056,TENUTA DI LUNGHEZZINA,92,14,37,41.9181,12.6757,"92 coins: 2 gold and 90 silver 1s: republican period: 1 victoriatus, 64 denarii, 3 denarii serrati, 11 quinarii; imperial period: 1 aureus, 1 gold quinarius, 10 denarii, 1 quinarius: Republic - Tiberius (AD 14-37).","Museo Nazionale Romano in Palazzo Massimo alle Terme, Rome, Italy (inv.nos. 428195-428281)"
Italy,1876,12029,LA VENERA,45873,286,293,45.181,11.181,"The hoard originally comprised 50.591 antoniniani: Gordianus III - Maximian I ( AD 293). Almost the whole hoard was acquired and now 45.873 coins are kept in the Museo di Castelvecchio, Verona. This find is ex10sively published. 168 kilos.","Verona, Museo di Castelvecchio, 45873 coins; otherwise dispersed"
France,1856,7242,THERDONNE,62,269,271,49.42,2.153,"The hoard comprised 200 Roman coins, of which 62 were acquired by the Musée de Beauvais including antoniniani (radiates) from Valerian I to Victorinus.",Musée de Beauvais
Spain,1950,4812,GRANDAS DE SALIME,23,270,275,43.21749241107,-6.878857752054,Unknown originally number of coins fund with a ceramic vessel. 23 antoniniani (radiates) were studied: Trebonianus Gallus - Quintillus for Claudius II (Divus).,NA
UK,1983,848,WINCHESTER 1983,52,347,348,51.058737,-1.3878158,The hoard was found with a metal detector in 1983 'along the Sarum Road'. The 52 coins were all minted between 330 and 348.,NA
France,1881,12988,LANTIC 1881,39,271,274,48.606,-2.882,39 antoniniani (radiates): Gallienus - Tetricus I (AD 271-274). Most likely it is part of the hoard PLOURHAN 1881 (Plourhan II).,"Collection P. du Chatellier; Musée de Bretagne, Rennes, France (inv.no. MAN 80316, 39 coins)"
France,1908,12393,BOURGES 1908,20,-27,14,47.0884,2.393,The hoard was found during gallery constructions. It comprised c. 20 denarii from Augustus.,NA
Spain,1972,17673,HERRÁN,12,341,346,42.823458368403,-3.2292287276663,12 nummi found in the Roman villa. Unknown whether they were found together: House of Constantine I (AD 341-346).,NA
Germany,1971,18668,HAUS MEER,8,303,305,51.2665,6.6755,"Among the object found during the excavations at Haus Meer, were 9 nummi (AD 302-305) that probably belonged to a hoard.",NA
France,1836,5835,AIGNÉ,900,222,231,48.076,0.116,"The hoard was found in a barrel or box and comprised approximately 900 bronze coins arranged in stacks. The first account of the hoard gives the hoard as ranging from Domitian to Commodus, with coins of Hadrian and the Anto9s (with the exception of Commodus) being particularly numerous. A catalogue of 36 of the sestertii was created. In 1843 or 1844, it was noted that there were also 2 later coins in the hoard. The hoard was dispersed immediately amongst collectors, with a small number of worn coins kept by the finder. The Musée du Mans acquired some coins (which are now mixed in with the La Quinte hoard).",Musée du Mans (coins are now mixed in with the La Quinte hoard)
Italy,1935,6929,ROME 1935 - HOTEL ZARA,254,-18,-18,41.900934951035,12.492720471659,The hoard comprised 254 denarii (10 serrati) from the Republic to Augustus (18 BC).,NA
France,1942,3835,NOYERS-SUR-SEREIN,437,260,269,47.695862,3.994059,"A hoard 437 coins (?), composed of 1 denarius (Maximinus) and 436 antoniniani (325: Julia Domna - Gallienus; 111: Gallic empire) to AD 263, found in excavations conducted by the curé M. Duchâtel in Noyers. Note that the catalogue only lists 324 antonininiani for the period Julia Domna - Gallienus and 109 for the Gallic Empire (i.e. 434 coins in total, and not 437).",Cabinet des Médailles
Georgia,2018,20923,GONIO 2018,14,222,235,41.573252885,41.5737199881,"A hoard of 14 coins, found in sector SO-XIII, in the area of the vicus surrounding the Roman fort of Apsaros. The coins were 8 silver coins of Caesarea in Cappadocia (Hadrian to Caracalla) and 6 bronzes from Trapezus (Marcus Aurelius to Alexander Severus). All coins were burnt.",NA
Bulgaria,1977,10321,KREPCHEA 1977,9,222,235,43.4822,26.1341,Uknown number of denarii and antoniniani found in a ceramic vessel. 9 denarii are kept in the museum collection in Popovo: Marcus Aurelius - Severus Alexander (AD 222-235).,"History Museum, Popovo, Bulgaria; inv.no. 436"
Portugal,1990,17678,QUINTA DE VILAR D’ALLEN,9,348,361,41.14339827746,-8.5723761353721,"Hoard of a large number of nummi. Only 9 pieces were recovered, all from the time of Constantine I.",Family of Mr. Alfredo Ayres Gouvêa Allen
Romania,1955,16353,CIORĂȘTI,467,218,222,44.956938,24.160064,Few hundreds silver coins. 467 silver coins were reovered: Nero – Elagabalus (AD 218-222). No further details.,"Bruckenthal Museum, Sibiu (420 coins); National History Museum, Bucharest (47 coins)"
Austria,1904,13194,CARNUNTUM 1904,10,1,100,48.113,16.865,"10 coins of unknown denomination and issuer found on the road to Hainburg. Apparently, they were minted in the 1st century AD.",Lost
Greece,1976,6754,KALLION,14,249,260,38.553,22.171,"The hoard comprised 14 sestertii from Antoninus Pius to Trajan Decius. The hoard was found in the north eastern corner of the Big Northern Room of a Roman building situated near the southern part of the wall in the eastern part of the lower city. It has been interpreted as an 'Emergency Hoard' with a Tpq of AD 249 (?) [RIC IV 107a]. Judging from the wear of the coins, it was desposited soon after the middle of the third century AD.",NA
UK,1966,14602,NURSLING AND ROWNHAMS,5,271,274,50.933392,-1.5033064,"5 radiates ""of Tetricus"" found near the surface by a digger driver during gravel extraction at the site of the now destroyed supposed Iron Age hillfort known as ""The Walls"" in Nursling.",NA
Egypt,1900,7942,ALEXANDRIA A123,359,293,293,31.2,29.919,"359 billon coins. Acquired by J.P. 6 together with another 2 (?) hoards, consisting in Ptolemaic bronze coins and 178 Roman folles respectively.",NA
Germany,1930,17104,BORKEN,19,330,335,51.847319,6.858849,The coins were discovered around 1930/35. The circumstances of the find cannot be further ascertained. Nearly all of the specimens are of excellent preservation.,NA
France,1978,7254,ORROUY,12,12,14,49.3042,2.8549,"During the excavations of the shrine or fanum, 4 Iron Age coins (including 1 GERMANVS INDVTILLI L and 1 ROVECA) and 8 bronze of Tiberius (Caesar) depicting the altar of Lyon were recovered. There is some debate about whether these coins represent a hoard or a votive deposit.",NA
Spain,1901,4757,LUGO 1901,4,193,211,43.01,-7.556,"4 aurei: Vespasian, Antoninus for Faustina I/Diva Faustina I, Marcus Aurelius, Septimius Severus. No detailed information.",NA
Ukraine,2013,20750,TARASCHA,3,260,268,49.5580720524,30.4905213471,3 aurei of Gallienus (AD 260-268). 2 of the coins are soldered. Traces of fire,Private collection
Spain,1976,17853,TORRECAÑOS,1450,404,408,38.9714,-6.1541,"1450 coins - possibly found with a ceramic vessel: 1 bronze Iberic, 1 as, 1 solidus, 8 antoniniani (radiates), 1440 nummi: 2nd c. BC - Honorius (AD 404-408). Together was found a golden ring.","Museo Nacional de Arte Romano, Mérida, Spain"
UK,1982,15173,GREAT BADDOW,4,-80,-60,51.726335,0.48899386,"A possible scattered hoard of a Clacton type stater and quarter staters, found in the early 1980s. No further information available.",NA
Israel,1980,7909,AKKO-PTOLEMAIS 1980,64,161,169,32.933,35.083,The hoard comprised 35 aurei (Nero-Lucius Verus) and 29 silver coins (Nero-Trajan).,NA
Serbia,1912,4531,TITEL,4,408,420,45.204,20.297,"4 solidi: Valentinian I, Gratian, Arcadius, Theodosius II (AD 408-420); Gold w8: 17.8g;",NA
UK,1839,15237,MARCH I,46,20,50,52.543602,0.077784335,"6 Iron Age silver units, dug up at March, in Cambridgeshire, with about '40 other 1s'.",NA
Germany,1972,16877,TRIER FLEISCHSTRASSE 1972,3595,270,280,49.756100000000004,6.6397,"The coins were found in the area of Fleischstraße 68-76 during excavation works for the construction of a store. They lay in a ceramic container (an amphora, according to some sources). Large parts of the hoard came in private possession and its full ex10t is unknown. FMRD gives 3 lists, totalling 3595 coins (all antoniniani, ranging from to ): 1) Part 1 (3351 coins; FMRD 30622) 2) Part 2 (Private coll.; 25 coins; FMRD 30623) 3) Part 3 (218 coins seen by K. Cibis, only a list of emperors is available; FMRD 30624) 4) Part 4 (Private coll., 1 coins; FMRD 30625)",NA
UK,1833,1623,VINDOLANDA 1833,300,350,361,54.988055,-2.3609676,"300 small brass coins, mostly of Constantius and Magnentius, but a few of Constantine II and Constans were found dispersed among the soil, evidently after the cordon st1s of the tower had fallen from its top.",NA
Sweden,1871,15622,HAGESTADBORG,600,193,211,55.407335,14.135027,"Circa 600 denarii, information provided on 540: Nero - Septimius Severus (AD 193-211).","Swedish History Museum, Stockholm (inv.no. 4521); Lunds Universitets Historiska Museum, Lund (inv.no. 27544 - 3 coins), Sweden"
France,1976,5741,BOIS L'ABBÉ 1976 6,36,-100,0,50.0213,1.4625,The hoard comprised 35 Iron Age coins and 1 obol from Massalia. It was characterised as being 1 of 16 individual votive deposits found at the site of an important Gallo-Roman sanctuary during excavations. Inventory No: 76.062,NA
France,1865,5903,FREIGNÉ,100,244,249,47.548,-1.124,"The hoard comprised a ceramic vessel containing 100 'base silver denarii' [probably radiates]. The majority of the coins date to the period of Gordian and the Philips. According to TAF, it is possible that the closing date for the hoard is much later - Valerian I or Postumus?",NA
France,1850,5825,ÉTRÉVILLE,2,-100,0,49.371,0.65,The coins were in the old collections of Leroy de la Brière and E. Lambert.,NA
France,1874,5777,DARDEZ,166,260,269,49.082,1.21,166 sestertii: Nerva - Postumus (AD 260-269).,NA
Spain,2017,17565,CORTALAGO,116,140,143,37.701548064067,-6.6026305339501,116 coins - 3 aurei and 113 denarii - found together during the archaeological excavations,"Museo Minero de Riotinto, Spain"
France,1920,8742,THUSY,7,294,305,45.941,5.94,"7 coins of the first tetrarchs: 4 antoniniani (radiates), 3 nummi (AD 294-305).",NA
Bulgaria,1959,3166,BOLYARTSI,391,248,249,42.065,24.954,"391 silver coins: 287 denarii from Vespasian to Gordian III; 101 antoniniani from Gordian III to Philip I; 3 bronze coins: 1 sestertius, 1 provincial, 1 unidentified (AD 244-249); silver w8: 437.2-913.2 g.","Museum of History, Asenovgrad, Bulgaria"
"Russia, Ukraine",1976,18378,ILURAT,66,242,267,45.285390916276,36.292232283409,"Hoard of 66 bronze staters of the Bosporan king, Rhescuporis V (AD 242-267).",NA
Spain,1995,12930,ASTURICA AUGUSTA,28,14,37,42.455,-6.053,28 denarii found in the wall of the ”Domus of denarii”: Mark Antony - Tiberius (AD 14-37).,NA
Ukraine,1907,18301,KIREYEVKA,6,161,180,51.603943197666,32.584704442084,"Hoard of few kilos of denarii. Only 6 coins are known: Hadrian, Antoninus Pius 4, Lucilla.","Local museum, Sosnitski, Ukraine (inv.no. 1447-1452)."
Luxembourg,1978,12834,DALHEIM-RICCIACUS 1978,3,260,274,49.543,6.259,3 coins found on surface 1 next to the other (AD 260-274).,NA
"Russia, Ukraine",1964,18373,KERCH 1964,80,232,254,45.357,36.468,Hoard of 80 coins of Bosporan kings (AD 232-254). 1 denarius of Severus Alexander among the coins.,NA
Germany,1900,20557,NIEDERBIEBER 1900 B,389,257,259,50.467712323519,7.472183558613,"Within lumps, the coins were arranged in stacks shifted sideways, 389 silver coins - denarii and antoniniani (radiates). All coins were covered with a light green patina. There are 88 denarii: Clodius Albius to Gordian III and 301 antoniniani (radiates): Macrinus Valerian I and Gallienus).",NA
Israel,1995,7677,LOD,2755,351,355,31.951,34.888,The hoard comprised 2755 bronze coins dated between AD 348 and AD 355.,Israel Antiquities Authority (IAA 88663-88939; 92890-92977; 92752-94570)
UK,1979,46,AYLESBURY 1979,2,383,388,51.819052,-0.85527933,"2 gold solidi were found during construction work in October 1979 in a bank of soil protecting a new housing estate at Haydon Hill, Aylesbury. They were found about 1 metre down in soil which could have come from almost anywhere on the housing estate.","British Museum (Theodosius coin); the other coin sold by Sotheby’s (15 July 1980, lot 196A)"
Slovenia,1941,8836,LOKEV,80,-12,-12,45.640493,13.9143021,Circa 80 denarii were discovered in an amphora. They were all dispersed before being studied. 1 denarius of Augustus minted in Lugdunum in 12 BC was identified in a private collection where was displayed as a pendant.,Dispersed; private collection: 1 coin.
France,1814,7237,SAINT-JEAN-AUX-BOIS,150,244,244,49.347,2.905,The hoard comprised 110 coins from Hadrian to Gordian (III?) along with Roman pottery.,NA
Greece,2007,6880,APHYTIS,67,238,244,40.1,23.433,"The hoard comprised 67 Provincial coins mostly from local mints (Thessalonica, Macedonian Koinon) of the time of Gordian III, found in a Roman farmhouse located in a field southeast of the provincial road, west of Afytos.",NA
Greece,2006,6858,PHILIPPOI 2006 T45,13,103,111,41.025,24.339,"13 coins (10 provincial coins of Philippi, 2 denarii of Trajan and 1 imperial bronze of Domitian) found in grave T45 in the eastern cemetery of Philippi.",NA
UK,1978,15255,NEW ADDINGTON,16,-70,-50,51.349331,-0.019777849,"16 Iron Age potin coins, found in the woods at Castle Hill Ruffs, New Addington in 1978 and 1979.",NA
Germany,1800,3097,METTEN,10,236,237,48.856,12.913,"The composition of this hoard was reconstructed by Paul Reinecke. The coins (10 denarii, ranging from Galba to Maximinus) were found in a wood belonging to the abbey at Met10, soon after 1800.",NA
France,1843,6195,LA BOISSE,8000,282,284,45.842,5.032,"The hoard comprised an amphora containing more than 33 kilos of coins, estimated as representing more than 8000 examples. Vallier examined 'a suitcase full' of coins which included issues of Gallienus, Claudius II (rare), Aurelian, Severina, Tacitus, Florian, Probus and Numerian. It appears that there were also some earlier coins dating to the first or second centuries AD but the information is vague.",NA
France,1853,6197,BRION,10000,308,309,46.171,5.553,"The hoard comprised approximately 10000 bronze coins of Diocletian, Maximian, Constantius Chlorus, Constantine I, Maximinus, Maxentius and Crispus (the presence of coins of Crispus should be treated with some caution). The hoard was quickly dispersed.",Dispersed
Bulgaria,1952,12114,PESHTERA,50,251,253,42.0325,24.3019,Unknown number of silver coins found in a ceramic vessel. 50 coins were seen: Septimius Severus - Trebonianus Gallus (AD 251-253).,NA
Spain,1971,8435,TIERMES 1971,12,-19,-18,41.33068591742,-3.1489042351423,"With 3 iberian denarii of Bolskan, 6 republican denarii and 3 denarii of Augustus (AD 19-18 BC).",NA
France,1887,3854,PREIGNAC 1887,493,270,275,44.585453,-0.29569,"Hoard of 493 silver coins found in a ceramic vessel: 492 antoniniani (radiates), 1 denarius: Septimius Severus (Caracalla Augustus) - Aurelian (AD 270-275); silver w8: 134.9-1281.3 g.","Musée des Antiques, Bordeaux, France"
Austria,1853,13283,HAUSSTEIN,334,238,244,48.231,14.9,Between 296 and 334 coins. The coins came out following the blasting activities on the Lueg Canal. G. Dembski considers as hoard these coins due to homogenous aspect of this numismatic evidence: Vesasian - Gordian III (AD 238-244).,NA
