country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
"Wales, United Kingdom",1964,1378,CAERLEON FORTRESS BATHS 1964,7,103,111,51.604834,-2.9688399,1 dupondius and 6 asses (Vespasian to Trajan) discovered beneath the concrete bedding for the flagstones at the south-eastern end of the basilica.,"National Roman Legion Museum, Caerleon",II century
Austria,1908,6154,GUMMERN,126,166,167,46.655,13.769,"126 bronze coins:120 sestertii, 5 dupondii, 1 as: Vespasian - Marcus Aurelius (AD. Only 73 coins are kept in the museums' collections.","Landesmuseum, Klagenfurt; Stadt Museum Villach, Austria. (73 coins)",II century
Poland,1873,16199,JARNICE,235,193,197,52.357664,21.985602,235 denarii found with a ceramic vessel: Vespasian - Clodius Albinus (AD 193-197).,Lost,II century
Poland,2004,13489,POLANÓW - SURROUNDINGS,18,126,138,54.1179,16.6807,18 denarii found on a field: Otho - Hadrian (AD 128-136).,Private collection,II century
Ukraine,2017,20709,SIOMAKY,24,180,192,49.6114980054,28.1556819541,"A hoard of at least 24 Roman imperial denarii: Vespasian – Commodus (AD 180-192) and possibly a silver fibula were allegedly discovered by a treasure hunter in the late 2010s nearby village Semaki in Vinnytsia region. The coins were found in an area of 15x15 m. The silver brooch was found on the same area. Based on a photo of five coins, three of which were denarii from the time of Titus, Antoninus Pius and Commodus, one cast copy of a denarius with a portrait of Hadrian and an anonymous quadrans with a portrait of Mars on the obverse and cuirass on the reverse. While the denarii have general preservation and similar bronze oxides, the cast copy of the denarius and the anonymous quadrans are probably not part of the hoard. The further fate of the coins is unknown to me.",NA,II century
Poland,2007,13495,PRZEZWISKA,28,194,197,52.1201,19.6482,Around 200 denarii. The person who ppresented 46 denarii mentioned that in total may have found around 200 pieces. Only 28 coins could be described. One denarius of Antoninus Pius was found in 2010: Vitellius - Clodius Albinus (AD 194-197).,NA,II century
Greece,2006,6902,PELLA WEST CEMETERY 2006 (KER. 23),2,147,161,40.763,22.526,"A hoard of two Antonine sestertii and several items of gold jewellery, found in grave 23 in the western cemetery of Pella.",NA,II century
Poland,1959,13501,ROMANÓW,350,194,195,50.926667,23.133611,Hoard of circa 700 denarii. Only 350 pieces are known: Trajan - Septimius Severus (AD 194-195).,NA,II century
Belgium,1945,8631,CHIMAY 1945-1950,36,180,183,50.048,4.315,"36 sestertii, but only 16 are identified: Trajan - Commodus (AD 180-183).",NA,II century
Czech Republic,1893,15886,CERHENICE,2,161,169,50.069755,15.0706,"Two denarii: Antoninus Pius, Marcus Aurelius (Lucius Verus/Divus Lucius Verus) (AD 161-169). Militky considers a misidentification of this hoard with the one Dobřichov-Plaňany (PLAŇANY 1892).","National museum, Prague, Czech Republic",II century
"Israel, Palestinian Territories",1980,7818,WADI ED-DALIYEH,16,129,130,31.994459130851,35.407145080077,The hoard comprised 16 denarii dated between AD 98/99 and AD 128/129.,NA,II century
Romania,1966,2612,GÎRLA MARE,320,179,180,44.221,22.75,"320 D: Mark Antony - Commodus (AD 180): Discovered in an onion field after it had been ploughed. The finder carefully collected the coins together, but discarded fragments of the pottery container. Found whilst harvesting onions in a field in the north-western part of the village, next to the road leading to Gruia.",NA,II century
France,1896,7126,ANOST,6,169,169,47.065,4.113,The hoard comprised 4 copper-alloy statues and 2 copper-alloy vessels. One of the copper-alloy vessels contained 6 bronze coins of Marcus Aurelius and Divus Lucius Verus. One coin was lost.,NA,II century
Ukraine,1942,2975,LUKOSHCHINO,1000,193,196,49.489816919667,34.589097179753,"Hoard of around 1,000 silver coins: 999 denarii, 1 drachm: Nero - Septimius Severus (Julia Domna) (AD 193-211).","Poltava Local History Museum (954 specimens; inv.nos. 4919-4920, 5090)",II century
France,1824,5806,SAINTE-CROIX-SUR-AIZIER,171,181,192,49.416675,0.628891,The hoard comprised a terracotta vessel containing a block of Roman bronze coins stuck together with corrosion products. Rever identified approximately 180 sestertii and 5 'middle bronzes'. The hoard was found by a labourer digging a hole to plant a tree.,Puval,II century
Slovakia,1904,8204,DRŽENICE,236,161,180,48.286742,18.697001,236 aurei and denarii from the time of Marcus Aurelius (AD 161-180).,NA,II century
"Scotland, United Kingdom",1803,1135,STRATHAVEN,400,172,192,55.62441,-4.16187,"A hoard of about 400 Roman silver coins, found at Torfoot, 7 miles south-west of Strathaven, in a glass bottle, while cleaning a drain. Coins of Trajan, Antoninus Pius, Faustina, wife of Antoninus, Crispina, wife of Commodus, and various other Emperors and Empresses, &c., all in good preservation, are mentioned. About fifty of the coins were so much verdigreated and adhering together, that they were broken with a hammer by a rude and unskillful hand, in order to separate them. J. Lindsay, View of the Coinage of Scotland (1845), 265, added Hadrian, Marcus, Caesar, Pompey and Crassus to the list of emperors etc. represented. The three last names may have been due to a misunderstanding of the legends on some coins. True Republican den. would be unusual in a hoard as late as the reign of Commodus.",NA,II century
Poland,1881,13652,GDAŃSK KRAKOWIEC,15,180,192,54.36048,18.737041,"15 sestertii of which Antoninus Pius 1, Faustina II 1, Commodus 1 were found by fishermen in a dune.",Lost,II century
Ukraine,2017,20697,TURBIV,1100,193,193,49.3426478661,28.7255613137,"A hoard of ca. 1100 Roman imperial denarii: Trajan - Didius Julianus (AD 193) was allegedly discovered by a treasure hunter in the late 2010s near the town of Turbiv in the Vinnytsia region. The coins had a strong degree of wear. This information cannot be verified, as neither the coins themselves nor their photographs are available. The further fate of the hoard is unknown.",NA,II century
"Scotland, United Kingdom",1870,1673,BROCH OF LINGROW,6,177,192,58.96264,-2.984088,"An ensemble of 6 denarii (incl. Vespasian, Hadrian with Clementia on the reverse, 2 Antoninus, 2 Crispina), found during excavations at the broch of Lingro, 1870-71, in different parts of the outbuildings [i.e. of the broch], that may have come from a scattered hoard.",NA,II century
France,1775,7124,ALLÉRIOT 1775,2,161,180,46.8134,4.9383,"The hoard was found in a vessel containing coins of the Principate, including 2 coins of Antoninus Pius and Marcus Aurelius.",NA,II century
Ukraine,2016,20674,KYIV REGION 2016,291,180,192,50.1812553789,30.2157138996,"A hoard of 291 Roman imperial denarii: Hadrian – Commodus (AD 180-192) and their imitations was found by two treasure hunters in early June 2016 in the Kyiv region. Information about the find and photos of the coins were published by one of the finders on the Ukrainian treasure hunting forum Violity on June 21, 2016. The finder reported that the coins were collected from an area of 3 square meters. The first coins were found at a depth of 10-20 cm, although the pit for their search was dug about 1 m deep. Some coins have traces of bronze oxides. In general, the preservation of coins is good (weak wear). In August 2016, the entire hoard was sold at a Violity auction. The further fate of the coins is unknown.",Sold,II century
