id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
8640,2016-06-14T09:45:44Z,"Автопортрет    Автор: Дегтярев, Иван Федорович",ЖИВОПИСЬ,,,25,,,"Размеры: B. 30, Ш. 25",2320
472,2016-06-14T09:44:18Z,Автор: Аноним (резчик); Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: середина 16 век,ИКОНА,,78,69,,,"Размеры: В. 78, Ш. 69, Т. 4; В. 133 (с шестом)    Ссылка на каталоги / инвентари: ГМЗ РК: № 2",2496
14682,2016-06-14T09:45:46Z,"Богоматерь с младенцем (название предполагаемое)    Школа / Место издания: Россия, Санкт-Петербург",ИКОНА,,32.2,26.4,,,"Размеры: В. 32,2, Ш. 26,4, Вес 1573,3 г    Характер подписи: ""ТР"", ""АЯ"", ""84""    Ссылка на каталоги / инвентари: От Выборгского РАЙФО г. Ленинграда, № 775. КП ОИРК 2870-93. Акт № 839 от 27.12.1989 г.    Инвентарный номер: ЭРО-9816, СВ-5040",2496
516,2016-06-14T09:44:19Z,Коляска  с кучером (название придуманное)    Автор: Сверчков Николай Егорович (художник)    Школа / Место издания: Россия    Период оригинала: середина 19 век,ЖИВОПИСЬ,,53,84,,,"Стиль: Холст дублирован    Размеры: В. 53, Ш. 84 (без обрамления ?)    Характер подписи: Н.Сверчковъ ( красная краска)    Характер подписи: 1853 (П. красная краска)    Ссылка на каталоги / инвентари: Состояние: холст дублирован.",2320
2810,2016-06-14T09:44:45Z,Иисус исцеляет больного (название употребляемое)    Автор: Аноним (художник)    Школа / Место издания: Россия    Период оригинала: 19 век ?,ИКОНА,,31,95,,,"Стиль: Масло ?    Размеры: В. 31, Ш. 95 (диптих, в обрамлении ?)    Ссылка на каталоги / инвентари: Фото: № 2; № 1. - диптих",2496
1043,2016-06-14T09:44:19Z,Притча о происхождении иконы Владимирской Богоматери (название придуманное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 1 четверть 19 век,ИКОНА,,30,71,,,"Размеры: В. 30, Ш. 71 (доска)    Характер подписи: [?]( в верхней части, в середине, в несколько строк)    Ссылка на каталоги / инвентари: Фото: представлено в 2002.",2496
7488,2016-06-14T09:45:24Z,Рождество Христово (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,25,50,,,"Стиль: С басмой ?/ С окладом/ризой ?: Латунь ?/ Медь ?/ Белая жесть ?/ Другое ?    Размеры: В. 25, Ш. 50 (доска ?) / В. 50, Ш. 25 (доска ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал и техника, требуется уточнение.",2496
17455,2016-06-14T09:46:37Z,"Святая Ольга    Школа / Место издания: Россия    Период оригинала: 20 век, 1 четверть",ИКОНА,,12,10,,,Стиль: Оклад серебряный.    Размеры: В. 12; Ш. 10    Инвентарный номер: КИКМ №5462,2496
1401,2016-06-14T09:44:17Z,Башни в горах (название придуманное)    Автор: Аноним (художник)    Школа / Место издания: Россия ?,ЖИВОПИСЬ,,48,73,,,"Размеры: В. 48, Ш. 73 (приблизительно)    Ссылка на каталоги / инвентари: ЧГОМ: № 259    Ссылка на каталоги / инвентари: См. Предмет 1. ; возможно это же самое произведение, требуется уточнение.",2320
6065,2016-06-14T09:45:06Z,Мусин-Пушкин Алексей Иванович (название изначальное)    Автор: Осипов Алексей Аганиевич (гравер)    Школа / Место издания: Россия    Период оригинала: 1 четверть 19 век,ОТТИСК,,25.5,20.5,,,"Стиль: Гравюра на металле: пунктирная на меди; Овал: портрет    Размеры: В. 25.5, Ш. 20.5 (доска ?)    Характер подписи: Гр...А.Осиповъ. (в овале) ?,см. Общий комментарий    Характер подписи: 1812. (П.) ?    Ссылка на каталоги / инвентари: Фото: представлено музеем, возможно один из оттисков, см. ниже.  Подписи, Надписи: в источнике указано, что оттиск ""до подписи"", а на фото имеется подпись, требуется уточнение.",254
