name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Гришкинская сельская библиотека – филиал № 28,"Респ Татарстан,р-н Мамадышский,д Гришкино,ул Красное Знамя,23 А",51.440129,55.886483,"Библиотека была основана в 1937 году. В 1940 году была расположена в двухэтажном здании. Изба-читальня располагалась на втором этаже. С 1960 по 1967 год в библиотеке работал Илумбаев Александр Иванович. В те времена книжный фонд включал 3 935 книг. Количество читателей – 327 человек, книговыдача – 2 917 экземпляров. В 1967 году Ново-Черкасскую библиотеку перевели в деревню Старый Черкасс в двухэтажный дом купца.В 1994 году было построено деревянное новое здание. Книжный фонд на сегодняшний день включает 7 681 экземпляр, книговыдача – 4 692, посещений – 2 768. Библиотека оказывает услуги широкой аудитории, стремится соответствовать ожиданиям сельчан, является центром общественной и культурной жизни села.",2021-04-21T06:06:26Z,2023-03-01T11:38:30Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,18:00:00,21:45:00,,
Большецильнинская библиотека,"Респ Татарстан,р-н Дрожжановский,с Большая Цильна,д 1",47.8577229338684,54.6882248399192,"Библиотека была основана в 1928 году. Сначала она занимала отдельное здание и называлась избой-читальней. В настоящее время находится в сельском Доме культуры и занимает одну комнату площадью 56 квадратных метров. В фонде библиотеки более 15 000 экземпляров книг. Ежегодно фонд пополняется на более чем 200 экземпляров книг. Также библиотека получает 10 наименований газет и журналов для взрослых и детей. Имеется компьютер и принтер, а также выход в интернет. Услугами библиотеки пользуются 744 читателя, в том числе 89 детей. В праздничные календарные даты в библиотеке проводятся массовые мероприятия совместно с работниками школы и сельского Дома культуры, к юбилейным датам писателей оформляются книжные выставки и проводятся обзоры у них.",2021-04-13T08:07:21Z,2023-02-21T13:50:19Z,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,11:00:00,,
Чистопольская городская библиотека – филиал № 3,"Респ Татарстан,р-н Чистопольский,г Чистополь,ул Чернышевского,д 101",50.660994,55.355771,"Городская библиотека (филиал № 3) была основана в 1973 году в районе автовокзала. Фонд библиотеки – 20 185 экземпляров, количество читателей – 1 184. Тесная связь установлена с сельскохозяйственным техникумом, школами № 1 и 5, детскими садами и ТОСом. В библиотеке проходят литературные вечера, а также различные тематические мероприятия. В последние годы возрос интерес к национальной культуре, пропаганде национальных книг. В связи этим ежегодно проводятся мероприятия, посвященные дням рождения М. Джалиля, Г. Тукая, писателя-земляка Г. Исхаки.Библиотека обслуживает все категории населения и является единственным центром информации, общения и досуга для многих социальных групп жителей микрорайона.",2021-03-24T11:29:46Z,2023-08-29T08:11:24Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,,,
Малотолкишская сельская библиотека – филиал № 19,"Респ Татарстан,р-н Чистопольский,с Малый Толкиш,ул Центральная,влд 39",50.941735,55.341367,"В 1935 году в селе Малый Толкиш была открыта изба-читальня, там же было проведено радио с наушниками. Советская власть оказывала крестьянам большую помощь в развитии культуры. В село направлялись кинопередвижки, радиоустановки, стали открываться библиотеки народного пользования. Вся работа библиотеки ведется в тесном контакте и сельским поселением, детским садом, начальной школой, Домом культуры. Библиотека проводит тематические вечера, конкурсные программы, литературные вечера, посвященные знаменательным датам. Особое внимание уделяется обслуживанию детей, ветеранов войны, тружеников тыла. В библиотеке действует мини-музей «Предания старины глубокой», где собраны старинные предметы быта. Фонд – 5 094 экз., читателей – 210, посещений – 2 894 чел., книговыдача – 4 120 экз.",2021-03-30T06:44:31Z,2023-01-30T07:59:26Z,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,,
Библиотека «Красный Восток» – филиал № 4,"Респ Татарстан,р-н Алексеевский,пгт Алексеевское,ул Есенина,зд 19",50.0881245166292,55.3012706228789,"Библиотека «Красный восток»–филиал №4 МБУ «Централизованная библиотечная система Алексеевского муниципального района РТ» расположена в большом отдаленном микрорайоне п.г.т. Алексеевское (райцентра Алексеевского района РТ) с населением более тысячи человек. Находится библиотека в здании типового благоустроенного сельского Дома Культуры (СДК) «Красный восток». На начало 2022 года книжный фонд библиотеки составляет 5998 экз. книг, за прошедший год читателями библиотеки стало 435 чел., из которых 253 читателя детского возраста. Обслуживание читателей ведется по группам: дети, юношество, пенсионеры, специалисты и др. В помощь работе использую методические материалы, публикации в периодической печати, интернет – ресурсы. Эффективность работы библиотек сегодня – это качество предоставляемых услуг, оперативный и широкий доступ к любой информации.",2022-02-09T14:25:05Z,2023-02-20T14:08:16Z,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,09:00:00,15:00:00,,
Верхнеалькеевская сельская библиотека,"Респ Татарстан,р-н Алькеевский,с Верхнее Алькеево,ул Мира,зд 70",49.983053,54.781763,"Первая библиотека в деревне Верхнее Алькеево была открыта в здании мечети. По рассказам старожилов, это было довольно большое здание. В нем стояли лавки в один ряд. Обычно в клубе показывали кино. А в небольшом помещении библиотеки собирались почитать и обсудить важные события, происходящие в стране и мире. Фонд был небольшой, это были книги на татарском языке. В данный момент библиотека находится в здании сельского клуба. Здание было построено в 1982 году. Общий фонд библиотеки насчитывает 6 834 книги. На русском языке – 3 610, на татарском – 3 197, на английском – 5. В библиотеку поступает 20 наименований журналов и газет. Важнейшим направлением деятельности является раскрытие фонда через выставки. В библиотеке оформляются разнообразные экспозиции как к юбилейным и знаменательным датам, так и к различным месячникам. Также имеются постоянно действующие книжные выставки, которые регулярно обновляются вновь поступившей литературой: «Литературный вестник», «Новые поступления» и другие.Для читателей проводятся различные массовые мероприятия, посвященные знаменательным датам и важным событиям: литературные вечера, игры, конкурсы, викторины, литературно-музыкальные гостиные.",2022-05-27T08:34:31Z,2023-01-20T13:42:12Z,10:00:00,13:00:00,,,10:00:00,13:00:00,10:00:00,13:00:00,10:00:00,13:00:00,10:00:00,13:00:00,10:00:00,13:00:00
Миннибаевская сельская библиотека – филиал № 46,"Респ Татарстан,р-н Альметьевский,ст Миннибаево,ул Шоссейная,д 20в",52.2669297619019,54.8341398742275,"Библиотеке около 37 лет, она очень молодая и уютная. Здесь представлена разная литература для детей и взрослых. Книжный фонд – более 7 000 тысяч. Он ежемесячно пополняется из Центральной библиотеки, также интересные книги предоставляют в дар местные жители. Взрослых читателей около 700, детей – около 100 человек. Для дошкольников и младших школьников организуются утренники, беседы, экскурсии, познавательные часы, а для старшеклассников – библиотечные уроки, тематические часы, викторины, обсуждение книг, диспуты. Для всех пользователей организуются тематические книжные (полочные) выставки. К юбилейным датам оформляются папки, альбомы, плакаты. План мероприятий составляется ежегодно с учетом общезначимых дат.В 2020 г. в рамках нацпроекта библиотека переехала в новое здание. В настоящее время заведующей является Валеева Алия Анисовна.",2021-04-13T11:46:53Z,2023-01-27T13:49:51Z,,,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00
Аксунская сельская библиотека-филиал № 5,"Респ Татарстан,р-н Буинский,д Аксу,ул Центральная,д 116А",48.085569,55.174573,"Первая библиотека в селе Аксу появилась в начале 50-х годов. В 1956 году книжный фонд насчитывал 2 377 книг. С 1961 года активно совершенствовалось библиотечное обслуживание, значительно повысился уровень использования книжных фондов. А также увеличился и сам книжный фонд – до 5 000 экземпляров. С 2004 года библиотекарем работает Нургалиева Фарида Завдатовна. В настоящее время в фонде филиала – 12 400 экземпляров книг. Количество читателей – более 615 человек. В библиотеке часто оформляют книжные выставки, проводят читательские конференции и литературные вечера, викторины, обзоры литературы, акции, конкурсы.",2021-04-02T14:31:29Z,2023-02-21T07:45:29Z,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00
Салаусская библиотека,"Респ Татарстан,р-н Балтасинский,с Старая Салаусь,ул Советская,зд 12",50.320532,56.363164,"Баттал Шаймарданов, выходец из деревни Кышкар Арского кантона, был основателем читальни в деревне Салаусь. Читальня располагалась в здании нынешнего старого амбара. В 1951 году Гарифуллина Фахрия привезла из д. Карелино инвентарь и книги, газеты и журналы. Почти все книги тех годов были политического содержания. С 1979 года библиотека является филиалом № 23 Балтасинской центральной библиотеки. В 1989 году переехала на 2-й этаж нового Дома культуры. Фонд библиотеки составляет 18 157 единиц, количество посетителей – 9 301 человек (на 1 января 2021 года). Здесь можно не только читать и брать книги на дом. В библиотеке созданы все условия, чтобы читатели смогли поиграть в настольные игры и даже посоревноваться друг с другом.",2021-04-01T05:52:01Z,2023-02-22T08:25:29Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,
Чурашевская сельская библиотека,"Респ Татарстан,р-н Сармановский,с Чурашево,ул М.Джалиля,ул.М.Джалиля дом 81 (а)",52.802829,55.456714,"Чурашевская сельская библиотека ведет свою историю с 1986 года.В фонде библиотеки хранится 9500 книг. Это литература из различных отраслей знаний, а также художественная и детская. Ежегодно библиотеку посещает около 210 читателей. Массовая работа с читателями идет по различным направлениям: патриотическое воспитание, воспитание нравственных и духовных ценностей, эстетическое и художественное воспитание, семейное воспитание, краеведческая деятельность, экологическое воспитание и просвещение, правовое воспитание, ЗОЖ. Посетители библиотеки могут почитать свежие газеты и журналы, познакомиться с оформленными альбомами по истории села, буклетами, книжными выставками.",2022-02-03T11:28:21Z,2023-02-21T12:08:43Z,08:00:00,11:00:00,13:00:00,16:00:00,08:00:00,11:00:00,13:00:00,16:00:00,08:00:00,11:00:00,13:00:00,16:00:00,,
