title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Чунь Люй Чао Ча,ulun,74,880,"Cделан в округе Мэйчжоу по аутентичной технологии чаоча. В сухом виде: небольшие, лилово-коричневые фрагменты скрученных листиков, тонкие черенки. Аромат интенсивный, теплый, бисквитно-ягодный. Настой прозрачный, красно-каштанового оттенка, в процессе заваривания желтеет. Букет готового чая яркий, многогранный, пряно-ягодный, с фруктовыми, ореховыми, табачными и бисквитными нотками. Аромат теплый, сложный, ягодно-бисквитный. Вкус плотный, сочно-терпкий, сладковатый, с ягодной кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 3-4 г на 100 мл (чай обладает очень плотным телом, поэтому для первой дегустации возьмите чуть меньше заварки, чем обычно). Залейте чай горячей водой и дайте настояться в течение 5-10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 8 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, выраженное тонизирующее.",2,4,80,,,,,80,,,,80,,,,,,60,,,,,,,,,,,,,,,,,80,,,,,
"Аньхуа Фу Чжуань (Moychay.ru, 2017), 800 г",black,86,3808,"«Брикет долголетия» из Аньхуа (провинция Хунань).В создании этого чая принимает участие микроб Eurotium Cristatum или Цзинь Хуа (Золотые цветы, разновидность), чрезвычайно полезный для здоровья. Его колонии выглядят как жёлтые крупинки, рассыпанные по поверхности чайного листа. Помимо чая Золотые Цветы живут на Грибах Долголетия, Фу Лин (Poria cocos, Пория кокосовидная), что и отражено в названии. 800-граммовый чайных брикет из спрессованных бурых чайных листьев с одеревенелыми черенками. Аромат интенсивный, пряно-древесный с фруктовой ноткой. Настой прозрачный, оттенка желтой охры. Букет готового чая зрелый, многогранный, пряно-древесный, с осенними, фруктовыми, медовыми и бальзамическими нотками. Аромат глубокий и теплый, фруктово-пряный. Вкус мягкий, сочный, сладковатый, с легкой древесной терпкостью и фруктовой кислинкой. Приятное, освежающее послевкусие. Заваривать горячей водой (95°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 8-10 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 6-7 завариваний. Хорошо подходит для варки и заварки в термосе. Отличный выбор для повседневных чаепитий – мягкий вкус, глубокий аромат, согревающее, умеренно тонизирующее воздействие. Особенно будет актуален в сырую, холодную погоду, во время сезонных инфекций.",2,8,,40,,,60,60,,,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
"Гу Сян Шэн Ча (2009), 350 г.",puer,92,6475,"Шэн пуэр от фабрики «Чаннин Мэнтун Иньшань», урожай 2009 года. 350-граммовый блинчик средней плотности, разделяется на буро-коричневые скрученные листики, почки и тонкие черенки. Аромат сдержанный, древесно-бальзамический. Настой прозрачный, оттенка темного янтаря. Букет готового чая зрелый, многогранный, древесно-бальзамический, с нотками дубового мха, пряных трав, осенних листьев и сухофруктов. Аромат теплый, сложный, фруктово-бальзамический. Вкус плотный, сладковатый, немного пряный, с сочной древесной терпкостью, фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Воздействие согревающее, мягкое тонизирующее.",5,7,,,,,60,80,,,60,,,,80,,,,60,,,,,,,,,,,,,,,,,,,,,
"Аньхуа Шоу Чжу Фу Чжуань (Moychay.ru, 2014), 500 г",black,92,5150,"«Чайный кирпич долголетия, сделанный вручную» из Аньхуа (провинция Хунань).В создании этого чая принимает участие микроб Eurotium Cristatum или Цзинь Хуа (Золотые цветы), чрезвычайно полезный для здоровья. Его колонии выглядят как жёлтые крупинки, рассыпанные по поверхности чайного листа. Помимо чая Золотые Цветы живут на Грибах Долголетия, Фу Лин (Poria cocos, Пория кокосовидная), что неслучайно и в некотором смысле роднит их. 500-граммовый чайных брикет из спрессованных чайных листьев с одеревенелыми черенками. Аромат спокойный, древесно-бальзамический. Настой прозрачный, оттенка желтой охры. Букет готового чая зрелый, многогранный, пряно-древесный, с нотками дубового мха, осенних листьев, грибов и сухофруктов. Аромат глубокий и теплый, пряно-древесный. Вкус мягкий, маслянистый, сладковатый, с легкой древесной терпкостью и фруктовой кислинкой. Приятное, освежающее послевкусие Заваривать горячей водой (95°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 9-10 завариваний. Хорошо подходит для варки и заварки в термосе. Воздействие согревающее, умеренно тонизирующее.",2,6,,,,,40,60,,,80,,,,60,,,,60,,,,,,,,,,,,,,,,,,,,,
Таиландский зеленый чай с дикорастущих чайных деревьев (весна 2021),green,86,3155,"В сухом виде: крупные, изогнутые, буро-зеленые жгутики скрученных листиков с тонкими желтыми черенками. Аромат сдержанный, травянисто-цветочный с ореховой ноткой. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, многогранный, травянисто-цветочный, с ореховыми и ягодными нотками. Аромат нежный, травянисто-цветочный. Вкус плотный, мягкий, маслянистый, сладковатый, с сочной древесной терпкостью, легкой травянистой горчинкой, нюансами специй, ягодной кислинкой и освежающим послевкусием Заваривать горячей водой (80-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 10-15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 7-8 завариваний. Отличный зеленый чай с ярким, многогранным вкусом и освежающим, тонизирующим воздействием.",5,,,,,80,,80,,,,60,,,,,,40,,,,,,,,,,,,,,,,,,,,,,
Сяо Тай Вэньшань Лао Ча (1978),ulun,100,12500,"В сухом виде: среднего размера бордово-коричневые жгутики скрученных листьев, их фрагменты и тонкие черенки. Аромат интенсивный, древесный с ноткой сухофруктов. Настой прозрачный, янтарного оттенка. Букет готового чая зрелый, многогранный, древесно-бальзамический, с коньячными, фруктовыми и пряными нотками. Аромат теплый, сложный, фруктовый. Вкус очень мягкий, шелковистый, сладковатый, с легкой фруктовой кислинкой и нюансами специй – сильно меняется на протяжении чаепития. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после, начиная с экспозиции в 10 секунд и доведя время до 2 минут, можно заварить 12 раз. Отличный выдержанный чай, с многогранным вкусом и согревающим, расслабляющим воздействием.",10,6,,,,,80,60,,,100,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
"Чжун Ча Хун Инь Тэбин (1998), 360 г",puer,86,13860,"В период монополии государства на производство чая в середине ХХ века продукцию всех крупных юньнаньских чайных фабрик украшал иероглиф «Чай» в окружении кольца из восьми иероглифов «Чжун», логотип красного цвета, получивший название «Хун Инь», «Красная Печать». В 80-е годы влияние госструктур на производство ослабло и чайные фабрики обрели независимость, но продолжили выпуск лимитированных «винтажных» блинов, пользующихся спросом в среде любителей. «Тэбин» или «Железный блин» появился в 1950 г., когда Сягуаньский чайный завод был оборудован механическими прессами. Первая опытная партия блинов машинной прессовки была признанная неудачной: из-за избыточной плотности их трудно было разломать. Потом пресс модернизировали и блины стали получаться более рыхлыми. Однако с течением времени блины той первой, опытной партии приобрели выдающийся выдержанный вкус и аромат. Поэтому традиция плотной прессовки «Тэ Бин» осталась. Чайный блин 360 г, спрессован плотно, ломается с усилием (лучше воспользоваться ножом для пуэров). Аромат сдержанный, бальзамический. Настой прозрачный, красно-каштанового оттенка. Букет готового чая зрелый, сложный, пряно-бальзамический, с нотками осенних листьев, древесных смол, дубового мха, влажной земли и сухих ягод. Аромат густой и глубокий, многогранный, пряно-бальзамический. Вкус сочный и мягкий, насыщенный, чуть сладковатый, с ягодной кислинкой и нюансами специй – меняется на протяжении чаепития, увлекая игрой тонких оттенков. Послевкусие сочное и долгое. Заваривать горячей водой (95°С) в гайвани или чайнике из пористой глины для шэнов. Пропорция заварки к воде: 5-6 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 15 заварок. Эксклюзивный пуэр тайваньского хранения для тех, кто хочет попробовать многогранный и сильный «вкус времени». Подробнее о лао ча читайте в статьеhttps://moychay.ru/articles/Lao-cha-aromat-stariny",2,6,,,,,,80,,,60,40,,,60,,,,80,,,,,,,,,,,,,,,,,,,,,
"Лао Сань Хао Цзюньшань Иньчжэнь, 2005",yellow,100,8160,"Выдержанный желтый чай «Серебряные иглы с острова Цзюньшань» из провинции Хунань. В сухом виде: тонкие, остроконечные, бурые почки. Аромат интенсивный, древесный с копченой ноткой. Настой прозрачный, очень светлого виноградного оттенка. Букет готового чая выдержанный, многогранный, пряно-травянистый с древесными, копчеными, ореховыми и фруктовыми нотками. Аромат нежный, пряно-травянистый с нотками дыма и сухофруктов. Вкус плотный, мягкий и сладкий, шелковистый, с мятной прохладой и сочным послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 30-40 секунд, после чего, начиная с экспозиции в 5-10 секунд и доведя время выдержки до 2 минут, можно заварить еще 8-9 раз. Превосходный выдержанный чай, впитавший время, но не утративший яркости красок.",5,5,,,,,,80,,,60,,,60,,,,60,,,,,,,80,,,,,,,,,,,,,,,
Фо Шоу Мэйчжоу Чао Ча,ulun,88,870,"Сделан в округе Мэйчжоу по аутентичной технологии чао ча. В качестве сырья использованы побеги сорта Фо Шоу (Рука Будды). В сухом виде: лилово-коричневые фрагменты скрученных почек, тонкие черенки. Аромат сдержанный, пряно-древесный. Настой прозрачный, оттенка горного меда. Букет готового чая выдержанный, многогранный, пряно-древесный, с нотками ванили, табака, орехового бисквита и сухофруктов. Аромат нежный, теплый, пряно-бисквитный. Вкус плотный, мягкий, сладковатый, с легкой фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5-6 г на 100 мл. Залейте чай горячей водой, дайте настояться в течение 10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний. Воздействие согревающее, умеренно тонизирующее.",2,5,80,,,,60,60,,,60,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
"Чжэн Шань Сяо Чжун ""511"", (""Лапсанг Сушонг"")",red,86,1350,"Один из старейших сортов красного чая. Особенностью его изготовления является длительный прогрев на сосновых углях, во время которого чай пропитывается смолистым, дымным ароматом. Впервые этот чай был сделан в районе Тунмугуань (район Уишань, провинция Фуцзянь), где и получил свое первое название «Лао Сун Сяо Чжун», «Старая Сосна – Редкий Сорт». Именно он пришелся особенно по вкусу европейцам, что в конечном итоге определило общее направление развития чайного дела в Юго-восточном Китае. Но в Европе этот сорт стал известен под именем «Лапсан Сушонг» (английская транслитерация ""Lapsang Souchong""): так англичане слышат китайское ""Lao Song Xiao Zhong"". ""511"" урожая 2021 г. изготовлен на территории природного заповедника Тунмугуань из осенних побегов аутентичного чайного куста Сяо Чжун. В сухом виде – тонкие, изящные жгутики черно-коричневых листиков. Аромат теплый, пряно-ягодный. Настой прозрачный, каштанового оттенка. Букет готового чая яркий, теплый, древесно-ягодный с нотками имбирного печенья и хвои можжевельника. Вкус сочный, достаточно тонкий, шелковистый, приятно-вяжущий, сладковатый, с легкой кислинкой. Аромат интенсивный, теплый, бисквитно-ягодный. Сочное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пурпурной глины для красных чаев или в гайвани. Пропорция сухого чая к воде: 5 гр. на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 9 заварок. Отличный выбор для сырой и холодной погоды, минорных состояний и бесконечных зимних вечеров – яркий, эмоциональный, согревающий.",5,5,60,,,,,40,,,60,60,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
