creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"M. Šašel Kos, P. Kos",Piquentum,"An ancient place, cited: BAtlas 20 A4 Piquentum",Buzet CRO,-330,640,45.406399,13.969415
David Braund,(M)Otene,"An ancient place, cited: BAtlas 88 F4 (M)Otene",AZE,-330,640,40.262289,44.315416
E.W. Haley,Aeminium,"An ancient place, cited: BAtlas 24 C4 Aeminium",Coimbra POR,-30,640,40.2095455,-8.427646
N. Purcell,Carsioli,"An ancient settlement along the Via Valeria, Carsioli was established as a Latin colony in the territory of the Aequi ca. 298 BC.",8 miles NNE Cársoli,-550,640,42.0785637,13.0439756
C. Foss,Abonouteichos/Ionopolis,A coastal town of Paphlagonia.,Inebolu,-30,640,41.9740255,33.7660475
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Arade,"An ancient place, cited: BAtlas 89 C3 Arade","Arade, SYR",-330,640,36.733333,40.266666
P.O. Spann,Campillo Bajo,"An ancient place, cited: BAtlas 27 A4 Campillo Bajo","Campillo Bajo, 3 miles W Villafranca de Córdoba",-330,640,37.981214,-4.647686
"P. Kos, M. Šašel Kos",Bilje,"An ancient place, cited: BAtlas 20 F4 Bilje","Bilje, CRO",-30,640,45.603691,18.744933
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Naqadeh tepe,"An ancient place, cited: BAtlas 89 H4 Naqadeh tepe","Naqadeh tepe, IRN",300,640,36.953777,45.399917
E.N. Borza,Kyria,"An ancient place, cited: BAtlas 51 C2 Kyria",Kyria,-30,640,41.105467,24.30012
S. Mitchell,Dasmenda/[Dasmendron],"An ancient place, cited: BAtlas 63 F4 Dasmenda/[Dasmendron]","Ovacık, formerly Semendre",-30,640,38.1026805,34.7258565
T.W. Potter,Rusuccuru,"The ancient city of Rusuccuru was founded as a Punic settlement on the Oued Sebaou river. In the Roman period, an inscription indicates that Rusuccuru achieved the status of municipium under Septimius Severus, yet some sources continue to refer to it as a colonia.",Dellys,-330,640,36.9128545,3.9096445
D. Rupp,Aphrodision,"An ancient place, cited: BAtlas 72 D2 Aphrodision",NW Akanthou CYX,-330,640,35.3994295,33.7364985
"A. Bursche, L.F. Pitts",Milanovce,"An ancient place, cited: BAtlas 13 D4 Milanovce","Milanovce, SVK",-30,640,48.18308,18.155692
B. Isaac,Anaia 2,"An ancient place, cited: BAtlas 70 G3 Anaia 2",Ghuwein esh Sharqiyeel Fauqa WBK,300,640,31.372605,35.072951
"J.P. Brown, E.M. Meyers",Namara,"An ancient place, cited: BAtlas 69 D3 Namara",Nimra (Hauran) SYR,-30,640,33.023251,36.025648
"J.P. Brown, E.M. Meyers",Elqosh,"An ancient place, cited: BAtlas 69 B3 Elqosh","Elqosh, ISR",-30,640,33.023842,35.322489
S.T. Parker,Ziza,"An ancient place, cited: BAtlas 71 B2 Ziza",settlement and cemetery,-30,640,31.703711,35.952182
G.D. Woolf,Tinurtium,"An ancient place, cited: BAtlas 18 B3 Tinurtium",Tournus,-330,640,46.565714,4.908721
D. Rupp,Soloi/Aipeia?,"An ancient place, cited: BAtlas 72 B2 Soloi/Aipeia?",SW Morphou CYX,-750,640,35.138224,32.813067
"C. Foss, S. Mitchell",*Komba,"An ancient place, cited: BAtlas 65 C4 *Komba",Gömbe,-30,640,36.551265,29.669357
S. Mitchell,[Korama],"An ancient place, cited: BAtlas 63 G4 [Korama]",Gereme Yayla,300,640,38.463376,35.2661605
R.B. Hitchner,Thuburbo Minus,"A settlement in Africa Proconsularis, mentioned in the Itinerarium Antonini and the Tabula Peutingeriana.",Tebourba,-330,2100,36.829599,9.838642
R.J.A. Wilson,Colle Rotondo,"An ancient place, cited: BAtlas 47 C4 Colle Rotondo",Colle Rotondo,-750,640,37.437918,13.35685
C. Foss,Eirenaion,"An ancient place, cited: BAtlas 53 B2 Eirenaion",Çubuklu,300,640,41.106975,29.082169
E.N. Borza,Podokhori,"An ancient place, cited: BAtlas 51 C3 Podokhori",Podokhori,-30,640,40.84313,24.011123
"M. Pearce, R. Peretto, P. Tozzi",Portus Reatinus,"An ancient place, cited: BAtlas 40 D1 Portus Reatinus",Porto di Falconara,-30,640,45.617971,12.909068
W.V. Harris,Aesis,An Umbrian town that became a colonia civium Romanorum under the name of Aesis in 247 B.C.,Iesi,-330,2100,43.522416,13.243375
S. Loseby,Col. Arausio,Founded as Colonia Julia Firma Secundanorum Arausio in 35 B.C.,Orange,-330,2100,44.1367875,4.8079175
"C. Foss, G. Reger, S. Mitchell",Kebren,Kebren was an ancient settlement of the Troad.,"Fuğla Tepe, Çal Dağ",-750,640,39.741803,26.563032
G. Wagner,Mansuriya,"An ancient place, cited: BAtlas 79 D4 Mansuriya",Mansuriya,-30,640,24.697134,30.553208
J.J. Wilkes,Brskovo,"An ancient place, cited: BAtlas 21 B7 Brskovo","Brskovo, settlement and mine YUG",-30,640,42.944918,19.628853
E.W. Haley,Gigia,"An ancient place, cited: BAtlas 24 F1 Gigia",Gijón?,-30,640,43.545241,-5.661935
W.V. Harris,Pausulae,Pausulae was a town of Picenum mentioned by Pliny the Elder. It was a Municipium of Regio V.,S. Claudio al Chienti,-330,640,43.275392,13.502355
"J.P. Brown, P.-L. Gatier",Zebed,"An ancient place, cited: BAtlas 68 E2 Zebed",Zebed,300,640,35.85723,37.732749
