id,registration,name,category,сultural_property,height,width,depth,preservation,description
1998,2016-06-14T09:44:37Z,Ваза с цветами (название придуманное)    Автор: Аноним (художник),ЖИВОПИСЬ,,43,32,,,"Стиль: Бумага ?    Размеры: В. 43, Ш. 32 (лист ?)    Ссылка на каталоги / инвентари: ЧГОМ: № 601 (596 п.ф.)"
3448,2016-06-14T09:44:51Z,Воздвижение Святого Креста Господня (название употребляемое); Воздвижение Честного и Животворящего Креста Господня (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век,ИКОНА,,25,30,,,"Размеры: В. 25, Ш. 30 (приблизительно) / В. 30, Ш. 25 (приблизительно)"
17451,2016-06-14T09:46:36Z,Богоматерь    Школа / Место издания: Россия    Период оригинала: 18 век,,,13,9,,,Размеры: В. 13; Ш. 9    Инвентарный номер: КИКМ №6944
1370,2016-06-14T09:44:35Z,"Встреча (название придуманное)    Автор: Любимова ? (художник)    Школа / Место издания: Россия, Палех    Художественно-производственные мастерские Палехского отделения Худфонда РСФСР    Период оригинала: 20 век",ЖИВОПИСЬ,,17,10,,,"Размеры: В. 17, Ш. 10 (крышка ?) / В. 10, Ш. 17 (крышка ?)    Характер подписи: 435 ?"
13611,2016-06-14T09:46:06Z,Портрет членов семьи Романовых,,,19,28.5,,,"Размеры: В. 19.0, Ш. 28.5"
5208,2016-06-14T09:45:04Z,"Буква У (название придуманное)    Автор: Павлов Иван Николаевич (художник, гравер)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век ?; 1 половина 20 век ?",ОТТИСК,,11.1,8.2,,,"Размеры: В. 11.1, Ш. 8.2 (лист ?), В. 2.9, Ш. 2.7 (доска ?)"
3661,2016-06-14T09:44:53Z,Богородица (название старое): Богоматерь (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,25,30,,,"Размеры: В. 25, Ш. 30 (приблизительно) / В. 30, Ш. 25 (приблизительно)"
11401,2016-06-14T09:45:50Z,Лоточек,,,10.8,6.7,,,"Размеры: В. 10.8, Ш. 6.7"
15676,2016-06-14T09:46:27Z,Летний дом    Автор: Александр Маковский,ЖИВОПИСЬ,,23,35,,,"Размеры: В.23, Ш.35"
2499,2016-06-14T09:44:43Z,Портрет Новосельцева (название придуманное); Портрет Новосильцова (название предполагаемое); Мужской портрет (название употребляемое)    Автор: Аноним (художник)    Школа / Место издания: Россия    Период оригинала: 1 половина 19 век,ЖИВОПИСЬ,,66,54,,,"Размеры: В. 66, Ш. 54 (приблизительно);  В. 66, Ш. 53 (без обрамления)    Характер подписи: М.Ф. (О. сверху слева); Р. 225-99 (О. сверху справа)    Ссылка на каталоги / инвентари: ЧГОМ: № 397    Ссылка на каталоги / инвентари: Фото: см. источники.  Состояние: после реставрации (1995).  Надпись: см.фото"
