language,glottocode,latitude,longitude,value
Witsuwit'en-Babine,babi1235,55.0997,-126.41,absent
Soli,soli1239,-15.5213,28.7934,absent
Isirawa,isir1237,-1.88775,138.595,absent
Maranunggu,mara1386,-13.6754,130.12,absent
Moloko,molo1266,10.7933,14.2521,absent
Itonama,iton1250,-12.80431,-64.35748,absent
Bantoanon,bant1288,12.5194,122.034,absent
Ngarnka,ngar1283,-17.42,134.73,absent
Iyo,iyoo1238,-5.84161,146.092,absent
Mabaale,maba1270,2.11942,20.8759,absent
Western Cham,west2650,12.4771,104.026,absent
Yine,yine1238,-11.1086,-73.3087,absent
Chechen,chec1245,43.5,45.5,absent
Guwidj,guwi1238,-15.1,126.5,absent
Bobongko,bobo1255,-0.36759,121.922,absent
Bongili,bong1284,0.37063,16.6079,absent
Jedek,jede1239,5.3,101.75,absent
Bribri,brib1243,9.39794,-83.0539,absent
Aisi,musa1266,-5.37407,145.197,absent
Acoli,acol1236,3.57738,32.5147,absent
Nukna,nukn1238,-6.0177,146.969,absent
Cakfem-Mushere-Jibyal,cakf1236,9.00924,9.16071,absent
Wirangu,wira1265,-32,134,absent
Kamasau,kama1367,-3.8503,143.842,absent
Northern Lisu,nort3298,26.91,98.94,absent
Yulu-Binga,yulu1243,8.04124,23.6166,absent
Mawng,maun1240,-11.66,133.376,absent
Budza,budz1238,2.19951,22.6107,absent
Garo,garo1247,25.2954,90.462,absent
Kalanga,kala1384,-21.2887,27.401,absent
Kemezung,keme1240,6.6957700000000004,10.4984,absent
Parecís,pare1272,-14.5929,-57.4059,absent
Anem,anem1249,-5.54836,148.993,absent
Digo,digo1243,-4.62101,39.1752,absent
Hadza,hadz1240,-3.83115,35.0458,absent
Motembo-Kunda,temb1272,2.0246,20.36849,absent
Plains Cree,plai1258,51.2437,-110.463,absent
Sagalla,saga1262,-3.60164,38.5037,absent
Burunge,buru1320,-5.21369,35.963,absent
Northwestern Kolami,nort2699,20.1022,78.4934,absent
Palauan,pala1344,7.34138,134.476678,absent
Ternate,tern1247,0.80562,127.333,absent
Gayo,gayo1244,4.3733,97.3456,absent
Yuqui,yuqu1240,-16.7875,-64.9438,absent
Yavitero-Pareni,yavi1244,2.9248440000000002,-67.438886,absent
Mualang,mual1241,0.31083,111.077,absent
Warrwa,warr1258,-17.0965,123.971,absent
Nyali,nyal1250,1.92098,30.0201,absent
Tver,tver1240,65.1691,30.8655,absent
Tswa,tswa1255,-22.9891,32.4287,absent
Are,aree1239,-9.67147,149.999,absent
Galibi Carib,gali1262,5.83772,-56.8323,absent
Bats,bats1242,42.1806,45.344,absent
Urningangg,urni1239,-13.4766,133.023,absent
Amuzgu-Shiri,sirz1237,42.171599,47.332115,absent
Wambule,wamb1257,27.14808,86.47646,absent
Yindjibarndi,yind1247,-21.5379,117.001,absent
Bamwe,bamw1238,2.16773,19.1644,absent
Lamaholot,lama1277,-8.36439,122.803,absent
Ulch,ulch1241,51.8521,140.29,absent
Chamalal,cham1309,42.5024,45.995,absent
Middle Clarence Bandjalang,midd1357,-29.042737,152.780249,absent
Biao-Jiao Mien,biao1254,25.5309,111.344,absent
Neverver,ling1265,-16.1986,167.499,absent
Kerinci,keri1250,-1.93668,101.403,absent
Chocangacakha,choc1275,27.46961,91.21954,absent
Woods Cree,wood1236,57,-99,absent
Mbugwe,mbug1242,-3.75763,35.8133,absent
Chong of Chanthaburi,chon1284,12.5218,102.514,absent
Mba,mbaa1245,1.06885,25.143,absent
Koti,koti1238,-16.4823,39.7602,absent
Akajeru,akaj1239,13.1525,92.9504,absent
Votic,voti1245,59.3802,28.6235,absent
Sarsi,sars1236,50.8822,-114.301,absent
Southern Selkup,sout3262,58.6626,85.8581,absent
Bodo-Mech,bodo1269,26.1,92,absent
Bezhta,bezh1248,42.1206,46.0332,absent
Hieroglyphic Luwian,hier1240,40.019722,34.615278000000004,absent
Kamas (Uralic),kama1378,55.07,94.83,absent
Mundari,mund1320,23.03,85.85,absent
Bagvalal,bagv1239,42.3966,46.1041,absent
Taulil,taul1251,-4.44425,152.095,absent
Ume Saami,umes1235,64.6383,18.646,absent
Northern Tujia,nort2732,29.3016,109.759,absent
Yanyuwa,yany1243,-15.7621,136.055,absent
Sengseng,seng1281,-6.16474,149.784,absent
Awadhi,awad1243,27.5907,82.4663,absent
Asuri,asur1254,21.5721,83.4562,absent
Kesawai,kesa1244,-5.76797,145.58,absent
Movono,tang1347,-15.5643,166.958,absent
Tupinambá,tupi1273,-22.807778,-42.106389,absent
Hills Karbi,karb1241,25.7317,93.0462,absent
Kaska,kask1239,61.9942,-132.412,absent
Cahuilla,cahu1264,33.5324,-116.691,absent
Eastern Newari,east2773,27.576985,86.033964,absent
Kom (India),komi1270,24.8688,94.534,absent
Badaga,bada1257,11.3094,76.5974,absent
Gurung,guru1261,27.41687,86.28988,absent
Tidore,tido1248,0.02461,127.746,absent
Mohawk,moha1258,43.72,-74.66836,absent
Jaru,jaru1254,-18.3288,128.262,absent
Ninglang,ning1281,26.91,98.94,absent
Erzya,erzy1239,52.8548,45.3901,absent
Ghadames,ghad1239,30.1168,10.0165,absent
Borana-Arsi-Guji Oromo,bora1271,1.05676,37.882,absent
Bujhyal,bujh1238,28.0084,84.5068,absent
South Slavey,sout2959,59.8794,-117.047,absent
Mortlockese,mort1237,5.50735,153.710778,absent
Salinan,sali1253,37.6646,-121.718,absent
Drung,drun1238,28.00792,98.49449,absent
Arapaho,arap1274,43.3879,-108.81,absent
Burmeso,burm1264,-2.47582,138.203,absent
Daai Chin,daai1236,20.7347,93.7853,absent
Danau,dana1252,20.4957,96.998,absent
Awetí,awet1244,-12.381944,-53.391944,absent
Kipsigis,kips1239,-0.35774,35.258532,absent
Wintu,wint1259,39.7176,-122.445,absent
Pingelapese,ping1243,6.20743,160.711,absent
Kala Lagaw Ya,kala1377,-10.6748,142.196,absent
Popti',popt1235,15.6609,-91.6633,absent
Ganggalida,gang1267,-17.5446,139.426,absent
Mwani,mwan1247,-12.5821,40.4601,absent
Fulniô,fuln1247,-9.02591,-37.1402,absent
Northern Karelian,nort2673,65.1691,30.8655,absent
Central Chong,cent2314,12.608611,102.270556,absent
Chothe,chot1239,24.3722,94.2408,absent
Eastern Lawa,east2330,19.0136,98.7613,absent
Girawa,gira1247,-5.35342,145.423,absent
Hruso,hrus1242,27.27,92.63,absent
Kwaza,kwaz1243,-11.6667,-61.1833,absent
Maco,maco1239,4.5621,-66.5813,absent
Marik,mari1428,-5.349,145.59,absent
Tswana,tswa1253,-24.368,24.7587,absent
Eastern Panjabi,panj1256,30.0368,75.6702,absent
Tsonga,tson1249,-23.5754,31.8105,absent
Ingush,ingu1240,43.11,45.03,absent
Manambu,mana1298,-4.19082,142.862,absent
Yongbei Zhuang,yong1276,23.1,108.15,absent
Ottawa,otta1242,44.5988,-83.226,absent
Yidiñ,yidi1250,-17.1332,145.876,absent
Kuman,kuma1280,-5.90586,144.977,absent
Mateq,kemb1249,0.66181,110.468,absent
Yuchi,yuch1247,35.75,-86.75,absent
Jingulu,djin1251,-17.165,133.659,absent
Chitimacha,chit1248,30.3386,-90.9123,absent
Kambaata,kamb1316,7.37582,37.9088,absent
Wagaya,waga1260,-20.329,137.623,absent
Aleut,aleu1260,52.1228,-174.29,absent
Siuslaw,sius1254,42.5111,-124.379,absent
Saamia,saam1283,0.3652,34.0335,absent
Gugu Badhun,gugu1253,-18.4921,144.46,absent
Big Nambas,bign1238,-16.0903,167.239,absent
Mazagway,maza1304,10.175,13.6873,absent
Lotha Naga,loth1237,26.01396,94.04355,absent
Nepali,nepa1254,28,85,absent
Tsat,tsat1238,18.3192,109.336,absent
Bomboma,bomb1262,2.40195,18.7841,absent
Baré,bare1276,1.91649,-66.828,absent
Siksika,siks1238,49.0669,-113.109,absent
Batu (Indonesia),batu1257,0.90691,97.4961,absent
Gweno,gwen1239,-3.68407,37.6827,absent
Butam,buta1242,-4.471696,152.245674,absent
Woiwurrung-Thagungwurrung,woiw1237,-37.64264501,145.5879962,absent
Arop-Sissano,arop1242,-3.06984,142.12,absent
Arammba,aram1253,-8.29593,141.445,absent
Paluai,balu1257,-2.5604,147.282,absent
Kaba,kaba1281,7.64972,16.7344,absent
Gambera,gamb1251,-14.29546,126.27131,absent
