country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Russia,1960,18414,KRASNOBATAR,89,170,170,45.08579489918,37.791082735009,"Hoard of 89 gold stateri of the Bosporan kings: Sauromates I - 3, Cotys II - 6, Rhoemetalkes - 11, Eupator - 69.",NA,II century
"England, United Kingdom",1929,1037,ASHFORD,18,150,150,51.160631,0.84460875,"A Roman burial was discovered in the spring of 1929 in widening the south side of the Ashford-Maidstone-London road. This almost certainly represents an untouched cremated deposit. Together with other objects, it contained 18 gold coins or disks.",NA,II century
Egypt,1962,7790,ASWAN A48,45,138,161,24.089,32.9,"45 billon provincial coins of Alexandria: Claudius I - Antoninus Pius (AD 138-161). Examined and photographed December 1962 in Athens by Hackens at a dealer of antiquities, who reported the hoard to have been found near Aswan.'",Dispersed,II century
Netherlands,1988,9899,GASSEL 1988,19,184,185,51.741,5.785,19 asses found within one square meters: Vespasian - Commodus (AD 177).,Private collection,II century
Sweden,1890,15543,ÖSTER RYFTES,16,183,184,57.654401,18.593807,"Originally 17 denarii, 16 preserved: Trajan - Commodus (AD 183-184); silver weight: 44.65 g. (16 coins). Together were also found: 1 gold bracteate, 1 gold finger ring, 2 neck-rings of bronze with silver mountings, 2 somewhat smaller bronze rings, 1 bronze clasp, 1 bronze strap-end, several bronze spirals, 1 amber bead, 2 coral beads.","Swedish History Museum, Stockholm (inv.no. 8793)",II century
Bulgaria,1910,10414,NOVI PAZAR,40,161,180,43.3467,27.1922,Unknown initial number of denarii. 40 coins entered the museum collection in Sofia: Nero - Marcus Aurelius (AD 161-180).,"National Archaeological Institute with Museum, Sofia, Bulgaria; inv.no. X",II century
Netherlands,2015,17469,JUKWERD,14,161,180,53.335001605631,6.8467503566873,"A clump of at least 14 denarii molten together. The only reasonably identifiable coin is one of Antoninus Pius for Diva Faustina I, minted between 141 and 161 AD. Another denarius was likely issued under the authority of Marcus Aurelius.",NA,II century
Switzerland,2001,6446,AUGST BL-INS. 28 2001,10,183,185,47.531,7.723,"Found during excavations. Assemblage of 10 aes coins, Domitian to Commodus, in a roadside ditch, spread out over ca. 5x1 metres. The hoard comprised 3 dupondii and 7 asses.",NA,II century
Ukraine,2021,20646,POLONNE – VICINITY,45,180,192,50.1332963609,27.5019939919,"A hoard of 60 Roman imperial denarii was discovered by a treasure hunter at the end of September 2021: Vespasian – Commodus (AD 180-192). Photos of 45 coins were published on the Ukrainian forum for treasure hunters, Violity. According to the finder, the coins were in a “small pit”, not far from a settlement of the Chernyakhiv culture, on the depth ca. 15-30 cm. At the end of 2021, the coins were sold at the Violity auction.",Sold,II century
Bulgaria,2004,10198,SVIŠTOV 2004,10,117,138,43.612,25.393,"10 bronze coins found during archaeological excavations: 5 sestertii, 2 dupondii, 3 asses: Claudius I - Hadrian (AD 117-138).","History Museum, Svištov, Bulgaria; inv.nos OF 3583-3588; HCF, inv.no. 886-889",II century
