UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
d757d58b-77b7-458c-a379-b75c414a89cf,Book 10,Pleuron,char-offset:40471,PLACE,,,,,,,UNVERIFIED,,,,
16046d26-fe99-44d6-9d00-7e885198ddc9,Book 2,Heroopolis,char-offset:48967,PLACE,http://pleiades.stoa.org/places/727124,"Heroonpolis|Patoumos/Pithom, Tell el-Maskhuta",-0030/0640,30.55278,32.09944,settlement,VERIFIED,,,,
6a086bd3-951b-400c-b73e-692daeb260e4,Book 6,Italy,char-offset:28382,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
a1570c83-c238-40f2-8130-a7412f247225,Book 15,Egypt,char-offset:34656,PLACE,,,,,,,UNVERIFIED,,,,
3d9e713c-f96b-4e03-b65c-0a6d8b405c2d,Book 6,Messana,char-offset:30072,PLACE,http://pleiades.stoa.org/places/462538,"Zancle/Messana|Zancle/Messana, Messina",-0750/2100,38.1923323,15.5555232,settlement,VERIFIED,,,,
cbebf8a1-8fab-4128-90fc-2976737c63f0,Book 2,Europe,char-offset:159708,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
a23611fa-c5d5-40c5-bad9-5de3f4872609,Book 4,Garonne,char-offset:34616,PLACE,http://pleiades.stoa.org/places/138369,"Garumna (river)|Garumna, Garonne (La)",-0330/0640,45.585693,-1.047134,river,VERIFIED,,,,
3777a985-9429-4696-bc41-0071eabd013d,Book 5,Palatium,char-offset:72173,PLACE,http://sws.geonames.org/3171655,,,,,,VERIFIED,,,,
17834c9c-87da-4c61-bf12-d7b1151a541e,Book 5,Italy,char-offset:46206,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
8beba486-049e-408c-b7b1-f833c95e5646,Book 6,Sicily,char-offset:3856,PLACE,http://pleiades.stoa.org/places/981549,Sicilia (Roman province),,37.751645425,14.6747958,province,VERIFIED,,,,
cdc26249-d987-4ca4-ab6a-1b5e4d40c69c,Book 5,Pelasgic,char-offset:30993,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
de53adb0-1e95-40ea-91a1-a70ff080716f,Book 2,Cyrene,char-offset:177906,PLACE,http://pleiades.stoa.org/places/373778,"Cyrene|Cyrene, Shahhat",-0750/2100,32.818736,21.856169,settlement,VERIFIED,,,,
