language,glottocode,latitude,longitude,value
Yabem,yabe1254,-6.67052,147.81,absent
Toto,toto1302,26.67,88.975,absent
She,shee1238,23.0399,114.814,absent
Cavineña,cavi1250,-13.3544,-66.6277,absent
Northern Bai,nort2724,26.925,99.656,absent
Latvian,latv1249,56.826108,24.309118,absent
Maranao,mara1404,7.79414,124.175,absent
Makaa,maka1304,4.15471,13.0789,absent
Colloquial Jakarta Indonesian,cjin1234,-6.277146,106.848088,absent
Bondo,bond1245,19.1512,83.8141,absent
Budukh,budu1248,41.2272,48.3353,absent
Bongili,bong1284,0.37063,16.6079,absent
Mohawk,moha1258,43.72,-74.66836,absent
Wambule,wamb1257,27.14808,86.47646,absent
Misima-Paneati,misi1243,-10.6821,152.696,absent
Poyanáwa,poya1241,-7.46909,-73.0758,absent
Coastal-Naga Bikol,cent2087,13.7574,123.403,absent
Awara,awar1248,-6.16986,146.372,absent
Jingulu,djin1251,-17.165,133.659,absent
Gorum-Parenga,pare1266,19.075,83.9723,absent
Mam,mamm1241,14.8034,-91.7231,absent
Iwam,iwam1256,-4.27346,141.817,absent
Imbabura Highland Quichua,imba1240,0.31776,-78.3729,absent
Marithiel,mari1424,-13.8818,130.237,absent
Gobu,gobu1238,5.01201,20.0194,absent
Southern Jinghpaw,kach1280,25.4634,97.3278,absent
Kanasi,kana1288,-10.1658,149.751,absent
Mbo (Cameroon),mboc1235,5.13981,9.92766,absent
Maranunggu,mara1386,-13.6754,130.12,absent
Waiwai,waiw1244,1.50881,-59.1417,absent
Congo Swahili,cong1236,-7.2692,27.4196,absent
Bugan,buga1247,23.6124,104.963,absent
Asuri,asur1254,21.5721,83.4562,absent
Lezgian,lezg1247,41.5157,47.8951,absent
Musgu,musg1254,10.8439,15.1065,absent
Tsonga,tson1249,-23.5754,31.8105,absent
Huarijio,huar1255,27.8685,-108.437,absent
Luvale,luva1239,-13.5382,22.2924,absent
Tinà Sambal,tina1248,15.5797,120.095,absent
Sirionó,siri1273,-15.5298,-63.9688,absent
Chocangacakha,choc1275,27.46961,91.21954,absent
Tarama-Minna,tara1319,24.7564,125.363,absent
Tooro,toor1238,0.57291,30.6389,absent
Wayu,wayu1241,27.3047,86.1227,absent
Seediq,taro1264,23.9032,121.358,absent
Ingush,ingu1240,43.11,45.03,absent
Western Mari,west2392,56.22,46.569,absent
Burarra,bura1267,-12.3061,134.365,absent
Tule-Kaweah Yokuts,tule1245,36.05354,-118.768616,absent
Riantana,rian1263,-7.50746,138.484,absent
Sunwar,sunw1242,27.5201,86.2476,absent
Lashi,lash1243,26.0992,98.5481,absent
Eastern Geshiza,east2851,31.1026,101.72,absent
Hieroglyphic Luwian,hier1240,40.019722,34.615278000000004,absent
Bondei,bond1247,-5.10749,38.5079,absent
Pemon,pemo1248,4.97031,-61.4033,absent
Hyam,hyam1245,9.57832,7.95163,absent
Ama (Sudan),amas1236,12.0993,29.4332,absent
Meramera,mera1242,-4.97468,151.528,absent
Ngiti,ngit1239,1.30455,30.2242,absent
Bangru,bang1369,27.95,93.15,absent
Shoshoni,shos1248,41,-116,absent
Ramoaaina,ramo1244,-4.17306,152.451,absent
North Slavey,nort2942,63.2671,-123.641,absent
Eastern Bru,east2332,17.1311,105.671,absent
Maykulan,mayk1239,-20.4352,140.481,absent
Mouk-Aria,mouk1239,-5.71155,149.158,absent
Lamkang,lamk1238,24.1523,94.2706,absent
East Ambae,east2443,-15.3523,167.89,absent
Western Subanon,west2557,7.79964,122.341,absent
Bukiyip,buki1249,-3.47169,143.111,absent
Hruso,hrus1242,27.27,92.63,absent
Nisga'a,nisg1240,55.199,-129.192,absent
Kimaama,kima1246,-8.01899,138.355,absent
Akkadian,akka1240,33.1,44.1,absent
Tharaka,thar1283,-0.13221,38.073,absent
Udi,udii1243,40.9,47.7236,absent
Murle,murl1244,6.69756,33.988,absent
Mandarin Chinese,mand1415,40.0209,116.228,absent
Ineseño,ines1240,34.6169,-120.08,absent
Ashéninka Perené,ashe1272,-10.9777,-74.9153,absent
Kobon,kobo1249,-5.16446,144.46,absent
Aghem,aghe1239,6.38956,10.0807,absent
Isnag,isna1241,18.2139,121.16,absent
Wunambal,wuna1249,-14.8347,125.72,absent
Sakha,yaku1245,61.6974,133.98,absent
Amdo Tibetan,amdo1237,34.5177,100.485,absent
Tehuelche,tehu1242,-47.5796,-68.3235,absent
Paiwan,paiw1248,22.3271,120.806,absent
Island Carib,isla1278,15.364795,-61.342957,absent
Witsuwit'en-Babine,babi1235,55.0997,-126.41,absent
Blang,blan1242,22.0092,99.7405,absent
Biangai,bian1252,-7.33882,146.765,absent
Namia,nami1256,-3.85538,141.788,absent
Southern Sierra Miwok,sout2985,38.2363,-120.507,absent
Dera (Indonesia),dera1245,-3.52309,140.947,absent
Dzongkha,dzon1239,27.410786,89.581604,absent
Bargam,barg1252,-4.8723,145.756,absent
Baraamu,bara1357,28.3768,85.0584,absent
Pagibete,pagi1243,3.15636,22.1212,absent
Even,even1260,70.6687,130.914,absent
Moyon,moyo1238,24.4793,94.3421,absent
Sanga (Democratic Republic of Congo),sang1331,-10.0236,26.8462,absent
Tangut,tang1334,38.894904,102.246464,absent
Kuku-Uwanh,kuku1280,-14.0756,141.724,absent
Kuy,kuyy1240,14.6698,104.911,absent
Hunzib,hunz1247,42.0808,46.1369,absent
Hanga Hundi,hang1263,-3.90364,142.849,absent
Igbo,nucl1417,4.62705,7.23441,absent
Siwu,siwu1238,7.23811,0.44362,absent
Tupinambá,tupi1273,-22.807778,-42.106389,absent
Cao Miao,caom1238,26.2236,109.547,absent
Kasaba,nort2701,12.70645,79.95209,absent
Katukína do Biá-Ipixuna,katu1276,-6.45399,-68.7678,absent
Marathi,mara1378,17.9344,76.6665,absent
Cogui,cogu1240,10.9485,-73.8043,absent
Terei,tere1278,-6.70051,155.745,absent
Zacatepec Chatino,zaca1242,16.08,-97.3069,absent
Nez Perce,nezp1238,46.3073,-116.408,absent
Tunen,tune1261,4.75,10.67,absent
Qaqet,qaqe1238,-4.45258,151.702,absent
Matbat,matb1237,-1.8801,130.075,absent
Central Khmer,cent1989,12.0515,105.015,absent
Adzera,adze1240,-6.39394,146.294,absent
Mundari,mund1320,23.03,85.85,absent
Eastern Kikongo,east2782,-5.25,15.5,absent
Korowai,koro1312,-5.26952,140.047,absent
Khwarshi-Inkhoqwari,khva1239,42.2743,45.9977,absent
Lovono,vano1237,-11.6107,166.7984,absent
Honi,honi1244,23.2074,101.886,absent
Labu,labu1248,-6.75,146.903,absent
Amarakaeri,amar1274,-12.4931,-70.5533,absent
Nusu,nusu1239,26.7292,98.8801,absent
Isthmus-Cosoleacaque Nahuatl,isth1240,17.9401,-94.7347,absent
Nhengatu,nhen1239,1.04503,-66.9646,absent
Kulung (Nepal),kulu1253,27.1606,87.5717,absent
Aleut,aleu1260,52.1228,-174.29,absent
Nati,nati1244,-16.468709,167.496054,absent
Kalamang,kara1499,-3.47037,132.678,absent
Kanite,kani1286,-6.38841,145.556,absent
Sudest,sude1239,-11.5229,153.488,absent
Bih,biha1246,12.483333,108.016667,absent
Aghu,aghu1255,-6.34674,140.043,absent
Bokar-Ramo,boka1249,28.61433,94.066429,absent
Kulon-Pazeh,kulo1237,23.7562,120.976,absent
Garo,garo1247,25.2954,90.462,absent
Calderón Highland Quichua,cald1236,-0.36205,-78.2587,absent
Unua,unua1237,-16.2638,167.599,absent
Grass Koiari,gras1249,-9.51218,147.437,absent
Wagaya,waga1260,-20.329,137.623,absent
Arapaho,arap1274,43.3879,-108.81,absent
Central Tunebo,cent2150,6.8867,-72.097,absent
Gyele,gyel1242,2.47457,10.2493,absent
Margany,marg1253,-26.789,144.892,absent
Nhanda,nhan1238,-27.425236430000002,114.2680442,absent
Guahibo,guah1255,5.81736,-68.9839,absent
Yaminahua,yami1256,-9.8846,-71.5964,absent
Dzao Min,dzao1238,24.9754,112.326,absent
Mikasuki,mika1239,26.08142,-80.90847,absent
Huallaga Huánuco Quechua,hual1241,-9.57135,-75.594,absent
Kadar,kada1242,11.0602,76.7285,absent
Konzo,konz1239,0.32395,29.8696,absent
Southern Amami-Oshima,sout2954,28.1955,129.285,absent
Umiida-Unggarangu,umii1235,-16.559333,124.5,absent
Nepali,nepa1254,28,85,absent
Kamas (Uralic),kama1378,55.07,94.83,absent
Situ,situ1238,31.590536,102.660664,absent
Veps,veps1250,60.3353,34.7865,absent
Siwi,siwi1239,29.200415,25.519627,absent
Bugawac,buga1250,-6.67519,147.32,absent
Kwerba,nucl1595,-2.2137,138.486,absent
Negeri Sembilan Malay,nege1240,2.66503,102.291,absent
Selepet,sele1250,-6.03532,147.234,absent
Salinan,sali1253,37.6646,-121.718,absent
Sara Kaba Náà,sara1321,9.39388,19.2566,absent
San Miguel El Grande Mixtec,sanm1295,17.046881,-97.622482,absent
Tibea,tibe1274,5.30535,11.3103,absent
Kom (India),komi1270,24.8688,94.534,absent
Eastern Mnong,east2333,12.3939,108.354,absent
Wusa Nasu,wusa1235,25.7707,102.367,absent
Sherdukpen,sher1257,27.0035,92.5799,absent
Betawi,beta1252,-6.21174,107.022,absent
North Junín Quechua,nort2980,-11.2132,-75.8128,absent
Western Lawa,west2396,19.8678,99.2057,absent
Zhaba,zhab1238,30.7416,100.983,absent
Baniwa do Icana,bani1255,2.17859,-67.7704,absent
Chippewa,chip1241,47.347,-94.2738,absent
Western Panjabi,west2386,30.0948,75.3474,absent
Orokaiva,orok1269,-8.79019,148.09,absent
Central Sierra Miwok,cent2140,38.0812,-120.257,absent
Estonian,esto1258,58.55,25.82,absent
Mpur,mpur1239,-0.7489,133.166,absent
Berjozovka,berj1234,70.6687,130.914,absent
Jur Modo,jurm1239,6.03321,29.974,absent
Ajië,ajie1238,-21.3029,165.468,absent
Mansim,mans1260,-0.915054,134.011116,absent
Erzya,erzy1239,52.8548,45.3901,absent
Bebele,bebe1248,4.78874,12.824,absent
Maybrat-Karon,maib1239,-1.3679,132.591,absent
Rejang Kayan,reja1241,2.71903,114.169,absent
Bhojpuri,bhoj1244,26.458455,84.817115,absent
Nanai,nana1257,48.4343,134.797,absent
Sidamo,sida1246,6.74176,38.3729,absent
Brao,lave1249,14.5994,107.008,absent
Taibei Hokkien,taib1242,25.0853403,121.4231642,absent
Baba Malay,baba1267,1.75414,103.076,absent
Nyakyusa-Ngonde,nyak1260,-9.71018,33.7763,absent
Wappo,wapp1239,38.25,-122.5,absent
Sora,sora1254,19.1213,84.19,absent
Kuku-Yalanji,kuku1273,-16.0036,145.188,absent
Western Apache,west2615,33.8574,-110.123,absent
Huron-Wyandot,wyan1247,44.33,-77.5,absent
Fuyug,fuyu1242,-8.6371,147.312,absent
Kerinci,keri1250,-1.93668,101.403,absent
Alagwa,alag1248,-4.64148,35.7231,absent
Cabécar,cabe1245,9.67031,-83.4102,absent
Ndengereko,nden1248,-7.54628,38.958,absent
Maniq,tong1308,6.88137,100.102,absent
