country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Ukraine,1883,18171,STARYIE VALKI 1883,10,180,192,49.862122952047,35.523089388633,"Unknown originally number of denaarii found with a ceramic vessel. Only 10 coins were recovered. Among issuers: Augustus, Tiberius, Nero, Antoninus Pius, Commodus and other emeperors.",Private collection Golyakhovski,II century
Italy,1951,13872,ALTINO 1951,514,180,192,45.5469,12.3993,514 imperial bronze coins: Nerva - Commodus (AD 180-192).,"Collection J. Marcello, Soprintendenza Archeologica di Padova, Italy",II century
Bulgaria,1928,10081,MAKRESH,90,161,180,43.7644,22.6439,"(90) 27 denarii: 7 republican, 20 imperial: Republic - Marcus Aurelius (AD 161-180). Found in a ceramic vessel.",NA,II century
Romania,1958,16312,BĂLĂNEȘTI 1958,103,181,181,46.95159,26.635579,"103 denarii, among which one imitation: Vespasian – Commodus (AD 181).","History Museum, Piatra Neamț, Romania (Inv.no. 3234)",II century
France,2009,12965,MESNEUX - SITE 9,343,193,196,49.219,3.96,"343 bronze coins: 337 sestertii, 6 dupondii: Galba - Septimius Severus (AD 193-196). Weight:8205.03 g.","Saint-Remi History Museum, Reims, France; inv. nos. B-C",II century
Germany,1892,5239,MIDDELS-OSTERLOOG,80,140,143,53.539,7.636,The hoard of 79 denarii (one Republican denarius; imperial coins range from Nero to Antoninus Pius) and one Lycian drachm was found in 1882 during plowing of a court at Middels-Osterloog. The coins lay in a container.,NA,II century
France,1881,7128,AUTUN 1881,9,138,161,46.959,4.298,"The hoard comprised 9 aurei found near the 'Caserne' of Autun. The aurei dated from Vespasian to Faustina I, and may be just a small part of a more important hoard.",NA,II century
Germany,1912,16710,MÜHLACKER-DÜRRMENZ,22,161,180,48.949104,8.850427,"The 22 coins (sestertii, Trajan - Marcus Aurelius) are the remnants derived from a hoard of at least five pounds from a meadow (Eckenweiher) where Roman villas have been found. The find is labelled as 'Kollektivfund' in FMRD.",NA,II century
Poland,2004,13733,RZECZKI,14,185,185,52.845151,20.689493,"14 denarii found at a distance of a few hundred meters from each other on both banks of the Sonia River, the tributary of the Sona: Titus - Commodus (AD 185).","Muzeum Szlachty Mazowieckiej, Ciechanów, Poland",II century
Hungary,1920,13135,ZALAHOSSZÚJFALU 1920,350,161,180,46.761,17.103,Unknown initial number of coins found with a ceramic vessel. 350 coins were basically examined : Vespasian - Marcus Aurelius (AD 161-180).,"Balaton Museum Keszthely (312 coins); Magyar Nemzeti Muzeum, Budapest (38 coins), Hungary",II century
Egypt,1924,7791,KOM AUSHIM A49,7,152,153,29.52009,30.9023,Seven bronze coins: Hadrian - Antoninus Pius (AD 152-153) found secreted in a wall of a vaulted storage room during excavation of a granary.,NA,II century
Netherlands,1920,13954,BROEKHUIZERVORST 1920,14,117,138,51.495238,6.157579,"14 copper coins, reported as dated between possibly 69 and 117 AD, but inter alia Vespasian, Domitian, Hadrian, so 69-138 in any case.",NA,II century
Spain,1987,17566,VILLA DE LA FUENTE DE LAS PULGUINAS,5,138,161,38.246600042631,-1.4216046991858,"Five bronze coins found one next to the other: as Republic, 3 asses Hadrian, 1 dupondius Antoninus Pius.","Museo de Siyâsa, Cieza, Spain",II century
Spain,2000,17564,BAETULO,33,125,128,41.452387974632,2.2470209493459,33 bronze coins found together in one insula of the former Roman city of Baetulo.,"Museo de Badalona, Spain",II century
Croatia,1909,5252,SOTIN 1909,2050,165,166,45.292,19.0915,"Initially, circa 2,050 coins. Only 1,938 enter in the museum collection: 270 republican denarii, 1662 imperial denarii, 5 drachms, 1 as: Republic - Marcus Aurelius (AD 165-166). Found with a bronze jar.",Archaeological Museum in Zagreb,II century
Romania,1963,2941,FĂUREI,42,193,194,46.911546,26.709364,Unknown originally number of coins. 42 denarii: Otho - Septimius Severus (AD 193-194); silver weight: 78.0-122.8 g.,NA,II century
"England, United Kingdom",1929,1037,ASHFORD,18,150,150,51.160631,0.84460875,"A Roman burial was discovered in the spring of 1929 in widening the south side of the Ashford-Maidstone-London road. This almost certainly represents an untouched cremated deposit. Together with other objects, it contained 18 gold coins or disks.",NA,II century
France,2003,17414,REIMS - SURROUNDINGS,200,197,197,49.253915,4.033809,Unknown originally number of coins. Circa 200 sestertii were seen From Flavians to Septimius Severus (AD 197). Only 29 were available for study.,NA,II century
