name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Отар-Дубровская сельская библиотека – филиал № 16,"Респ Татарстан,р-н Пестречинский,с Отар-Дубровка,ул Центральная,д 6",50.022157,55.688796,"В 1967 году библиотека в д. Отар-Дубровка существовала в виде передвижки. Заведующим сельским клубом в те годы работал Нуретдин Габдрахимович Валитов. Одновременно он выдавал книги читателям.В 1968 году колхоз построил здание клуба и библиотеки. Первым библиотекарем была Асия Шайхутдинова.В 2001 году библиотека переехала в здание правления колхоза, в 2006 году – в Отар-Дубровскую среднюю общеобразовательную школу.В настоящее время библиотека находится в здании Отар-Дубровского сельского клуба. Библиотекарь – Фания Сулеймановна Бадрутдинова.В библиотеке систематически проводятся литературные вечера, встречи с поэтами и писателями края, квесты, презентации. Сюда можно прийти не только за книгой, но и почитать газеты, поработать на компьютере, пообщаться с друзьями. В библиотеке всегда чисто, уютно и комфортно. Фонд включает 9 542 экземпляра книг, брошюр и журналов.",2022-04-11T05:38:24Z,2023-02-01T07:02:48Z,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,09:00:00,16:00:00,,
Дюсьметьевская сельская библиотека – филиал № 54,"Респ Татарстан,р-н Мамадышский,с Дюсьметьево,ул Молодежная,д 17",51.2548463372955,55.8651369219887,"Дюсьметьевская сельская библиотека расположена в здании Дома культуры, построенном в 1990 году. В августе этого же года в Доме культуры открылась и сельская библиотека. По воспоминаниям старожилов на месте этого здания стояла часовня. Со временем она была разрушена, фонд библиотеки расформировали и отправили в деревню Крящ-Ерыкса. Так библиотека прекратила свое существование вплоть до 1990 года. На сегодняшний день фонд включает 9 044 экземпляра, читателей – 205. В библиотеке проводятся вечера, приуроченные к календарным, юбилейным и памятным датам, встречи с интересными людьми-земляками. Библиотекарь в своей работе охватывает все категории населения.",2021-04-26T13:04:49Z,2023-03-01T12:07:03Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,17:00:00,22:00:00,,
Варяш-Башевская сельская библиотека,"Респ Татарстан,р-н Муслюмовский,с Варяш-Баш,ул Кооперативная,зд 45а",53.258373583992,55.3625060032092,"Первая библиотека в селе Варяшбаш была открыта в 1957 году. Библиотекарем, с 1957 года по 1958 год проработала Мархаба Габбасовна. С 1958 по 1969 гг библиотекарем была Гараева Фардия, 1969 – 1986гг – Ханова Ракия. С 1987 по 2017 гг библиотекарем была Хазиева Расинур Шайхенуровна.С сентября 2017 г. заведующая библиотекой Варяшбашевской с/б – Сахабетдинова Алия Мваракзяновна.Библиотека обслуживает 1 населенный пункт – деревню Варяш-Баш. Число абонентов – 290, число посещений – 5355. Объем библиотечного фонда составляет 6870 экземпляров. В библиотеке ведется активная работа с населением, с коллективом СК, детским садом.Активно работают 2 клуба: «Илһам» (для старшего поколения) и «Тамчы» (для детей).",2022-03-29T06:43:34Z,2023-01-04T06:13:24Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00
Лесхозская сельская библиотека – филиал № 22,"Респ Татарстан,р-н Арский,п Урняк,ул Лесная,д 45в",50.005484,56.232574,"В 1966 году в конторе Арского лесхоза поселка Урняк была открыта библиотека. В этом же году было построено новое деревянное здание, которое передали под библиотеку. В разные годы библиотекарями были Спешилова Полина Александровна, Емельянова Ляля Сергеевна, Асманова Ольга Григорьевна. В 1972 году библиотеку перевели в новое, более светлое и просторное здание. С 1975 по 2014 год Лесхозской сельской библиотекой заведовала Любовь Анатольевна Кузнецова. С ее приходом библиотечная работа была поставлена на качественно новый уровень.С 2014 года библиотекой заведует Шаймуллина Раушания Ибрагимовна. Фонд библиотеки составляет 9 582 экз. печатных изданий, из них на русском языке – 6 670, на татарском – 2 916. Библиотека ежегодно получает от 20 до 30 наименований газет и журналов. В 2020 году Лесхозская сельская библиотека стала победителем конкурса, организованного Фондом президентских грантов Российской Федерации, с экологическим проектом «Жить в стиле эко».",2021-05-25T19:49:38Z,2023-02-22T13:33:30Z,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,12:00:00,16:00:00,,
Шетнево-Тулушская сельская библиотека,"Респ Татарстан,р-н Рыбно-Слободский,с Шетнево-Тулуши,ул М.Джалиля,д 13А",49.7915474093704,55.6026999886497,"Шетнево-Тулушская сельская библиотека открылась в 1949 году.Находилась библиотека в маленьком ветхом домике, . Книг поначалу было немного, около 1000 экземпляров, но читатели охотно посещали библиотеку. Первым библиотекарем была Марзия апа (приезжая,фамилию не помнят).а с 1955 года начала работать библиотекарем Шакирова Сания апа. В 1960 году это ветхое здание снесли.комсомольцы нашей деревни писали письмо в Казань с просьбой помощь строить Дом Культуру в деревне.И в 1961 году открылся новый клуб и библиотеку перевели в здание клуба .В одной комнате разместили книжный фонд, а в другой – читальный зал. Са. А с 1996 года по сегодняшний день заведующий Шетнево-Тулушской сельской библиотекой работаю я-Галимова Гульзида Камиловна.в 2006 году библиотека переехала в здание новый школы.есть все условия для работы.книжный фонд составляет около 8 тысячи экземпляров. Библиотека обслуживает 3 деревни.(Шетнево-Тулуши,Новая Ирга и Черемшан.0 Ежегодно услугами библиотеки пользуються 450 пользователей. Библиотека активно сотрудничает со школой, администрацией поселения.С читателями проводиться интересные мероприятия к знаменитым датам.",2021-04-08T11:35:12Z,2023-02-21T07:29:15Z,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,,
Больше-Фроловская сельская библиотека,"Респ Татарстан,р-н Буинский,с Большое Фролово,ул Гагарина,д 7",48.407597,55.052902,"В 1933 году в селе Большое Фролово появилась изба-читальня. Первым ее библиотекарем был И. Лаврентьев. Он переписывался с известными писателями М. Горьким, Д. Бедным. В 1976 году построили новый сельский Дом культуры в одном здании с библиотекой. В настоящее время зона обслуживания – 650 жителей, более 550 из них являются читателями библиотеки. Книжный фонд насчитывает 12 612 экземпляров, посещаемость – 11 550, книговыдача – 13 179 единиц. В 2011 году в библиотеке установили компьютер с выходом в интернет. Учреждение работает совместно с администрацией села, школой, детсадом. Библиотека живет активной жизнью. Одним из важнейших направлений деятельности является массовая работа с читателями: проводятся обзоры выставочной литературы, часы поэзии, литературно-музыкальные композиции, познавательные уроки и беседы, викторины и конкурсы. Важной составной частью библиотечного обслуживания остается выставочная деятельность библиотеки, где непосредственный показ книг и материалов, раскрывающий их содержание, быстрее всего помогает книге найти своего читателя.",2021-04-06T17:12:28Z,2023-02-03T07:13:39Z,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00
Подгорновская сельская библиотека,"Респ Татарстан,р-н Ютазинский,п Подгорный,ул Центральная,д 22А",53.48721,54.662807,"В 1951 году в Подгорном была открыта первая библиотека. Она находилась в деревянном доме вместе с клубом. В 1960 году на деревянных полках находилось 1 906 экземпляров книг. Постепенно фонд библиотеки пополнялся. В 1970 году был сдан в эксплуатацию новый сельский Дом культуры на 200 мест, в одном из помещений которого расположилась и библиотека. В 2017 году был сдан в эксплуатацию новый Многофункциональный центр, библиотека переехала в одну из комнат этого здания. На сегодняшнее время фонд составляет 11 829 экземпляров книг. На русском языке – 7 476 книг. На татарском языке – 4 353 книги. Основные направления работы библиотеки – патриотическое, экологическое, профилактика дорожных происшествий и чрезвычайных ситуаций. Пенсионеры являются одной из самых активных групп читателей. Работает кружок «Калейдоскоп» для любителей художественного слова.",2021-03-24T10:39:37Z,2023-02-21T07:43:00Z,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,,
"Лебяжинская сельская библиотека, филиал № 13","Респ Татарстан,р-н Алексеевский,с Лебяжье,ул Центральная,д 29А",50.152421,55.326778,"Лебяжинская сельская библиотека является связующим звеном с системой библиотек района. Она была создана в 1953 году. С 1978 года находится в здании Дома культуры. Библиотека насчитывает около 6 000 книг, а также периодических изданий, 563 читателя посещают библиотеку. Наиболее распространенными и востребованными в библиотеке являются такие направления работы, как военно-патриотическое воспитание, экологическое просвещение, пропаганда здорового образа жизни, пропаганда книги. Для привлечения читателей в библиотеку проводятся разнообразные мероприятия: беседы, обзоры, тематические вечера, викторины, конкурсы, литературные часы и многое другое.",2021-04-18T07:46:41Z,2023-02-17T14:07:54Z,,,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00
Бугульминский филиал библиотеки для слепых им. Ш. К. Еникеева,"Респ Татарстан,р-н Бугульминский,г Бугульма,ул Петра Чайковского,д 14",52.838851,54.534026,"Бугульминский филиал был открыт 17 октября 1938 года. Тогда еще отдельного помещения для библиотеки не было. В 1956–1957 годах построили специальное здание для библиотеки на улице Калинина, 30. В 1958–1959 годах библиотеку возглавлял инвалид по зрению I группы Г. П. Козлов. Далее на этой должности работали В. А. Астафьев, Х. Н. Шишкина. В 1965 году заведующим был назначен инвалид I группы Г. Т. Батыршин, который проработал на этой должности до октября 1986 года. С 1975 года библиотека является филиалом Республиканской специальной библиотеки для слепых, до этого она относилась к городскому отделу культуры. В фондах насчитывается более 43 000 экземпляров книг. Бугульминский филиал – это единственный реабилитационный, информационный и культурный центр по обслуживанию инвалидов по зрению в городе, он является социально значимым учреждением. Библиотека сегодня – это многофункциональный реабилитационный, информационный центр, справочное бюро, место семейных чтений, бюро добрых услуг. Читатели здесь получают разную информацию: деловую, социально-бытовую, общеобразовательную. Библиотека обслуживает детей, которые являются инвалидами по зрению, обеспечивает специализированные школы слепых и слабовидящих учебниками по системе Брайля.",2022-11-08T07:47:01Z,2024-02-22T06:24:19Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,,,
Центральная библиотека им. С. Сулеймановой,"Респ Татарстан,р-н Альметьевский,г Альметьевск,ул Сулеймановой,д 20",52.327332,54.906963,"Центральная библиотека им. С. Сулеймановой основана в 1958 г. Фонд библиотеки составляет 61 тыс. книг, из них – семь тыс. книг на татарском языке. Библиотека целенаправленно работает над продвижением книги, формирование культуры семейного чтения, содействие удовлетворению культурных, информационных потребностей пользователей.Для пользователей библиотеки организуются информационные выставки-просмотры новых поступлений и тематические книжные выставки, массовые мероприятия. Библиотека работает по программе «Правила жизни». Также проводятся «Дни открытых дверей», «Недели отдела», организуются экскурсии по библиотеке, проводятся тематические мероприятия для школьников.",2016-04-01T10:47:52Z,2023-02-21T14:44:12Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,
