country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Ukraine,1864,18193,BORINYA,100,180,192,49.07299521008,23.000729833964,Hoard of 100 denarii: Trajan - Commodus (AD 180-192).,NA,II century
Italy,1965,12543,LEVADA,12,161,175,45.739,12.482,The hoard originally comprised an undetermined amount of denarii. Only 12 coins are known: Trajan-Marcus Aurelius (114-175 AD).,NA,II century
Poland,1880,13508,SITNO,47,161,180,53.0433,19.0966,47 de denarii with very poor information on the contents: Hadrian - Marcus Aurelius (AD 161-180).,NA,II century
"England, United Kingdom",1934,1280,SWABY,178,136,138,53.263313,0.052535191,"A hoard of 178 Roman denarii, ranging from Marc Antony to Hadrian, found at the bottom of an earthenware jar in 1934, in a field south of Louth, Lincolnshire. Among the coins, one hybrid of Domitian with a reverse of Hadrian (now in the BM).",Lincoln City and County Museum (part); British Museum (part),II century
Belgium,2008,8654,WANDRE 2008,90,193,194,50.6673,5.6651,90 sestertii: Trajan - Septimius Severus (AD 193-194).,NA,II century
France,1804,5563,LOCQUIGNOL 1804,602,180,192,50.1983,3.718039,"According to Carlier, the hoard filled a hat(!) and is likely to have originally comprised at least 600 pieces.Although originally comprising more than 600 coins, the hoard was quickly dispersed. The forest administration confiscated 98 coins, Carlier bought approximately 300, the brothers Gérin took 40, while Demonteville, the librarian of Douai, took 100 sestertii, 5 or 6 'middle bronze' and 12 silver coins: Tiberius (Divus Augustus) - Commodus) (AD 181-190).",NA,II century
Poland,1903,13725,BÓGPOMÓŻ,52,134,138,52.751044,18.980773,"52 denarii of Hadrian of only three RIC types: RIC 119, 256, 339 (AD 134-138). Found together with some bits of amber.",Unknown,II century
Germany,1962,2953,HEEREN,67,193,193,52.54275,11.88652,"A hoard of denarii, found in a field from 1962 until 2001. FMRD lists 67 coins (Trajan - Pertinax).",NA,II century
"Israel, Palestinian Territories",1995,8173,KHIRBET BADD 'ISA 1995-1997 B,146,124,128,31.933,35.043,"The hoard comprised 144 silver and two gold coins dated between 32-31 BC and AD 124-128, buried in a clay juglet.",NA,II century
Hungary,1950,2847,SZEMELY,129,157,165,46.008,18.326,129 bronze coins (1 provincial) unknown denomination: Vespasian - Antoninus Pius (AD 157-158),NA,II century
Romania,2012,18913,ADAMCLISI 2012,36,169,170,44.059750856156,27.947745548689,Unknown original number of coins. 36 denarii were recovered: Trajan - Marcus Aurelius (AD 169-170).,"Local Museum Adamclisi, Romania",II century
Germany,1908,17017,KASTELL ZUGMANTEL KELLER 208,6,140,143,50.18977,8.20364,"In 1908, 6 denarii (Domitian to Antoninus Pius) were found lying together at the entrance of cellar 208 (in the vicus surrounding the Roman fort).",NA,II century
Bulgaria,1980,10253,BABOVO 1980-1985 C,100,138,161,43.9829,26.3026,More than 100 denarii found in a ceramic vessel - metal detecting - within an ancient settlement. The latest coins are from Antoninus Pius (AD 138-161).,NA,II century
Serbia,1911,2779,MISAČA,53,156,161,44.359593,20.545705,53 denarii: Galba - Antoninus Pius (AD 156-157).,Zemaljski muzej Bosne i Hercegovine (National Museum of Bosnia and Herzegovina) Sarajevo (32 coins) - 1981,II century
Sweden,1843,15611,GOTLAND 1843 - UNKNOWN FINDSPOT,15,192,192,57.506233,18.450175,"Originally 16 denarii, 15 preserved: Domitian - Septimius Severus(AD 193-211); silver weight: 42.63 g. (15 coins).","Swedish History Museum, Stockholm (inv.no. 1092)",II century
Tunisia,1893,5377,SOUSSE 1893,1006,161,180,35.825,10.638,"Hoard of 1000 denarii of the Antonines and 6 aurei of Faustina I, Marcus Aurelius and Faustina II.",NA,II century
