id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
9317,2016-06-14T09:45:39Z,Натюрморт «Ваза с цветами»    Автор: Куприн Александр Васильевич,ЖИВОПИСЬ,,,89,,,"Размеры: B. 89, Ш. 89    Инвентарный номер: Инв. №78. Инв. №773 и №1193 по ИК ВКМ",2320
7377,2016-06-14T09:45:22Z,Богоматерь Всех Скорбящих Радость (название изначальное)    Автор: Аноним (печатник) ?    Школа / Место издания: Россия ?    Период оригинала: 4 четверть 19 век; 1 четверть 20 век,ОТТИСК,,17.5,14.2,,,"Стиль: Другое: ОТТИСК : Другая техника, полиграфическая печать    Размеры: В. 17.5, Ш. 14.2 (доска ?)",254
3617,2016-06-14T09:44:54Z,"Сошествие во ад / Воскресение Христово (название двойное, название изначальное); Воскресение Христово (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век",ИКОНА,,50,60,,,"Размеры: В. 50, Ш. 60 (приблизительно) / В. 60, Ш. 50 (приблизительно)",2496
3566,2016-06-14T09:44:54Z,Все Святые (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,30,40,,,"Размеры: В. 30, Ш. 40 (приблизительно) / В. 40, Ш. 30 (приблизительно)",2496
7715,2016-06-14T09:45:26Z,"Тихвинская Пресвятая Богородица (название старое); Путеводительница / Богохранимая  (название изначальное); Богоматерь Одигитрия Тихвинская (название придуманное)    В русском оригинале (переводе): Одигитрия (греческий, название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия",ИКОНА,,24,29,,,"Стиль: С окладом: Латунь ?/ Медь ?/ Другое ?, Желтый металл    Размеры: В. 24, Ш. 29 (в окладе ?) / В. 29, Ш. 24 (в окладе ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материл / основа, техника, требуется уточнение.",2496
1931,2016-06-14T09:44:37Z,Богоматерь Казанская (название придуманное)    Автор: Аноним (литограф)    Школа / Место издания: Россия    Период оригинала: 1 четверть 20 век,ОТТИСК,,26.5,22.5,,,"Стиль: Другое: Литография; с ризой  ?/ подкладкой ?: сорочка , Хлопок    Размеры: В. 26.5, Ш. 22.5, Т. 2 (доска)    Ссылка на каталоги / инвентари: В источнике : материал ризы не указан, если не считать ризой рубашку из хлопка, требуется уточнение.",254
7331,2016-06-14T09:45:25Z,Святцы Иоанн месяц (название придуманное); Святые августа (название предполагаемое)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,30,35,,,"Стиль: Дерево: поделочное    Размеры: В. 30, Ш. 35 (в окладе ?) / В. 35, Ш. 30 (в окладе ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, техника живописи, материал оклада, иконография, требуется уточнение.",2496
2085,2016-06-14T09:44:39Z,"Чабан (название изначальное)    Автор: Асуханов Аманды Абасович (художник)    Школа / Место издания: Россия, Северный Кавказ    Период оригинала: 2 половина 20 век",ЖИВОПИСЬ,,73,91,,,"Размеры: В. 73, Ш. 91 (приблизительно, без обрамления) /  В. 91, Ш. 73 (приблизительно, без обрамления) /    Ссылка на каталоги / инвентари: ЧГОМ: № 79",2320
5348,2016-06-14T09:45:05Z,Жены мироносицы (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,12,15,,,"Размеры: В. 12, Ш. 15 (доска)",2496
7177,2016-06-14T09:45:21Z,"Ангел передо мной (название рукописное; оборотная сторона); Муза / Явление (название двойное, название придуманное); Видение / Автопортрет с музой (название двойное, название последнее);    Автор: Шагал Марк Захарович (художник)    Школа / Место издания: Россия, Франция    Период оригинала: 1 четверть 20 век",ЖИВОПИСЬ,,152.8,134,,,"Стиль: Холст, Лен: льняной тонкий холст; Квадрат почти    Размеры: В. 152.8, Ш. 134 (без обрамления, в свету ?); В. 157, Ш. 140 (без обрамления ?)    Характер подписи: Шагал М.; Добычин М.    Характер подписи: Ангел перед мной (О. вверху справа, рука автора ?, карандаш); М.Шагал. Пр [...] 10/XI 1921 г. (О. вверху справа); Картина М.Шагала / Свидетельствую / М.Добычин (О. вверху справа); Ангел перед мной (О. слева сбоку, перевернутая надпись, частично закрывающаяся подрамником, карандаш)    Ссылка на каталоги / инвентари: ШАГАЛ /1989: с.76 (фото), с. 304 (кат. 29); МОСКВА-ПАРИЖ/1: с. 310    Ссылка на каталоги / инвентари: Состояние: по периметру (на сгибе) старые проколы от гвоздей со следами ржавчины; следы реставрации - кромки дублированы, мелкие старые реставрационные тонировки вдоль верхнего края, другое см. Источники.  Фото: 18f532-1 из каталога ШАГАЛ /1989, см. Ссылку.  Последние размеры из каталогов, см. Ссылку.",2320
2209,2016-06-14T09:44:40Z,"Ингушка с кувшинами (название придуманное)    Автор: Ливн Валентин Викторович (художник)    Школа / Место издания: Россия, Северный Кавказ    Период оригинала: 2 половина 20 век",ЖИВОПИСЬ,,75,105,,,"Стиль: Картон ?    Размеры: В. 75, Ш. 105 (картон ?) ? / В. 105, Ш. 75 (картон ?) ?    Ссылка на каталоги / инвентари: ЧГОМ: № 219",2320
2237,2016-06-14T09:44:40Z,"2 - ой съезд народов Терека (название изначальное)    Автор: Катаргин Борис Алексеевич (художник)    Школа / Место издания: Россия, Северный Кавказ    Период оригинала: 2 четверть 20 век; 2 половина 20 век",ЖИВОПИСЬ,,164,100,,,"Размеры: В. 164, Ш. 100 (приблизительно, без обрамления) ? / В. 164, Ш. 100 (приблизительно, без обрамления) ?    Ссылка на каталоги / инвентари: ЧГОМ: № 24",2320
5452,2016-06-14T09:44:19Z,Невольничий рынок (название придуманное)    Автор: Ашпиль ? (художник) ?; Ашшиль ? (художник) ?    Школа / Место издания: Франция    Период оригинала: 19 век ?; 1 половина 20 век ?,ЖИВОПИСЬ,,38.5,29,,,"Размеры: В. 38.5, Ш. 29 (лист ?) / В. 29, Ш. 38.5 (лист ?)",2320
3072,2016-06-14T09:44:46Z,Вознесение Господне (название употребляемое); Вознесение Христово (название изначальное)    Автор: Аноним    Школа / Место издания: Россия ?,ИКОНА,,35,30,,,"Размеры: В. 35, Ш. 30 (приблизительно)",2496
3592,2016-06-14T09:44:53Z,Богоматерь Троеручица (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,33,26,,,"Размеры: В. 33, Ш. 26 (приблизительно) / В. 26, Ш. 33 (приблизительно)",2496
3605,2016-06-14T09:44:53Z,Святой Пантелеймон Целитель (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 18 век,ИКОНА,,27,33,,,"Размеры: В. 27, Ш. 33 (приблизительно) / В. 33, Ш. 27 (приблизительно)",2496
95,2016-06-14T09:44:16Z,"Благовещение (название изначальное); Саваоф #  Архангел Гавриил #  Дева Мария (название последнее)    Автор: Аноним (список); ? (с оригинала)    Школа / Место издания: Россия, Москва    Период оригинала: 4 четверть 18 век; 4 четверть 19 век (список); 1 четверть 20 век (список)",ИКОНА,,62.3,53,,,"Стиль: Масло, Холст, Дерево: Саваоф ( центральная доска) ; Дерево, Левкас, Темпера: на прямоугольных пластинах , с правой стороны Богородица, с левой (оборотной) Гавриил: пластины прикреплены к раме перпендикулярно центральной доске; Прямоугольник: икона    Размеры: В. 62.3, Ш. 53 (доска, без обрамления ? ); Т. 1.55 мм (пластинка); Об. 16 пластинок    Характер подписи: 1791( 2 пластина справа); ? ( надпись, 2 пластина справа); МР ОУ ( п.в. и л.в. от образа, белая краска, пластина ?); А Гаврiилъ ( в., белая краска, пластины ?)    Ссылка на каталоги / инвентари: Фото: зеркальная печать ?, требуется уточнение.  Изображения: Богоматерь и Гавриил , кон. 18 в., исполнены на высоком качественном уровне (из источника); Саваоф , кон. 19 в. - нач.  20 в., написан был первоначально на доске темперой, утрачено, заменено новым на холсте маслом  (из источника).  Состояние: на изображении Богоматери и отчасти Гавриила имеются поновления в тон оригинала, утраты и осыпи красочного слоя; первоначальная рама утрачена, сохранившиеся части с лепным левкасом видны под новой рамой слева внизу.",2496
5256,2016-06-14T09:45:05Z,Танцующая пара (название придуманное); Танцующая пара и сидящий мужчина (название последнее); Жанровая сцена (название употребляемое); Три гуляки (название предполагаемое)    Автор: Аноним (художник)    Школа / Место издания: Западная Европа; Нидерланды / Голландия (с оригинала) ?,ЖИВОПИСЬ,,62.5,49.5,,,"Размеры: В. 62.5, Ш. 49.5 (без обрамления ?)    Ссылка на каталоги / инвентари: Фото: не дает точного представления об окружении, требуется уточнение.  Нидерланды / Голландия (с оригинала) ?: ""хорошего письма под Голландскую живопись"".",2320
