name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Библиотека № 97 (фонд взрослой литературы) г. Москва,"г Москва,г Москва,ул Новокосинская,д 38к2",37.870242,55.74188,"Библиотека была открыта в 50-е годы XX века. В 1988 году библиотека переехала в район Новокосино. Библиотека обслуживает более 4 000 читателей. Объем книжного фонда – 63 952 экз. Возрастной ценз литературы – 14+.Основное направление в работе – повышение общественно-культурного уровня и информированности жителей района Новокосино.Библиотека сотрудничает с Союзом писателей, Советом ветеранов района, Управой «Новокосино», школами, Колледжем № 61 им. Г. П. Вишневской и КЦСО, а также с редакцией газеты «Новокосино».В библиотеке работает литературный клуб «Книжные паруса».Вход в библиотеку оборудован пандусом для инвалидов-колясочников.",Москва,2015-07-22T21:04:04Z,2023-03-01T11:58:28Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 76 имени М. Ю. Лермонтова,"г Москва,г Москва,ул Барболина,д 6",37.687587,55.786328,"Библиотека № 76 им. М. Ю. Лермонтова в Сокольниках – открытое пространство книг и информации для москвичей и гостей города. Это интеллектуальный, творческий и культурный центр, в котором собираются люди разного возраста, профессий, национальностей и взглядов, объединенных одной целью познания литературы и искусства, стремлением выразить себя в творчестве, желанием найти друзей и единомышленников.Изначально библиотека-читальня была открыта в 1919 году в доме у Красных ворот, где родился великий русский поэт. В 80-е годы библиотека переехала в Сокольники (ул. Барболина, 6), где размещается в настоящее время.Общий фонд библиотеки им. М. Ю. Лермонтова насчитывает более 250 тысяч экземпляров печатных изданий, сюда записано более 14 тысяч читателей, в год проводится до 150 мероприятий различного формата и тематики.Библиотека оборудована специальной техникой для людей с ослабленным зрением (увеличитель TOPAZ и читающая машина SARA).В библиотеке имеются компьютерный зал и зоны Wi-Fi.«Лермонтовка» – так с любовью называют библиотеку те, кто приходит на встречи с писателями, театральные спектакли, поэтические вечера, вечера авторский песни, «Лермонтовские субботы», выставочные вернисажи, мастер-классы, занятия студий и клубов. Несмотря на свой солидный возраст, библиотека полна творческих идей и планов.Абонемент делится на отделы:– художественной литературы и литературоведения,– литературы на иностранных языках,– технической литературы + компьютерный зал,– отраслевой литературы.Весь фонд находится в открытом доступе.Кружки и клубы в библиотеке (клубно-досуговые формирования):– «Флора» – студия флористического коллажа. Флористика привлекает творческих людей возможностью выразить себя, украсить интерьер квартиры своими работами, сделать неповторимый подарок своими руками. Два раза в месяц с сентября по май, с 18 до 60 лет, бесплатно.– «Литературно-музыкальный салон в Сокольниках». Объединяет любителей литературы, музыки и театра. В концертных программах принимают участие профессиональные творческие коллективы и студенты музыкальных вузов столицы. Один раз в месяц с сентября по май, с 50 до 80 лет, бесплатно.– Молодежный театр им. М. Ю. Лермонтова. Это творческий союз молодых профессиональных актеров, постоянно совершенствующих свое мастерство. Театр – участник акций «Библионочь», «Ночь искусств», День города Москвы. Восемь раз в месяц с сентября по май, с 25 до 40 лет, бесплатно.– Межрегиональное общественное объединение «Лермонтовское общество». Занимается изучением и популяризацией творчества М. Ю. Лермонтова, сохранением литературного наследия и мест пребывания поэта, научно-практической деятельностью по организации и проведению Московских Лермонтовских чтений и изданию «Московского Лермонтовского сборника», культурными связями с музеями и библиотеками России, организует встречи с писателями и деятелями культуры, проявляющими интерес к творчеству М. Ю. Лермонтова, поддерживает тесные связи с потомками древнего рода Лермонтовых, проводит ежегодные экскурсии по Лермонтовским местам. Каждая третья суббота месяца – «Лермонтовская суббота». Для членов общества существуют членские взносы. Один раз в месяц с сентября по май, с 18 до 85 лет, бесплатно.",Москва,2015-07-22T21:21:06Z,2023-02-21T13:59:26Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. М. Ю. Лермонтова
Детская библиотека № 103 г. Москвы,"г Москва,г Москва,ул Ткацкая,д 28/14",37.733976,55.786298,"Почти 120 лет назад при земской Благушенской библиотеке был открыт детский отдел на Большой Семеновской улице. В 1972 году библиотека переехала на Ткацкую улицу и заняла первый этаж жилого дома № 28/14, где и находится по сей день.Детская библиотека № 103 сегодня – это информационный, образовательный и досуговый центр по работе с детьми и юношеством, преподавателями школ района и воспитателями детских садов. Объем книжного фонда – 34 985 экз. Возрастной ценз литературы – от 0+ до 16+. Количество посетителей – 26 052 чел.Структура:абонемент для детей дошкольного и младшего школьного возраста;абонемент для детей среднего и старшего школьного возраста; читальный зал, оснащенный компьютерами с бесплатным доступом к информационным ресурсам, в том числе системе городских порталов через сеть Интернет, Wi-Fi;игровой зал.Уже 21 год в библиотеке работает детское литературное объединение «Кот в мешке», более 20 лет детская библиотека работает с педагогами района по программе «Страна Литературия».На базе библиотеки открыты детские и юношеские платные кружки: «Анимация», «Робототехника», «ИЗО», «Подготовка к школе», «Английский язык», «Шахматы».",Москва,2015-07-22T19:25:23Z,2023-02-20T13:39:51Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Библиотека № 241 г. Москвы,"г Москва,г Москва,ул Маршала Тухачевского,д 28",37.474363,55.78445,"Библиотека № 241 ведет историю от юношеской библиотеки № 126 Краснопресненского района, основанной в феврале 1956 г. В 1964 г. она получила свое нынешнее помещение в доме-новостройке. Фонд библиотеки на конец 2021 г. содержит 44 110 экз., количество посетителей – 1 903 человека. Действует кружок для всех групп пользователей «Любители книги и искусства»: проводятся литературно-музыкальные и поэтические вечера, в которых принимают участие артисты и музыканты творческих коллективов Москвы. Библиотека активно сотрудничает со школами района Хорошево-Мневники. Для школьников ежемесячно с 2011 г. проводятся заседания в литературно-историческом клубе для молодежи «Открытая книга», реализуется городской проект «Библиотека путешествий», пилотный проект «Книгопутешествия», краеведческий проект «Прочти район».",Москва,2015-07-23T23:28:03Z,2023-02-17T14:11:21Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Детская библиотека № 40 (филиал № 2) г. Москвы,"г Москва,г Москва,ул Вятская,д 3",37.581676,55.793647,"Библиотека ведет свою историю с 1902 года, когда по улице Вятской, д. 50 была открыта библиотека-читальня. В 1968 году детское отделение переехало в новое помещение по улице Вятская, д. 3. Универсальный детский фонд библиотеки насчитывает 40 823 единицы хранения.В библиотеке есть игровая зона для детей, оформленная по сказкам А. С. Пушкина, также уютный читальный зал для самых маленьких посетителей. Наиболее значимыми проектами библиотеки являются проект по военно-патриотическому воспитанию детей и подростков «По праву памяти» и «Летняя читальня», которая работает каждый четверг в течение лета.Библиотека принадлежит ГБУК г. Москвы «ЦБС САО».",Москва,2015-07-27T06:02:49Z,2023-02-21T09:14:23Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,NA
Детская библиотека № 178 – Культурный центр А. Л. Барто,"г Москва,г Москва,ул Дмитрия Ульянова,д 24",37.5762584301983,55.6863938450209,"Библиотека основана в 1956 году. В 1982 году ей было присвоено имя Агнии Львовны Барто, а в 1998 году создан литературно-мемориальный музей, где сохраняется и раскрывается навстречу читателям творческое наследие замечательного детского поэта и общественного деятеля, проводятся экскурсии, беседы и викторины. На абонементе для школьников живут не только интересные книжки, но и рыбки, а в читальном зале можно уютно затеряться с книгой между стеллажами. Фонд библиотеки насчитывает 64 215 единиц хранения. В библиотеке можно поработать за компьютером, выучить иностранный язык, сделать собственный мультфильм, позаниматься в архитектурной студии и совершить увлекательное путешествие по Москве. А еще посмотреть спектакль, встретиться с любимым писателем, поучаствовать в квестах и поиграть в настольные игры. В экспозиционном пространстве регулярно проходят выставки детского художественного творчества и современных художников-иллюстраторов, концерты и презентации книжных новинок. В 2022 году библиотеку посетило 44 802 человека.",Москва,2015-07-27T09:01:01Z,2023-04-21T10:54:03Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Культурный центр имени Н. Ф. Погодина,"г Москва,г Москва,ул Госпитальный Вал,д 5",37.709021,55.773363,"Библиотека создана в 1938 году как читальня-передвижка. Ее книжные фонды размещались на пунктах выдачи в различных организациях, учреждениях, на заводах и фабриках. Действовали библиотечные пункты и при домоуправлениях. В годы Великой Отечественной войны библиотека работала в госпиталях, на призывных пунктах, в бомбоубежище, оборудованном на станции метро «Красные ворота». В 1963 году в связи с 25-летним юбилеем библиотеке было присвоено имя Н. Ф. Погодина, а в 2014 году читальня вошла в состав библиотеки № 20 имени А.А. Дельвига.Сегодня библиотека – это настоящий информационный, образовательный и культурный центр микрорайона с широким спектром разнообразных услуг для читателей самого разного возраста.",Москва,2015-07-27T13:05:26Z,2023-02-21T07:58:04Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. Н. Ф. Погодина
Библиотека № 84 г. Москвы,"г Москва,г Москва,ул Щербаковская,д 54",37.73898,55.781772,"Библиотека № 84 основана в 1951 году. В 2005 году, после ремонта, оснащена компьютерами для читателей.Книжный фонд – свыше 41 тыс. экземпляров, в том числе фонд духовной литературы – свыше 2 тыс. экземпляров. Библиотека обслуживает более 4,5 тыс. читателей различных читательских групп: юношество, студентов, пенсионеров, ветеранов, инвалидов.В структуре – абонемент и читальный зал, отдел новых технологий. В помощь читателям – электронный каталог, алфавитный и систематический каталоги, картотеки, справочная литература, газеты и журналы. Особая гордость библиотеки – мемориальный комплекс боевой славы «Летопись мужества». Он был открыт в библиотеке к 50-летию Победы в Великой Отечественной войне (в 1995 году) по инициативе жителей района – читателей библиотеки, непосредственных участников войны и их родственников. Экспонатами стали личные вещи и фотоматериалы из личных архивов ветеранов, их подлинные письма были переданы в дар библиотеке жителями района.Библиотека сегодня – это центр культурной жизни, где можно не только получить знания из книг, но также встретиться с интересными людьми, наладить творческие и дружеские контакты, побывать на концерте. Посетителям предоставляется доступ к интернету. На базе библиотеки ведут работу клуб бардовской песни «ВэЯки» и клуб «Татьяна».",Москва,2015-07-22T19:56:26Z,2023-02-27T12:55:54Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 20 имени А. А. Дельвига,"г Москва,г Москва,пер Аптекарский,д 8/2",37.676475,55.767929,"История библиотеки началась в 1922 году с одной комнаты, которую выделили в помещении школы, а вскоре читальню перевели в особняк на Большой Почтовой улице, дом 40. Для юных читателей той поры библиотека стала вторым домом. В гости к ним приходили знаменитые писатели: А. П. Гайдар, А. Л. Барто, Л. А. Кассиль, С. В. Михалков, А. М. Волков, Н. Н. Носов. В суровую зиму 1941 года библиотека открыла передвижку в недостроенном тоннеле метро «Электрозаводская», где 29 декабря 1941 года организовала новогоднюю елку.В 1976 году библиотека переехала в новое здание в Аптекарском переулке, дом 8/2, где расположена по сей день. В ноябре 2014 года библиотеке присвоено новое имя А. А. Дельвига – поэта, журналиста, издателя.Сегодня в универсальном фонде читальни представлены издания различной тематики, классическая литература, книги детских писателей. В фонде много книжных новинок.В библиотеке работают уникальные творческие объединения, которые привлекают внимание детей и молодежи. Это центр литературного творчества и журналистики «Дельвиг», творческая студия стимпанка «Новая роза», туристический клуб «Школа высокогорного туризма», лингвистическая студия для слабослышащих «Английский десятью пальцами», клуб «Сетевой журналист» и работающий многие годы краеведческий кружок «Басманники».Сегодня библиотека живет активной жизнью. Здесь, как и прежде, проходят встречи с писателями, познавательные лекции читают ведущие сотрудники Литературного института, проводятся литературные игры и конкурсы, квесты, тематические праздники, организуются пешеходные экскурсии по Москве.Фонд библиотеки на начало 2022 года – 31 874 единицы хранения.",Москва,2015-07-27T13:14:04Z,2023-02-21T07:47:43Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,им. А. А. Дельвига
Библиотека № 83 г. Москва,"г Москва,г Москва,ул Константина Федина,д 2",37.791405,55.806009,"Библиотека была создана в 1935 году. Тогда это была библиотека № 74 Сталинского района и находилась по адресу: Измайловский пр-д, 4, корп. 2. В библиотеке есть читальный зал и абонемент с юношеской кафедрой. Фонд библиотеки насчитывает более 45 тысяч изданий. Большая часть фонда представлена книгами возрастной категории 14+.Много лет в библиотеке работает «Литературная гостиная». Заседания проходят раз в две недели в 14:00 и посвящены литературным памятным датам. Мероприятия подготовлены силами сотрудников библиотеки и предназначены для семейного досуга. Приглашаются все желающие.Каждый второй вторник месяца в 17:00 проходят лекции «Смысл философии и поиск истины», посвященные истории мировой философии. Читает кандидат философских наук Лупандин И. В. Приглашаются все любители философии и просто любознательные люди (16+).Клуб «Ты не один» существует в библиотеке с 2011 года. Каждую субботу собираются люди, попавшие в трудное семейное положение (алкоголизм в семье).На абонементе библиотеки № 83 есть бесплатный Wi-Fi, компьютер с Интернетом (18+).",Москва,2015-07-22T19:50:21Z,2023-02-21T07:29:30Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
