creators,title,description,geoContext,minDate,maxDate,latitude,longitude
R.B. Hitchner,Aptuc(c)a,"An ancient place, cited: BAtlas 32 C4 Aptuc(c)a",Henchir-Oudeka or Henchir-Semmech,-330,640,36.409344,8.940301
"M. Šašel Kos, P. Kos",Segestica/Siscia,Segestica/Siscia is an Iron Age settlement recorded by Strabo. It was located at the confluence of three rivers and was used as a staging area for a campaign against the Dacians.,Sisak CRO,-550,2100,45.483168,16.371388
T. Drew Bear,Gordion/Vindia?,"The capital city of ancient Phrygia, the ruins of Gordion are located near the modern village of Yassıhüyük about 10km east of the Turkish city of Polatlı.",Yassıhüyük,-750,2100,39.6503052703,31.9784831233
"A. Bursche, L.F. Pitts",Dúbravka,"An ancient place, cited: BAtlas 13 C4 Dúbravka","Dúbravka, SVK",-30,640,48.190084,17.035556
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Shilloh,"An ancient place, cited: BAtlas 89 D3 Shilloh",Salah,300,640,37.523874,41.330651
R.B. Hitchner,Iustinianopolis?,"An ancient place, cited: BAtlas 33 H2 Iustinianopolis?",Ras Kapoudia,300,640,35.231358,11.149035
S. Loseby,Gargarius,"An ancient place, cited: BAtlas 15 F3 Gargarius",St-Jean-de-Garguier,-30,640,43.313944,5.612456
"C. Haselgrove, J. Kunow",Dünsberg,"An ancient place, cited: BAtlas 11 I2 Dünsberg","Dünsberg, GER",-330,640,50.6502828942,8.58025230186
"C. Foss, S. Mitchell",Kotenna,"An ancient place, cited: BAtlas 65 G3 Kotenna",Gödene,-30,640,37.024169,31.647894
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Auca,"An ancient place, cited: BAtlas 25 B3 Auca",Somorro (Villafranca de los Montes de Oca),-330,640,42.386504,-3.309364
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Arest/Dagnevana,"An ancient place, cited: BAtlas 89 F2 Arest/Dagnevana",Bendimahi,300,640,38.925344,43.655172
"J.P. Brown, E.M. Meyers",Beth Maon,"An ancient place, cited: BAtlas 69 C4 Beth Maon",Tell Ma'un ISR,-30,640,32.782611,35.514986
E.N. Borza,Skačinci,"An ancient place, cited: BAtlas 50 A1 Skačinci","Skačinci, fortified mountain refuge MAC",300,640,41.628562,21.802482
W.V. Harris,Contrada Altavilla,"An ancient place, cited: BAtlas 42 F3 Contrada Altavilla",Contrada Altavilla,-330,640,42.579768,13.597516
E.W.B. Fentress,(...)lense,"An ancient place, cited: BAtlas 34 F2 (...)lense",Henchir el Abiod,-30,640,35.203363,7.800336
J.H.F. Bloemers,Gudme,"An ancient place, cited: BAtlas 10 G1 Gudme","Gudme, DEN",-30,640,55.14885395,10.7100173
R.J.A. Wilson,Michelica di Modica,"An ancient place, cited: BAtlas 47 F5 Michelica di Modica","Michelica di Modica, village",300,640,36.825627,14.802833
E.W.B. Fentress,Cellas/Castellum Cellense?,"An ancient place, cited: BAtlas 34 D2 Cellas/Castellum Cellense?",Kherbet Zerga,-30,640,35.66983,5.319487
