name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Отдел семейного чтения Библиотеки-читальни имени А. С. Пушкина,"г Москва,г Москва,ул Большая Почтовая,д 16",37.692797,55.775844,"Отдел семейного чтения – новое книжное пространство, открывшееся в 2022 году. Помещения располагаются на первом этаже многоквартирного дома на Большой Почтовой улице, имеют три самостоятельных входа. Для читателей оборудованы комфортные, отвечающие современным запросам представителей разных возрастов, локации: игровые комнаты, пространства для коворкинга и работы за компьютером, залы для лекций, кинопросмотров, мастер-классов и творческих встреч. В фонде отдела представлена как классическая литература, так и книжные новинки. Бесплатно предоставляется доступ к электронным ресурсам НЭБ, EastView и «ЛитРес».",Москва,2022-05-20T11:45:25Z,2023-02-21T12:03:02Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,им. А. С. Пушкина
Библиотека № 234 г. Москвы,"г Москва,г Москва,ул Габричевского,д 8",37.45928,55.815939,"История библиотеки началась в 1943 году. В 1957 году библиотеке было предоставлено новое помещение в 450 кв. м. В сентябре 2015 года была открыта площадка «Доступная среда» для людей с ограничениями здоровья по зрению, слуху и опорно-двигательному аппарату.Изменение пространства библиотеки № 234 «ФантазиУМ» в рамках проекта мэра Москвы «Мой район» было направлено на улучшение качества комфорта культурной среды округа. Библиотека стала центром притяжения москвичей – сегодня это новая яркая площадка для саморазвития и творческой реализации, культурный и интеллектуальный центр района. Библиотека предлагает востребованные и актуальные сервисы: быстрый и удобный доступ к литературе, кафе, доступ к цифровым ресурсам, центр компетенций. Способствует формированию новой интеллектуальной элиты через общение и творчество в обновленном уютном пространстве, где книге отведена ключевая роль. Библиотека стала тематической – специализируется на книгах в жанрах фантастики и фэнтези. Книжный фонд существенно пополнился (48 675 экз.). Появилось несколько залов для чтения и проведения досуга. Некоторые из них оформлены по мотивам произведения Льюиса Кэрролла «Алиса в Стране чудес». Количество посещений – 23 774. Работают литературно-поэтический клуб «Лира» и клуб любителей акварельной живописи и искусства.",Москва,2015-07-23T22:06:58Z,2023-02-17T09:37:11Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,43200,72000,NA
Библиотека № 30 (филиал № 2) г. Москвы,"г Москва,г Москва,ул Софьи Ковалевской,д 10",37.533068,55.884282,"Библиотека была основана в 1969 году. Здание расположено в живописном месте северной части Москвы рядом с парком Ангарские пруды, ставшим в последнее время окружной площадкой для проведения масштабных культурно-массовых мероприятий. В настоящее время входит в состав библиотеки № 30 как отделение, обслуживающее детское население.Детский фонд библиотеки насчитывает 22 445 единиц хранения.Библиотека выполняет функции центра семейного чтения, досуга, работают кружки детского творчества, любительское объединение «Помоги себе сам» для родителей. Проводится большое количество массовых мероприятий для детей от 0 до 14 лет, регулярно проходят мероприятия по военно-патриотическому воспитанию подрастающего поколения. Библиотека тесно сотрудничает с пятью образовательными учреждениями, с отделом экологического просвещения по САО, межрайонным центром «Дети улиц».Библиотека принадлежит ГБУК г. Москвы «ЦБС САО».",Москва,2015-07-27T02:07:59Z,2023-02-21T09:12:32Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,NA
Библиотека № 185 г. Москвы,"г Москва,г Москва,б-р Нагорный,д 3",37.592976,55.674707,"Одна из самых стильных библиотек Москвы привлекает интересной планировкой с внутренним двориком, открытым книжным фондом на разных языках и прекрасным техническим оснащением. Абонемент, читальный и компьютерный залы обслуживают читателей всех возрастов, в библиотеке реализуются литературные и образовательные проекты. Центр «Диалог культур» помогает выстраивать отношения представителям разных национальностей, основанные на взаимном уважении и восхищении лучшими образцами литературы и искусства, сотрудничает с посольствами и диаспорами, реализует программу адаптации иностранных граждан «Я – новый житель Москвы». Библиотека имеет все возможности для проведения мероприятий разного уровня и формата: творческих вечеров, концертов, выставок, лекций; оказывает услуги – от предоставления бесплатного Wi-Fi до организации курсов по изучению экзотических иностранных языков.",Москва,2015-07-27T09:30:52Z,2023-02-20T13:06:20Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 97 г. Москвы,"г Москва,г Москва,ул Новокосинская,д 15",37.853865,55.737882,"Библиотека № 99 (до августа 2018 года – детская библиотека № 97) была открыта в 2002 году. Обслуживает свыше 6 000 читателей. Посещаемость – свыше 42 000 человек. Объем книжного фонда – более 30 000 экземпляров.Библиотека является культурно-досуговым центром для детей и родителей. Для дошкольников и школьников района Новокосино проводятся различные массовые мероприятия: литературные, исторические, познавательные, игры-путешествия, квесты, викторины, презентации, интересные конкурсы, творческие мастерские и т. д., проходят встречи с писателями и интересными людьми.Библиотека расположена в двух помещениях с отдельными входами – абонемент и читальный зал.Структура библиотеки:два отделения абонемента – для дошкольников и учащихся 1–4 классов; для учащихся 5–6 классов, старшеклассников и читателей старшего возраста;два отделения читального зала: для дошкольников и учащихся 1–4 классов; для учащихся 5–9 классов.Возрастной ценз литературы: от 0+ до 16+.В библиотеке есть: Wi-Fi; фотоувеличитель для слабовидящих; читальный зал оборудован пандусом для инвалидных колясок.Работают кружки:Семейный клуб «Вербочка» (клуб по интересам), 3+. Каждый четверг в 12:00. Бесплатно.Церковно-славянский язык (кружок), 8+. Каждую среду в 16:00. Бесплатно.",Москва,2015-07-22T20:26:14Z,2023-02-21T07:28:56Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Центральная городская молодежная библиотека имени М. А. Светлова. Детский отдел,"г Москва,г Москва,пер Тишинский Б.,д 24",37.574031,55.769226,"Центральная городская молодежная библиотека имени М. А. Светлова – первая в Москве и одна из старейших в России библиотек для молодежи. Появившись в апреле 1941 года, библиотека открыла свои двери читателям и больше не закрывала их.Сегодня библиотека, известная также как Светловка, – современный информационно-культурный центр для молодежи. Светловка располагает универсальным книжным фондом, широким диапазоном периодических изданий, коллекцией грампластинок, нот, научно-популярных и художественных фильмов, альбомов репродукций. Библиотека оснащена информационными ресурсами: электронным каталогом, станциями самостоятельного обслуживания на основе RFID-технологий, интернетом и Wi-Fi-зоной.Детско-юношеский абонемент был присоединен к Светловке в 2016 году, а в 2018 году в нем был закончен ремонт, что придало детскому отделу новый вид. Фонд представлен детской литературой от 0 до 12 лет, большим выбором книг для чтения по программным школьным спискам, литературными новинками ведущих издательств, классической литературой, энциклопедиями, отраслевой литературой по экономике, философии и т. д. для подростков, специализированным фондом для родителей по воспитанию детей, свежими журналами для детей, подростков и их родителей, а также настольными играми.В детско-юношеском абонементе регулярно проводятся лекции для родителей, занятия для детей, спектакли, мастер-классы, встречи с детскими писателями, семейные викторины и праздники.В помещениях детско-юношеского абонемента работает бесплатный Wi-Fi, установлена станция самообслуживания, предоставляются услуги печати, сканирования, ксерокопирования и другие.",Москва,2017-01-30T10:10:28Z,2023-02-17T09:26:49Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,им. М. А. Светлова
Библиотека № 241 г. Москвы,"г Москва,г Москва,ул Маршала Тухачевского,д 28",37.474363,55.78445,"Библиотека № 241 ведет историю от юношеской библиотеки № 126 Краснопресненского района, основанной в феврале 1956 г. В 1964 г. она получила свое нынешнее помещение в доме-новостройке. Фонд библиотеки на конец 2021 г. содержит 44 110 экз., количество посетителей – 1 903 человека. Действует кружок для всех групп пользователей «Любители книги и искусства»: проводятся литературно-музыкальные и поэтические вечера, в которых принимают участие артисты и музыканты творческих коллективов Москвы. Библиотека активно сотрудничает со школами района Хорошево-Мневники. Для школьников ежемесячно с 2011 г. проводятся заседания в литературно-историческом клубе для молодежи «Открытая книга», реализуется городской проект «Библиотека путешествий», пилотный проект «Книгопутешествия», краеведческий проект «Прочти район».",Москва,2015-07-23T23:28:03Z,2023-02-17T14:11:21Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 11 имени Д. В. Давыдова г. Москвы,"г Москва,г Москва,проезд Мукомольный,д 9",37.522701,55.75362,"Библиотека основана в 1948 году. Имя Дениса Давыдова присвоено в 2012 году в связи с празднованием 200-летия победы России в Отечественной войне 1812 года. Свое нынешнее наименование получила в соответствии с приказом Департамента культуры города Москвы от 17 сентября 2014 года «Об упорядочении наименований государственных публичных библиотек Департамента культуры города Москвы» в связи начавшимся процессом оптимизации сети библиотек, подведомственных Департаменту культуры города Москвы.В библиотеке сформирован фонд литературы по истории, представлены артефакты двух Отечественный войн. Учреждение сотрудничает с Русским географическим обществом, историко-патриотическим объединением «Багратион», Обществом потомков участников Бородинской битвы.Фонд – более 22 000 единиц хранения. Библиотеку за прошлый год посетили 22 313 читателей.",Москва,2015-07-26T21:54:04Z,2023-02-20T13:58:54Z,43200,79200,43200,79200,43200,79320,43200,79200,43200,79200,43200,79200,NA,NA,им. Д. В. Давыдова
Детская библиотека № 22 им. Л. А. Кассиля (филиал № 1),"г Москва,г Москва,ш Ленинградское,д 114",37.463969,55.866116,"Библиотека создана в 1962 году на базе библиотеки села Аксиньино, которая начала свою работу в Ленинградском районе г. Москвы в 1960 году с книжным фондом 6 000 экземпляров. Сейчас является библиотекой для взрослого населения в составе Детской библиотеки № 22 им. Льва Кассиля.Библиотека располагает универсальным фондом с элементами специализации: литература на иностранных языках, который насчитывает 59 420 единиц хранения.В библиотеке проводится большое количество культурных мероприятий. Все значимые памятные даты и праздники отмечаются бесплатными праздничными концертами, поэтическими вечерами. Библиотека активно сотрудничает с хором «Левобережье» и Детской музыкальной школой им. К. В. Молчанова. Одним из главных проектов библиотеки является клуб любителей кино «Дневной сеанс». В ходе клубных встреч проходят беседы об истории создания фильмов, творческом пути актеров, об экранизируемых книгах и их авторах, живой обмен мнениями.Принадлежит ГБУК г. Москвы «ЦБС САО».",Москва,2015-07-27T03:20:57Z,2023-02-21T09:15:29Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. Л. А. Кассиля
Библиотека № 10 «Библиотека путешествий»,"г Москва,г Москва,б-р Красногвардейский,д 1",37.5427401065826,55.7579645555068,"В книжном фонде библиотеки представлено около 60 000 книг для детской, подростковой и семейной аудитории. Также в читальне расположен музыкальный отдел с нотами и книгами для музыкальной грамотности.Почти все помещения библиотеки имеют свои тематические книги, а также свое функциональное использование. Посетитель найдет здесь просторный зал-читальню с художественной и справочной литературой, лекционный зал, игровую комнату, залы путешествий и искусств. В просторном холле можно познакомиться с разнообразной документальной литературой и расположиться на уютном диване. За последние несколько лет библиотека стала привлекательным местом благодаря своей проектной деятельности. Здесь встречаются путешественники, рассказывая о своих поездках.",Москва,2015-07-26T21:43:47Z,2023-02-21T05:20:18Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,NA
