country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
Israel,2008,7288,RAMAT RAḤEL,15,-11,-10,31.740127523637,35.217542312094,The hoard comprised a cooking pot containing 15 Tyrian Shekels dated between 38-10 BC.,NA
France,1910,12480,MOULINS-SUR-CÉPHONS 1910,4,-27,313,47.009,1.555,E. Morin discovered 4 aurei in the dairy foundations. No more details.,E. Morin
France,1928,5714,SAINT-ARNOULT,47,-100,0,49.529,0.706446,"The hoard comprised an 'earthenware vase containing 47 silver Baiocasses staters.' 37 coins were donated to the Musée de Rouen (Inventory III, 2, p. 157, Inv. 2638). A further 10 were deposited in 1939 with the Musée Biochet de Caudebec-en-Caux. These were destroyed during the 2nd World War.","Musée des Antiquités de Rouen, France (37 coins) (Inventory III, 2, p. 157, Inv. 2638). Musée Biochet de Caudebec-en-Caux, France (10 cois; lost during WWII)"
Bulgaria,1914,2783,MEDOVNITSA,27,161,180,43.655,22.779,27 denarii: Vespasian - Marcus Aurelius (AD 161-180).,NA
Jordan,1998,18735,GERASA,155,209,211,32.2788645,35.891768,"A hoard of 155 bronze coins (2 hellenistic coins, 34 Roman imperial coins including 2 denarii, 12 provincial coins, 107 provincial coins from Gerasa), found within a linen purse close to the podium of the temple of Zeus, in a layer of reused material dated from the early 3rd c. AD.",NA
UK,1895,3172,BRICKENDONBURY,432,250,251,51.772879,-0.073765859,"A hoard of 432 Roman silver coins (denarii and some antoniniani), ranging from Commodus to Trajan Decius, found in the summer of 1895 during draining works at Brickendonbury, south of Hertford. The coins lay partly in a small recess cut in the virgin clay, and partly in the soil above.",NA
Italy,1925,6143,ALGHERO,53,161,180,40.558,8.319,The hoard comprised 53 copper-alloy coins from Trajan to Marcus Aurelius (AD 161-180).,"Museum, Cagliari, Italy, in 1925"
Czech Republic,1920,15877,ČESKÁ SKALICE 1920,3,136,136,50.394563,16.041761,"Unknown number of Roman denarii, only 3 coins are known: Trajan 2, Hadrian.","Collection of Antonín Hofmeister (an archivist, 1945), Josefov, now missing."
France,1975,3865,REZÉ 1975-1976,125,271,274,47.19,-1.56,125 antoniniani (radiates): Gordian III - Tetricus I (AD 271-274). The hoard was found by Y. Loukianoff during an excavation. The hoard is the property of the town of Rezé and is preserved by the Direction des Antiquités Historiques,The town of Rezé
Bulgaria,1962,2715,DOLNA KABDA,190,282,285,43.240518531953,26.348394309679,"Originally, 201 silver coins. 190 silver coins are documented: Hadrian - Carus (AD 282-285). The half follis of Justin I/Justinian I is, most likely, an intruder.","Regional History Museum, Targovishte, Bulgaria; inv.no. 165 (190 coins)"
Italy,1984,16178,"OPLONTIS - VILLA B, SKELETON 7",409,79,85,40.7577,14.4532,"A pile of coins was found wrapped in a wide weave cloth bag in the vicinity of the skeleton. 409 coins: 2 aurei, 189 denarii, 59 sestertii, 39 dupondii, 118 asses, 2 Greek coins.",Naples National Archaeological Museum
France,1888,3943,VEUREY-VOROIZE,515,268,270,45.272,5.613,"+8 kg, c. 2000 (515) antoniniani (radiates): Valerian - Claudius II (AD 268-270); silver w8: c. 541.0-2499.0g (after Hobbs).",NA
Portugal,1930,17817,CONIMBRIGA 1930 2,10,402,403,40.099057086317,-8.4938695726413,10 solidi found in a domestic building: Constantius II - Honorius (AD 402-406).,"Museu Monográfico de Conimbriga, Portugal"
Eritrea,1961,15660,MAṬARĀ,14,204,204,14.674376,39.425693,"14 aureii (13 mounted): Trajan - Septimius Severus (AD 204); gold w8 110 g. Found with a bronze pitcher. The con10t: 2 crosses; 3 chains; a brooch; 6ty-8 pendants and 6ty-4 grains of necklace; 4teen coins of Roman emperors of the second-third century, the Anto9s mainly, and 2 bracteates.",NA
France,1950,6337,LYON 1950,13,194,194,45.773,4.836,The hoard comprised 13 denarii from Mark Antony to Septimius Severus. They were found concealed in the belt of male burial interpreted as being that of a Roman soldier. The burial was found in the courtyard of a building situated at No. 12 rue des Fantasques,NA
North Macedonia,1998,8243,STOBI 1998,206,355,361,41.551,21.975,206 nummi: Constantine I - Constantius II (AD 355-361).,"National Museum Štip, Macedonia"
UK,1979,25,BATH ENVIRONS,1807,293,296,51.364,-2.44,"A hoard found in 1979 to the north west of Bath and thought to be complete except for 6 coins. Very little is known about the discovery of the hoard, except that it was associated with a few fragments of lead which may be derived from a container. 1'807 of the coins were cleaned and catalogued prior to the resale and dispersal of the hoard; 1805 antoniniani, 1 denarius and 1 quinarius, ranging from Gallienus to Allectus.",British Museum (part); Unknown (part)
Israel,1972,7700,JEWISH QUARTER 1972,30,-40,-37,31.776,35.232,The hoard comprised 30 coins of Mattathias Antigonus (40-37 BC) and 1 unstruck flan.,Israel Antiquities Authority (IAA 63301-63330; 63385)
UK,1860,15290,RYARSH,8,-60,-50,51.305913,0.38008457,"8 Iron Age staters, found in a field near Ryarsh, Kent.",Maidstone Museum
Spain,1947,4813,SON HEREU 1947,102,268,270,39.491,2.892,The hoard comprises 102 antoniniani (radiates).,"Museu de la Porciúncula, Palma, Spain"
Belarus,1974,17431,LYSHCHYTSY,116,161,175,52.281092,23.521267,"Accidentally discovered by schoolboy Leonid Ryshchuk in 1974. The hoard was found on the territory of the Lyshchitsy peat enterprise, on the northern edge of the peat bog, near the bridge across the ditch, 250 m south of the field, south of the cemetery of the village of Ogorodniki. According to the discoverer, the total number of coins ranged from 350 to 500 pieces. Most of the coins were taken by local residents and collectors, only 48 denarii have survived from this find (transferred to the Brest Regional Local History Museum). In 1974, at the hoard find spot, L. Pobol carried out excavations, another 63 coins were discovered (transferred to the Museum of ancient Belarusian Culture of the National Academy of Sciences of Belarus). 5 coins from the hoard are in the private collection of V. Pinchuk in Minsk. A total of 116 coins are known: 115 denarii (Nero-Marcus Aurelius) and 1 imitation of denarius.",Brest Regional Local History Museum (48 coins); Museum of ancient Belarusian Culture of the National Academy of Sciences of Belarus (63 coins); private collection of V. Pinchuk in Minsk (5 coins)
Germany,1780,16644,BENNINGEN,9,222,235,48.94672,9.24212,"The 9 coins (5 denarii, 3 bronzes and 1 antoninianus, to Severus Alexander) was found in 1780 with other relics, in a meadow near Marbach, at the confluence of Neckar and Murr. It is labelled as 'Kollektivfund' in FMRD, not as hoard.",NA
Spain,1900,17839,LOS VILLARES DE ANDÚJAR,52,393,395,38.025320685564,-3.9855543238496,52 nummi: Constans - House of Theodosius I (AD 393-395).,"Museo Arqueológico de Sevilla, Spain"
Romania,2005,16021,MANGALIA 2005,15,134,138,43.8148,28.5605,Hoard of 15 imperial denarii found with a jug in an inhumation grave: Nero - Hadrian (AD 134-138).,NA
France,1856,3765,VEILLON,30016,260,269,46.4327,-1.6541,"Between 25000-30000 coins found in 2 bronze vessels: 8 or 10 aurei from Hadrian to Severus Alexander; 5 bronze coins (Septimius Severus, Severus Alexander, Philip II, Postumus); 1 bronze medallion of Severus Alexander (with Julia Mamaea); 25000-30000 silver and billon coins from Claudius (I/II?) to Postumus; gold w8: c. 64.8 g; Silver: c.25-30000 coins; Silver w8: c.7427.6-71498.9. Together were found jewelry: 30 gold and silver rings; 2 or 3 pairs of gold earrings; a pair of bracelets, 2 styla, 30 silver spoons; a gold necklace (?).",NA
Italy,1829,9707,"POMPEII VI, 7 - VIA DI MERCURIO, ALL'ALTEZZA DELLA CASA DEI DIOSCURI B",6,79,79,40.752,14.484,"2 uncertain silver coins, 4 uncertain bronze coins and an uncertain group of bronze coins fused together found with a skeleton and gold jewelry in regio VI, insula 7, on the via di Mercurio near Casa dei Dioscuri.",NA
Greece,1981,5401,KAVALA 1981,55,238,244,40.9369,24.406,"55 silver coins, ranging from Antoninus Pius to Gordian III, found during construction work.",NA
UK,1982,15115,CHERITON,82,-50,-20,51.048328,-1.1596996,A widely scattered hoard of 82 Iron Age gold coins found over a period of more than a decade.,British Museum (part); Winchester Museums (part)
Romania,1877,16464,ORĂȘTIE,311,99,99,45.844077,23.19174,311 denarii: Republic – Trajan (AD 99).,NA
France,1898,12381,CLÉMONT  1898,1200,260,269,47.5622,2.3465,"The hoard was found in ""Perron"" locality, in a vase. It comprised 1200 coins from Elagabalus to Postumus (AD 260-269).",NA
Romania,1958,9304,TIMIȘOARA 1958,66,244,247,45.795,21.156,"Originally, 87 silver coins. 66 pieces were recovered: 18 antoniniani (radiates), 48 denarii: Antoninus Pius - Philip I (AD 244-247).","Collection Nussbaum, Timișoara, Romania; otherwise, dispersed"
Switzerland,1934,9314,BASEL BS - KLEINHÜNINGEN 1934 / TOMB 154,3,367,383,47.585,7.594,"1 antoninianus (Claudius II) and 2 nummi (Gratian; Gratian or Valentinian II), found in an Early medieval burial (Alemannic).","Historisches Museum, Basel"
Luxembourg,1978,12834,DALHEIM-RICCIACUS 1978,3,260,274,49.543,6.259,3 coins found on surface 1 next to the other (AD 260-274).,NA
France,1850,12482,OULCHES 1850-1900,33,235,236,46.614,1.296,The hoard was found in an earthen pot in the forest. It comprised 33 denarii from Marcus Aurelius to Maximinus I Thrax (AD 235-236). Only 29 are now recorded.,NA
Bulgaria,1980,10309,SYANOVO,800,201,293,43.9444,26.5014,About 800 denarii and antoniniani of the 1st-3rd centuries AD.,NA
Tunisia,1920,5346,ADJIM,292,238,238,33.755,10.848,The hoard comprised 292 denarii from Domitian to Maximinus (AD 238).,NA
Germany,1993,5501,TRIER FELDSTRAßE,2650,193,211,49.754,6.631,"The hoard comprised a copper-alloy vessel with leather bags originally containing more than 2650 Roman gold coins. Of these, 2518 have been recorded. The hoard was discovered during excavation work for a car park in the western quarter of ancient Trier. Coins range from Nero to Septimius Severus. Several coins, especially of Nero and Titus, display punch marks or graffiti. 84 coins are new types not documented before.",Rheinisches Landesmuseum Trier
