name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Библиотека № 76 имени М. Ю. Лермонтова,"г Москва,г Москва,ул Барболина,д 6",37.687587,55.786328,"Библиотека № 76 им. М. Ю. Лермонтова в Сокольниках – открытое пространство книг и информации для москвичей и гостей города. Это интеллектуальный, творческий и культурный центр, в котором собираются люди разного возраста, профессий, национальностей и взглядов, объединенных одной целью познания литературы и искусства, стремлением выразить себя в творчестве, желанием найти друзей и единомышленников.Изначально библиотека-читальня была открыта в 1919 году в доме у Красных ворот, где родился великий русский поэт. В 80-е годы библиотека переехала в Сокольники (ул. Барболина, 6), где размещается в настоящее время.Общий фонд библиотеки им. М. Ю. Лермонтова насчитывает более 250 тысяч экземпляров печатных изданий, сюда записано более 14 тысяч читателей, в год проводится до 150 мероприятий различного формата и тематики.Библиотека оборудована специальной техникой для людей с ослабленным зрением (увеличитель TOPAZ и читающая машина SARA).В библиотеке имеются компьютерный зал и зоны Wi-Fi.«Лермонтовка» – так с любовью называют библиотеку те, кто приходит на встречи с писателями, театральные спектакли, поэтические вечера, вечера авторский песни, «Лермонтовские субботы», выставочные вернисажи, мастер-классы, занятия студий и клубов. Несмотря на свой солидный возраст, библиотека полна творческих идей и планов.Абонемент делится на отделы:– художественной литературы и литературоведения,– литературы на иностранных языках,– технической литературы + компьютерный зал,– отраслевой литературы.Весь фонд находится в открытом доступе.Кружки и клубы в библиотеке (клубно-досуговые формирования):– «Флора» – студия флористического коллажа. Флористика привлекает творческих людей возможностью выразить себя, украсить интерьер квартиры своими работами, сделать неповторимый подарок своими руками. Два раза в месяц с сентября по май, с 18 до 60 лет, бесплатно.– «Литературно-музыкальный салон в Сокольниках». Объединяет любителей литературы, музыки и театра. В концертных программах принимают участие профессиональные творческие коллективы и студенты музыкальных вузов столицы. Один раз в месяц с сентября по май, с 50 до 80 лет, бесплатно.– Молодежный театр им. М. Ю. Лермонтова. Это творческий союз молодых профессиональных актеров, постоянно совершенствующих свое мастерство. Театр – участник акций «Библионочь», «Ночь искусств», День города Москвы. Восемь раз в месяц с сентября по май, с 25 до 40 лет, бесплатно.– Межрегиональное общественное объединение «Лермонтовское общество». Занимается изучением и популяризацией творчества М. Ю. Лермонтова, сохранением литературного наследия и мест пребывания поэта, научно-практической деятельностью по организации и проведению Московских Лермонтовских чтений и изданию «Московского Лермонтовского сборника», культурными связями с музеями и библиотеками России, организует встречи с писателями и деятелями культуры, проявляющими интерес к творчеству М. Ю. Лермонтова, поддерживает тесные связи с потомками древнего рода Лермонтовых, проводит ежегодные экскурсии по Лермонтовским местам. Каждая третья суббота месяца – «Лермонтовская суббота». Для членов общества существуют членские взносы. Один раз в месяц с сентября по май, с 18 до 85 лет, бесплатно.",Москва,2015-07-22T21:21:06Z,2023-02-21T13:59:26Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. М. Ю. Лермонтова
Библиотека № 20 имени А. А. Дельвига,"г Москва,г Москва,пер Аптекарский,д 8/2",37.676475,55.767929,"История библиотеки началась в 1922 году с одной комнаты, которую выделили в помещении школы, а вскоре читальню перевели в особняк на Большой Почтовой улице, дом 40. Для юных читателей той поры библиотека стала вторым домом. В гости к ним приходили знаменитые писатели: А. П. Гайдар, А. Л. Барто, Л. А. Кассиль, С. В. Михалков, А. М. Волков, Н. Н. Носов. В суровую зиму 1941 года библиотека открыла передвижку в недостроенном тоннеле метро «Электрозаводская», где 29 декабря 1941 года организовала новогоднюю елку.В 1976 году библиотека переехала в новое здание в Аптекарском переулке, дом 8/2, где расположена по сей день. В ноябре 2014 года библиотеке присвоено новое имя А. А. Дельвига – поэта, журналиста, издателя.Сегодня в универсальном фонде читальни представлены издания различной тематики, классическая литература, книги детских писателей. В фонде много книжных новинок.В библиотеке работают уникальные творческие объединения, которые привлекают внимание детей и молодежи. Это центр литературного творчества и журналистики «Дельвиг», творческая студия стимпанка «Новая роза», туристический клуб «Школа высокогорного туризма», лингвистическая студия для слабослышащих «Английский десятью пальцами», клуб «Сетевой журналист» и работающий многие годы краеведческий кружок «Басманники».Сегодня библиотека живет активной жизнью. Здесь, как и прежде, проходят встречи с писателями, познавательные лекции читают ведущие сотрудники Литературного института, проводятся литературные игры и конкурсы, квесты, тематические праздники, организуются пешеходные экскурсии по Москве.Фонд библиотеки на начало 2022 года – 31 874 единицы хранения.",Москва,2015-07-27T13:14:04Z,2023-02-21T07:47:43Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,им. А. А. Дельвига
Библиотека № 84 г. Москвы,"г Москва,г Москва,ул Щербаковская,д 54",37.73898,55.781772,"Библиотека № 84 основана в 1951 году. В 2005 году, после ремонта, оснащена компьютерами для читателей.Книжный фонд – свыше 41 тыс. экземпляров, в том числе фонд духовной литературы – свыше 2 тыс. экземпляров. Библиотека обслуживает более 4,5 тыс. читателей различных читательских групп: юношество, студентов, пенсионеров, ветеранов, инвалидов.В структуре – абонемент и читальный зал, отдел новых технологий. В помощь читателям – электронный каталог, алфавитный и систематический каталоги, картотеки, справочная литература, газеты и журналы. Особая гордость библиотеки – мемориальный комплекс боевой славы «Летопись мужества». Он был открыт в библиотеке к 50-летию Победы в Великой Отечественной войне (в 1995 году) по инициативе жителей района – читателей библиотеки, непосредственных участников войны и их родственников. Экспонатами стали личные вещи и фотоматериалы из личных архивов ветеранов, их подлинные письма были переданы в дар библиотеке жителями района.Библиотека сегодня – это центр культурной жизни, где можно не только получить знания из книг, но также встретиться с интересными людьми, наладить творческие и дружеские контакты, побывать на концерте. Посетителям предоставляется доступ к интернету. На базе библиотеки ведут работу клуб бардовской песни «ВэЯки» и клуб «Татьяна».",Москва,2015-07-22T19:56:26Z,2023-02-27T12:55:54Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 85 (фонд детской литературы) г. Москва,"г Москва,г Москва,ул Парковая 3-я,д 26/2",37.782898,55.795757,"Фонд детский литературы библиотеки № 85 начал свое существование в 1947 году. В гостях у библиотеки были известные детские писатели и поэты: Л. Кассиль, А. Карташова, С. Баруздин, Л. Жариков. Фонд – около 35 тысяч экземпляров. В структуре библиотеки: старшее отделение, где обслуживаются ученики 5–11 классов и студенты колледжей;младшее отделение (дети дошкольного возраста и школьники начальных классов образования).Для массовых мероприятий библиотека старается привлекать специалистов: психологов, историков, артистов. Хорошей традицией стало проведение разнообразных мероприятий по творчеству детских писателей, игровых экскурсий, викторин, познавательных бесед и т. п.Библиотека координирует свою работу и взаимодействует по вопросам обслуживания детей с библиотеками других систем и ведомств, а также организует работу по проведению многих мероприятий в тесном контакте со школами № 445, 707, 708, 646, 343 и детскими садами № 1435, 2455.Здесь ведет работу творческий кружок «Рисовариум» для ребят от 6–12 лет.",Москва,2015-07-22T19:19:47Z,2023-02-21T07:34:40Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Центральная детская библиотека № 226 г. Москвы,"г Москва,г Москва,б-р Химкинский,д 16",37.44303,55.851965,"Детская библиотека была основана в 1967 году под № 110 и открыта для читателей в 1968 году. С 17 сентября 2014 года –Центральная детская библиотека № 226 ГБУК г. Москвы «ЦБС СЗАО». Функционирует на основе принципа открытого пространства и зонирована согласно потребностям пользователей: центр обслуживания с фондом документов, зона свободного размещения пользователей с собственной техникой, места для работы людей с ограничениями по зрению, площадка для детей, зона офисных услуг. Широко внедряются новые информационные технологии: в фонде библиотеки появилась коллекция электронных ресурсов (свыше 2 тыс.): развивающие компьютерные программы, познавательные DVD-фильмы, электронные учебники, аудиокниги; приобретен стол песочной анимации – удобное средство для развития мелкой моторики рук и самообучения рисованию. Объем фонда на 1 января 2022 года – 39 147 экз. Посещений за 2021 год – 25 282. В библиотеке работают кружки на платной основе: «Знаечка» (раннее развитие), «Логопед» (развитие речи). Бюджетные клубы – литературный «Проба пера», «Я – телеведущий», общеобразовательный «Золотой ключик», «Пятничные кости» (настольные игры).",Москва,2015-07-23T22:09:57Z,2023-02-17T09:49:25Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Отдел нестационарных форм обслуживания и семейного чтения г. Москвы,"г Москва,г Москва,ул Фрунзенская 3-я,д 9",37.576816,55.721234,"Старейшая детская библиотека Москвы, фонд которой насчитывает сейчас более 250 000 экземпляров. Она открылась в 1934 году на базе библиотеки-читальни имени Ключевского и поначалу занимала небольшое помещение из нескольких комнат. Тогда в ее хранилище было около 12 000 книг. В настоящее время библиотека является современным культурным центром. В фондах собраны книги, периодические издания, аудиокниги. Уже несколько лет работникам библиотеки помогают два робота – Чук и Гек, названные в честь героев повести Гайдара. В библиотеке есть свой книжный театр, литературный клуб, проходят выставки и конкурсы, мастер-классы, действуют творческие студии и кружки. Особое внимание сотрудники библиотеки уделяют работе с детьми с ограниченными физическими возможностями. Отдел предоставляет во временное пользование детскую литературу школам, детским садам, летним лагерям и другим детским учреждениям; осуществляет обслуживание читателей от 0+. Для организованных групп детей проводятся экскурсии по библиотеке, литературно-музыкальные вечера, творческие занятия, игровые программы и театрализованные праздники. Работает «Комната сказок».",Москва,2015-07-27T07:16:48Z,2023-02-21T08:33:09Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,NA
Центральная городская деловая библиотека Москвы,"г Москва,г Москва,ул Бориса Галушкина,д 19",37.661293,55.822508,"Центральная городская деловая библиотека была создана в 1995 году в результате реализации совместного проекта Международного банка идей и американского фонда «XXII век» на базе библиотеки № 98 Москвы.С 2008 года здесь впервые в России адаптирована система автоматизации библиотечных процессов с применением современной технологии радиочастотной идентификации (RFID), которая позволила существенно ускорить и повысить качество обслуживания читателей. Фонд библиотеки насчитывает свыше 100 000 экземпляров книг и более 200 наименований журналов и газет. К услугам читателей предоставлен справочный аппарат, состоящий из систематического и алфавитного каталогов, электронной картотеки статей периодических изданий с аннотациями.В настоящее время библиотека также проводит ряд просветительских мероприятий в рамках программы «Культура Москвы». Городская целевая комплексная программа включает в себя цикл литературно-музыкальных мероприятий и литературных конкурсов, литературные гостиные, викторины, дни открытых дверей. Библиотека регулярно проводит мероприятия, посвященные Дню Победы и Дню защитника Отечества, а также другим памятным датам в истории Москвы и России.",Москва,2015-07-27T13:40:50Z,2023-02-17T14:45:02Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,36000,72000,NA
Библиотека № 1 имени А. С. Грибоедова «Детский центр имени Х.-К. Андерсена»,"г Москва,г Москва,пр-кт Мира,д 68",37.635781,55.787442,"История детской библиотеки начинается в 30-е годы ХХ века. За время своего существования она претерпела много изменений.В 1957 году библиотека обрела свой дом на проспекте Мира, 68. А в 2005 году в честь 200-летнего юбилея со дня рождения известного датского сказочника Ханса Кристиана Андерсена ей было присвоено его имя. В 2010 году, после значительной реконструкции и технического оснащения, библиотека вновь была открыта для читателей. Дизайн интерьеров всех помещений читальни выполнен по проекту заслуженного работника культуры России И. Абаевой.Стены библиотеки красочно расписаны по мотивам сказок Х. К. Андерсена: «Дюймовочка», «Снежная королева», «Гадкий утенок». Роспись выполнена молодым художником П. Оболенским, выпускником Московского академического художественного училища «Памяти 1905 года».Здесь собрана вся литература о жизни и творчестве известного датского сказочника, а также самое полное собрание его произведений. Мастера театра кукол «Волшебная лампа» и педагоги детской художественной школы им. В. Ватагина подготовили экспозиция «Кабинет господина Андерсена».Для ребят разных возрастных категорий библиотека предлагает тематические мероприятия, клубы по интересам и творческий досуг. Фонд – 18 348 единиц хранения.",Москва,2015-07-26T21:16:16Z,2023-02-20T11:33:42Z,NA,NA,43200,72000,43200,72000,43200,72000,43200,72000,43200,72000,NA,NA,им. А. С. Грибоедова
Культурный центр имени Н. Ф. Погодина,"г Москва,г Москва,ул Госпитальный Вал,д 5",37.709021,55.773363,"Библиотека создана в 1938 году как читальня-передвижка. Ее книжные фонды размещались на пунктах выдачи в различных организациях, учреждениях, на заводах и фабриках. Действовали библиотечные пункты и при домоуправлениях. В годы Великой Отечественной войны библиотека работала в госпиталях, на призывных пунктах, в бомбоубежище, оборудованном на станции метро «Красные ворота». В 1963 году в связи с 25-летним юбилеем библиотеке было присвоено имя Н. Ф. Погодина, а в 2014 году читальня вошла в состав библиотеки № 20 имени А.А. Дельвига.Сегодня библиотека – это настоящий информационный, образовательный и культурный центр микрорайона с широким спектром разнообразных услуг для читателей самого разного возраста.",Москва,2015-07-27T13:05:26Z,2023-02-21T07:58:04Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. Н. Ф. Погодина
Библиотека № 75 имени А. С. Серафимовича (детский сектор),"г Москва,г Москва,ш Открытое,д 24",37.756838,55.827788,"Почти 50 лет назад библиотека имени А. С. Серафимовича получила прописку в районе Метрогородок. В библиотеке было решено создать мемориальную экспозицию, посвященную жизни и творчеству наставника молодого донского писателя М. А. Шолохова – А. С. Серафимовича. Начался поиск и сбор документов, фотографий. Работа в московских архивах продолжается.В библиотеке работают абонемент и читальный зал. Книжный фонд – более 46 тысяч экземпляров. Это книги, рассчитанные на читателей от 14 лет. Но это не значит, что все читатели – это старшеклассники и взрослые. В библиотеке есть литература и для самых маленьких. Специально для малышей создан детский уголок. Пока родители выбирают литературу для себя, ребенок может поиграть, посмотреть интересные книжки, порисовать. Также есть компьютерный класс с доступом к интернету.Особенно много внимания библиотека уделяет трудным подросткам. Специально для них организуются встречи с интересными людьми, писателями, журналистами, литераторами, проходит цикл литературно-художественных чтений.Много внимания библиотека уделяет выставочной работе. Небольшой выставочный зал демонстрирует картины, посвященные общественным деятелям, благотворительным миссиям, людям прошлого.В библиотеке работают как бесплатные, так и платные кружки для детей и взрослых: кружок по рукоделию «Веселые петельки», кружки изобразительного искусства, изучения иностранных языков и актерского мастерства.",Москва,2015-07-22T16:24:51Z,2023-02-28T09:26:46Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,им. А. С. Серафимовича
