country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Czech Republic,1945,15894,ČESKÁ SKALICE ? 1945,10,162,162,50.39453,16.041781,10 denarii: Trajan – Marcus Aurelius (AD 162).,"NPÚ-ÚOP Pardubice, Náchod Castle collection, Czech Republic (inv.nos. 2.920, 3.016-3.023).",II century
"England, United Kingdom",1874,2025,LAVENHAM 1874,197,105,117,52.124989,0.75953442,"A hoard of 197 denarii (Mark Antony to Trajan), found in a 'rude earthen vessel', while ploughing a field in 1874 near Lavenham Lodge. Of these, 184 were examined and 183 published, the others were dispersed.",NA,II century
Turkey,1980,8772,CAESAREA 1980 ?,1973,183,185,38.72,35.483,"A hoard of 2000+ silver coins (mainly Cappadocian didrachms, drachms and hemidrachms; two Lycian drachms; c.100 denarii) deposited c. 185 and found in four bronze pots in the village of Sor, near Kayseri. It was dispersed in several batches in the art trade. A large portion was published by W. Metcalf (932 coins) and another by W. Weiser (178 coins, the 'Münchner Fundkomplex'). In addition, 140 coins were recorded in Paris in 1980 (RPC III, p. 376). They consisted in 26 denarii (Vespasian - Marcus Aurelius), and 114 coins from Caesarea (Vespasian - Commodus)",dispersed,II century
Belgium,1985,8513,MONT-SAINTE-GENEVIÈVE,23,193,197,50.375,4.239,"21 sestertii, 1 dupondius and 1 AE (copper or brass) found in the neighborhoud of a Roman building next to some clay sources.",NA,II century
"Israel, Palestinian Territories",1993,8053,CAVE OF THE SANDAL 1993 B,7,125,128,31.873432962438,35.431284221019,"The hoard(?) comprised a ""cluster"" of 7 silver coins - 4 denarii, 1 plated denarius, 1 drachm - deposited during the Second Jewish Revolt (AD 132-136).",NA,II century
Poland,1942,13428,GNOJNO-PIASKI,3,139,139,50.601386,20.849637,"Large hoard of Roman denarii found in two ceramic vessels. Only 3 have provided some information on the issuers: Trajan 2, Antoninus Pius (Marcus Aurelius caesar) 1.",2 coins in private collectionin 1958; lost,II century
France,1908,7330,VICHY 1908,65,138,161,46.128,3.418,"The find comprised 65 coins of Hadrian and Antoninus Pius, 7 copper-alloy figurines, a stone figurine of Sucellus, some copper-alloy and glass plates, a scythe, some knives, an amphora, moulded glazed cups, bells, an incense burner, a triangular stone pediment and some carbonised cereals.",NA,II century
"England, United Kingdom",1974,14931,PIERCEBRIDGE III,10,164,169,54.529849,-1.6770182,"10 coins found compacted together during excavations in Tofts Field in 1974. Recovered from surface of first re-metalling of Dere Street, to the east of the later fort, in Tofts Field.",NA,II century
Germany,1872,17270,THÜLE,10,175,192,52.963323,7.918203,"Ten denarii (Vespasian - Commodus), found in 1872 during peat digging. Two thereof arrived in the Oldenburg archive; an additional three were noted in 1905 in private possession.",NA,II century
Sweden,1922,15588,HÖRSNE - CHURCHYARD,30,178,191,57.558409,18.597493,"Originally 30 denari, 29 preserved: Nerva - Commodus (AD 179-191); silver weight: 78.54 g.","Swedish History Museum, Stockholm (inv.no. 17042)",II century
Czech Republic,1884,15891,ČESKÁ SKALICE 1884,14,161,180,50.39453,16.041781,14 denarii: Claudius I – Marcus Aurelius (Lucilla) (AD 161-180).,"National museum, Prague, Czech Republic (11 coins)",II century
"England, United Kingdom",1972,14563,TRETHURGY ROUND,9,181,181,50.361855,-4.771137,"3rd century. ""Six coins, a small mid-3rd century AD hoard, found in soil (751A), 3 sealed by east wall (763) of Structure Y [a trapezoidal stone-walled enclosure appended to inner wall face of the round]. Another coin found in (728), the surface of Structure Y, & 2 more in overlying soil (785). These 3 coins of similar date & condition, & formed part of scattered hoard.",NA,II century
