language,glottocode,latitude,longitude,value
Idoma,idom1241,7.19139,7.71261,absent
Ingush,ingu1240,43.11,45.03,absent
Eastern Panjabi,panj1256,30.0368,75.6702,absent
Maithili,mait1250,26.3817,86.2211,absent
Liangmai Naga,lian1251,25.16,93.542,absent
Lele (Papua New Guinea),lele1270,-2.04783,147.207,absent
Q'anjob'al,qanj1241,15.6846,-91.3043,absent
Jarai,jara1266,13.6161,107.813,absent
Longchuan Achang,acha1249,24.3479,97.7438,absent
Bonan,bona1250,35.6972,102.995,absent
Toto,toto1302,26.67,88.975,absent
Maco,maco1239,4.5621,-66.5813,absent
Parecís,pare1272,-14.5929,-57.4059,absent
Jedek,jede1239,5.3,101.75,absent
Labuk-Kinabatangan Kadazan,labu1249,5.51924,117.507,absent
Dandami Maria,dand1238,18.7475,81.3598,absent
Berta,bert1248,10.6474,34.7042,absent
Misima-Paneati,misi1243,-10.6821,152.696,absent
Achumawi,achu1247,41.0979,-121.191,absent
Southern Gumuz,sout3236,9.98,35.51,absent
Khezha Naga,khez1235,25.7078,94.3114,absent
Northern Lisu,nort3298,26.91,98.94,absent
Basay,basa1287,25.0046,121.857,absent
Umbugarla,umbu1235,-12.9325,131.825,absent
Colloquial Jakarta Indonesian,cjin1234,-6.277146,106.848088,absent
Kinikinao,guan1270,-19.1667,-54.0333,absent
Herero,here1253,-21.0231,20.5655,absent
Bine,bine1240,-9.08879,142.893,absent
Malayalam,mala1464,9.59208,76.7651,absent
Korafe-Yegha,kora1294,-9.07,149.267,absent
Gata',gata1239,18.6076,82.984,absent
Siuslaw,sius1254,42.5111,-124.379,absent
Kuot,kuot1243,-3.06952,151.537,absent
Fulniô,fuln1247,-9.02591,-37.1402,absent
Nend,nend1239,-5.04271,144.886,absent
Northern Tepehuan,nort2959,26.4348,-107.379,absent
Zande,zand1248,4.62047,26.7157,absent
Bini,bini1246,6.40701,5.70426,absent
Dumi,dumi1241,27.45849,86.75699,absent
Tver,tver1240,65.1691,30.8655,absent
Warlpiri,warl1254,-20.1008,131.05,absent
Barain,bare1279,10.970124,17.911727,absent
Manda-Matumba,mand1423,-10.3991,34.7424,absent
Galibi Carib,gali1262,5.83772,-56.8323,absent
North Azerbaijani,nort2697,40.9777,46.4737,absent
Sengseng,seng1281,-6.16474,149.784,absent
Teanu,tean1237,-11.6752,166.868,absent
Lipo,lipo1242,25.226,101.302,absent
Biangai,bian1252,-7.33882,146.765,absent
Lengo,leng1259,-9.56425,160.42,absent
Kui (India),kuii1252,19.2043,83.5859,absent
Akoose,akoo1248,4.9243,9.65522,absent
Ngala-Santandrea,ngal1296,6.63187,24.61853,absent
Thulung,thul1246,27.5389,87.6063,absent
Munumburru,munu1238,-14.700834,126.754387,absent
Baba Malay,baba1267,1.75414,103.076,absent
Biwat,biwa1243,-4.39429,143.873,absent
Mangbetu,mang1394,2.5511,27.0712,absent
Gunya,guny1241,-27.0642,145.862,absent
Chrau,chra1242,10.8021,107.293,absent
Phong-Kniang,phon1246,19.9622,104.088,absent
Shilluk,shil1265,9.85472,31.7926,absent
Yawijibaya,yawi1239,-15.348087,124.529665,absent
Belep,nyal1254,-19.72,163.66,absent
Yawa,nucl1454,-1.77196,136.263,absent
Keapara,keap1239,-10.1342,147.95,absent
Central Kanuri,cent2050,11.8,13.13,absent
Matigsalug Manobo,mati1250,7.72124,125.16,absent
Yasa,yasa1242,2.06043,10.678,absent
Salinan,sali1253,37.6646,-121.718,absent
Kaska,kask1239,61.9942,-132.412,absent
Kungarakany,kung1259,-12.7,130.881,absent
Siwi,siwi1239,29.200415,25.519627,absent
Eipomek,eipo1242,-4.33691,140.045,absent
Amur Nivkh,gily1242,52.59,140.681,absent
Gros Ventre,gros1243,48.4834,-108.738,absent
Belueli,belu1239,1.314698,28.933744,absent
Muthuvan,muth1236,10.3524,76.7328,absent
Guwidj,guwi1238,-15.1,126.5,absent
Burushaski,buru1296,36.2161,74.8236,absent
Labu,labu1248,-6.75,146.903,absent
Panará,pana1307,-10.58,-53,absent
Curripaco,curr1243,0.69618,-67.5028,absent
Nukna,nukn1238,-6.0177,146.969,absent
Yuchi,yuch1247,35.75,-86.75,absent
Cocama-Cocamilla,coca1259,-4.5,-74,absent
Arop-Sissano,arop1242,-3.06984,142.12,absent
Eastern Geshiza,east2851,31.1026,101.72,absent
Mohawk,moha1258,43.72,-74.66836,absent
Hyam,hyam1245,9.57832,7.95163,absent
Benga,beng1282,1.075766,9.600739,absent
Pela,pela1242,24.2142,97.9183,absent
Manambu,mana1298,-4.19082,142.862,absent
Shidong Biao,biao1253,23.656,113.391,absent
Akajeru,akaj1239,13.1525,92.9504,absent
Buru (Indonesia),buru1303,-3.43957,126.632,absent
Bargam,barg1252,-4.8723,145.756,absent
Yao,yaoo1241,-13.6119,35.2387,absent
Nakanai,naka1262,-5.59931,150.888,absent
North Tanna,nort2847,-19.3733,169.303,absent
Chippewa,chip1241,47.347,-94.2738,absent
Meru,meru1245,0.26484,37.7396,absent
West Kewa,west2599,-6.32097,143.73,absent
Sora,sora1254,19.1213,84.19,absent
Lango (Uganda),lang1324,2.13867,33.0553,absent
Western Mari,west2392,56.22,46.569,absent
Darma,darm1243,29.8629,80.5439,absent
Saamia,saam1283,0.3652,34.0335,absent
Mabaale,maba1270,2.11942,20.8759,absent
Nama (Papua New Guinea),nama1266,-8.66403,141.706,absent
Woleaian,wole1240,7.37957,143.916,absent
Kimaama,kima1246,-8.01899,138.355,absent
Sio,sioo1240,-5.96037,147.353,absent
Western Canadian Inuktitut,west2618,64.3486,-96.148,absent
Budza,budz1238,2.19951,22.6107,absent
Huallaga Huánuco Quechua,hual1241,-9.57135,-75.594,absent
Votic,voti1245,59.3802,28.6235,absent
Khakas,khak1248,50.7393,107.169,absent
Kiowa,kiow1266,34.9403,-98.9042,absent
Motembo-Kunda,temb1272,2.0246,20.36849,absent
Bebele,bebe1248,4.78874,12.824,absent
Russian,russ1263,59,50,absent
Isnag,isna1241,18.2139,121.16,absent
Khasi,khas1269,24.977,91.9998,absent
Malayo,mala1522,10.9286,-73.4056,absent
Nyaturu,nyat1246,-5.12263,34.6657,absent
Orokaiva,orok1269,-8.79019,148.09,absent
Tooro,toor1238,0.57291,30.6389,absent
Chuukese,chuu1238,7.346993,151.598607,absent
Una,unaa1239,-4.69676,140.1,absent
Kanite,kani1286,-6.38841,145.556,absent
Mwera (Chimwera),mwer1248,-9.75639,38.8762,absent
Acehnese,achi1257,3.90757,96.6032,absent
Forest Enets,fore1265,69.9829,88.2121,absent
San Miguel El Grande Mixtec,sanm1295,17.046881,-97.622482,absent
N||ng-Danster !Ui,nuuu1241,-29.7054,19.0841,absent
Santa María Quiegolani Zapotec,sant1451,16.033,-96.0486,absent
Kamasau,kama1367,-3.8503,143.842,absent
Mak (China),makc1235,25.5946,107.726,absent
Southern Pashto,sout2649,37.17,68.25,absent
Brahui,brah1256,29.04,66.56,absent
Pite Saami,pite1240,66.4011,17.4261,absent
Mualang,mual1241,0.31083,111.077,absent
Madngele,madn1237,-13.9479,130.6,absent
Ndom,ndom1245,-7.93553,138.019,absent
Icari,icar1234,41.977226,47.565486,absent
Yagua,yagu1244,-3.42913,-72.2186,absent
