creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"E.M. Meyers, J.P. Brown",Burgatha?,"An ancient place, cited: BAtlas 69 A5 Burgatha?",Khirbet Ibreiktas ISR,-330,640,32.425592,34.893246
M. Drew Bear,Selino/Silili,"An ancient place, cited: BAtlas 77 F3 Selino/Silili",Nazlet el-Haridi?,-30,640,26.779471,31.555114
David Braund,Kazeka,"An ancient place, cited: BAtlas 87 J2 Kazeka",UKR,-30,640,45.023585,35.843673
"C. Haselgrove, J. Kunow",Rimburg,"An ancient place, cited: BAtlas 11 G2 Rimburg","Rimburg, GER",-30,640,50.916747,6.086778
R. Müller Wollermann,Sintabo,"An ancient place, cited: BAtlas 75 D3 Sintabo",Sandafa el-Far,-30,640,28.531815,30.668973
"E.M. Meyers, J.P. Brown",Sennabris/Ginnabris,"An ancient place, cited: BAtlas 69 C4 Sennabris/Ginnabris",Senn en Nabra ISR,-30,640,32.709862,35.566036
W.M. Murray,Corcyra (settlement),The eponymous settlement of the island of Corcyra (modern Korfu).,Kerkyra/Corfu,-750,2100,39.60813,19.906703
"J. Bennet, G. Reger",Ag. Pavlos,"An ancient place, cited: BAtlas 60 C3 Ag. Pavlos","Ag. Pavlos, Kaloi Limenes",-30,640,34.930553,24.799669
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Egara,"An ancient place, cited: BAtlas 25 H4 Egara",Terrassa,-30,640,41.560997,2.010425
A.G. Poulter,Krushovitsa,"An ancient place, cited: BAtlas 22 A5 Krushovitsa","Krushovitsa, BUL",-30,640,43.625987,23.839783
"A. Hausleiter, M. Roaf, R. Wenke",Yazd-i Khast,"An ancient place, cited: BAtlas 94 C2 Yazd-i Khast",Yazd-i Khast,-30,640,31.510974,52.124596
R.B. Hitchner,Masculula,"An ancient place, cited: BAtlas 32 C4 Masculula",Henchir-Guergour,-30,640,36.354507,8.517999
D.J. Mattingly,Pisida,"An ancient place, cited: BAtlas 35 D1 Pisida",Bu Chemmasc,-330,640,33.0701995,11.7740495
E.W. Haley,Lancia/Lance,"An ancient place, cited: BAtlas 24 F2 Lancia/Lance",El Castro (Villasabariego),-30,640,42.5297477,-5.4308097
W.V. Harris,Hatria (Picenum),An ancient city of Picenum that may have originated as colony established by Etruscans from Adria in the Veneto region. An alternate narrative suggests that the city's origins may be as a late sixth century B.C. colony founded by Aegina.,Atri,-750,640,42.5802,13.981081
R.B. Hitchner,Henchir-Oum-ech-Chellaligue,"An ancient place, cited: BAtlas 32 E4 Henchir-Oum-ech-Chellaligue",Henchir-Oum-ech-Chellaligue,-30,640,36.210673,9.905834
T. Drew Bear,*Birgena,"An ancient place, cited: BAtlas 62 D3 *Birgena",Murathanlar?,-30,640,39.046379,30.185373
"jbecker, thomase",Archaeological area of Piano della Comunità,The archaeological area of Piano (or Quarto) di Comunità is an area of Etrusco-Roman Veii where there is evidence for a Republican domus that is modified during the Augustan period. The area is then used as a necropolis in Late Antiquity (fourth and fifth centuries).,NA,-750,640,42.0239218,12.3997063
"C. Foss, S. Mitchell",Anaboura,"An ancient place, cited: BAtlas 65 F1 Anaboura",Enevre,-330,640,37.990797,31.285104
"Jr., F.H. Stanley, R.C. Knapp",Ulia (Fidentia),"An ancient place, cited: BAtlas 26 F4 Ulia (Fidentia)",Montemayor,-330,640,37.648657,-4.698889
"C. Haselgrove, J. Kunow",Dünsberg,"An ancient place, cited: BAtlas 11 I2 Dünsberg","Dünsberg, GER",-330,640,50.6502828942,8.58025230186
S. Mitchell,Zephyrion/Hadrianopolis,"An ancient place, cited: BAtlas 66 F3 Zephyrion/Hadrianopolis",Mersin,-6000,2000,36.808642,34.638066
"F. Hiebert, P.L. Kohl, St J. Simpson",Haroba koshuk,"An ancient place, cited: BAtlas 98 C1 Haroba koshuk","Haroba koshuk, TKM",300,640,37.616681,62.149999
D.J. Mattingly,Chairekla,"An ancient place, cited: BAtlas 38 B1 Chairekla",Zaviet Asgafa/el-Abio,-550,640,32.254203,20.644052
"David Braund, T. Sinclair",Syderos,"An ancient place, cited: BAtlas 87 B4 Syderos","Yuvaköy, formerly Sideri",-30,640,40.414489,36.975664
