id,registration,name,category,сultural_property,height,width,depth,preservation,description
6218,2016-06-14T09:45:19Z,Житие Серафима Саровского (название употребляемое); Святой Серафим Саровский с житием (название последнее)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,112,76,,,"Размеры: В. 112, Ш. 76 (доска)"
6124,2016-06-14T09:45:19Z,Святой Николай Чудотворец (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?    Период оригинала: 18 век ?; 19 век ?,ИКОНА,,23,27,,,"Стиль: Темпера: цветной однотонный (?)    Размеры: В. 23, Ш. 27 (доска) / В. 27, Ш. 23 (доска)"
14473,2016-06-14T09:46:11Z,Пресс-папье,,,17,10.5,17,,"Размеры: Дл. 17.0, Ш. 10.5, В. 17.0"
11605,2016-06-14T09:45:52Z,Кусок пемзы,,,6,7,,,"Размеры: В. 6.0, Ш. 7.0"
8423,2016-06-14T09:45:30Z,Казанская Богоматерь (название придуманное)    Автор: Аноним (мастер)    Школа / Место издания: Россия,,,20,30,,,"Размеры: В. 20, Ш. 30 (в окладе ?) / В. 30, Ш. 20 (в окладе ?)"
12275,2016-06-14T09:45:56Z,Ширмочка,,,70,101,,,"Размеры: В. 70.0, Ш. 101.0"
6249,2016-06-14T09:45:18Z,Спас Нерукотворный (название придуманное); Нерукотворный образ Христа (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,40,30,,,"Стиль: С окладом: Латунь ?/ Медь ?/ Другое ?    Размеры: В. 40, Ш. 30 (в окладе ?)"
416,2016-06-14T09:44:21Z,"Богоматерь (название старое); Богоматерь из Деисуса ( (название придуманное); Богоматерь в Молении (название последнее)    В русском оригинале (переводе): Деисус (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 17 век",ИКОНА,,134,46,,,"Размеры: В. 134, Ш. 46 (доска)"
5327,2016-06-14T09:45:05Z,Спаситель (название старое); Спас (название употребляемое); Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (название изначальное; греческий)    Автор: Аноним (иконописец)    Школа / Место издания: Россия,ИКОНА,,15,20,,,"Размеры: В. 15, Ш. 20 (доска) / В. 20, Ш. 15 (доска)"
7253,2016-06-14T09:45:28Z,Ильинская церковь (название изначальное)    Автор: Васильев Аркадий Павлович    Школа / Место издания: Россия    Период оригинала: 3 четверть 20 век,ЖИВОПИСЬ,,25,35,,,"Размеры: В. 25, Ш. 35 (без обрамления)    Ссылка на каталоги / инвентари: В источнике нет сведений о наличии подписи / надписи."
