name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Центральная детская библиотека им. Гайдара г. Зеленодольска,"Респ Татарстан,р-н Зеленодольский,г Зеленодольск,ул Карла Маркса,д 51А",48.509762,55.849752,"История детской библиотеки начинается с 1946 года. В 1971 году ее перевели в просторное здание музыкальной школы, где раньше на втором этаже находился Дом пионеров. В апреле 2009 года Центральная детская библиотека им. Гайдара переехала в новое здание музыкальной школы. В настоящее время фонд Центральной детской библиотеки им. Гайдара включает более 23 тысяч экземпляров, а ежемесячная посещаемость в месяц составляет более 3 700 чел. ЦДБ имеет богатые возможности для разностороннего культурного просвещения подрастающего поколения: просторные детские абонемент и читальный зал, творческие кружки, информационный отдел, место для театральных постановок и богатый книжный фонд, ориентированный на детских читателей, но и взрослый читатель всегда может найти здесь интересную литературу для себя, а также привести детей на выступление творческих людей, коллективов и специалистов в самых разных областях знания.",2019-05-30T07:36:49Z,2023-02-28T09:52:57Z,,,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00
Большетиганская сельская библиотека – филиал № 6,"Респ Татарстан,р-н Алексеевский,с Большие Тиганы,ул А.Баттала",50.147651,55.126205,"Большетиганская сельская библиотека – филиал № 6 расположена в здании Большетиганского сельского дома культуры и работает с 1960 года. Вот уже более 60 лет она радует своих читателей. Более 500 человек посещает библиотеку. В настоящее время ее книжный фонд разнообразен: есть художественная литература на русском и татарском языках, справочники, а также научно-популярная литература.Вся деятельность сельской библиотеки направлена на пропаганду книги и чтения, воспитание духовно-нравственных ценностей, здорового поколения и развитие информационной культуры населения. Для привлечения читателей проводятся различные мероприятия: тематические вечера, беседы, викторины, литературные часы, устные журналы, флешмобы, акции и др. Библиотека работает по следующим направлениям: краеведческое, военно-патриотическое воспитание, экологическое просвещение и др.",2021-11-01T12:03:44Z,2023-02-20T11:19:36Z,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,19:00:00,22:00:00,,
Полянский библиотечно-досуговый центр,"Респ Татарстан,р-н Рыбно-Слободский,пгт Рыбная Слобода,ул Октябрьская,д 42",50.11869,55.464141,"Полянская сельская библиотека образовалась в 1951 году. Первым библиотекарем была Ефграфова Галина Ивановна. В 1979 году учреждение вошло в состав Рыбно-Слободской централизованной библиотечной системы в качестве филиал № 28. Библиотека обслуживает жителей села Полянка и является информационно-досуговым центром на селе. Красивая, уютная мебель, соответствующее оформление зала, книги, компьютеры с выходом в сеть Интернет привлекают внимание посетителей. Работа ведется в тесном контакте со школой, детским садиком, организациями района. Особое внимание уделяется юным и молодым читателям – для них проводятся разнообразные мероприятия на актуальные и интересные молодежи темы.Пожилые читатели самореализуются на занятиях клуба «Полянские посиделки».Книжный фонд библиотеки достаточно богат – 12 483 экземпляра.",2021-10-05T12:35:45Z,2023-02-21T08:04:31Z,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,,
Яна-Булякская сельская библиотека,"Респ Татарстан,р-н Тукаевский,д Яна-Буляк,ул Г.Тукая,д 38",52.471521,55.440376,"Библиотека – это центр организации досуговой деятельности. Здесь создаются условия для интеллектуального, духовного, творческого общения. Библиотека образовалась в 1978 г.Фонд Яна-Булякской сельской библиотеки составляет более 10 тысяч экземпляров книг. Книговыдача – более 20 тысяч книг. При библиотеке работает клуб «Оста куллар», где члены клуба вяжут, вышивают и охотно делятся своим опытом со всеми желающими.Заведующий Яна-Булякской сельской библиотеки – Мингалиева Зульфия Язкаровна.В Яна-Булякской библиотеке ведется массовая работа (громкие чтения с детьми, библиографические обзоры, литературные и тематические вечера, посвященные писателям-юбилярам).",2016-08-23T11:54:39Z,2023-02-06T13:06:23Z,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,09:00:00,15:00:00,,
"Отарская сельская библиотека, филиал № 31","Респ Татарстан,р-н Мамадышский,с Отарка,ул Октябрьская,д 17",51.4456276964645,55.6294968780967,"Свою историю Отарская сельская библиотека начала в посёлке Пятилетка в простом деревянном доме с печным отоплением. В 1966 году в фонде библиотеки числилось по инвентарным книгам 5 447 экземпляров книг. Читателей было 255 человек. В селе Отарка был филиал, где имелось 110 книг. Заведовала филиалом директор Отарского клуба – Лубагина Тамара. В 1974 году библиотека переехала в новое здание Дома культуры. Для работы имелось всё необходимое, число читателей насчитывало 682 человека, книжный фонд составлял 7 027 книг. Библиотекарь вела активную работу среди механизаторов, животноводов, выпускала газету «Молния» на каждый день, была организована передвижная библиотека в поселке Пятилетка, сотрудничала со школой и детским садом. На 1 января 2021 года фонд составил 6 627 экземпляров книг, читателей – 442, обслуживает население села Отарка и поселка Пятилетка. Сельский филиал оказывает услуги широкой аудитории, стремится соответствовать ожиданиям сельчан, является центром общественной и культурной жизни жителей села.",2021-04-26T05:15:23Z,2023-03-01T11:53:37Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,17:00:00,22:00:00,,
Шереметьевская сельская библиотека – филиал № 9,"Респ Татарстан,р-н Нижнекамский,с Шереметьевка,ул Октябрьская Площадь,зд 18А",51.554098956028,55.388237362287,"Библиотека основана в 1926 г. Первый врач села Шереметьево Иванов Григорий Ильич был активным инициатором продвижения культуры в массы. Он и его коллеги открыли библиотеку уникальных книг, собранную с помощью крупных землевладельцев-меценатов. Открытие библиотеки послужило значительному ускорению давно наметившихся тенденций, касающихся культуры и искусства.1 декабря 2011 года открылся Шереметьевский дом культуры, в котором расположилась и библиотека. Шереметьевская сельская библиотека всегда богата читателями, которые активно учувствуют в библиотечной жизни: конкурсах, акциях и других мероприятиях, делятся своими стихами, поделками, мастерством. Книжный фонд составляет 10 512 экз., число читателей – 1 154 чел. Главное богатство в работе библиотеки – общение с человеком, возможность помочь людям, привлекая для этого огромную интеллектуальную и нравственную силу, заключенную в лучших книгах, созданных человеком за века.",2021-04-28T08:28:01Z,2023-01-27T11:51:27Z,,,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00
Салаушская сельская библиотека,"Респ Татарстан,р-н Агрызский,с Салауши,ул Пионерская,д 44а",52.876284,55.993907,"В 1918 году в селе Салауши Агрызского района начала работать библиотека. Нафиков Хузямухамат Яппарович стал первым библиотекарем. Библиотека – это место где хранится огромное количество книг. И любую из этих книг можно взять домой и прочесть, но только потом ее придется вернуть. В помещении библиотеки расположены стеллажи и полки, на которых ровными рядами выстроены книги. Причем каждая книга должна занимать строго свое место, чтобы ее легко можно было найти. В библиотеке есть специальный алфавитный каталог, в котором каждый читатель быстро и легко находит нужную ему литературу, главное знать автора и название книги. Здесь ведется активная работа с читателями. Ежегодно библиотека обслуживает более 600 читателей. Фонд составляет 11371 экземпляров.",2021-06-02T07:16:58Z,2023-02-21T11:28:54Z,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,,
Большесалтыковская сельская библиотека,"Респ Татарстан,р-н Камско-Устьинский,с Большие Салтыки,ул Свердлова,д 126",49.070787,55.261234,"Большесалтыковская сельская библиотека начала свою работу в 1951 году. Она размещалась в маленькой комнате сельского клуба, фонд состоял из 50–60 книг. Книги собирались с помощью населения, других сел. Библиотекарь выступала перед сельчанами: читала стихи и отрывки из произведений, рассказывала новости. В 1970 году построили новый Дом культуры, там расположилась и библиотека. Проводились разные мероприятия, библиотекарь выступала перед животноводами, комбайнерами. С 1986 года до настоящего времени библиотекарем работает Загидуллина Гаухария Карибулловна. Фонд насчитывает 6 704 экз. книг. Для читателей проводятся мероприятия: викторины, конкурсы, презентации, диспуты. Тесно ведется работа со школой, населением. Работает передвижная библиотека в деревнях Данышево и Большое Мереткозино.",2021-08-18T12:46:23Z,2023-02-21T11:38:27Z,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,,,,
"Новочувадамская сельская библиотека, филиал № 37","Респ Татарстан,р-н Аксубаевский,д Новый Чувашский Адам,ул Пушкина,д 25",50.575788,54.984651,"Год основания библиотеки – 2001. Книжный фонд составляет 4 368 экземпляров, количество читателей – 260 человек.Библиотека привлекает детей и взрослых к чтению, широкому общению с книгами и дает возможность каждому посетителю полную информацию по интересующим их вопросам, привлекает читателей к участию в массовых мероприятиях. Работа ведется в тесном контакте с учащимися и педагогическим коллективом школы, школьной библиотекой, детским садом и Домом культуры. Чтобы привлечь внимание читателей, к знаменательным датам писателей и поэтов организуются книжные выставки, информационные плакаты и стенды.",2021-05-12T08:28:52Z,2023-01-30T15:24:30Z,,,09:00:00,16:00:00,,,,,09:00:00,16:00:00,09:00:00,16:00:00,,
Детская библиотека г. Нурлат,"Респ Татарстан,р-н Нурлатский,г Нурлат,ул К.Маркса,д.22",50.806035,54.427667,"1957 год, май. Эта дата считается годом основания Нурлатской детской библиотеки. В настоящее время библиотека находится на третьем мансардном этаже Центральной библиотеки. Площадь ее составляет 245 кв. м. Фонд включает 29379 экз. печатной продукции, в том числе 26 945 экз. книг. В год библиотеку посещают 3 550 читателей. Основное направление деятельности библиотеки – формирование у детей потребности в книге, чтении, в духовном и интеллектуальном росте, самосознании и самообразовании. Сотрудники стараются сформировать комфортную среду для читателей. На протяжении многих лет работы сложилась определенная схема взаимодействия с различными организациями и учреждениями, основанная на партнерстве и сотрудничестве. Действенным средством для привлечения читателей являются экскурсии в библиотеку дошкольников и младших школьников. В ходе таких экскурсий – будь то кукольное представление или мультимедийная презентация, ребятам в доступной и интересной форме дается информация о библиотеке, о ее фонде, об оказываемых услугах.",2022-03-03T07:54:16Z,2023-02-21T08:10:46Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,,09:00:00,17:00:00
