id,registration,name,category,сultural_property,height,width,depth,preservation,description
17553,2016-06-14T09:46:37Z,"Медаль ""Партизану Отечественной войны"" I степени",,,,,,,Инвентарный номер: КИКМ №2260/3
1075,2016-06-14T09:44:24Z,Тройка (название старое); Зимняя тройка (название употребляемое)    Автор: ? (с оригинала)    Школа / Место издания: Россия    Период оригинала: середина 19 век; 4 четверть 19 век (или),ЖИВОПИСЬ,,15,21.75,,,"Размеры: В. 15, Ш. 21.75    Характер подписи: имеется ?    Ссылка на каталоги / инвентари: СПИСОК ГИМ, 1989: № 29; РУССКИЕ ХУДОЖЕСТВЕННЫЕ ЛАКИ    Ссылка на каталоги / инвентари: Фото: см. Ссылку."
20092,2018-12-03T14:59:09Z,"гастропода, брюхоногий моллюск.,1шт.,L-4 3см., инв № 2376",ОБРАЗЦЫ ФЛОРЫ И ФАУНЫ,Объект является культурной ценностью,,,,пиритизирована,УПМ 2376
11495,2016-06-14T09:45:51Z,Коробочка с карандашом,,,10,5.5,,,"Размеры: В. 10.0, Ш. 5.5"
11794,2016-06-14T09:45:53Z,Ложка,,,0.02,,,,Размеры: Дл. 0.020
10118,2016-06-14T09:45:38Z,Чайник,,,15.5,,,,"Размеры: В. 15,5 см    Инвентарный номер: Инв. № 33"
1184,2016-06-14T09:44:28Z,"Владимирская Пресвятая Богородица (название старое); Богоматерь Владимирская  (название придуманное); Сладколобзающая / Умиление (название изначальное) ; Богоматерь Умиление Владимирская (название последнее)    В русском оригинале (переводе): Гликофилуса / Елеуса (греческий, название изначальное)    Автор: Аноним    Школа / Место издания: Россия    Период оригинала: 19 век",ИКОНА,,31,25.5,,,"Стиль: Ткань: паволока    Размеры: В. 31, Ш. 25.5 (доска); Ш. 3.2 (поля)    Ссылка на каталоги / инвентари: Состояние: вздутия левкаса; трещины красочного слоя; доска изъедена жучком / точильщиком; после реставрации ( восстановлена утраченная часть доски)."
11955,2016-06-14T09:45:54Z,Безделушка в виде животных,,,,,,,
23139,2023-03-13T11:29:42Z,"Медаль «В память освобождения крестьян». 1861 г. Металл, литьё, чеканка. Диаметр - 35 мм. РЯМЗ КП-1505 Н-571/9 ГК-37806301",,Объект является культурной ценностью,,,,"незначительные повреждения (налет окиси, потертость).",-
5343,2016-06-14T09:45:06Z,Праздники (название употребляемое)    Автор: Аноним (формовщик)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век,,,,,,,"Стиль: Прессованная ?: штамповка    Ссылка на каталоги / инвентари: В источнике не указаны сюжеты, размеры, форма."
18105,2016-06-14T09:46:36Z,"""Вход в Иерусалим""    Период оригинала: 17 век, 1 половина",,,24.5,1.5,34.5,,"Размеры: В. 34.5, Дл. 24.5, Ш. 1.5    Инвентарный номер: в центральном регистре икон, являющихся культурным"
2889,2016-06-14T09:44:44Z,Февраль (название придуманное)    Автор: Семенов С.П. (художник)    Школа / Место издания: Россия    Период оригинала: 20 век,ЖИВОПИСЬ,,80,56,,,"Размеры: В. 80, Ш. 56 (без обрамления)"
16349,2016-06-14T09:46:19Z,"Орден Красной Звезды    Период оригинала: 20 век, 2 половина",,,,,,,Инвентарный номер: № 616
3636,2016-06-14T09:44:54Z,Казанская Божья Матерь (название употребляемое); Богоматерь Казанская  (название придуманное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 18 век,ИКОНА,,,,,,
22109,2020-08-27T15:19:05Z,"ШКМ КП-1255/15. Номер по ГК 14797634. Монета Название: ""10 грошей"". Датировка: 1925 Место создания: Австрия Материал: металл Техника: чеканка Размеры: Д-22мм",ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Потерта,Потерта
17721,2016-06-14T09:46:38Z,"Кормчая. Ч. 2.    Период оригинала: 18 век, 2 половина",,,,,,,"Размеры: 1, 2, 325, 16, 37 л.    Инвентарный номер: 28825"
18157,2016-06-14T09:46:43Z,Орден Боевого Красного знамени,,,,,,,Инвентарный номер: № 38699
19861,2018-11-09T07:10:00Z,"Танатоценоз (сообщество смерти) K1h2 ., 1шт., 12.5х16.5см., инв № 166",РАЗНОЕ,Объект является культурной ценностью,,,,хорошая,УПМ 166
6318,2016-06-14T09:45:16Z,Распятие Христово (название употребляемое); Распятие Христа (название изначальное)    Автор: Аноним (формовщик)    Школа / Место издания: Россия,,,30,,,,"Стиль: Латунь ?/ Бронза ?/ Медь ?/ Серебро ?/ Другое ?    Размеры: В. 30    Ссылка на каталоги / инвентари: В источнике не указаны форма, техника и материал, требуется уточнение."
7940,2016-06-14T09:45:28Z,Божья Матерь (название старое); Богоматерь (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век,ИКОНА,,28,21,,,"Размеры: В. 28, Ш. 21, Т. 1 (доска)    Ссылка на каталоги / инвентари: Состояние: в центральной части стертость красочного слоя в отдельных местах.  В источнике не указаны икнография, техника, требуется уточнение."
17358,2016-06-14T09:46:29Z,"Автопортрет    Автор: Пурыгин Л.    Период оригинала: 20 век, 2 половина",,,,,,,"Характер подписи: Галина Анатольевна, владелец    Характер подписи: ""Галине Анатольевне на долгую и добрую память"""
918,2016-06-14T09:44:20Z,Святой Апостол Марк Евангелист (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 17 век,ИКОНА,,,,,,"Ссылка на каталоги / инвентари: В источнике информации не содержатся сведения о конструкции створ, о наличии навершия, форме, декорировке и размерах створ и клейм, иконографии, цветах,  о мастере, наличие надписей."
17462,2016-06-14T09:46:37Z,"Часы карманные    Период оригинала: 20 век, 1 четверть",,,,,,,Инвентарный номер: КП №4587
22112,2020-08-27T15:19:06Z,"ШКМ КП-1255/18. Номер по ГК 14797673. Монета Название: ""1 сентаво"". Датировка: 1889 Место создания: Аргентина страна Материал: металл Техника: чеканка Размеры: Д-25мм",ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Потерта,нет
23263,2023-03-13T11:47:25Z,"Икона «Сон праведного человека». Начало ХIХ в. Российская империя. Дерево, левкас, темпера. 31х26х3. РЯМЗ КП-9739 И-116 ГК-4587910",,Объект является культурной ценностью,,,,"потемневшая олифа, кракелюр, загрязнение.",На верх. поле: «ГѠ Глянъ быть дiнаwлъ wчедка спящя». На правом поле:«Божиiм повелѣниемъ приставленъ быть ангелъ...». На левом поле: «Англь Гднъ Ѡхряе чялкя спящя ионива нощи».
3603,2016-06-14T09:44:53Z,"Господь Вседержитель (название старое); Спас (название употребляемое); Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век",ИКОНА,,45,50,,,"Размеры: В. 45, Ш. 50 (приблизительно) / В. 50, Ш. 45 (приблизительно)"
15348,2016-06-14T09:46:27Z,Архангел Михаил с двумя святыми    Период оригинала: 19 век,,,21,28.5,,,"Размеры: В. 28.5 см., Дл. 21 см.    Ссылка на каталоги / инвентари: ВХ 2205"
9154,2016-06-14T09:45:35Z,Женщина в белом    Автор: Фонвизин Артур Владимирович,ЖИВОПИСЬ,,,36.5,,,"Размеры: B. 47,5, Ш. 36,5    Инвентарный номер: Инв. №19. Старый инв. №169 по ИК ВКМ"
21154,2019-03-14T13:18:15Z,"МОКМ КП-2241/399 Предмет из археологической коллекции Липовского В.С., собранной учащимися Палаткинской школы. Поступление 1956 г.",,Объект не является культурной ценностью,,,,Не зафиксировано,Не зафиксировано
23452,2023-03-13T12:18:22Z,"Гривна киевская (новодел). XIX в.? Россия. Серебро, чеканка. 40х75 мм., вес - 200 г. РЯМЗ КП-55680 Н-11837 СА-991 ГК-38156919",,Объект является культурной ценностью,,,,"Окисление, потертость.",-
15069,2016-06-14T09:46:18Z,"Портрет скульптора Ватагина    Автор: Григорьев А.И.    Школа / Место издания: Россия    Период оригинала: 20 век, 2 половина",,,34,21,,,"Размеры: В. 34, Ш. 21, Т. 29    Ссылка на каталоги / инвентари: Цена 3000 руб. в ценах 1987 г.    Инвентарный номер: С - 180, КП - 4970"
1174,2016-06-14T09:44:29Z,"Шахматисты (название изначальное)    Автор: Голиков Иван Иванович (художник)    Школа / Место издания: Россия, Палех    Художественно-производственные мастерские Палехского отделения Худфонда РСФСР    Период оригинала: 1 четверть 20 век",ЖИВОПИСЬ,,13.5,8,2.5,,"Размеры: В. 2.5, Дл. 13.5, Ш. 8 (предмет); В. 8, Ш. 13.5 (крышка, сцена)"
22398,2020-09-10T09:19:20Z,Монета «15 копеек». СССР. 1932 г. Диаметр 18 мм. ОФ 143,ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Без видимых повреждений,ОФ 143
12369,2016-06-14T09:45:57Z,Открытое письмо и конверт,,,,,,,
10261,2016-06-14T09:45:33Z,Путешествие Государя Императора Николая II на Восток (в 1890-1891г.)    Автор: Ухтомский Э.Э.    Школа / Место издания: Санкт-Петербург; Лейпциг    Типография Ф.А.Брокгауза в Лейпциге,,,39,31,,,"Размеры: В. 39, Ш. 31 см; Т.3. [4], LXVIII, 160, 255, [2] с.: ил. (в том числе – 2 гелиогравюры)    Характер подписи: Фундаментальная библиотека 2-го кадетского корпуса    Ссылка на каталоги / инвентари: Т. 3, илл. Н.Н. Каразина    Инвентарный номер: Б 870010"
21592,2020-03-13T07:28:24Z,"Ложка чайная. Россия, начало ХХ в. Серебро. Штамповка. Размер: 13,8х2,6х1,5 см. № по книге поступлений: ТМ КП- 1697/2 № по книге спецучёта: ДМ-77 № по ГК: 14164135",РАЗНОЕ,Объект является культурной ценностью,,,,Незначительная потертость,нет
9083,2016-06-14T09:45:35Z,Служанка (официантка)    Автор: Ларионов Михаил Федорович,ЖИВОПИСЬ,,,71,,,"Размеры: B. 114, Ш. 71    Инвентарный номер: Инв. №10. Старый инв. №150 по ИК ВКМ"
