id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
9068,2016-06-14T09:45:35Z,Мужской портрет    Автор: Неизвестный художник,ЖИВОПИСЬ,,,43,,,"Размеры: B. 59,5, Ш. 43    Инвентарный номер: Инв. №29. Старый инв. №297 по ИК ВКМ",2320
7399,2016-06-14T09:45:22Z,Святой (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,28,20,,,"Размеры: В. 28, Ш. 20 (доска, в обрамлении)    Ссылка на каталоги / инвентари: От редактора: доски с такими данными (без учета иконографии) - 2 единицы (видимо, нижний ряд в полиптихе).",2496
2290,2016-06-14T09:44:39Z,"Портрет мужчины (название употребляемое)    Автор: Латышев Николай Григорьевич (художник)    Школа / Место издания: Россия, Северный Кавказ    Период оригинала: 2 четверть 20 век; 2 половина 20 век",ЖИВОПИСЬ,,48,69,,,"Размеры: В. 48, Ш. 69 (картон ?) ? / В. 69, Ш. 48 (картон ?) ?    Ссылка на каталоги / инвентари: ЧГОМ: № 518 (513 п.ф.)    Ссылка на каталоги / инвентари: Фото: Предмет 21.",2320
8649,2016-06-14T09:45:44Z,"Портрет Е.П. Саломатиной    Автор: Саломатин, (Саламатин, Соломатин) Александр Матвеевич",ЖИВОПИСЬ,,,45,,,"Размеры: B. 55, Ш. 45",2320
5251,2016-06-14T09:45:05Z,Пейзаж (название употребляемое); Вид пристани с маленьким судном и фигурами на берегу у лодки (название придуманное); Парковый пейзаж с фигурами  у озера и рыбаками (название последнее)    Автор: Верне Клод Жозеф (художник) ?; Верне Пьер Мари Жозеф (художник) ?    Школа / Место издания: Франция    Период оригинала: 19 век ?,ЖИВОПИСЬ,,88,128,,,"Размеры: В. 88, Ш. 128 (без обрамления ?)    Ссылка на каталоги / инвентари: Состояние: после реставрации (1976 до)",2320
7324,2016-06-14T09:45:25Z,Святая Варвара (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?    Период оригинала: 19 век,ИКОНА,,40,50,,,"Размеры: В. 40, Ш. 50 (без обрамления ?) / В. 50, Ш. 40 (без обрамления ?)",2496
14846,2016-06-14T09:46:16Z,Богородица,ИКОНА,,31.5,27,,,"Размеры: В. 31,5, Ш. 27",2496
4362,2016-06-14T09:44:44Z,"Сцена из восточной жизни (название придуманное)    Автор: Аноним (художник)    Школа / Место издания: Восток, Иран ?",ЖИВОПИСЬ,,27,17,,,"Размеры: В. 27, Ш. 17 (лист ?, без полей ?)    Характер подписи: 1884 (О.); см. фото (О.?)    Ссылка на каталоги / инвентари: В источнике: арабский текст на обороте,ср. фото, требуется уточнение.",2320
14630,2016-06-14T09:45:45Z,Богоматерь Иверская.,ИКОНА,,22,17.5,,,"Размеры: В. 22,0, Ш. 17,5; Вес: 382,0 г.    Характер подписи: «СГ», «84»    Ссылка на каталоги / инвентари: От Дзержинского РАЙФО по акту описи и оценки № 33/85. КП ОИРК 2510-11. Акт № 599 от 04.10.1985 г.    Инвентарный номер: ЭРО-9465; СВ-4724",2496
247,2016-06-14T09:44:19Z,"Крутой, темносерый жеребец (название изначальное)    Автор: Сверчков Николай Егорович (художник)    Школа / Место издания: Россия    Период оригинала: 3 четверть 19 век",ЖИВОПИСЬ,,105,129.6,,,"Стиль: Серый, Белый: пегий конь; Прямоугольник горизонтальный    Размеры: В. 105, Ш. 129.6 (без обрамления ?)    Характер подписи: Н.Сверчковъ    Ссылка на каталоги / инвентари: Картина возвращена.",2320
18963,2016-08-09T13:06:00Z,"Икона «Всех скорбящих», XXI в.,",ИКОНА,Объект является культурной ценностью,30,40,,,,2496
6326,2016-06-14T09:45:16Z,Двенадцать праздников (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,40,50,,,"Размеры: В. 40, Ш. 50 (доска) / В. 50, Ш. 40 (доска)    Ссылка на каталоги / инвентари: В источнике не указаны техника живописи, количество клейм  и иконография, требуется уточнение.",2496
7333,2016-06-14T09:45:25Z,Иоанн Пророк (название изначальное); Святой Иоанн Предтеча Креститель (название последнее)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,50,50,,,"Стиль: Дерево поделочное; Овал ? / Круг ?, ср. размеры    Размеры: В. 50, Ш. 50 (в окладе ?)    Ссылка на каталоги / инвентари: В источнике не указана иконография, требуется уточнение.",2496
5426,2016-06-14T09:45:08Z,"Торговые ряды (название изначальное)    Автор: Аноним (художник)    Школа / Место издания: Россия ?, Западная Европа    Период оригинала: 19 век",РИСУНОК,,30,40,,,"Размеры: В. 30, Ш. 40 (в обрамлении)",142
18397,2016-06-14T09:46:43Z,"После пожара    В русском оригинале (переводе): Nach dem Brand (нем.)    Автор: Ранфтл Маттиас Иоганн (Johann Matthias Ranftl)    Школа / Место издания: Австрия    Период оригинала: 19 век, 1 половина (середина?)",ЖИВОПИСЬ,,117,92,,,"Размеры: В. 117, Ш. 92",2320
7571,2016-06-14T09:45:25Z,Святой Николай Чудотворец (название изначальное); Святитель Николай (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,32,25,,,"Стиль: Дерево ?; Коричневый, Черный: фон    Размеры: В. 32, Ш. 25 (доска ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал и техника, требуется уточнение.  Состояние: нуждается в реставрации.",2496
6565,2016-06-14T09:45:18Z,Святой Николай Чудотворец (название изначальное); Николай Угодник (название старое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,25,30,,,"Стиль: С басмой ?: см. Общий комментарий; Дерево: икона ? / доска прямая    Размеры: В. 25, Ш. 30 (доска) / В. 30, Ш. 25 (доска)    Ссылка на каталоги / инвентари: В источнике: ""с дефектами покрытия (?), с обратной стороны "" [далее текст обрывается].",2496
17359,2016-06-14T09:46:32Z,"Афанасий Александрийский с житием в 16 клеймах    Школа / Место издания: Россия    Период оригинала: 16 век, 4 четверть",ИКОНА,,132,107,,,"Стиль: Облачение фигуры святого в центре выполнено в технике чеканки.    Размеры: В. 132, Ш. 107",2496
