name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Ново-Иглайкинская сельская библиотека,"Респ Татарстан,р-н Нурлатский,с Новое Иглайкино,ул Чапаева,д 23",50.907626,54.407528,"МБУ «Межпоселенческая центральная библиотека» Ново-Иглайкинская сельская библиотека Нурлатского муниципального района РТ была создана в 1930 году как изба-читальня.Число читателей – 719 человек. В фонде библиотеки более 10 000 экземпляров книг журналов, газет. На сегодняшний день расположена на территории Новоиглайкинского сельского поселения. Библиотека активно сотрудничает с администрацией сельского поселения, сельской школой, сельским Домом культуры, ФАПом.Особое место уделяется гражданскому и патриотическому воспитанию, краеведческой работе и по семейному направлению. Большое внимание читателей обращается на общественные ценности, на литературу и искусство. Посредством литературы уделяется внимание нравственному, эстетическому, экологическому воспитанию, темам духовности и милосердия. В библиотеке проводятся различные мероприятия: беседы, викторины, игры, конкурсы, диспуты, тематические вечера, библиотечные уроки, обзоры, книжные выставки.",2022-03-05T09:44:17Z,2023-10-18T08:04:51Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,
Верхнесуньская сельская библиотека – филиал № 9,"Респ Татарстан,р-н Мамадышский,с Верхняя Сунь,ул Советская,д 24А",50.9512114817676,55.7407020945542,"По воспоминаниям старожилов в деревне в 1959 году была открыта сельская библиотека. Она была размещена на первом этаже кулацкого дома Хусаин бая. Здесь было темно и холодно. Возглавила библиотеку Салахова Нурсабах. Первыми читателями были учителя Верхнесуньской восьмилетней школы во главе с директором И. А. Гилязетдиновым. В 1979 году в деревне открыли новое здание Дома культуры, на втором этаже которого разместилась сельская библиотека. Библиотека обслуживает жителей деревень Верхняя Сунь и Новая Сунь. На сегодняшний день ее посещают 354 читателя, книжный фонд – 12 987 экземпляров. В библиотеке стало традицией проведение исторических, фольклорных, литературно-музыкальных, тематических вечеров, цикла мероприятий, посвященных почетным жителям деревни, конкурсов чтецов, детских рисунков. Пользователями библиотеки являются пенсионеры, учащиеся ПТУ и общеобразовательной школы, дошкольники и студенты, обучающиеся в различных учебных заведениях. Работа в библиотеке – это процесс, прежде всего, работы с людьми, поэтому каждое мероприятие проводится с активным участием педагогов, клубных работников, актива библиотеки, специалистов.",2021-04-23T05:39:31Z,2023-03-01T13:35:09Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,17:00:00,21:00:00,,
Черки-Кильдуразовская сельская библиотека,"Респ Татарстан,р-н Буинский,с Черки-Кильдуразы,ул Проспект Иванова,д 5",48.271017,55.103059,"История библиотеки восходит к 1950 году, первым библиотекарем была Ахметова Мунзия апа. Население в те годы составляло 1 039 человек. Старожилы деревни рассказывают, что всего в библиотеке было 16 книг.На сегодняшний день книжный фонд составляет 14 873 экземпляра. Библиотека работает с разными категориями читателей. Ей пользуются 750 человек, от юных дошколят до людей преклонного возраста. Библиотека организует досуг и чтение как отдельного читателя, так и всей семьи. Большое внимание уделяется массовой работе. Среди многочисленных массовых мероприятий: библиотечные уроки, обсуждения книг, викторины, встречи, выставки – как постоянные, так и меняющиеся.",2021-04-05T17:14:27Z,2023-02-02T09:35:39Z,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,,
Айшиязская сельская библиотека,"Респ Татарстан,р-н Атнинский,д Айшияз,ул Школьная,д 1",49.319997,56.287392,"Библиотечное дело в деревне Айшияз начало формироваться в 1923 году в читальной избе богача Амирхана. Изба-читальня стала культурно-просветительным центром. В 1947 году ее стали называть библиотекой.Нынче библиотека расположена в здании Айшиязского сельского клуба. Книжный фонд насчитывает около 5 000 экземпляров книг. Ежегодно услугами библиотеки пользуется около 280 пользователей. Учреждение обслуживает 351 человека в 3 деревнях: Айшияз, Каенсар и Нуртяк. Библиотека организовывает и проводит культурно-массовые мероприятия по продвижению книги и чтения в своих помещениях, а также мероприятия на свежем воздухе, приуроченные к разным праздникам.",2022-01-06T12:14:06Z,2023-08-18T05:22:50Z,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,,
Варклед-Бодьинская сельская библиотека,"Респ Татарстан,р-н Агрызский,с Варклед-Бодья,ул Советская,д 26б",52.877281,56.210542,"Библиотека основана в 1930 годы. Фонд – 3423. Посещаемость – 3208. Современная библиотека. Какая она? Для удержания имеющихся читателей и привлечения новых, библиотеке приходится постоянно меняться, подстраиваться под изменения, происходящие в современном обществе. Сейчас у библиотеки есть страничка в социальных сетях. Ведется штрихкодирование и есть читательские билеты, меж тем, библиотека все же развивается. Читатели приходят в библиотеку не только за книгой, но и за общением, удовлетворением и реализацией своих способностей, талантов, общественных амбиций, за интеллектуальным досугом и информацией. В последнее время широкое распространение получила библиотечная акция. Акции дают возможность громко заявить о себе, продемонстрировать свою необычность. Большой популярностью пользуются игровые интерактивные технологии, когда в мероприятия вносится элемент игры. Это могут быть литературные игры, викторины, путешествия, конкурсы, квесты. В библиотеке работает клуб «Бодья кенакъес» для пожилого возраста и кружок «Усточи кар» для детей всех возрастов.",2022-03-25T12:15:04Z,2023-02-16T09:16:20Z,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,,
Больше-Машлякская сельская библиотека,"Респ Татарстан,р-н Рыбно-Слободский,с Большой Машляк,ул Школьная,д 1А",50.685473,55.685214,"Больше-Машлякская сельская библиотека образовалась в 1998 году. Фонд составляет 8 529 печатных изданий, из них 8 231 – книги. Количество посетителей за год составляет 4 084 человека. Заведующая – Давлетшина Альфия Валеахметовна. В настоящее время библиотека – это культурный, информационный и познавательный центр. Так, в ее стенах проходят различные мероприятия: информационные часы, литературные вечера, игры, конкурсы и т. д. Одним из ведущих направлений работы библиотеки является инновационная деятельность. В каждом мероприятии используются информационно-коммуникационные технологии и различные инновационные формы и методы работы с детьми. Сегодня библиотечное пространство является еще и виртуальным. Так, у библиотеки есть своя страница в социальной сети «Инстаграм», где ежедневно размещается информация об акциях, культурно-просветительских мероприятиях и т. д.",2021-04-14T12:32:29Z,2023-03-02T08:48:43Z,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,
Миннибаевская сельская библиотека – филиал № 39,"Респ Татарстан,р-н Альметьевский,с Миннибаево,ул Ш.Бикчурина,зд 50",52.232902,54.815835,"Миннибаевская сельская библиотека была открыта 1 июня 1957 года в маленьком деревянном домике, книжный фонд в то время включал около 79 экземпляров. Первым библиотекарем была Жинан Ахметшина, окончившая педагогические курсы города Бугульмы. В период ее работы количество книг увеличилось до 3 951 экземпляра. Она работала до 1963 года, старожилы села до сих пор вспоминают ее с восхищением.В 1985 году библиотека переехала в двухэтажное здание Дома культуры, где для нее было выделено помещение площадью 75 кв. м. Это был огромный праздник для коллектива и читателей. Новое помещение отличали высокие потолки и просторные, светлые залы. Заведующая – Лилия Муллахметовна Габдуллина. Фонд включает около 11 000 экземпляров книг, выписываются газеты и журналы. Библиотека обслуживает детей дошкольного возраста, школьников, рабочих и служащих, студентов и пенсионеров. Проводятся разнообразные массовые мероприятия: для младших школьников – утренники, экскурсии, познавательные часы, для старших – библиотечные уроки, обсуждения книг, тематические часы. Установлен компьютер, для удобства читателей проведен интернет. Количество юных читателей – 171, взрослых – 546. Посещений за год – около 6 000. Библиотека тесно сотрудничает с Домом культуры, администрацией, детским садом, школой.",2021-04-12T14:32:58Z,2023-08-29T09:48:34Z,,,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00
Карповская сельская библиотека – филиал № 6,"Респ Татарстан,р-н Пестречинский,п Карповка,ул Советская,д 37",49.531146,55.658129,"Карповская сельская библиотека была основана в 1986 году. В 2016 году переехала в новое здание, построенное по республиканской программе «Строительство сельских клубов». С 1 марта 2005 года библиотекой заведует Шаймеева Татьяна Васильевна. В настоящее время книжный фонд включает 3 300 экз. книг, читателей 240 человек. Постоянно проводится работа по сохранности книжного фонда. Поддерживается тесное сотрудничество с клубом. В библиотеке проходят различные вечера, беседы, конкурсы, утренники, читательские конференции. Здесь отмечают юбилеи писателей, оформляют книжные выставки. Для дошкольников проводятся громкие чтения, различные игры. Для женщин работает клуб по интересам «Хозяюшка». Библиотекарь посещает на дому инвалидов, участников войны, тружеников тыла. Всегда старается выполнять запросы читателей.",2022-05-23T10:27:22Z,2023-01-30T07:55:24Z,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,18:00:00,21:00:00,,
Мурзихинская сельская библиотека – филиал № 15,"Респ Татарстан,р-н Елабужский,с Новая Мурзиха,ул Центральная,д 3",51.6570064219513,55.738676155208,"В 1941 году в деревне Мурзиха была основана изба-читальня. В сентябре 1953 года в деревянном здании клуба открылась библиотека. Ее фонд состоял из 960 экземпляров книг. Уже на следующий год он насчитывал 2 200 экземпляров книг. В 1962 году в Мурзихе был построен новый Дом культуры, где для библиотеки выделили комнату. Сегодня книжный фонд (10 124 экземпляра) представлен в открытом доступе для 280 читателей, из них 37 детей. В библиотеке проводится много массовых мероприятий: устные журналы, игры «Поле чудес», конкурсы, дни информации, обзоры книг и журналов. Организован клуб по интересам «Рукодельница». Разработана целевая программа по организации досуга и общения детей и их родителей «Аленушка».",2022-12-21T07:22:59Z,2023-08-23T13:58:00Z,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,,
Мунайкинская сельская библиотека – филиал № 8,"Респ Татарстан,р-н Менделеевский,д Мунайка,ул Строителей,влд 12",52.255889,55.894591,"В селе Мунайка библиотека существовала с 1911 года. В фондах Национального архива имеются сведения о данных и о составе книжного материала в народных библиотеках Елабужского уездного земства за 1915 год. По имеющимся данным, на территории, на которой сейчас расположен Менделеевский район, в 1915 году библиотеки существовали в 9 населенных пунктах, в том числе в селе Мунайка. На 1915 год в ней насчитывался 401 экземпляр книг на общую сумму 124 руб. 42 коп. В 60-е годы библиотека была закрыта в связи укрупнением малых деревень. Этот населенный пункт был передан в Татарскочелнинский сельсовет. Вновь была открыта Мунайкинская сельская библиотека в 1999 году. Книги для нее собирались по сельским библиотекам района. В настоящее время ее фонд насчитывает более 4 000 экземпляров изданий, записано в библиотеку более 300 читателей. При ней работает кружок «Мастерица».",2022-03-09T08:49:45Z,2023-02-21T08:41:25Z,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,,
