id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
5191,2016-06-14T09:45:02Z,"Пархоменко у Ленина (название придуманное)    Автор: Касиян Василий Ильич (художник); ? (гравер)    Школа / Место издания: Россия, Украина    Период оригинала: 2 четверть 20 век",ОТТИСК,,56,64.7,,,"Стиль: Гравюра на металле: офорт, акватинта    Размеры: В. 56, Ш. 64.7 (лист ?), В. 37, Ш. 52.5 (доска ?)",254
14776,2016-06-14T09:45:45Z,Богоматерь Казанская    Период оригинала: 19 век,ИКОНА,,35,28,,,"Стиль: Зернь; Камень - бирюза.    Размеры: В. 35,0, Ш. 28,0, Вес 1745,0 г    Ссылка на каталоги / инвентари: КП ОИРК 55-44. Поступление из ГМЭ по акту № 492 от 22.07.1946 г.; акт №363 от 21.05.1954 г. Старые №№ 111-43.    Инвентарный номер: ЭРО-8318, ВС-2563",2496
472,2016-06-14T09:44:18Z,Автор: Аноним (резчик); Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: середина 16 век,ИКОНА,,78,69,,,"Размеры: В. 78, Ш. 69, Т. 4; В. 133 (с шестом)    Ссылка на каталоги / инвентари: ГМЗ РК: № 2",2496
17198,2016-06-14T09:46:20Z,"СПАС НЕРУКОТВОРНЫЙ    Школа / Место издания: Москва, Оружейная палата    Период оригинала: 17 век, 2 половина",ИКОНА,,57.7,50.8,,,"Размеры: В. 57.7, Ш. 50.8",2496
18493,2016-06-14T09:46:41Z,"Богоматерь Казанская    Автор: Аноним    Школа / Место издания: Россия    Период оригинала: 19 век, 4 четверть (приблизительно)",ИКОНА,,30,30,,,"Стиль: Изображение Богоматери и младенца в красно-коричневых цветах.    Размеры: В. 30, Ш. 30",2496
7485,2016-06-14T09:45:24Z,Три Святителя (название придуманное); Избранные Святые (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,40,30,,,"Стиль: Дерево ? / Холст ?; Коричневый, Красный: краски    Размеры: В. 40, Ш. 30 (доска ? / без обрамления ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал и техника, требуется уточнение.",2496
2363,2016-06-14T09:44:37Z,Портрет доярки Самбиевой (название изначальное)    Автор: Сачко Филипп Николаевич (художник)    Школа / Место издания: Россия    Период оригинала: 2 четверть 20 век; 2 половина 20 век,ЖИВОПИСЬ,,65,50,,,"Размеры: В. 65, Ш. 50 (приблизительно, без обрамления ?)    Ссылка на каталоги / инвентари: ЧГОМ: № 104",2320
8273,2016-06-14T09:45:32Z,"Автопортрет с курицей и петухом (название в переводе)    На языке оригинала: Self-portrait with hen and cock (название в переводе)    Автор: Григорьев Борис Дмитриевич (художник)    Школа / Место издания: Россия, Франция    Период оригинала: 2 четверть 20 век",ЖИВОПИСЬ,,59.2,71.5,,,"Размеры: В. 59.2, Ш. 71.5 (в свету); В. 60.4, Ш. 73.5 (без обрамления ?)    Ссылка на каталоги / инвентари: Русский Париж: с. 189 (фото)    Ссылка на каталоги / инвентари: Название: французский оригинал в источниках не воспроизводится; английский перевод - из источников.  Подпись и надписи в источниках не воспроизводятся, требуется уточнение.",2320
15609,2016-06-14T09:46:22Z,Комсомол-шеф флота    Автор: В.А.Печатин,ЖИВОПИСЬ,,207,136,,,"Размеры: Дл.207, В.136 см    Ссылка на каталоги / инвентари: Картина    Инвентарный номер: ОБМ",2320
5175,2016-06-14T09:45:02Z,"Ганна и Левко (название придуманное)    Автор: Дерегус Михаил Гордеевич (художник); ? (гравер)    Школа / Место издания: Россия, Украина    Период оригинала: 20 век",ОТТИСК,,23,16.5,,,"Стиль: Гравюра на металле: офорт, акватинта    Размеры: В. 23, Ш. 16.5 (доска ?); В. 40.2, Ш. 29.8 (лист ?)",254
6105,2016-06-14T09:45:19Z,Неопалимая купина (название изначальное); Богоматерь Неопалимая купина (название употребляемое); Неопалимая Купина Владычица (название придуманное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,25,25,,,"Размеры: В. 25, Ш. 25 (доска)",2496
2917,2016-06-14T09:44:47Z,"Путеводительница / Богохранимая  (название изначальное); Богоматерь Тихвинская (название придуманное); Богоматерь Одигитрия Тихвинская  (название последнее)    В русском оригинале (переводе): Одигитрия (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия",ИКОНА,,34,29,,,"Размеры: В. 34, Ш. 29, Т. 1.8 (приблизительно)    Ссылка на каталоги / инвентари: В источнике не указана техника, требуется запрос.",2496
2431,2016-06-14T09:44:39Z,"Портрет девушки (название предполагаемое)    Автор: Шамурзаев Шамиль Алиевич (художник)    Школа / Место издания: Россия, Северный Кавказ    Период оригинала: середина 20 век; 2 половина 20 век",ЖИВОПИСЬ,,110,119,,,"Размеры: В. 110, Ш. 119 (приблизительно, без обрамления)    Ссылка на каталоги / инвентари: ЧГОМ: № 483 (478 п.ф.)",2320
767,2016-06-14T09:44:22Z,Святой Николай (название употребляемое); Святой Николай Чудотворец (название изначальное); Николай Угодник (название старое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия,ИКОНА,,89,62,,,"Размеры: В. 89, Ш. 62 (доска)",2496
7205,2016-06-14T09:45:23Z,"Мужской портрет (название употребляемое)    Автор: Залшупин Сергей Александрович, Шубин Серж (прозв., художник)    Школа / Место издания: Россия, Франция    Период оригинала: 1 четверть 20 век",РИСУНОК,,40.4,31.6,,,"Размеры: В. 40.4, Ш. 31.6 (картон ?, в свету ?)    Характер подписи: Choubine    Характер подписи: Paris 24 (П.)    Ссылка на каталоги / инвентари: Герра Р. / ГТГ: с. 83, с. 35 - кат. 98",142
9243,2016-06-14T09:45:39Z,Портрет военного    Автор: Неизвестный художник,ЖИВОПИСЬ,,,52,,,"Размеры: B. 69, Ш. 52    Инвентарный номер: Старый инв. №457 по ИК ВКМ",2320
17218,2016-06-14T09:46:21Z,"СВЯТИТЕЛЬ ВЛАСИЙ СЕВАСТИЙСКИЙ, С ЖИТИЕМ    Школа / Место издания: Кострома    Период оригинала: 17 век, 18 век",ИКОНА,,131,88,,,"Размеры: В. 131, Ш. 88",2496
7354,2016-06-14T09:45:29Z,"Троица (название придуманное, название изменяемое); Деисус (название употребляемое); Моление (название в переводе)    В русском оригинале (переводе): Деисус (название изначальное; греческий)    Автор: Аноним (иконописец, художник)    Школа / Место издания: Россия ?",ИКОНА,,130,125,,,"Стиль: Холст ?;  Квадрат почти; Масло: мрачных тонов    Размеры: В. 130, Ш. 125 (без обрамления ?)    Ссылка на каталоги / инвентари: Состояние: осыпание красочного слоя (местами).  В источнике указана иконография: 3 фигуры Святых, требуется уточнение.",2496
3015,2016-06-14T09:44:47Z,Святой Николай (название употребляемое); Святой Николай Чудотворец (название изначальное); Николай Угодник (название старое)    Автор: Аноним    Школа / Место издания: Россия ?    Период оригинала: 19 век,ИКОНА,,25,30,,,"Размеры: В. 25, Ш. 30 (приблизительно) / В. 30, Ш. 25 (приблизительно)",2496
3581,2016-06-14T09:44:53Z,Рождество Христово (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,25,30,,,"Размеры: В. 25, Ш. 30 (приблизительно) / В. 30, Ш. 25 (приблизительно)",2496
3664,2016-06-14T09:44:53Z,Три святителя (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,60,40,,,"Размеры: В. 60, Ш. 40 (приблизительно) / В. 40, Ш. 60 (приблизительно)",2496
2783,2016-06-14T09:44:45Z,Женский портрет (название употребляемое)    Автор: Аноним (художник)    Школа / Место издания: Западная Европа    Период оригинала: 17 век ?; 18 век?; 19 век ?,ЖИВОПИСЬ,,12.5,9.5,,,"Стиль: Хлопок ?/ Лен ?    Размеры: В. 12.5, Ш. 9.5 (без обрамления)",2320
4998,2016-06-14T09:45:02Z,"Петр Второй Император и Самодержец Всероссийский (название записано; русский, латинский)    В русском оригинале (переводе): Petrus II. Imperator Totius Russiae (название записано)    Автор: Людден Иоганн Пауль (художник, с оригинала); Вортманн Христиан Альберт (гравер, с оригинала);  Аноним (гравер, копировал)    Школа / Место издания: Германия (с оригинала); Россия    Академия художеств    Период оригинала: 1 половина 18 век; середина 18 век",ОТТИСК,,7,5.3,,,"Стиль: Гравюра на металле: резцовая; Овал: портрет    Размеры: В. 7 дюйм фр., Ш. 5.3 1/4 дюйм фр. (доска ?)    Ссылка на каталоги / инвентари: РОВИНСКИЙ/1888: стб. 1755, № 12 (Предмет 3.)    Ссылка на каталоги / инвентари: Фото: прототип оригинала, см. Источники.  Описание составлено по каталогу, см.  Ссылку.  2 оттиски новые, 19 века.",254
2814,2016-06-14T09:44:45Z,Рождество Христово (название изначальное)    Автор: Аноним (художник)    Школа / Место издания: Россия    Период оригинала: 19 век ?,ИКОНА,,31,51,,,"Стиль: Масло ?    Размеры: В. 31, Ш. 51 (диптих, в обрамлении ?)    Ссылка на каталоги / инвентари: Фото: № 2; № 1- диптих",2496
6093,2016-06-14T09:45:17Z,"Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?    Период оригинала: 1 четверть 19 век ?",ИКОНА,,30,20,,,"Размеры: В. 30, Ш. 20 (доска)    Характер подписи: 1825 (О.)    Ссылка на каталоги / инвентари: Состояние: плохая сохранность.",2496
5003,2016-06-14T09:44:22Z,Что на улице шумять / Сарафан бабы делят (записано в заголовке / начале)    Автор: Аноним (художник)    Школа / Место издания: Россия    Период оригинала: середина 19 век,ОТТИСК,,35.7,43.7,,,"Размеры: В. 35.7, Ш. 43.7 (лист)    Ссылка на каталоги / инвентари: Фото: см. Источники, из коллекции ГИМ.   Описание по инв. №  16116, I Ch khr 5992 (ГИМ)",254
