title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Лишань Улун,ulun,100,5600,"Высокогорный улун, сделан в горах Лишань (центральный Тайвань, свыше 2000 м). Сделан по технологии цинсян (легкая ферментация, непродолжительный прогрев). В сухом виде: крупные зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, желто-зеленого оттенка. Букет готового чая свежий и яркий, многогранный, травянисто-цветочный с нотками китайской груши, дыни и специй. Аромат высокий, свежий, пряно-цветочный. Вкус объемный, тонкий и мягкий, сладковатый, с нежной фруктовой кислинкой и нюансами пряностей – тает на языке, подобно утренней росе. Сочное, освежающее послевкусие. Заваривать горячей водой (80-95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5-6 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 12 завариваний. Великолепный высокогорный улун для гурманов и искушенных любителей – утонченный, очень мягкий и мощный. Воздействие освежающее, тонизирующее, самое позитивное.",1,6,,,,60,60,60,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,
Чэнь Мэй Чжань (2009),ulun,90,4890,"Выдержанный, сильно-ферментированный улун из чайного региона Уишань, в качестве сырья использованы побеги сорта Мэйчжань. В сухом виде: крупные, темно-коричневые чайные листья продольной скрутки. Аромат интенсивный, хлебный, с ноткой сухофруктов. Настой прозрачный, оттенка желтой охры. Букет готового чая теплый, многогранный, с нотками жареных тостов, пряных трав, осенних листьев, орехов и сухофруктов. Аромат теплый, хлебно-пряный. Вкус плотный, мягкий, шелковистый, сладковатый, минеральный, с легкой фруктовой кислинкой. Заваривать горячей водой (92-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 5-7 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 7 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, расслабляющее.",2,6,,,,,,60,,,,,,60,40,,,40,,80,,,,,,,,,,,,,,,,,,,,
"Лао Цзюнь Шань Мао Цзянь, 2005",green,0,2160,"Выдержанный зеленый чай из провинции Хунань. Урожй 2005 года. В сухом виде: мелкие, изогнутые, бурые, пушистые почки. Аромат сдержанный, древесный с копченой ноткой. Настой прозрачный, виноградно-желтого оттенка. Букет готового чая выдержанный, пряно-древесный с фруктовыми, копчеными и ореховыми нотками. Аромат спокойный, пряно-травянистый. Вкус плотный, маслянистый, сладковатый, с легкой терпкостью виноградной кожицы, холодком мяты и освежающим послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8-9 завариваний. Воздействие освежающее, легкое тонизирующее.",2,4,,,,,40,80,,,,,,,,,,60,60,,,,,,40,,,,,,,,,,,,,,,
Сяо Чжун Улун,red,90,690,"Красный чай «Сяо Чжун» из чайного региона Уишань. В качестве сырья использованы осенние побеги сорта Улун. В сухом виде: среднего размера, тонкие, темно-коричневые жгутики чайных листьев. Аромат интенсивный, фруктово-пряный. Настой прозрачный, красно-каштанового оттенка. Букет готового чая теплый и яркий, фруктово-пряный, с бисквитными, медовыми и цитрусовыми нотками. Аромат густой и глубокий, фруктово-пряный; холодный аромат – сладкий, фруктово-цветочный. Вкус сочный, плотный, шелковистый, чуть вяжущий, сладковатый, с легкой фруктовой кислинкой. Сочное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Прекрасный выбор для эмоциональной перезагрузки во второй половине дня – яркий, сочный, ароматный. Воздействие согревающее, умеренно тонизирующее, в невысокой концентрации – расслабляющее.",2,5,60,40,60,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чэнь Нянь Тан Бэй Лао Ча (2014),ulun,100,4600,"Выдержанный улун, в процессе изготовления прогретый на углях. В сухом виде: небольшие темно-коричневые комочки скрученных чайных побегов. Аромат сдержанный, фруктово-пряный. Настой прозрачный, охристо-желтого оттенка. Букет готового чая зрелый, многогранный, пряно-древесный, с фруктовыми, ореховыми и коньячными нотками. Аромат теплый, сложный, пряно-древесный. Вкус плотный, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего, начиная с экспозиции в 10 секунд и доведя время заваривания до 2 минут, можно заварить 10 раз. Воздействие согревающее, мягкое тонизирующее.",10,6,,,,,60,60,,,80,,,,,,,40,,,,,,,,,,,,,,40,,,,,,,,
"Цзинмай Шэн Ча (Мойчай, 2022), 357 г",puer,98,1300,"357-граммовый блин, средней плотности, из спрессованных бурых листьев с тонкими черенками и почек. Аромат сдержанный, пряно-травянистый. Настой прозрачный, желтого оттенка. Букет готового чая свежий, пряно-травянистый с цветочными, ореховыми и фруктовыми нотками. Аромат нежный, пряно-травянистый. Вкус плотный, маслянистый, немного вяжущий, с тонкой фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8 завариваний.",5,6,,,,40,40,80,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,
Наньно Шу Ча (2018),puer,92,930,"В сухом виде: небольшие, коричневые, скрученные листики и их фрагменты, рыжие почки и тонкие черенки. Аромат интенсивный, древесно-ореховый. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с землистыми, хлебными, пряными и бальзамическими нотками. Аромат глубокий, теплый, сложный, древесно-ореховый с ноткой сухофруктов. Вкус плотный, мягкий, бархатистый, сладковатый, пряный, с мятной прохладой. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Воздействие согревающее, умеренно тонизирующее.",5,7,,,,,,,80,,80,,,,,,,60,,60,,60,,,,,,,,,,,,,,,,,,
Да Юй Лин Улун,ulun,92,7300,"Сделан в районе Да Юй Лин (округ Наньтоу). Это самые высокогорные чайные плантации Тайваня (2600 м). Чистейший горный воздух, богатые минералами каменистые почвы и сильные колебания дневных и ночных температур рождают совершенно уникальный чайный лист. Чайных садов в этой местности немного, добраться до них можно лишь по узкому серпантину горной дороги, осыпающейся во время ливней. В сухом виде: крупные, тяжелые, глянцевые, голубовато-зеленые шарики с аккуратными желтыми черенками. Аромат сухого чая интенсивный, пряно-цветочный. Настой прозрачный, лимонного оттенка. Букет готового чая свежий и яркий, округлый, травянисто-цветочный, с нотками специй и ягод. Аромат восхитительно нежный, объемный, пряно-цветочный. Вкус тонкий и чистый, мягкий, маслянистый, сладковатый, чуть пряный, с легкой ягодной кислинкой – тает на языке, подобно утренней росе. Превосходное освежающее послевкусие, которое держится на протяжении нескольких часов. Заваривать горячей водой (95°С) в гайвани или в чайнике из пористой глины. Пропорция сухого чая к воде: 5 г. на 100 мл. Для первого раза настоять 8-10 секунд, а затем, начиная с экспозиции в 2-3 секунды и постепенно доведя время выдержки до 3 минут, можно заварить 15 раз. Превосходный церемониальный чай для опытного пользователя и особого, чайного настроения. Вызывает ощущение чистоты и свежести, создает атмосферу гармонии и спокойствия, открывает для восприятия красивые и легкие миры.",2,5,,,40,80,,60,,,,40,,,,,,,,,,,,,,,,,60,,,,,,,,,,,
Пуэр шу 1996 Мэнхай,puer,100,15600,"Шу пуэр 1996 года из чайного региона Мэнхай. Коллекция Клуба чайной культуры. В сухом виде: небольшие темно-коричневые жгутики скрученных листиков и их фрагменты. Аромат сдержанный, орехово-древесный. Настой прозрачный, красно-каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с грибными, ягодными, винными и осенними нотками. Аромат многогранный, теплый. Вкус мягкий, бархатистый, немного пряный, сладковатый, с легкой фруктовой кислинкой – сильно меняется на протяжении чаепития. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 5-7 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 9 завариваний. Прекрасный образец лао ча многолетней выдержки в условиях сухого склада.",3,6,,,,,,40,,,80,40,,,,40,,80,,,,,,,,,,,,,,,,,,,,,,
"Сы Цзи Чунь Дун Пянь (Весна Четырех Сезонов, зимний сбор)",ulun,96,1290,"В сухом виде: небольшие оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат яркий, пряно-цветочный. Вкус тонкий, мягкий, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Воздействие освежающее, легкое тонизирующее, самое позитивное.",3,6,,,,80,60,,60,,,,,,,,,40,,,,,,,,,,,80,,,,,,,,,,,
