lat,long,year_of_discovery,country,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,summary,disposition
50.9457,1.754,1700,France,5635,SANGATTE 1700-1800,3,383,388,"Three solidi: 2 Valentinian I, 1 Magnus Maximus (AD 383-388).",NA
57.460476,18.129073000000002,1703,Sweden,4631,SIGVARDS,33,476,476,"33 coins: 28 denarii and 5 solidi denarii. Denarii of Antoninus Pius, Faustina I and Marcus Aurelius. Solidi: Honorius 1, Theodosius II 1, Anthemius 1, Leo I, Basiliscus 1. (AD 476).",Lost
50.151967,2.731412,1705,France,5586,ABLAINZEVELLE,1500,276,282,"The hoard comprised nearly 1,500 antoniniani (radiates) of Gallienus to Probus, with coins of Probus being the most numerous. Only one coin of Gallienus' sole reign was described (RIC 599).",NA
46.568,3.334,1708,France,7307,MOULINS,36000,270,275,"The hoard comprised more than 36,000 coins, probably all antoniniani (radiates) from Valerian I and Gallienus to Aurelian (AD 270-275).",NA
44.899944,10.515126,1714,Italy,10064,BRESCELLO,80000,-38,-38,"Circa 80,000 republican aurei minted between 46 and 38 BC, found with a vessel. Gold weight 650 kg.",Lost
51.996,5.976,1715,Netherlands,10039,VELP 1715,35,426,430,"A hoard of possibly 35+ late Roman gold coins, including at least 5 medallions (Honorius, Galla Placidia), as well as solidi of 'Constantine', 'Valentinian', Valens, Gratian, Arcadius, Honorius, Johannes and 'other emperor and empresses at that time'. The medallions were encased in frames and attached to a gold necklace. Bracelets are also reported of.","Numismatic National Collection (2 coins); Cabinet des Médailles, Bibliothèque nationale de France, Paris (2 coins)"
45.709,4.305,1716,France,6352,VALEILLE,300,244,249,"The hoard comprised 'a ceramic vessel containing more than 300 middle bronzes. They were of Marcia Severa, the young Gordian, Gordian II. They were all different, but all base silver.' It is clear that the coins were radiates, although it is possible that there may have also been some denarii if the identification of coins of Gordian II is correct. The hoard was found by a labourer.",NA
50.555928,-2.4389695,1720,UK,15280,PORTLAND BILL,8,-60,-20,Four Danubian tetradrachms and four Iron Age staters found in Portland in 1720. De Jersey considers it unlikely that the British coin was deposited with the Danubian tetradrachms.,British Museum (part); Dorset County Museum (part)
36.720081568035,-4.4200438239111,1722,Spain,17601,MÁLAGA 1722,87,180,192,Hoard of 87 aurei: Nero - Commodus (AD 180-192).,NA
50.272,3.707,1724,France,5555,GOMMEGNIES,6000,260,269,"The hoard comprised more than 6000 radiates from Julia Domna to Postumus, the most numerous being of Gordian III, Philip I and Philip II. Found by a workman on the land of B. Flamand",NA
51.638691,-0.80202257,1725,UK,61,WYCOMBE (WEST WYCOMBE?),4,161,162,"Two coins of Antoninus Pius, one Marcus Aurelius and one of Hadrian found in 1725, as part of a large 'parcel' of coins.",NA
48.2999,4.082,1726,France,3028,TROYES 1726,212,193,211,"212 aurei found with a ceramic vessel: Nero - Septimius Severus (AD 193-211); gold weight: 724.3-734.3g. The archives of the Cabinet des Médailles preserve the list of 102 aurei sent by the intendant Lescalopier and the register 48 bis, of the same Cabinet allows identifying 22 pieces on the lot of 110 addressed by the bishop and the chapter of Troyes to Cardinal Fleury to be presented to the King. Research carried out in the Marne and Aube archives by MM. Gandilbon and Waquet, unfortunately, did not reveal the full list of the 110 pieces.",NA
51.985,5.899,1731,Netherlands,9847,ARNHEM 1731,7,227,227,7 denarii undescribed (Vespasian - Severus Alexander) found in fortifications.,RMO
50.2,8.38333,1732,Germany,17000,SCHLOSSBORN,700,200,299,"In 1732 a hoard was found in ""Herrenwäldchen"" near Schloßborn, whose content was soon afterwards identified as ""heydnische müntz,"" which was at the time definitely a description for Roman coins. The coins, described as 'white', were melted down, totalling a weight of 3044.446 g, which would correspond to 700 antoniniani or 1000 denarii.",NA
47.798,3.574,1734,France,7875,AUXERRE 1734,4000,271,274,The hoard comprised c. 3/4000 antoniniani (radiates) ending with coins of Tetricus I (AD 271-274).,NA
53.611944,19.770833,1739,Poland,13426,GIERŁOŻ,1124,217,218,"1,124 denarii: Nero - Macrinus (AD 217-218).","Münzkabinett, Berlin, Germany (15 coins)"
41.741,-7.471,1744,Portugal,17511,CHAVES 1744,5700,-27,14,"Hoard of 5,700 aurei, most of them belonging to Augustus.",NA
54.2572,18.6076,1745,Poland,13667,JUSZKOWO 1745,3,180,180,"Three denarii found in a funerary urn together with an amber bead and a wire link ring: Domitian, Hadrian Marcus Aurelius (Divus) (AD 180).","Museum Gdansk, Poland"
48.112,3.3,1748,France,6976,PARIS XVIE (QUARTIER AUTEUIL) 1748,62,260,260,The hoard comprised a large ceramic vessel containing 62 sestertii of the first to third century AD.,NA
50.214416,-5.2532433,1749,UK,15112,CARN BREA 1749,200,-80,-60,"Between 50 and 200 Iron Age gold coins, found in 1749 in the middle of the ridge of Karn-brê-hill.",NA
43.025707,10.816116,1750,Italy,16168,MARSILIANA,33,467,472,Hoard of 33 gold coins. One solidus of Anthemius was known.,Lost
39.7902,-8.4277,1751,Portugal,17574,PELMÁ,80,98,117,"Hoard of circa 80 coins of gold, silver and bronze belonging to Vitellius, Vespasian, Titus, Nerva and Trajan. Together were found gold jewelry.",NA
43.48673,11.377467,1752,Italy,16166,RADDA (IN CHIANTI),100,395,423,"Circa hundreds of nummi found while digging a ditch. 12 coins were seen, among issuers: Theodosius I, Honorius, Arcadius.",Lost
50.889135,-2.2857088,1753,UK,15264,OKEFORD FITZPAINE,80,-80,-60,"In digging gravel, 1753, on Ockford hill near the road that leads to Turnworth, 70 or 80 British silver coins were found. A similar find is reported for 1788. The report mentions that they were scarce broader than a sixpence, but much thicker, flat on one side, and convex on the other, weighed 83 grains, and were valued at 11d. each, and resembled one in Dr. Borlase's History of Cornwall, p. 242, Plate xix. No. 11 (a British A (Westerham) stater, ABC 482, the prototype of the Durotrigan silver). If the weight quoted (83 gr, or 5.38 g) is accurate, then the coins must have been from relatively early in the series, with a high silver content.",NA
51.602,6.5115,1754,Germany,4526,MENZELEN,208,413,423,"A hoard of 208 gold coins (mostly solidi), found on the Menzeler Heide in an earthenware vessel. The coins were dispersed, but a list of them was made. Coins range from the late Republic to the early 5th c., with the majority belonging to the 4th c.",dispersed
56.5878,-4.0023,1755,UK,1766,KENMORE,14,161,180,"A hoard of 12 Roman coins (apparently silver), found in 1755 while building a road from Taymouth to Glenquaich, near the crest of the hill. The same find (but described as 14 denarii) is recorded as having been found while digging the foundations of a tower near Taymouth. The coins are from the Antonine period, none later that Marcus Aurelius. No further details given.",NA
50.42893,2.83183,1756,France,5623,LENS 1756,20,161,180,The hoard comprised '20 coins of which the most recent was an issue of Marcus Aurelius' The hoard was discovered by peat cutters.,NA
50.383403,-4.6176447,1758,UK,14564,LERRYN,4,271,274,"There is an account of Borlase receiving four radiates from the Rector of Lanreath that were found at the unidentified place of ""Carlean"" in 1785. The findspot was described as ""near the northern extremity of [the earthwork known as] the Giant's-hedge, not far from Ethy"", at Lerryn creek, on the Eastern banks of the River Fawy"". Penhallurick suggests that Carlean is a misreading of Collon.",NA
40.75,14.483,1759,Italy,10372,"POMPEII VI, 17, 42, 42A",58,72,78,"122 Republican and Imperial AV, AR, and AE found in regio VI, insula 17, building 42 (house), ground floor room, possibly a bedroom.",NA
49.685,5.81,1760,Belgium,3552,ARLON 1760,7,260,269,Unknown originally number of coins. Seven coins are known: Gordian III - Postumus (AD 266-267); silver weight: 3.1-7.8 gr.,NA
45.744,-0.624,1761,France,6049,SAINTES 1761,13,83,84,"The hoard comprised a terracotta vessel filled with gold coins. Bourignon remarked that the earliest he saw were of Augustus and the latest of Domitian, although he was assured that there were also coins of Julius Caesar.",NA
54.85054,-2.8892781,1762,UK,367,CARLISLE 1762,700,141,161,"About 700 Roman coins were found in a ford in the river Pettarel near Carlisle in 1762. Coins seem to range from Nero to Faustina. A list of 64 of them (1 aureus, 62 denarii and 1 sestertius) exists.",NA
47.788,18.743,1763,Hungary,2905,ESZTERGOM-BURG 1763 B,1231,305,305,(1265) 1231 coins: Gordian III - Tetrarchy (AD 295-305),NA
47.788,18.743,1763,Hungary,8196,ESZTERGOM-BURG 1763 A,32,379,450,32 or 42 solidi of Theodosius I or Theodosius II.,Lost
46.3,4.82,1764,France,3788,MÂCON 1764,30000,253,268,"On discovery, most of the find was melted down and therefore it is difficult to establish the exact content of the deposit. It is reputed to have included 30,000 gold and silver coins. Buried around AD 260. Together were found eight silver statuettes and one silver plate remain from the original treasure.","Department of Greek and Roman Antiquities, The British Museum, London, United Kingdom; Musée des ursulines à Mâcon (copies of the statuettes)"
51.169,3.34,1765,Belgium,6136,OEDELEM,50,153,155,"(50-60) 13 bronze coins: 12 sestertii, 1 dupondius: Domitian - Antoninus Pius (AD 153-155).","Collection J. De Bast (13 coins), in 1808"
57.14313,-4.68224,1767,UK,966,FORT AUGUSTUS,300,293,305,"An earthen urn, with about 300 coins, of mixed metal and in two sizes, all of the emperor Diocletian, found in Fort Augustus, while digging a trench in order to repair the fortifications. Coins seem to have been both antoniniani and folles, though it is unlikely that they all belonged to the same emperor.",NA
51.161,4.671,1770,Belgium,6248,NIJLEN,150,81,96,c. 120-150 aurei: Julius Caesar - Domitian (AD 81-96).,NA
45.842,12.351,1771,Italy,4175,MARENO DI PIAVE,3,383,388,Three solidi of Magnus Maximus (AD 383-388).,Lost
51.622096,-0.94691376,1772,UK,14709,TURVILLE,32,161,180,"HER record of a hoard of 32 Roman copper coins, ""chiefly of the Middle Empire"" found in 1772 at North End in Turville. Eight of the coins were said in 1797 to be in the possession of Col Innes of Ibstone House, of which there were 2 of Antoninus Pius, 2 ""Faustinas"", 2 ""Vespasians"", 1 Trajan and 1 ""Aurelius"". Source: Thomas Langley 1797 ""History and Antiquities of the Hundred of Desborough"" p.383.",NA
49.418,2.826,1773,France,7206,COMPIÈGNE 1773,13,37,37,"The hoard was discovered between two stones and comprised 9 denarii, 7 of which were catalogued.",NA
48.117266,-1.6777926,1774,France,3863,RENNES 1774,94,270,275,Hoard of aurei and jewelry: 94 aurei: Nero - Aurelian (AD 270-275); gold weight: 648.8g.,NA
46.8134,4.9383,1775,France,7124,ALLÉRIOT 1775,2,161,180,"The hoard was found in a vessel containing coins of the Principate, including 2 coins of Antoninus Pius and Marcus Aurelius.",NA
40.752,14.481,1776,Italy,10367,"POMPEII VI, 17, PORTA DI ERCOLANO C",106,78,79,106 Republican and Imperial aurei and denarii found near the Porta Ercolano.,NA
51.503293,-0.085155684,1777,UK,777,TOWER OF LONDON,3,404,408,"Three solidi (Honorius and Arcadius) and one silver ingot, found while digging the foundations for a new office in the Tower of London, in 1777.",British Museum
48.279431,0.490499,1778,France,5856,SAINT-COSME-EN-VAIRAIS,200,44,44,"The hoard comprised approximately 200 gold aurei. Some gold coins were found while the miller, Chereau was ploughing in the church's field. He then found quite a large quantity while digging in his field.",NA
54.329423,18.592247,1780,Poland,13655,GDAŃSK UJEŚCISKO,4,196,217,"Hoard of unknown number of denarii. Some information on four of them: Vespasian 2, Faustina I/II, Julia Domna (AD 196-217).",NA
55.6814,-3.6836,1781,UK,1131,CARSTAIRS,100,138,180,"A hoard of about a 100 Roman bronze coins, found on the estate of Carstairs house (= Monteith House). Nero, Trajan, Faustina, Germanicus, M. Aurelius, M. Antoninus are mentioned. To this hoard belonged 13 coins presented to the Society of Antiquaries of Scotland in 1781 (Trajan, Hadrian, the Empress Faustina, and Germanicus, are mentioned; the coin with Germanicus probably refers to an emperor Germanicus in its titles, e.g. Nero, Domitian or Trajan). No coins from this hoard have been located in NMAS, Edinburgh, or in Hunterian Museum, Glasgow. There is, however, in the University archives a letter from Mr. W. Fullerton, Carstairs House, dated 20 Oct. 1781, to Dr. A. Stevenson stating: ""I send you a small box containing a dozen or more bronze medals intended for the College. About a hundred or more of them were found together by some workmen in repairing a road to a miln near this place [i.e. Carstairs House]. {...} They are cheifly [sic] Trajans Hadrian Antoninus Pius two or three Faustinas and one Marcus Aurelius Caesar and several others which from the inscription being much worn out their age cannot be so easily ascertained tho' on comparing them with Vallaint's [Vaillant's] Numismata they seem to be of Domitian. The place where they were found is about a quarter of a mile from an old Roman encampment or station [i.e. the Roman fort at Castledykes] of which part of the vallum remains still partly intire.""",NA
55.5022,11.3516,1782,Denmark,13707,RÅMOSEN,428,160,181,"Råmosen, the numerically largest denarii hoard in Denmark, was found in 1782. The hoard consists of 428 denarii. There are two lists of coins for the hoard; one lists the end coin as a Marcus Aurelius, but there are contemporary letters mentioning coins with a portrait of Crispina.",NA
