author,published,title,original_text,modified_date,changes,month
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, January 29th.","January 29th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, February 7th.","February 7th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,February 12th.,"February 12th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,February 13th.,"February 13th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"THE THATCHED COTTAGE, February 19th.","February 19th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, February 19th.","February 19th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, February 24th.","February 24th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, March 3d.","March 3d, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, March 5th.","March 5th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, March 20th.","March 20th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"GRAYSMILL, March 26th.","March 26th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_June 3d, at evening._--I am weak, very weak. I never could carry","June 3d, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_June 4th._--Their eyes met once at supper, only once, and they did","June 4th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 6th._--Constance should not have said that; there was no need.,"June 6th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 10th._--I must be very jealous indeed. This is very strange. I,"June 10th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 18th._--I put it from me for a while. I have been very calm; I,"June 18th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 21st._--It comes to me almost as a miracle what one can bear.,"June 21st, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 25th._--Gabriel is not well. I noticed it a day or two ago.,"June 25th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 27th._--I think I feel as men must who die of thirst adrift in,"June 27th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_June 30th._--It must be late; the chimes have just told three,"June 30th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_July 2d._--The day is hot and heavy; it suits me very well.,"July 2d, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 3d._--Let me write it down, all my infamy. I am possessed by a","July 3d, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 4th._--They have not met to-day. I was at the Cottage, and we","July 4th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 6th._--I have been very sinful. I was worse yesterday, if can","July 6th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 9th._--How beautiful love is! Now that, one by one, I am","July 9th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,_July 10th._--To-day Constance would not come to the Cottage with,"July 10th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 11th._--To-day they met again. I am not schooled, I have not","July 11th, 1895",fake year,
"Alma-Tadema, Laurence",1894,The Wings of Icarus: Being the Life of one Emilia Fletcher,"_July 12th._--To-morrow it must be. I meant to tell him to-night,","July 12th, 1895",fake year,
"Baring, Maurice",1921,Passing By,"_Friday, December_ 18_th_, 1908. _Gray's Inn_.","Friday, December 18th, 1908",as in text,
"Baring, Maurice",1921,Passing By,"_Saturday, December_ 19_th_.","Saturday, December 19th. 1908",as in text,
"Baring, Maurice",1921,Passing By,"_Thursday, January_ 1_st_, 1909. _Gray's Inn_.","Thursday, January 1st, 1909",as in text,
"Baring, Maurice",1921,Passing By,"_Monday, February_ 2_nd_.","Monday, February 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, February_ 8_th_.","Sunday, February 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, February_ 9_th_.","Monday, February 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, February_ 10_th._","Tuesday, February 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, February_ 16_th. Gray's Inn_.","Monday, February 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, February_ 17_th. Gray's Inn_.","Tuesday, February 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_February_ 19_th_, 1909.","February 19th, 1909.",as in text,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 1_st_.","Monday, March 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 2_nd_.","Tuesday, March 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 3_rd_.","Wednesday, March 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ _4th_.","Thursday, March 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 5_th_.","Friday, March 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 6_th_.","Saturday, March 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday Night, March_ 7_th_.","Sunday Night, March 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 8_th_.","Monday, March 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 8_th_.","Monday, March 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 9_th_.","Tuesday, March 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 10_th_.","Wednesday, March 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 11_th_.","Thursday, March 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 12_th_.","Friday, March 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 13_th._","Saturday, March 13th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday Night, March_ 14_th._","Sunday Night, March 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 14_th._","Sunday, March 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, March_ 16_th._","Monday, March 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 17_th._","Tuesday, March 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 17_th._","Wednesday, March 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, March_ 18_th._","Thursday, March 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, March_ 19_th._","Friday, March 19th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, March_ 20_th._","Saturday, March 20th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday Evening, March_ _21_st.","Sunday Evening, March 21st., 1909",modified,
"Baring, Maurice",1921,Passing By,_March_ 25_th._,"March 25th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, March_ 29_th. Hotel St Romain, Rue St Roch, Paris_","Sunday, March 29th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, March_ 30_th. Villa Fersen, Florence_","Tuesday, March 30th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, March_ 31_st_.","Wednesday, March 31st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 1_st_.","Thursday, April 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, April_ 2_nd_.","Friday, April 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, April_ 3_rd_.","Saturday, April 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Easter Sunday, April_ 4_th._","Easter Sunday, April 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, April_ 5_th._","Monday, April 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, April_ 6_th._","Tuesday, April 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, April_ 7_th_.","Wednesday, April 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 8_th._","Thursday, April 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, April_ 9_th._","Friday, April 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, April_ 10_th._","Saturday, April 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, April_ 8_th_.","Thursday, April 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 9_th._","Sunday, May 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 12_th._","Wednesday, May 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday,_ May 19_th_.","Wednesday, May 19th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 24_th._","Monday, May 24th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 3_rd. Gray's Inn_.","Monday, May 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 4_th._","Tuesday, May 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 5_th._","Wednesday, May 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 6_th._","Thursday, May 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 7_th._","Friday, May 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 9_th_","Sunday, May 9th, 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 10_th._","Monday, May 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 11_th._","Tuesday, May 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 12_th._","Wednesday, May 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 13_th._","Thursday, May 13th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 14_th._","Friday, May 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 15_th._","Saturday, May 15th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 16_th._","Sunday, May 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 17_th_.","Monday, May 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 18_th._","Tuesday, May 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 19_th._","Wednesday, May 19th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 20_th._","Thursday, May 20th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 21st.","Friday, May 21st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, May_ 22_nd_.","Saturday, May 22nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 24_th._","Monday, May 24th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, May_ 25_th._","Tuesday, May 25th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, May_ 26_th._","Wednesday, May 26th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, May_ 27_th._","Thursday, May 27th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, May_ 28_th._","Friday, May 28th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, May_ 30_th. Rosedale, Surrey._","Sunday, May 30th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 21_st_.","Monday, May 21st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, May_ 31_st_.","Monday, May 31st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 1_st._","Tuesday, June 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, June_ 2_nd_.","Wednesday, June 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, June_ 3_rd_.","Thursday, June 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 4_th._","Friday, June 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, June_ 5_th._","Saturday, June 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, June_ 6_th. Littlehampton_.","Sunday, June 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, June_ 7_th._","Monday, June 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 18_th_.","Friday, June 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, June_ 10_th._","Tuesday, June 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, June_ 25_th._.","Friday, June 25th.., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, July_ 5_th._","Monday, July 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, July_ 12_th._","Monday, July 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 1_st. Grey Farm, Carbis Bay, Cornwall_.","Sunday, August 1st., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 2_nd_.","Monday, August 2nd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 3_rd_.","Tuesday, August 3rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 4_th._","Wednesday, August 4th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 5_th._","Thursday, August 5th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 6_th._","Friday, August 6th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 7_th._","Saturday, August 7th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 8_th._","Sunday, August 8th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 9_th_.","Monday, August 9th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 10_th._","Tuesday, August 10th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 11_th._","Wednesday, August 11th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 12_th._","Thursday, August 12th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 13_th_.","Friday, August 13th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 14_th._","Saturday, August 14th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Sunday, August_ 15_th._","Sunday, August 15th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 17_th._","Tuesday, August 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 23_rd_.","Monday, August 23rd., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 24_th._","Tuesday, August 24th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Monday, August_ 16_th. Grey Farm, Carbis Bay._","Monday, August 16th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Tuesday, August_ 17_th._","Tuesday, August 17th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Wednesday, August_ 18_th_.","Wednesday, August 18th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Thursday, August_ 19_th._","Thursday, August 19th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Friday, August_ 20_th._","Friday, August 20th., 1909",modified,
"Baring, Maurice",1921,Passing By,"_Saturday, August_ 21_st_.","Saturday, August 21st., 1909",modified,
