title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
"Аньхуа Фу Чжуань (Moychay.ru, 2017), 800 г",black,86,3808,"«Брикет долголетия» из Аньхуа (провинция Хунань).В создании этого чая принимает участие микроб Eurotium Cristatum или Цзинь Хуа (Золотые цветы, разновидность), чрезвычайно полезный для здоровья. Его колонии выглядят как жёлтые крупинки, рассыпанные по поверхности чайного листа. Помимо чая Золотые Цветы живут на Грибах Долголетия, Фу Лин (Poria cocos, Пория кокосовидная), что и отражено в названии. 800-граммовый чайных брикет из спрессованных бурых чайных листьев с одеревенелыми черенками. Аромат интенсивный, пряно-древесный с фруктовой ноткой. Настой прозрачный, оттенка желтой охры. Букет готового чая зрелый, многогранный, пряно-древесный, с осенними, фруктовыми, медовыми и бальзамическими нотками. Аромат глубокий и теплый, фруктово-пряный. Вкус мягкий, сочный, сладковатый, с легкой древесной терпкостью и фруктовой кислинкой. Приятное, освежающее послевкусие. Заваривать горячей водой (95°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 8-10 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 6-7 завариваний. Хорошо подходит для варки и заварки в термосе. Отличный выбор для повседневных чаепитий – мягкий вкус, глубокий аромат, согревающее, умеренно тонизирующее воздействие. Особенно будет актуален в сырую, холодную погоду, во время сезонных инфекций.",2,8,,40,,,60,60,,,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
"Шу Пуэр ""Дивный"" (сырье 2019, пресс 2021), 100 г",puer,96,756,"Сделан из сырья, собранного в чайном регионе Мэнхай. 100-граммовый блинчик средней плотности, состоящий из рыжих почек, темно-коричневых скрученных листиков и черенков. Аромат сдержанный, древесно-бальзамический. Настой прозрачный, темного, красно-коричневого оттенка. Букет готового чая зрелый, орехово-древесный, с нотками сухофруктов, прелых осенних листьев и пряных трав. Аромат густой, низкий, сложный, орехово-древесный. Вкус плотный, терпкий, сладковатый, с сочной горчинкой и кислинкой сухих ягод. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-8 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Отличный шу пуэр с ярким, бодрящим вкусом.",2,7,,,,,40,60,,,100,,,,,,,80,,,,,,60,,,,,,,,,,,,,,,,
Те Лохань Юнь Лун,ulun,90,3300,"Те Лохань (Железный Архат) – один из четырех знаменитых сортов утесных улунов, известных со времен эпохи Цин. Среди версий о происхождении сорта самыми популярными являются две. По одной – архат, пролетающий над горами Уи с чайного пира в чертогах Владычицы Запада, случайно роняет ветвь, которую затем находит крестьянин-чаевод. Архат является крестьянину во сне и велит посадить росток в урочище Демонов, чтобы останавливать эпидемии и лечить болезни. В другой истории куст находит монах из монастыря Хуэй Юань (Сад Прозрения) и делает чай с чудесными свойствами, а исцеленные люди дают чаю имя в честь создателя. В наши дни материнские кусты этого сорта по-прежнему растут у монастыря Хуэй Юань, а чай высоко ценится за свои исключительные гастрономические свойства и силу воздействия. «Те Лохань Юнь Лун» приготовлен на территории заповедника Уишань в фермерском хозяйстве Юнь Лун (Облачный Дракон) В процессе обработки прошел через сильную ферментацию и длительный прогрев над тлеющими углями. В сухом виде – среднего размера изогнутые жгутики темно-коричневых листиков. Аромат теплый, густой, хлебно-пряный. Настой прозрачный, орехового оттенка. Букет готового чая теплый, округлый, хлебно-пряный с ореховыми, цветочными и медовыми нотками. Вкус мягкий, плотный, маслянистый, сочный, сладковатый, с нюансами специй. Аромат многогранный, густой и глубокий. Послевкусие долгое и сочное. Заваривать кипятком 95°С в чайнике из пористой глины для сильно-ферментированных улунов или в гайвани. Пропорция заварки к воде: 6 гр. на 100 мл. Пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 7-8 завариваний. Железный Архат – чай с мужским характером, в нем много «янского дыхания-ци». Согревает и расслабляет тело, успокаивает ум, сообщает спокойное, медитативное состояние, в котором с каждой последующей чашкой, как с ударом буддийского колокола, нервозность, суетные мысли и разные другие «демоны» отступают, оставляя пространство внутренней тишины и гармонии.",2,5,,40,,40,,60,,,,,,,,,,40,,80,,,,,,,,,,,,,,,,,,,,
Фо Шоу Мэйчжоу Чао Ча,ulun,88,870,"Сделан в округе Мэйчжоу по аутентичной технологии чао ча. В качестве сырья использованы побеги сорта Фо Шоу (Рука Будды). В сухом виде: лилово-коричневые фрагменты скрученных почек, тонкие черенки. Аромат сдержанный, пряно-древесный. Настой прозрачный, оттенка горного меда. Букет готового чая выдержанный, многогранный, пряно-древесный, с нотками ванили, табака, орехового бисквита и сухофруктов. Аромат нежный, теплый, пряно-бисквитный. Вкус плотный, мягкий, сладковатый, с легкой фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5-6 г на 100 мл. Залейте чай горячей водой, дайте настояться в течение 10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний. Воздействие согревающее, умеренно тонизирующее.",2,5,80,,,,60,60,,,60,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
Пинлинь Баочжун Лао Ча (1992),ulun,80,17500,"В сухом виде: среднего размера жгутики скрученных, красно-коричневых чайных листьев тонкими черенками. Аромат интенсивный, острый, древесно-бальзамический с землистой ноткой. Настой прозрачный, янтарного оттенка. Букет готового чая зрелый, многогранный, древесно-ягодный, с бальзамическими, коньячными, пряными и ванильными нотками. Аромат сложный, теплый, древесно-ягодный. Вкус плотный, мягкий, шелковистый, сладкий, с тонкой кислинкой и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",3,6,,,,,,60,,,80,80,,,,,,,80,,,,,,,,,,,,,60,,,,,,,,
"Лао Цзюнь Шань Мао Цзянь, 2005",green,0,2160,"Выдержанный зеленый чай из провинции Хунань. Урожй 2005 года. В сухом виде: мелкие, изогнутые, бурые, пушистые почки. Аромат сдержанный, древесный с копченой ноткой. Настой прозрачный, виноградно-желтого оттенка. Букет готового чая выдержанный, пряно-древесный с фруктовыми, копчеными и ореховыми нотками. Аромат спокойный, пряно-травянистый. Вкус плотный, маслянистый, сладковатый, с легкой терпкостью виноградной кожицы, холодком мяты и освежающим послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8-9 завариваний. Воздействие освежающее, легкое тонизирующее.",2,4,,,,,40,80,,,,,,,,,,60,60,,,,,,40,,,,,,,,,,,,,,,
Цуй Фэн Улун,ulun,90,3700,"Улун «Цуй Фэн» или «Изумрудный Пик» сделан в районе Да Юй Лин (округ Наньтоу). Это самые высокогорные чайные плантации Тайваня (2400 м). Чистейший горный воздух, богатые минералами каменистые почвы и сильные колебания дневных и ночных температур рождают совершенно уникальный чайный лист. Обработан по технологии цинь сян (многократное скручивание, неглубокая ферментация и низкотемпературный нагрев). В сухом виде: среднего размера, глянцевые, голубовато-зеленые комочки с аккуратными желтыми черенками. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого желто-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный, с ореховыми и фруктовыми нотками. Аромат нежный и ласковый, травянисто-цветочный. Вкус плотный, чистый, гладкий, очень мягкий, маслянистый, сладковатый, с легкой кислинкой ягод и долгим, освежающим послевкусием. Заваривать горячей водой (85-92°С) в гайвани или в чайнике из пористой глины. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, затем, начиная с экспозиции в 5-10 секунд и доведя время до 3 мин, можно заварить 12 раз. Превосходный церемониальный чай, выбор гурманов и искушенных любителей.",7,6,,,,80,60,,,,,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,
"Красный чай ферментированный с Я Бао, Вьетнам (весна 2023)",puer,0,3400,"В сухом виде: крупные, изогнутые жгутики темно-коричневых чайных листочков с длинными черенками. Аромат интенсивный, ягодный. Настой прозрачный, красно-каштанового оттенка. Букет готового чая яркий, древесно-ягодный, с нотками прелых листьев, сухофруктов и специй. Аромат глубокий и теплый, фруктово-ягодный. Вкус плотный, немного терпкий, пряный, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 7 завариваний. Отличный выбор для эмоциональной перезагрузки – бодрящий, многогранный и очень ароматный.",5,6,,,,,,,60,,80,100,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,
Пуэр Шу 65,puer,94,9360,"Выдержанный шу Пуэр из коллекции «Клуб Чайной Культуры», 90-е годы XX века. В сухом виде: тонкие, темно-коричневые жгутики скрученных почек и их фрагменты. Аромат выдержанный, древесно-бальзамический с ноткой чернослива. Настой прозрачный, насыщенного красно-каштанового оттенка. Букет готового чая зрелый, многогранный, орехово-бальзамический с пряными, хлебными, древесными и черносливовыми нотками. Аромат глубокий и теплый, сложный, орехово-бальзамический с ноткой чернослива. Вкус мягкий, объемный, бархатистый, сладковатый, с легкой древесной терпкостью, нюансами специй и характерными нотками «лао ча». Устойчивое, бархатистое послевкусие. Заваривать горячей водой (95°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 6-8 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8-9 заварок. Превосходный образец коллекционного шу пуэра для настоящих гурманов и ценителей лао ча.",1,6,,,,,,60,,,,,,,,,,60,80,60,,,,,,80,,,,,,,,,,,,,,
"Цзинмай Шэн Ча (Мойчай, 2022), 357 г",puer,98,1300,"357-граммовый блин, средней плотности, из спрессованных бурых листьев с тонкими черенками и почек. Аромат сдержанный, пряно-травянистый. Настой прозрачный, желтого оттенка. Букет готового чая свежий, пряно-травянистый с цветочными, ореховыми и фруктовыми нотками. Аромат нежный, пряно-травянистый. Вкус плотный, маслянистый, немного вяжущий, с тонкой фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8 завариваний.",5,6,,,,40,40,80,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,
"Грузинский SPECIAL красный, май 2023, batch05-02",red,74,2760,"В сухом виде: крупные, изогнутые жгутики темно-коричневых чайных листочков с длинными черенками. Аромат сдержанный, фруктово-древесный. Настой прозрачный, янтарного оттенка. Букет готового чая теплый, фруктово-древесный, с медовыми, пряными и цветочными нотками. Аромат нежный, фруктово-бисквитный. Вкус плотный, очень мягкий, маслянистый, с фруктовой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15-20 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 8 завариваний. Прекрасный выбор для эмоциональной перезагрузки во второй половине дня – многогранный вкус, чарующий аромат, согревающее воздействие. В чае допустимо наличие до 10-15 % мелкой фракции листа.",8,6,40,60,,60,80,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
