creators,title,description,geoContext,minDate,maxDate,latitude,longitude
H. Bender,Kelheim,"An ancient place, cited: BAtlas 12 E4 Kelheim",Kelheim,-330,640,48.9156805,11.8528495
R.B. Hitchner,Henchir-ed-Dalia,"An ancient place, cited: BAtlas 32 G3 Henchir-ed-Dalia",Henchir-ed-Dalia,-30,640,36.730195,10.770708
S. Mitchell,Lamos,"An ancient place, cited: BAtlas 66 A4 Lamos",above Adanda,-30,640,36.228448,32.455419
D.J. Mattingly,Antipyrgos,"An ancient place, cited: None",Tobruk LBY,-330,640,32.076457,23.961371
E.N. Borza,Ar(r)olos,"An ancient place, cited: BAtlas 50 D2 Ar(r)olos",2 miles NW Kalo Kastro,-30,640,41.011737,23.326317
B. Isaac,Archelais,"An ancient place, cited: BAtlas 70 G2 Archelais",Khirbet Beiyudat WBK,-30,640,31.9694095,35.4729815
J.J. Wilkes,Dolno Ujno,"An ancient place, cited: BAtlas 49 E1 Dolno Ujno","Dolno Ujno, settlement and quarry BUL",-30,640,42.416337,22.524497
"J. Fossey, J. Morin",Pherai,Pherai was an ancient city of Thessaly in the district of Pelasgiotis.,Velestino,-750,640,39.379043,22.753851
H. Bender,Cambodunum (Raetia),Cambodunum was a Celtic settlement of Raetia. A Roman presence began under Tiberius (first century AD) when a Roman garrison was stationed at the site.,Kempten GER,-330,2100,47.727498,10.326578
D. Rupp,Ag. Epiphanios,"An ancient place, cited: BAtlas 72 A2 Ag. Epiphanios","Ag. Epiphanios, NW Neo Khorio",-330,640,35.085622,32.296367
"H.S. Sivan, R.W. Mathisen",Vesunna,Vesunna (Périgueux) was an oppidum of the Petrucorii that became part of Roman Aquitania.,Périgueux,-30,2100,45.1840395,0.721699
R.B. Hitchner,Aquae Regiae,"An ancient place, cited: BAtlas 33 E1 Aquae Regiae",Barrington Atlas grid 33 E1,-30,640,35.58292,9.718677
R.B. Hitchner,Masculula,"An ancient place, cited: BAtlas 32 C4 Masculula",Henchir-Guergour,-30,640,36.354507,8.517999
D.J. Mattingly,Wadi Morgus,"An ancient place, cited: BAtlas 38 D1 Wadi Morgus",Wadi Morgus,-30,640,32.854753,22.266849
J.J. Wilkes,Keletron,"An ancient place, cited: BAtlas 49 D3 Keletron",Kastoria GRE,-330,640,40.521673,21.262541
W.V. Harris,Ocriculum,An ancient Umbrian city that became allied with Rome in 308 B.C.,Otricoli,-750,2100,42.412746,12.466611
"M. Roaf, St J. Simpson",K081,"An ancient place, cited: BAtlas 91 F5 K081",K081,-750,640,32.574194,44.806782
"J.P. Brown, P.-L. Gatier",*Magarataricha,"An ancient place, cited: BAtlas 68 C2 *Magarataricha",Ma'ar Tarikh,300,640,35.593985000000004,36.578113
M. Euzennat,Sidi bou Hayel,"An ancient place, cited: BAtlas 28 D2 Sidi bou Hayel",Sidi bou Hayel,-30,640,35.780909,-5.360689
R. Müller Wollermann,Kom Medinet Ghurab,"An ancient place, cited: BAtlas 75 D2 Kom Medinet Ghurab",Kom Medinet Ghurab,-330,640,29.200151,30.953521
David Braund,Podazovskoye,"An ancient place, cited: BAtlas 84 E1 Podazovskoye","Podazovskoye, near Rostov",-30,640,47.101812,39.428664
"G. Reger, J. McK. Camp II",Pylos/Koryphasion,"A Classical settlement, probably the Pylos of Thucydides, on the Koryphasion promontory, (modern Akr. Koryphasiou in Messenia) in the Peloponnese.",S Petrochorion,-750,640,36.9520305,21.659888
E.W.B. Fentress,Aquae Thibilitanae,"An ancient place, cited: BAtlas 31 G4 Aquae Thibilitanae",Hammam Meskoutine,-30,640,36.459865,7.270135
R. Müller Wollermann,Oxyrhynchus/Pemje,"A city of Upper Egypt, Oxyrhynchus/Pemje is particularly well known as an archaeological site that has produced important papyrus manuscripts of ancient texts.",el-Bahnasa,-550,640,28.542574,30.65172
J.J. Wilkes,Svileuva,"An ancient place, cited: BAtlas 21 B5 Svileuva","Svileuva, YUG",-30,640,44.523943,19.833399
R.B. Hitchner,Aulodes,"An ancient place, cited: BAtlas 32 E3 Aulodes",Henchir-Sidi-Reiss/Bir-el-Djehal,-330,640,36.823067,9.571439
D.J. Mattingly,Gasr Abudrina,"An ancient place, cited: BAtlas 36 C5 Gasr Abudrina",Gasr Abudrina,300,640,26.656839,13.696507
"S.J. Keay, R.W. Mathisen, H.S. Sivan",Ilurcis/Grac(ch)urris,"An ancient place, cited: BAtlas 25 D3 Ilurcis/Grac(ch)urris",Eras de San Martín (Alfaro),-550,640,42.178586,-1.749327
"C. Foss, G. Reger",Astypalaia/Isthmos,"An ancient settlement on the island of Kos, in the vicinity of Kamares bay and Kefalos.",on Kos GRE,-750,640,36.7469926667,26.9587706667
D.J. Mattingly,Antiphrai/Leukaspis,NA,"Marina el-Alamein, el-Bahrein",-330,640,30.823446,29.012034
"C. Haselgrove, J. Kunow",Orolaunum,"A large settlement (vicus) of the Treveri, located at modern Arlon in Belgium.",Arlon BGM,-30,2100,49.683775,5.81633
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Molchia,"An ancient place, cited: BAtlas 89 F2 Molchia",Amik,300,640,38.753949,43.241023
E.W.B. Fentress,*Castellum Turrense,"An ancient place, cited: BAtlas 31 B4 *Castellum Turrense",el Mehiriss,-30,640,35.766378,4.649841
C. Foss,Kaisareia/Hadrianopolis/Proseilemmene,"An ancient place, cited: BAtlas 86 C3 Kaisareia/Hadrianopolis/Proseilemmene",Çayırlı,-100,2100,40.9259818,32.4913727
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Albiga,"An ancient place, cited: BAtlas 25 H2 Albiga",Albi FRA,-30,2100,43.928384,2.144499
"C. Foss, G. Reger",Anaia,"An ancient place, cited: BAtlas 61 E2 Anaia",Kadikalesi,-550,2100,37.801915,27.276396
A.S. Esmonde Cleary,Vindocladia,"An ancient place, cited: BAtlas 8 E4 Vindocladia",Badbury,-30,640,50.826394,-2.05251
R.B. Hitchner,Henchir-Menzel-Yahia,"An ancient place, cited: BAtlas 32 H3 Henchir-Menzel-Yahia",Henchir-Menzel-Yahia,-30,640,36.781099,10.988878
W.M. Murray,Nydri,"An ancient place, cited: BAtlas 54 C4 Nydri",Nydri,300,640,38.700555,20.709178
T.B. Mitford,Dalanda,"An ancient place, cited: BAtlas 64 F3 Dalanda",Darende?,-30,640,38.538074,37.50948
C. Foss,Himeros,"An ancient place, cited: BAtlas 53 B3 Himeros",N Chalcedon,300,640,40.998516,29.025097
"C. Foss, S. Mitchell",Idebessos,Idebessos was an ancient city of Lycia.,Kozağacı,-30,640,36.554976,30.202995
J.J. Wilkes,Zasele,"An ancient place, cited: BAtlas 21 F6 Zasele","Zasele, BUL",-30,640,43.039834,23.330045
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Til/Thiloson Kome,"An ancient place, cited: BAtlas 89 B1 Til/Thiloson Kome",Til,-30,640,39.710693,39.413142
N. Purcell,Verulae,Verulae is an ancient city that became a Roman municipium in 90 B.C. Modern Veroli in Italy.,Veroli,-330,2099,41.69053,13.417284
W.V. Harris,Polimartium,An ancient Roman settlement (modern Bomarzo in Italy),Bomarzo,300,2100,42.488153,12.248313
"J.P. Brown, E.M. Meyers",Asicha,"An ancient place, cited: BAtlas 69 D3 Asicha",Umm el-'Osij SYR,-30,640,33.061161,36.075679
S. Mitchell,Korna?,"An ancient place, cited: BAtlas 66 A1 Korna?",Dinorna (hüyük),300,640,37.489139,32.467014
H. Bender,Reissberg,"An ancient place, cited: BAtlas 12 E2 Reissberg",Reissberg,300,640,49.892327,10.876296
"I.E.M. Edlund Berry, A.M. Small",Kallipolis/Anxa,"Kallipolis/Anxa in legend was said to have been founded by Idomeneus of Crete, while Pliny the Elder credits Senonian Gauls as founders. It is most likely that the site was a Messapic settlement.",Gallipoli,-750,2100,40.056251,17.978842
"R.W. Mathisen, H.S. Sivan",Le Langon,"An ancient place, cited: BAtlas 14 E2 Le Langon",Le Langon,-30,640,46.436934,-0.952463
"E.M. Meyers, J.P. Brown",Iabrouda,A settlement located on the road between Damascus and Emesa.,Yabrud SYR,-720,640,33.972235,36.631147
R.B. Hitchner,Vieux Ghardimaou,"An ancient place, cited: BAtlas 32 B4 Vieux Ghardimaou",Vieux Ghardimaou,-30,640,36.448956,8.436315
E. Bertrand,Mustiae Calmes,"An ancient place, cited: BAtlas 17 H5 Mustiae Calmes",near Gleizolles,-30,640,44.474637,6.762891
M.U. Erdosy,Hendala,"An ancient place, cited: BAtlas 5 inset Hendala","Hendala, SRI",300,640,6.972562,79.873839
C. Foss,Ammoi,"An ancient place, cited: BAtlas 53 A3 Ammoi",E Bakırköy,300,640,40.980169,28.884702
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Qara tepe,"An ancient place, cited: BAtlas 89 G2 Qara tepe","Qara tepe, N Salmas IRN",-550,640,38.222105,44.74186
M.U. Erdosy,Boukephala,"Boukephala or Bucephala was an ancient city founded on the right bank of the Hydaspes river by Alexander the Great following the battle with Porus. Alexander named the city after his warhorse, Bucephalus. Its precise location remains debated.",Jalilpur? PAK,-330,640,32.520613,73.393843
zrosalinsky,Chhim,"Village in the Sidon Hinterland in modern Lebanon inhabited from the Classical period through Late Antiquity, likely built on a sanctuary site in use during the Bronze and Iron Ages. Remains at the site include a Roman temple, a Christian basilica, and five olive oil presses.",NA,-1200,640,33.6383091814,35.4798636855
"David Braund, T. Sinclair",Stamene/Ameneia?,"An ancient place, cited: BAtlas 87 C3 Stamene/Ameneia?","on Yasun Burnu, near Çaka Iskelesi?",-550,640,41.112782,37.704183
H. Bender,Iulium Carnicum,Iulium Carnicum (modern Zuglio) was a Roman settlement built atop an indigenous settlement after 52 BC. It was a dependency of Aquileia.,Zuglio ITL,-30,2100,46.460709,13.025781
"J. Kunow, C. Haselgrove",Vervigium,"An ancient place, cited: BAtlas 11 F2 Vervigium",Clavier-Vervoz BGM,-30,2100,50.4058915,5.367181
"J.P. Brown, P.-L. Gatier",Asharne,"Tell ‘Acharneh is located 35 km northwest of Hama, on the north bank of the Orontes River, at the crossroads of two main trade routes. This center for the production of oil, wax, and wheat was occupied during the Bronze and Iron Ages, as well as during the First Crusades. Its ancient name, Tunip, is known from second-millennium-BC sources. A stele fragment bearing an inscription of the Neo-Assyrian king Sargon II (r. 721–705 BCE) found there attests to the city’s occupation during the Iron Age.",Asharne,-2000,2099,35.2833333,36.4
E.W.B. Fentress,Tfilzi,"An ancient place, cited: BAtlas 34 E2 Tfilzi",Menaa,-30,640,35.1741,6.009593
"L.F. Pitts, A. Bursche",Col. Carnuntum,"A site first mentioned (A.D. 6) as a winter camp of Tiberius, Carnuntum eventually became a legionary base and the seat of the governor for Pannonia.",Petronell AUS,-30,2100,48.1147785,16.8631495
S. Mitchell,Cıhanbeylı,"An ancient place, cited: BAtlas 63 B3 Cıhanbeylı","Cıhanbeylı, estate center",-30,640,38.649087,32.93148
"A. Hausleiter, M. Roaf, St J. Simpson, R. Wenke",Chogha Qal,"An ancient place, cited: BAtlas 93 F2 Chogha Qal",Chogha Qal,-330,640,31.8743773,49.792441
H. Bender,Houbirg,"An ancient place, cited: BAtlas 12 E3 Houbirg",Houbirg,-330,640,49.4928555,11.4787445
"F. Hiebert, P.L. Kohl, St J. Simpson",Dabil kurgan,"An ancient place, cited: BAtlas 98 G1 Dabil kurgan","Dabil kurgan, UZB",-550,640,37.826334,66.517768
"J. Fossey, J. Morin",Chalcis,"Chalkis was a settlement on Euboea, inhabited from the sub-Neolithic period, which played an important role in Greek colonisation of the Mediterranean in the 8th century BC. It was part of the Delian League in the 5th century BC and the Second Athenian Sea League in the 4th century BC. In Hellenistic times it was one of the three 'fetters of Greece' used by Macedon to control Greece. It came under Roman control in 197 BC.","Khalkis, formerly Negroponte",-750,640,38.457139,23.621937
"R.W. Mathisen, H.S. Sivan",Gabillou,"An ancient place, cited: BAtlas 14 G3 Gabillou",Gabillou,-30,640,45.206301,1.034547
