lat,long,year_of_discovery,country,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,summary,disposition
50.1626,19.8823,1700,Poland,13453,KORZKIEW,189,180,192,Around 800 denarii of wchich 189 provided information on the issuers: Nero - Commodus (AD 180-192).,"National Museum, Poznań, Poland"
57.460476,18.129073000000002,1703,Sweden,4631,SIGVARDS,33,476,476,"33 coins: 28 denarii and 5 solidi denarii. Denarii of Antoninus Pius, Faustina I and Marcus Aurelius. Solidi: Honorius 1, Theodosius II 1, Anthemius 1, Leo I, Basiliscus 1. (AD 476).",Lost
50.151967,2.731412,1705,France,5586,ABLAINZEVELLE,1500,276,282,"The hoard comprised nearly 1,500 antoniniani (radiates) of Gallienus to Probus, with coins of Probus being the most numerous. Only one coin of Gallienus' sole reign was described (RIC 599).",NA
46.568,3.334,1708,France,7307,MOULINS,36000,270,275,"The hoard comprised more than 36,000 coins, probably all antoniniani (radiates) from Valerian I and Gallienus to Aurelian (AD 270-275).",NA
49.443232,1.099971,1714,France,5727,ROUEN AREA,6,260,269,The hoard was found in a large iron pot and comprised approximately 29 kilos (close to 120 marcs) of Roman silver coins. The coins were denarii and antoniniani (radiates) from the reign of Septimius Severus to Gallienus and Postumus. Cochet suggested purely hypothetically that this hoard was found in Saint-André-Sur-Cailly.,NA
51.996,5.976,1715,Netherlands,10039,VELP 1715,35,426,430,"A hoard of possibly 35+ late Roman gold coins, including at least 5 medallions (Honorius, Galla Placidia), as well as solidi of 'Constantine', 'Valentinian', Valens, Gratian, Arcadius, Honorius, Johannes and 'other emperor and empresses at that time'. The medallions were encased in frames and attached to a gold necklace. Bracelets are also reported of.","Numismatic National Collection (2 coins); Cabinet des Médailles, Bibliothèque nationale de France, Paris (2 coins)"
45.709,4.305,1716,France,6352,VALEILLE,300,244,249,"The hoard comprised 'a ceramic vessel containing more than 300 middle bronzes. They were of Marcia Severa, the young Gordian, Gordian II. They were all different, but all base silver.' It is clear that the coins were radiates, although it is possible that there may have also been some denarii if the identification of coins of Gordian II is correct. The hoard was found by a labourer.",NA
50.555928,-2.4389695,1720,UK,15280,PORTLAND BILL,8,-60,-20,Four Danubian tetradrachms and four Iron Age staters found in Portland in 1720. De Jersey considers it unlikely that the British coin was deposited with the Danubian tetradrachms.,British Museum (part); Dorset County Museum (part)
36.720081568035,-4.4200438239111,1722,Spain,17601,MÁLAGA 1722,87,180,192,Hoard of 87 aurei: Nero - Commodus (AD 180-192).,NA
50.272,3.707,1724,France,5555,GOMMEGNIES,6000,260,269,"The hoard comprised more than 6000 radiates from Julia Domna to Postumus, the most numerous being of Gordian III, Philip I and Philip II. Found by a workman on the land of B. Flamand",NA
52.975307,-1.8972047,1725,UK,1949,ALTON 1725,3,81,96,"Three gold coins (Vespasian, Titus and Domitian), found in 1725, below Alton Castle.",NA
49.029,1.15,1726,France,12666,NEUVILLE,4000,276,282,"4,000 coins found in a ceramic vessel: antoniniani (radiates), double sestertii, sestertii from Postumus, Aurelian, Tacitus and Probus (AD 276-282).",NA
51.985,5.899,1731,Netherlands,9847,ARNHEM 1731,7,227,227,7 denarii undescribed (Vespasian - Severus Alexander) found in fortifications.,RMO
50.2,8.38333,1732,Germany,17000,SCHLOSSBORN,700,200,299,"In 1732 a hoard was found in ""Herrenwäldchen"" near Schloßborn, whose content was soon afterwards identified as ""heydnische müntz,"" which was at the time definitely a description for Roman coins. The coins, described as 'white', were melted down, totalling a weight of 3044.446 g, which would correspond to 700 antoniniani or 1000 denarii.",NA
47.87,6.507,1734,France,9719,SAINT-BRESSON,150,180,192,"The hoard comprised more than a hundred copper alloy coins of Hadrian, Antoninus Pius and Commodus.",NA
53.611944,19.770833,1739,Poland,13426,GIERŁOŻ,1124,217,218,"1,124 denarii: Nero - Macrinus (AD 217-218).","Münzkabinett, Berlin, Germany (15 coins)"
41.88535526260901,-7.472484724926,1744,Spain,4832,OHIMBRA,400,305,305,"The hoard comprised '400 gold coins found under a stone including issues of Diocletian, Maximian and other emperors'. Gold weight: c.1768.1-1799.2g.",NA
54.2572,18.6076,1745,Poland,13667,JUSZKOWO 1745,3,180,180,"Three denarii found in a funerary urn together with an amber bead and a wire link ring: Domitian, Hadrian Marcus Aurelius (Divus) (AD 180).","Museum Gdansk, Poland"
47.328,-2.429,1748,France,5934,GUÉRANDE 1748,1000,271,274,"The hoard comprised 1,000 antoniniani (radiates) dating to the reigns of Victorinus and the Tetrici. Only three coins were described.",NA
50.214416,-5.2532433,1749,UK,15112,CARN BREA 1749,200,-80,-60,"Between 50 and 200 Iron Age gold coins, found in 1749 in the middle of the ridge of Karn-brê-hill.",NA
43.025707,10.816116,1750,Italy,16168,MARSILIANA,33,467,472,Hoard of 33 gold coins. One solidus of Anthemius was known.,Lost
39.7902,-8.4277,1751,Portugal,17574,PELMÁ,80,98,117,"Hoard of circa 80 coins of gold, silver and bronze belonging to Vitellius, Vespasian, Titus, Nerva and Trajan. Together were found gold jewelry.",NA
50.3995,3.0309,1752,France,5559,LAUWIN-PLANQUE,30002,306,306,"A hoard of approximately 30,000 'large and small bronzes', probably radiates and nummi. There were however, two large silver coins described as 'grand module' which have been interpreted as medallions: Valerian I - Constantine I.",NA
50.889135,-2.2857088,1753,UK,15264,OKEFORD FITZPAINE,80,-80,-60,"In digging gravel, 1753, on Ockford hill near the road that leads to Turnworth, 70 or 80 British silver coins were found. A similar find is reported for 1788. The report mentions that they were scarce broader than a sixpence, but much thicker, flat on one side, and convex on the other, weighed 83 grains, and were valued at 11d. each, and resembled one in Dr. Borlase's History of Cornwall, p. 242, Plate xix. No. 11 (a British A (Westerham) stater, ABC 482, the prototype of the Durotrigan silver). If the weight quoted (83 gr, or 5.38 g) is accurate, then the coins must have been from relatively early in the series, with a high silver content.",NA
46.793264,-2.06651,1754,France,3624,CLAIRMONT,223,260,269,"Hoard of 223 coins: 6 aurei, 217 denarii and antoniniani (radiates): Severus Alexander - Postumus (AD 260-269); gold weight: 27.1-30.0g.; silver weight: 59.8-315.7g. Together was found a ring (metal not specified).",NA
56.5878,-4.0023,1755,UK,1766,KENMORE,14,161,180,"A hoard of 12 Roman coins (apparently silver), found in 1755 while building a road from Taymouth to Glenquaich, near the crest of the hill. The same find (but described as 14 denarii) is recorded as having been found while digging the foundations of a tower near Taymouth. The coins are from the Antonine period, none later that Marcus Aurelius. No further details given.",NA
