language,glottocode,latitude,longitude,value
South Sudanese Creole Arabic,suda1237,5.654,28.774,absent
Zulu,zulu1248,-28.9,30.2,absent
Nend,nend1239,-5.04271,144.886,absent
Meramera,mera1242,-4.97468,151.528,absent
Marúbo,maru1252,-6.60703,-72.4027,absent
Younuo Bunu,youn1235,25.7638,110.474,absent
Ulch,ulch1241,51.8521,140.29,absent
Central Tagbanwa,cent2090,10.6519,119.338,absent
Kalkutung,kalk1246,-21,139.5,absent
Woleaian,wole1240,7.37957,143.916,absent
Cahuilla,cahu1264,33.5324,-116.691,absent
Chechen,chec1245,43.5,45.5,absent
Malavedan,mala1463,8.85517,77.2038,absent
Western Mari,west2392,56.22,46.569,absent
Tswa,tswa1255,-22.9891,32.4287,absent
Abau,abau1245,-3.97222,141.324,absent
Keiga,keig1242,11.2064,29.3889,absent
Ndogo,ndog1248,7.73028,27.5588,absent
Southern Pumi,sout2729,27.8408,100.622,absent
Tainae,tain1253,-7.40306,145.682,absent
Tagwana Senoufo,tagw1240,8.67053,-5.17372,absent
Kiowa,kiow1266,34.9403,-98.9042,absent
Kaba,kaba1281,7.64972,16.7344,absent
Pamona,pamo1252,-1.62663,121.268,absent
Eastern Panjabi,panj1256,30.0368,75.6702,absent
Titan,tita1241,-2.18168,146.888,absent
Berjozovka,berj1234,70.6687,130.914,absent
Sholaga,shol1240,11.9458,77.2211,absent
Madngele,madn1237,-13.9479,130.6,absent
Muduga,mudu1239,11.062,76.5627,absent
Ayacucho Quechua,ayac1239,-13.84714,-74.32246,absent
Hlai,hlai1239,18.8062,109.459,absent
Kashmiri,kash1277,34.166825,74.330455,absent
Ambulas,ambu1247,-3.7801,143.059,absent
Akoose,akoo1248,4.9243,9.65522,absent
Capanahua,capa1241,-6.63254,-74.3813,absent
Iwal,iwal1237,-7.20938,146.983,absent
Dampelas,damp1237,0.70234,120.219,absent
Baga Sitemu,baga1272,10.4793,-14.4756,absent
Langi,lang1320,-4.71413,35.9517,absent
Yakkha,yakk1236,27.3714,87.9306,absent
Palauan,pala1344,7.34138,134.476678,absent
Bantawa,bant1281,27.12147,87.04738,absent
Cusco Quechua,cusc1236,-14.0853,-71.7663,absent
Manat,payn1244,-4.94303,144.879,absent
Northern Tujia,nort2732,29.3016,109.759,absent
Nyali,nyal1250,1.92098,30.0201,absent
Warao,wara1303,7.50851,-59.3528,absent
Western Apache,west2615,33.8574,-110.123,absent
Kwomtari,nucl1593,-3.50718,141.488,absent
Situ,situ1238,31.590536,102.660664,absent
Chenchu,chen1255,15.8787,79.2534,absent
Pendau,pend1242,-0.11396,119.862,absent
Lala-Bisa,lala1264,-12.945,30.2297,absent
Motembo-Kunda,temb1272,2.0246,20.36849,absent
Hadza,hadz1240,-3.83115,35.0458,absent
Ikema-Irabu,ikem1234,24.7564,125.363,absent
Larantuka Malay,lara1260,-8.4746,122.7619,absent
Imbabura Highland Quichua,imba1240,0.31776,-78.3729,absent
Kulung (Nepal),kulu1253,27.1606,87.5717,absent
Siberian Evenki,sibe1251,61.972,94.689,absent
Siroi,siro1249,-5.52893,145.994,absent
Grassland Mari,gras1239,55.8307,48.405,absent
Nyoro,nyor1246,0.95294,31.3493,absent
Pitta Pitta,pitt1247,-22.7952,139.983,absent
Ume Saami,umes1235,64.6383,18.646,absent
Bini,bini1246,6.40701,5.70426,absent
Colloquial Malay,mala1479,1.85856,103,absent
Western Lawa,west2396,19.8678,99.2057,absent
Hunzib,hunz1247,42.0808,46.1369,absent
Lamenu,lame1260,-16.6098,168.171,absent
Bugan,buga1247,23.6124,104.963,absent
Nimboran,nucl1633,-2.5803,140.179,absent
Ersu,ersu1241,29.2867,102.213,absent
Kuanyama,kuan1247,-17.7176,16.58,absent
Wageman,wage1238,-13.8627,131.893,absent
Asháninka,asha1243,-11.9311,-73.9073,absent
Sie,siee1239,-18.8181,169.166,absent
Marithiel,mari1424,-13.8818,130.237,absent
Warrwa,warr1258,-17.0965,123.971,absent
Duruwa,duru1236,19.0534,82.4881,absent
Gwama,kwam1249,9.50836,34.2457,absent
Ajië,ajie1238,-21.3029,165.468,absent
Kayardild,kaya1319,-17.0695,139.489,absent
Kriang-Khlor,ngeq1245,15.6211,106.877,absent
Central Chong,cent2314,12.608611,102.270556,absent
Arop-Lokep,arop1243,-5.31671,147.103,absent
Chrau,chra1242,10.8021,107.293,absent
Youle Jinuo,youl1235,22.0473,101.057,absent
Minangkabau,mina1268,-0.896,100.44,absent
Teguima,opat1246,31.15211,-110.06212,absent
Lule Saami,lule1254,67.2759,17.8057,absent
Aikanã,aika1237,-12.6695,-60.5353,absent
Bukiyip,buki1249,-3.47169,143.111,absent
Sio,sioo1240,-5.96037,147.353,absent
Northern Qiandong Miao,nort2747,26.6338,108.162,absent
North-Central Dargwa,darg1241,42.4257,47.4388,absent
Raji,raji1240,28.6151,81.577,absent
Mamanwa,mama1275,9.44744,125.548,absent
Panare,enap1235,6.95035,-65.8483,absent
Shoshoni,shos1248,41,-116,absent
Santa María Quiegolani Zapotec,sant1451,16.033,-96.0486,absent
Aghem,aghe1239,6.38956,10.0807,absent
Northern Yokuts,yoku1256,36.3167,-119.721,absent
Khasi,khas1269,24.977,91.9998,absent
Kinshasa Lingala,ling1263,-4.409174,15.28532,absent
Bongili,bong1284,0.37063,16.6079,absent
Kinikinao,guan1270,-19.1667,-54.0333,absent
Nyankole,nyan1307,-0.46364,30.548,absent
Southern Grebo,sout2826,4.47607,-7.56872,absent
Djambarrpuyngu,djam1256,-12.021,135.59,absent
Minigir,mini1251,-4.31803,152.005,absent
Rongpo,rong1264,30.528,79.567,absent
Dzongkha,dzon1239,27.410786,89.581604,absent
S'gaw Karen,sgaw1245,17.9872,97.7126,absent
Huron-Wyandot,wyan1247,44.33,-77.5,absent
Kaluli,kalu1248,-6.45932,142.788,absent
Mara Chin,mara1382,22.1138,93.0387,absent
Fasu,fasu1242,-6.62687,143.284,absent
Uru,uruu1244,-16.72547,-68.971190000000007,absent
Nhanda,nhan1238,-27.425236430000002,114.2680442,absent
Chickasaw,chic1270,34,-88,absent
Bih,biha1246,12.483333,108.016667,absent
Bonan,bona1250,35.6972,102.995,absent
Kom (India),komi1270,24.8688,94.534,absent
Ida'an,idaa1241,5.29059,118.515,absent
Ganggalida,gang1267,-17.5446,139.426,absent
Mixtepec Zapotec,mixt1426,16.1724,-96.2372,absent
Nama (Namibia),nama1264,-25.0747,17.9767,absent
Acehnese,achi1257,3.90757,96.6032,absent
Thai,thai1261,14.192,100.671,absent
Kalamang,kara1499,-3.47037,132.678,absent
Para Naga,para1302,26.2072,95.1618,absent
Kikuyu,kiku1240,-0.29005,36.719,absent
Meru,meru1245,0.26484,37.7396,absent
Apatani,apat1240,27.1933,93.7284,absent
Poyanáwa,poya1241,-7.46909,-73.0758,absent
Narrinyeri,narr1259,-36.2301,140.158,absent
Hehe,hehe1240,-7.71572,35.7255,absent
Bawm Chin,bawm1236,22.4405233333,92.92553,absent
Baré,bare1276,1.91649,-66.828,absent
Maram Naga,mara1379,25.4378,94.2205,absent
Ubir,ubir1237,-9.59044,149.396,absent
Betoi-Jirara,beto1236,7.223906,-71.420238,absent
Taibei Hokkien,taib1242,25.0853403,121.4231642,absent
Bilinarra,bili1250,-16.868771,130.533991,absent
Borana-Arsi-Guji Oromo,bora1271,1.05676,37.882,absent
Guiqiong,guiq1238,30.4803,102.128,absent
Ngarnka,ngar1283,-17.42,134.73,absent
Batu (Indonesia),batu1257,0.90691,97.4961,absent
Amahuaca,amah1246,-10.2012,-72.3208,absent
Biao-Jiao Mien,biao1254,25.5309,111.344,absent
Bench,benc1235,7.04682,35.7673,absent
Kaulong,kaul1240,-6.08192,149.696,absent
Parecís,pare1272,-14.5929,-57.4059,absent
Maru,maru1249,24.942535,99.8338,absent
Mangghuer,minh1238,35.97515,102.84406,absent
Ket,kett1243,63.7551,87.5466,absent
Lango (Uganda),lang1324,2.13867,33.0553,absent
Paunaka,paun1241,-14.353747,-63.086994,absent
Western Tlacolula Valley Zapotec,sanj1284,17.0332,-96.5967,absent
Northern Uzbek,nort2690,40.886,69.211,absent
Wappo,wapp1239,38.25,-122.5,absent
Isthmus-Cosoleacaque Nahuatl,isth1240,17.9401,-94.7347,absent
Eastern Geshiza,east2851,31.1026,101.72,absent
Witsuwit'en-Babine,babi1235,55.0997,-126.41,absent
Waurá,waur1244,-13.296,-53.6971,absent
Northern Yukaghir,nort2745,70.498,157.853,absent
Kombai,komb1274,-5.54543,139.902,absent
Lak,lakk1252,42.1328,47.0809,absent
Nama (Papua New Guinea),nama1266,-8.66403,141.706,absent
Are,aree1239,-9.67147,149.999,absent
Acheron,ache1245,10.8827,30.3187,absent
Siwi,siwi1239,29.200415,25.519627,absent
Muna,muna1247,-5.40419,122.541,absent
Makonde,mako1251,-10.9906,39.5133,absent
Murui Huitoto,muru1274,-1.13669,-73.8331,absent
Millcayac,mill1237,-31.79729,-67.569581,absent
Kenuzi-Dongola,kenu1236,21.2837,31.8992,absent
Macushi,macu1259,4.31861,-60.2209,absent
