country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
"Wales, United Kingdom",1940,1785,PRESTEIGNE,33,166,166,52.264002,-2.997143,"At least 33 denarii (Vespasian to Marcus Aurelius) found in 1940 by gardeners engaged in converting a tennis court into a vegetable patch. Pye reports that the hoard was contained in a pot with a tile lid, since lost, and that one of the finders removed at least 27 of the coins, none of which were recovered. Four further reports of coins from Corton House appear in the Transactions of the Radnorshire Society over succeeding years; whether these were new discoveries at/near the same site or part of the original find is unclear. The original size of the hoard is, therefore, uncertain, and is likely to have been larger than the 33 denarii detailed here.",Radnorshire Museum (11 coins),II century
Romania,1944,16272,URECHENI,48,125,128,47.160799,26.518085,200-150 coins found with a ceramic vessel. Only 48 denarii are known today: Nero – Hadrian (AD 125-128).,NA,II century
Russia,1896,18204,TROITSA,282,161,180,51.7515,36.5847,"Hoard of 282 coins: 252 denarii, 1 quinarius, 29 bronzes: Augustus - Marcus Aurelius (AD 161-180).",Old collection T.A. Gorokhov,II century
Poland,1957,16211,JĘDRZEJÓW - SURROUNDINGS,13,177,178,50.641988,20.305877,13 denarii from a discovery in the surroundings of the city: Vespasian - Marcus Aurelius (AD 177-178).,NA,II century
France,1861,7106,ÉTREUX,40,161,180,49.991,3.654,"The hoard comprised numerous copper-alloy vessels, a mirror, a folding seat, Samian ware cups and plates and six glass bottles, one of which contained 40 very worn sestertii and dupondii of Nerva, Hadrian, Antoninus Pius, Marcus Aurelius and Faustina II.",Musée de Laon,II century
Germany,1989,5481,REGENSBURG-KUMPFMÜHL,638,165,166,49.007871091391,12.082502204616,"The hoard was hidden inside the camp: 25 aurei, 610 denarii, 2 asses, 1 quadrans, as well as gold and silver jewelry in a bronze cauldron: Republic - Marcus Aurelius (AD 165-166).","Historischen Museum der Stadt Regensburg, Germany",II century
Czech Republic,1945,15894,ČESKÁ SKALICE ? 1945,10,162,162,50.39453,16.041781,10 denarii: Trajan – Marcus Aurelius (AD 162).,"NPÚ-ÚOP Pardubice, Náchod Castle collection, Czech Republic (inv.nos. 2.920, 3.016-3.023).",II century
France,1876,6297,SAINT-NIZIER-LE-BOUCHOUX,5,180,192,46.459,5.151,"The hoard comprised 5 sestertii, dupondii or asses from Tiberius to Commodus and was found in association with a key handle, an incense burner, two statues (one being of Mercury) and a statue base. The remains of a Roman building, the function of which was undetermined, was found close by.",NA,II century
Sweden,1927,15524,GANDARVE 1927,130,190,191,57.1941,18.3966,130 denarii: Vespasian - Commodus (AD 190-191); silver weight: 360.44 g. Together with the coins were found two bronze rings.,"Swedish History Museum, Stockholm (inv.no. 18666)",II century
Bulgaria,1976,2684,PAVLIKENI,3728,166,167,43.240109,25.306196,"3,728 denarii: Republic - M. Aurelius (AD 166-167)","Archaeological Museum, Veliko Tarnovo, Bulgaria; inv.nos. 2599-3353 (3626 coins)",II century
Israel,1964,7496,EN-GEDI 1964 B,6,117,118,31.451,35.384,The hoard comprised six bronze coins dated between AD 70-81 and AD 117/118. It was deposited inside the hollow part of a door frame in the tepidarium of a Roman bathhouse. Votive role?,Israel Antiquities Authority (IAA 82473-76; 82481-82; 82502),II century
Italy,1934,12485,BASSANO DEL GRAPPA 1934,112,193,196,45.7667,11.7346,The hoard comprised 112 sestertii: Trajan-Septimius Severus (98-196 AD).,"City Museum Vinkovci, Croatia",II century
France,1983,7077,CHÂTEAUBLEAU SANCTUARY,6,153,153,48.5922,3.1091,The deposit was found under a second century occupation layer in the central part of the Gallo-Roman spring sanctuary and comprised 4 sestertii from Trajan to Antoninus Pius and two asses of Antoninus Pius with a tpq of AD 153 to 154.,NA,II century
Poland,2016,13491,PÓŁWIEŚ,112,194,195,53.8495,19.5718,112 denarii: Vespasian - Septimius Severus (AD 194-195).,"Museum, Ostróda, Poland",II century
France,1990,7029,BEAUMONT-SUR-OISE 1990,10,180,192,49.142,2.285,The hoard comprised 10 sestertii from Trajan to Commodus with a tpq of AD 190. TAF interprets the hoard as being a purse drop.,NA,II century
Israel,1973,8189,BEIT MIRSIM,385,132,136,31.454,34.912,"The hoard comprised a mixed hoard of gold, silver, and bronze deposited in relation to the Second Jewish Revolt (AD 132-136).",NA,II century
Romania,1968,6135,ODOBEȘTI,22,139,139,45.768,26.931,Unknown initial number of coins. 22 denarii: Republic - Antoninus Pius (AD 139),"National History Museum of Romania, Bucharest",II century
Bulgaria,1935,10099,SMIRNENSKI 1935,11,138,161,43.6291,23.0311,Unknown quantity of silver and bronze coins found in a copper vessel. 11 coins in the History Museum in Lom: Trajan - Antoninus Pius (AD 138-161).,"History Museum, Lom Bulgaria; (11 coins)",II century
"England, United Kingdom",1884,14607,WOODCUTTS COMMON,36,154,161,50.96141,-2.0583287,"Hoard of 36 coins (31 bronze and 6 silver) ""from 76 BC to AD 180 or 270"" found during Pitt Rivers' excavations at the settlement site of Woodcutts, Sixpenny Handley. Said to have been found with the remains of a bronze-mounted casket near a hearth, possibly within a house.""... the discovery here, within an oblong area of ' depression ' and near a hearth, of the remains of a bronze-mounted ornamental casket, with glass, a silver spoon, a penannular brooch, etc., and 31 bronze and 6 silver coins, from Claudius I to Claudius II (268-70)"". (Hawkes, C.F.C. 1947, 'Britons, Romans, and Saxons Round Salisbury and in Cranborne Chase: reviewing the excavations of General Pitt-Rivers, 1881-1898' Archaeological Journal 104, p.46).",NA,II century
Poland,2007,13495,PRZEZWISKA,28,194,197,52.1201,19.6482,Around 200 denarii. The person who ppresented 46 denarii mentioned that in total may have found around 200 pieces. Only 28 coins could be described. One denarius of Antoninus Pius was found in 2010: Vitellius - Clodius Albinus (AD 194-197).,NA,II century
Netherlands,2005,9935,LEEUWARDEN,2,117,138,53.2007,5.8,2 denarii of Trajan and Hadrian.,NA,II century
"Scotland, United Kingdom",1986,1800,NEWSTEAD 1986,4,103,111,55.597622,-2.6998004,"A hoard of four denarii (2 Domitian and 2 Trajan) was found during field-walking in the South Annexe of the fort at Newstead. The coins were recovered in a little roll, with possible traces of a copper/bronze container.",NA,II century
Austria,1985,13137,CARNUNTUM 1985,6,161,161,48.111,16.86,"6 denarii, probably, part of a larger hoard: Antoninus Pius 3, Faustina I (Diva) 1, Antoninus Pius (Divus) 2",lost,II century
Italy,1812,14251,SUSA,3561,169,169,45.137538,7.057285,"3,561 coins of Lucius Verus.",NA,II century
