title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Юндэ Дашу Шэн Ча (2021),puer,88,3480,"Чай с больших деревьев уезда Юндэ (округ Линьцан, Северо-западный чайный район провинции Юньнань), первый сбор, весенний урожай 2021. В сухом виде: бурые жгутики скрученных чайных листочков и почек с тонкими черенками. Аромат сдержанный, травянисто-цветочный, с ореховой ноткой. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, многогранный, пряно-травянистый, с цветочными, ореховыми и бальзамическими нотками. Аромат интенсивный, сложный, пряно-травянистый. Вкус плотный, чистый и сладкий, вяжущий, с легкой яблочной кислинкой, нюансами специй и долгим, сочным послевкусием. Заваривать горячей водой (90°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 4-5 г на 100 мл. Для первого раза настоять 10-15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 9 завариваний. Отличный молодой шэн пуэр – мощный, яркий, многообещающий в смысле многолетней выдержки.",3,5,,,,60,,80,,,,,,,,,,80,60,,,,,,,,,,,,,,,,,,,,,
"Цзюнь Шань Инь Чжэнь 4, 2005",green,86,6840,"Выдержанный желтый чай «Серебряные иглы с острова Цзюньшань» из провинции Хунань. В сухом виде: тонкие, остроконечные, бурые почки. Аромат сдержанный, древесный с копченой ноткой. Настой прозрачный, очень светлого виноградного оттенка. Букет готового чая выдержанный, пряно-травянистый с копчеными, ореховыми и фруктовыми нотками. Аромат спокойный, пряно-травянистый. Вкус плотный, шелковистый, сладковатый, с нежной терпкостью виноградной кожицы, прохладой мяты и сочным послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4-5 г на 100 мл. Для первого раза настоять 30 секунд, после чего, начиная с экспозиции в 5-7 секунд и доведя время выдержки до 2 минут, можно заварить еще 8-9 раз. Воздействие легкое тонизирующее, медитативное.",5,5,,,,,40,80,,,,,,,,,,40,,,,,,,40,,,,,,,,,,,,,,,
"Юлэшань Шэн Ча, шэн пуэр с горы Юлэ (2022)",puer,96,930,"В сухом виде: очень большие, бурые скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, пряно-травянистый с цветочными и копчеными нотками. Настой прозрачный, светлого виноградного оттенка. Букет готового чая свежий, пряно-травянистый, с цветочными, ореховыми и фруктовыми нотками. Аромат нежный, пряно-травянистый. Вкус плотный, маслянистый, немного терпкий, с легкой цитрусовой горчинкой, кислинкой зеленых яблок, нюансами специй и сочным послевкусием. Заваривать горячей водой (90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего, начиная с экспозиции в 5 секунд и доведя время до 3 минут, можно заварить 7 раз. Воздействие освежающее, тонизирующее, очень гармоничное.",3,6,,,,40,60,80,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Юньлун Шуй Цзинь Гуй,ulun,88,1870,"Шуй Цзинь Гуй (Водяная Золотая Черепаха) свое название получил за плотные рельефные листья, напоминающие формой черепаший панцирь. Более романтическая версия утверждает, что в деревце воплотился бессмертный дух Золотой Черепахи, смотрителя чайного сада в небесных чертогах Владычицы Запада, Си Ван Му. Услышавший ритуальные моления чаеводов в горах Уи и тронутый их искренностью, дух покинул свою обитель и превратился в чайный куст. Сделан в чайном хозяйстве Юньлун (умеренный огонь). В сухом виде: тонкие жгутики коричневых листьев. Аромат глубокий и теплый, пряный. Настой прозрачный, янтарного оттенка. Букет готового чая теплый, многогранный, пряно-бисквитный, с травянистыми, древесными, цветочными, ореховыми и фруктовыми нотками. Аромат многогранный, глубокий и теплый. Вкус сочный, мягкий и гладкий, сладковатый, чуть вяжущий, с минеральными нотками и долгим, запоминающимся послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Держит вкус и аромат 6-7 завариваний. Отличный выбор для церемонии гунфуча. Особенно рекомендуем его тем любителям утёсных улунов, кто ценит в них нежную цветочную гамму.",1,5,60,,,60,,60,,,60,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Те Гуаньинь Лао Ча (2009),ulun,100,890,"В сухом виде: небольшие, красно-коричневые комочки скрученных чайных побегов с тонкими черенками. Аромат интенсивный, фруктово-бисквитный с копченой ноткой. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая теплый, многогранный, фруктово-древесный, с копчеными, бисквитными и пряными нотками. Аромат нежный, фруктово-бисквитный. Вкус плотный, гладкий, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Воздействие согревающее, расслабляющее.",10,7,80,,,,,60,,,80,,,80,,,,,,,,,,,40,,,,,,,,,,,,,,,
Таньян Цзинь Му Дань Хун Ча,red,0,2310,"Красный чай «Золотой Пион из Таньян» сделан в уезде Фуань провинции Фуцзянь. Весенний урожай 2023. В сухом виде: среднего размера темно-коричневые жгутики скрученных листиков, бежевые почки. Аромат интенсивный, фруктово-ягодный. Настой прозрачный, янтарного оттенка. Букет готового чая теплый, яркий, древесно-ягодный, с медовыми, цветочными и пряными нотками. Аромат интенсивный, медово-цветочный. Вкус плотный, гладкий и сладкий, с ягодной кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками или в керамической гайвани. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 20 секунд, далее, начиная с экспозиции в 10 секунд и доведя время выдержки до 3 минут, можно заварить 7-8 раз. Отличный выбор для церемонии гунфуча. Снимает нервное напряжение, согревает, стимулирует творческую активность.",10,6,,80,60,80,,,,,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лао Сы Цзи Чунь (2004),ulun,88,1970,"Выдержанный улун «Сы Цзи Чунь» («Вечная весна»), в процессе обработки пропечен на древесных углях. В сухом виде: мелкие, темно-коричневые комочки скрученных чайных побегов. Аромат интенсивный, пряно-древесный с копченой ноткой. Настой прозрачный, каштанового оттенка. Букет готового чая многогранный, пряно-древесный с кофейными, ореховыми, копчеными и фруктовыми нотками. Аромат теплый, пряно-ореховый с ноткой дыма. Вкус плотный, маслянистый, сладковатый, немного терпкий, с легкой шоколадной горчинкой, фруктовой кислинкой и нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, затем, начиная с экспозиции в 10 секунд и увеличив время выдержки до 2 минут, можно заварить 10 раз. Отличный выбор для церемонии гунфуча. Воздействие согревающее, тонизирующее.",10,6,,,,,,80,,,80,,,60,,,,,,,,,,,60,,,,,,,,,,,60,,,,
Чунь Люй Чао Ча,ulun,74,880,"Cделан в округе Мэйчжоу по аутентичной технологии чаоча. В сухом виде: небольшие, лилово-коричневые фрагменты скрученных листиков, тонкие черенки. Аромат интенсивный, теплый, бисквитно-ягодный. Настой прозрачный, красно-каштанового оттенка, в процессе заваривания желтеет. Букет готового чая яркий, многогранный, пряно-ягодный, с фруктовыми, ореховыми, табачными и бисквитными нотками. Аромат теплый, сложный, ягодно-бисквитный. Вкус плотный, сочно-терпкий, сладковатый, с ягодной кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 3-4 г на 100 мл (чай обладает очень плотным телом, поэтому для первой дегустации возьмите чуть меньше заварки, чем обычно). Залейте чай горячей водой и дайте настояться в течение 5-10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 8 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, выраженное тонизирующее.",2,4,80,,,,,80,,,,80,,,,,,60,,,,,,,,,,,,,,,,,80,,,,,
Чунь Цилань,ulun,92,572,"Улун «Чудесная орхидея» сделан в горах Уишань из весенних побегов сорта Цилань. В сухом виде: крупные, бордово-коричневые жгутики чайных листьев. Аромат интенсивный, фруктово-пряный с бисквитной ноткой. Настой прозрачный, виноградно-желтого оттенка. Букет готового чая многогранный и яркий, фруктово-пряный, с бисквитными, цветочными и ягодными нотками. Аромат глубокий, волнующий, пряно-цветочный. Вкус плотный, сочный и сладкий, чуть вяжущий, с ягодной кислинкой, нюансами специй и долгим, освежающим послевкусием. Заваривать горячей водой (80-90°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 5-7 секунд, после чего пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Прекрасный улун – хорошо пропеченный, но сохранивший цветочную гамму букета.",3,6,60,,,100,80,60,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Чжоу Те Лохань,ulun,76,11460,"В сухом виде: среднего размера изогнутые жгутики темно-коричневых листиков. Аромат густой, пряный с дымной ноткой. Настой прозрачный, янтарно-желтого оттенка. Букет готового чая многогранный, хлебно-пряный, с нотками цветов, древесных смол и сухофруктов. Аромат теплый, фруктово-пряный. Вкус плотный, мягкий, маслянистый, сладковатый, минеральный, с фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками или в керамической гайвани. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 15 секунд, далее, начиная с экспозиции в 5-7 секунд и доведя время выдержки до 3 минут, можно заварить 6 раз. Отличный выбор для церемонии гунфуча.",10,6,,,,80,,80,,,,,,80,,,,,60,,,,,,,,,80,,,,,,,,,,,,
