creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"R.W. Mathisen, H.S. Sivan",Unnamed settlement,"An unnamed ancient settlement, located near modern Baugy in France (BAtlas 14 H1 Baugy)",Baugy,-30,640,47.082276,2.747005
H. Bender,Pons Aeni,"An ancient place, cited: BAtlas 19 E2 Pons Aeni",Pfaffenhofen am Inn GER,-30,640,47.856079,12.124016
A.S. Esmonde Cleary,Asthall,"An ancient place, cited: BAtlas 8 F3 Asthall",Asthall,-30,640,51.798177,-1.584227
A.S. Esmonde Cleary,Baldock,A pre-Roman and Romano-British settlement was located at Baldock along the Icknield Way.,Baldock,-30,640,51.9897381,-0.1809379
"C. Foss, G. Reger, S. Mitchell",Nikaia,"An ancient place, cited: BAtlas 56 G5 Nikaia",Türkönü,-30,640,38.161899,28.088427
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Car(t)a,"An ancient place, cited: BAtlas 25 D3 Car(t)a",Santacara,-330,640,42.375252,-1.553244
W.V. Harris,Monteferetra,"An ancient place, cited: BAtlas 42 C1 Monteferetra",San Leo,-30,640,43.896791,12.346122
T. Drew Bear,*Skodrena,"An ancient place, cited: BAtlas 62 A3 *Skodrena",Yemişli,-30,640,39.237523,28.983003
"Jr., F.H. Stanley, R.C. Knapp",Laelia,"An ancient place, cited: BAtlas 26 D4 Laelia",Cerro de las Cabezas (Albaida del Aljarafe),-750,640,37.427015,-6.165904
P. Galliou,Caracoticum,"An ancient place, cited: BAtlas 7 G2 Caracoticum",Harfleur,-30,2100,49.507074,0.199338
"R.W. Mathisen, H.S. Sivan",Grotte des Tuilières,"An ancient place, cited: BAtlas 14 G4 Grotte des Tuilières","Grotte des Tuilières, Cm. Reyrevignes",-550,640,44.668637,1.87829
"M. Šašel Kos, P. Kos",Brigetio,"Brigetio was a legionary camp, cannabae, and municipium along the Pannonian limes.",Szőny HUN,-30,640,47.735239,18.169507
"J. Fossey, J. Morin",Larissa,"The ancient capital of the Thessalian Pelasgiotis, modern Larisa in Greece.",Larisa,-750,640,39.634851,22.42097025
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Turki tepe,"An ancient place, cited: BAtlas 89 G2 Turki tepe","Turki tepe, SW Siahchesme IRN",300,640,38.861923,44.331851
E.W. Haley,Pisoraca,"An ancient place, cited: BAtlas 24 G2 Pisoraca",Herrera de Pisuerga,-30,640,42.594547,-4.33076
David Braund,Khoprovskoye,"An ancient place, cited: BAtlas 84 E1 Khoprovskoye","Khoprovskoye, near Rostov",-30,640,47.253125,39.485381
T.B. Mitford,Miasena,"An ancient place, cited: BAtlas 64 H4 Miasena",Tahniç,-30,640,38.146215,38.687646
R.B. Hitchner,Cresima?,"An ancient place, cited: BAtlas 32 E3 Cresima?",Ain-Guerchba,-30,640,36.837215,9.635465
R. Müller Wollermann,Ptolemais Hormou,"An ancient place, cited: BAtlas 75 D2 Ptolemais Hormou",el-Lahun,-330,2100,29.206382,30.968603
N. Purcell,Liternum,"An ancient city of Campania located near the mouth of the Volturnus river; a Roman colony was established at Liternum in 194 B.C. The site is most famous as the location of the villa of Scipio Africanus, as described by Seneca.",NA,-330,640,40.9210656031,14.0300735059
R.B. Hitchner,*Matar,"An ancient place, cited: BAtlas 32 E2 *Matar",Mateur,-330,640,37.0378485,9.667433
"M. Roaf, T. Sinclair, S.E. Kroll, St J. Simpson",Hajestan Qal'eh,"An ancient place, cited: BAtlas 89 G1 Hajestan Qal'eh","Hajestan Qal'eh, IRN",-550,640,39.518339,44.583547
"J. Fossey, J. Morin",Vounous,"An ancient place, cited: BAtlas 55 C3 Vounous",Vounous,-550,640,38.809521,22.403676
A.S. Esmonde Cleary,Ixworth,"An ancient place, cited: BAtlas 8 H2 Ixworth",Ixworth,-30,640,52.297706,0.831819
"C. Foss, S. Mitchell",Lyrbe?,"An ancient place, cited: BAtlas 65 F4 Lyrbe?",probably at Şıhlar,-330,640,36.873988,31.475921
"T. Sinclair, P.-L. Gatier",Tourmanin,"An ancient place, cited: BAtlas 67 D4 Tourmanin","Tourmanin, SYR",-30,640,36.234471,36.816034
David Braund,Dyurso,"An ancient place, cited: BAtlas 84 C4 Dyurso","Dyurso, near Novorossiysk",-550,640,44.73182,37.459529
R.B. Hitchner,Ain-Terguellache,"An ancient place, cited: BAtlas 32 E3 Ain-Terguellache",Ain-Terguellache,-330,640,36.94936,9.763712
S. Mitchell,Andabalis,Andabalis was a settlement of southern Cappadocia located northeast of Tyana.,"Yeniköy, formerly Eski Andaval",-30,640,38.0394955,34.67349
David Braund,Kimmerikon,Kimmerikon was an ancient Greek colony in the Crimea located on the Kerch peninsula. The city was founded by Milesian colonists in the fifth century BC.,Opuk UKR,-750,640,45.042315,36.22459
"Jr., F.H. Stanley, R.C. Knapp",Caurium,"An ancient place, cited: BAtlas 26 D2 Caurium",Coria,-330,640,39.98359,-6.539731
J.J. Wilkes,Trebič,"An ancient place, cited: BAtlas 21 D6 Trebič","Trebič, YUG",-30,640,43.645833,21.742131
"J. Kunow, C. Haselgrove",Maclaunay,"An ancient place, cited: BAtlas 11 D4 Maclaunay",Maclaunay,-30,640,48.844522,3.552566
"C. Haselgrove, J. Kunow",Kindsbach,"An ancient place, cited: BAtlas 11 H3 Kindsbach","Kindsbach, GER",300,640,49.416017,7.612017
S.T. Parker,Dibon,Dibon was the capital of the ancient Moabite kingdom.,Dhiban,-30,640,31.499159,35.780512
D.J. Mattingly,Zacazama,"An ancient place, cited: BAtlas 37 D2 Zacazama",Ras Ben Gauuad,-30,640,30.792652,18.068427
"M. Pearce, R. Peretto, P. Tozzi",[Vicus Aventia],"An ancient place, cited: BAtlas 40 B3 [Vicus Aventia]",Voghenza,-30,640,44.753293,11.756131
T.B. Mitford,Sebasteia/Megalopolis?/Talaura?,"An ancient place, cited: BAtlas 64 E1 Sebasteia/Megalopolis?/Talaura?",Sivas,-1750,2000,39.7490195,37.016607
S. Mitchell,[Bardaetta],"An ancient place, cited: BAtlas 63 A4 [Bardaetta]",Sarayönü,300,640,38.2532735,32.4133715
"P.-L. Gatier, T. Sinclair",(H)Alai,"An ancient place, cited: BAtlas 67 B3 (H)Alai","Alakese, formerly Alakilise",-30,640,36.816841,35.873832
