title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
"Грузинская красная габа, май 2023, batch05-06",gaba,90,2860,"В сухом виде: тонкие, изогнутые жгутики темно-коричневых чайных листочков с длинными черенками. Аромат интенсивный, фруктово-цветочный с ноткой флердоранжа. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, многогранный, фруктово-цветочный, с нотками меда, бисквита, карамели и сладких апельсинов. Аромат высокий, теплый, цветочно-ягодный. Вкус плотный, мягкий и сладкий, маслянистый, с легкой цитрусовой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15-20 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 8 завариваний. Прекрасный выбор для эмоциональной перезагрузки во второй половине дня – многогранный вкус, чарующий аромат, согревающее воздействие. В чае допустимо наличие до 10-15 % мелкой фракции листа.",7,6,60,80,80,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Шу Те Гуаньинь,puer,94,3270,"Экспериментальная партия, изготовленная по специальному заказу компании Мойчай.ру в поселке Ганьдэ (уезд Аньси) в 2020 году на основе сорта Те Гуаньинь, по технологии, применяемой при производстве Шу Пуэра. В сухом виде: темно-коричневые жгутики скрученных листиков и почек, незначительное количество черенков. Аромат густой, орехово-бисквитный с ноткой печеных фруктов. Настой прозрачный, красно-каштанового оттенка. Букет готового чая зрелый, многогранный, орехово-древесный с нотками печеных фруктов, какао, бисквита, пряных трав и осенних листьев. Аромат теплый, интенсивный, ореховый. Вкус мягкий, бархатистый, сладкий, в избыточной концентрации проявляет легкую шоколадную горчинку. Устойчивое, сочное послевкусие с цветочными нюансами, характерными для улуна Те Гуаньинь. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-8 г на 100 мл. Для первого раза настоять 6-8 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 12 завариваний. Отличный выбор для самых разных ситуаций и настроений: утром поможет проснуться и гармонично влиться в поток нового дня, а вечером – выдохнуть все лишнее и расслабиться. Особенно рекомендуем его любителям качественного, мягкого шу.",2,7,60,,,,40,,,,60,,,,80,,,80,,,,,,,,,,,,,,,,,,,,,,
Чай БЕЗ СЛОНА зеленый листовой,green,74,179,"В сухом виде: крупные, легкие фрагменты серо-зеленых чайных листочков. Аромат интенсивный, травянистый. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, травянистый, с нотками полевых цветов. Аромат интенсивный, травянистый. Вкус мягкий, маслянистый, сладковатый, с легкой кислинкой свежих ягод. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5 г на 100 мл. Для первого раза настоять 10-15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 6 завариваний. Воздействие освежающее, легкое тонизирующее. В чае допустимо наличие до 10-15 % мелкой фракции листа.",5,5,,,,40,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
"Гу Сян Шэн Ча (2009), 350 г.",puer,92,6475,"Шэн пуэр от фабрики «Чаннин Мэнтун Иньшань», урожай 2009 года. 350-граммовый блинчик средней плотности, разделяется на буро-коричневые скрученные листики, почки и тонкие черенки. Аромат сдержанный, древесно-бальзамический. Настой прозрачный, оттенка темного янтаря. Букет готового чая зрелый, многогранный, древесно-бальзамический, с нотками дубового мха, пряных трав, осенних листьев и сухофруктов. Аромат теплый, сложный, фруктово-бальзамический. Вкус плотный, сладковатый, немного пряный, с сочной древесной терпкостью, фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Воздействие согревающее, мягкое тонизирующее.",5,7,,,,,60,80,,,60,,,,80,,,,60,,,,,,,,,,,,,,,,,,,,,
Сы Цзи Чунь,ulun,92,690,"В сухом виде: мелкие, буро-зеленые комочки скрученных чайных побегов. Аромат сдержанный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, травянисто-цветочный с пряными, ореховыми и фруктовыми нотками. Аромат нежный, травянисто-цветочный. Вкус легкий, мягкий, маслянистый, сладковатый, немного пряный, с легкой фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85-92°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 10 завариваний. Воздействие освежающее, легкое тонизирующее, самое позитивное.",10,6,,,,60,40,,60,,,,,,,,,60,,,,,,,,,,,100,,,,,,,,,,,
Лао Цун Шуй Сянь,ulun,90,191,"Улун «Старый куст Шуй Сянь» сделан в сентябре 2021 г. в природном заповеднике Уишань (средняя ферментация, умеренный огонь). В сухом виде: изогнутые, буро-коричневые жгутики скрученных листиков среднего размера. Аромат интенсивный, хлебно-пряный. Настой прозрачный, янтарного оттенка. Букет готового чая многогранный, пряно-древесный с хлебными, ореховыми, фруктовыми и цветочными нотками. Аромат теплый, пряно-древесный, холодный аромат сладкий, пряно-цветочный. Вкус плотный, шелковистый, сладковатый, чуть вяжущий, с легкой фруктовой кислинкой и минеральностью, характерной для яньча. Послевкусие сочное и долгое. Заваривать горячей водой (95°С) в чайнике из пористой глины для сильно-ферментированных улунов или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Пить проливом, постепенно увеличивая экспозицию. Выдерживает 7 завариваний. Согревает тело и освежает восприятие, снимает усталость и дарит минуты чистой радости. Понравится тем любителям яньча, кто ценит в них тонкую, цветочную составляющую.",2,6,,,,60,40,,,,60,,,,,,,60,,,,,,,,,,40,,,,,,,,,,,,
Лишань Улун Циньвэй,ulun,0,5900,"Высокогорный улун с горы Лишань, весенний урожай 2023. В сухом виде: небольшие темно-зеленые комочки скрученных чайных побегов. Аромат интенсивный, пряно-цветочный. Настой прозрачный, светлого, зеленовато-желтого оттенка. Букет готового чая свежий, многогранный, пряно-цветочный с фруктовыми и ореховыми нотками. Аромат высокий и нежный, пряно-цветочный. Вкус плотный и гладкий, маслянистый, сладкий, с нюансами специй, легкой терпкостью виноградной кожицы, фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 12 завариваний. Превосходный чай, выбор гурманов и искушенных любителей.",2,6,,,,80,60,,80,,,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,
Вэньшань Баочжун,ulun,90,4100,"Знаменитый тайваньский улун из района Пинлинь в Северо-восточной части острова. В сухом виде: крупные, сине-зеленые жгутики скрученных листиков. Аромат интенсивный, травянисто-цветочный с ореховой ноткой. Настой прозрачный, желто-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный с ореховыми, фруктовыми и пряными нотками. Аромат нежный, травянисто-цветочный. Вкус плотный, шелковистый, сладковатый, с легкой травянистой терпчинкой, фруктовой кислинкой и нюансами специй. Сочное, освежающее послевкусие. Заваривать горячей водой (80-85°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат до 10 завариваний. Воздействие освежающее, легкое тонизирующее. Чайные хозяйства региона Пинлинь – в нашем видео-репортаже, снятом во время путешествия на Родину чая Вэньшань Баочжун",3,6,,,,60,40,,60,,,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,
"Мэнхай Лаошу, 1998",puer,68,14400,"В сухом виде: мелкие жгутики темно-коричневых листиков и рыжих почек. Аромат сдержанный, орехово-древесный. Настой темного, красно-каштанового оттенка. Букет готового чая зрелый, многогранный, ореховый, с бисквитными, фруктовыми и бальзамическими нотками. Аромат густой и теплый, ореховый. Вкус плотный, гладкий, очень мягкий, сладковатый, с кислинкой сухих ягод и бархатистым послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Превосходный выдержанный чай для особого случая.",5,5,40,,,,,,,,60,,,80,,,,100,40,,,,,,,,,,,,,,,,,,,,,
Вьетнамский улун Лаоча (2011),ulun,0,2790,"В сухом виде: крупные, тяжелые, темно-коричневые комочки скрученных чайных побегов. Аромат интенсивный, пряно-бисквитный. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая теплый, многогранный, фруктово-древесный, с копчеными, бисквитными и пряными нотками. Аромат нежный, фруктово-бисквитный. Вкус плотный, гладкий, сладковатый, с легкой горчинкой какао-бобов, фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 9 завариваний. Воздействие согревающее, тонизирующее.",5,6,60,,,,,,,,80,,,80,,,,,,,,,60,,60,,,,,,,,,,,,,,,
