author,title,text,published,plot
"Andrews, Mary Raymond Shipman",August First,August 5th.,1915,
"Andrews, Mary Raymond Shipman",August First,"FOREST GATE, August 8th.",1915,
"Andrews, Mary Raymond Shipman",August First,"FOREST GATE, August 10th.",1915,
"Andrews, Mary Raymond Shipman",August First,August 12th.,1915,
"Andrews, Mary Raymond Shipman",August First,"About a month after the above letter had been received, on September",1915,
"Andrews, Mary Raymond Shipman",August First,Sept. 12th.,1915,
"Andrews, Mary Raymond Shipman",August First,September 17th.,1915,
"Andrews, Mary Raymond Shipman",August First,Sept. 23d.,1915,
"Andrews, Mary Raymond Shipman",August First,October the Sixth.,1915,
"Andrews, Mary Raymond Shipman",August First,October 8th.,1915,
"Andrews, Mary Raymond Shipman",August First,_October 10th_.,1915,
"Andrews, Mary Raymond Shipman",August First,October 10th [it was dated].,1915,
"Andrews, Mary Raymond Shipman",August First,May 26th.,1915,
"Andrews, Mary Raymond Shipman",August First,"MONDAY, June 24th.",1915,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, Monday Evening, October 3.",,
"Brown, Charles Brockden",Jane Talbot,"Tuesday Morning, October 4.",,
"Brown, Charles Brockden",Jane Talbot,"Tuesday Morning, 11 o'clock.",,
"Brown, Charles Brockden",Jane Talbot,"Wednesday Morning, October 5.",,
"Brown, Charles Brockden",Jane Talbot,"Thursday Morning, October 6.",,
"Brown, Charles Brockden",Jane Talbot,Thursday Night.,,
"Brown, Charles Brockden",Jane Talbot,"Wilmington, Saturday, October 9.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, Monday, October 11.",,
"Brown, Charles Brockden",Jane Talbot,"New York, October 13.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, October 15.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, October 17.",,
"Brown, Charles Brockden",Jane Talbot,"New York, October 19.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, October 24.",,
"Brown, Charles Brockden",Jane Talbot,"New York, October 27.",,
"Brown, Charles Brockden",Jane Talbot,_To the same_,,
"Brown, Charles Brockden",Jane Talbot,Tuesday Morning.,,
"Brown, Charles Brockden",Jane Talbot,"New York, October 22.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, October 28.",,
"Brown, Charles Brockden",Jane Talbot,"Philadelphia, October 28.",,
