title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
"Таиландский ГАБА Ассам красный чай, дикорастущие деревья. Moychay Tea Forest Project, batch03-2022 (limited 178 pieces), 357 г",red,88,15350,"В сухом виде: спрессованные крупные, изогнутые, бордово-коричневые жгутики скрученных листиков с тонкими черенками, серебристо-бежевые почки. Аромат интенсивный, медово-цветочный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, медово-цветочный, с нотками игристых вин, осенних листьев, свежих ягод, мяты и специй. Аромат теплый, нежный, медово-цветочный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Выдерживает 10 завариваний. Превосходный чай для искушенных любителей с многогранным вкусом и мощным медитативным воздействием.",3,6,,80,,80,,,80,,,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лаохэ Баочжун Лао Ча (1985),ulun,80,18500,"В сухом виде: среднего размера скрученные, красно-коричневые чайные листья тонкими черенками. Аромат очень сдержанный, фруктово-древесный. Настой прозрачный, янтарно-желтого оттенка. Букет готового чая зрелый, многогранный, фруктово-древесный, с бальзамическими, коньячными, пряными и ванильными нотками. Аромат сложный, теплый, фруктово-пряный. Вкус плотный, мягкий, шелковистый, сладковатый, с тонкой кислинкой и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 12 завариваний. Прекрасный выбор для церемонии гунфуча. Воздействие согревающее, умеренно тонизирующее.",10,6,,,,,80,,60,,80,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
Сяо Тай Вэньшань Лао Ча (1978),ulun,100,12500,"В сухом виде: среднего размера бордово-коричневые жгутики скрученных листьев, их фрагменты и тонкие черенки. Аромат интенсивный, древесный с ноткой сухофруктов. Настой прозрачный, янтарного оттенка. Букет готового чая зрелый, многогранный, древесно-бальзамический, с коньячными, фруктовыми и пряными нотками. Аромат теплый, сложный, фруктовый. Вкус очень мягкий, шелковистый, сладковатый, с легкой фруктовой кислинкой и нюансами специй – сильно меняется на протяжении чаепития. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после, начиная с экспозиции в 10 секунд и доведя время до 2 минут, можно заварить 12 раз. Отличный выдержанный чай, с многогранным вкусом и согревающим, расслабляющим воздействием.",10,6,,,,,80,60,,,100,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
Чунь Дань Я Чао Ча,ulun,76,790,"Cделан в округе Мэйчжоу по аутентичной технологии чаоча. В сухом виде: мелкие, лилово-коричневые фрагменты скрученных листиков, тонкие черенки. Аромат интенсивный, острый, пряно-цветочный. Настой прозрачный, каштанового оттенка. Букет готового чая яркий, многогранный, пряно-цветочный, с фруктовыми, ореховыми, табачными и ягодными нотками. Аромат теплый, сложный, пряно-цветочный. Вкус плотный, сочно-терпкий, сладковатый, с легкой горчинкой, ягодной кислинкой и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 3-4 г на 100 мл (чай обладает очень плотным телом, поэтому для первой дегустации возьмите чуть меньше заварки, чем обычно). Залейте чай горячей водой и дайте настояться в течение 5-10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, выраженное тонизирующее.",2,4,,,,80,,80,,,,80,,,,,,60,,,,,,,,,,,,40,,,,,,,,,,
"Грузинская светлая габа ""грозовой улун"", июнь 2023",gaba,80,2870,"В сухом виде: очень крупные, изогнутые жгутики темно-коричневых и желто-зеленых чайных листочков с тонкими черенками. Аромат сдержанный, фруктово-цветочный. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, фруктово-пряный, с бисквитными, медовыми и цветочными нотками. Аромат нежный, фруктово-цветочный. Вкус чистый, плотный, шелковистый, сладкий, с нежной травянистой горчинкой, цитрусовой кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (85-92°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 8 завариваний. Воздействие освежающее, легкое тонизирующее. В чае допустимо наличие до 10-15 % мелкой фракции листа.",10,6,,40,60,80,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Му И Хун Улун,red,0,860,"В сухом виде: среднего размера, темно-коричневые листики, скрученные вдоль оси. Аромат сдержанный, древесно-ягодный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, фруктово-древесный, с медовыми, хлебными и пряными нотками. Аромат нежный, фруктово-древесный. Вкус плотный, шелковистый, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками или в керамической гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее, начиная с экспозиции в 10 секунд и доведя время выдержки до 3 минут, можно заварить 6 раз. Воздействие согревающее, мягкое тонизирующее.",10,6,,60,,,,,40,,80,,,80,,,,,,60,,,,,,,,,,,,,,,,,,,,
Да Хун Пао Мэйдун,ulun,86,471,"«Большой красный халат» урожая из чайного хозяйства Мэйдун. В сухом виде: среднего размера темно-коричневые изогнутые жгутики чайных листьев. Аромат густой, хлебно-пряный. Настой прозрачный, оттенка темного янтаря. Букет готового чая теплый, хлебно-пряный, с нотками сухофруктов и поджаристой хлебной корочки. Аромат глубокий, хлебно-пряный, холодный аромат – нежный, фруктово-бисквитный. Вкус мягкий, маслянистый, немного пряный, с легкой минеральностью и тонкой фруктовой кислинкой. Приятное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 6-7 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 5 завариваний. Воздействие согревающее, умеренно тонизирующее, в невысокой концентрации – расслабляющее.",3,6,,,,,60,60,,,,,,,,,,,,80,,,,,,,,40,,,,,,,,,,,,
Чэнь Нянь Тан Бэй Лао Ча (2014),ulun,100,4600,"Выдержанный улун, в процессе изготовления прогретый на углях. В сухом виде: небольшие темно-коричневые комочки скрученных чайных побегов. Аромат сдержанный, фруктово-пряный. Настой прозрачный, охристо-желтого оттенка. Букет готового чая зрелый, многогранный, пряно-древесный, с фруктовыми, ореховыми и коньячными нотками. Аромат теплый, сложный, пряно-древесный. Вкус плотный, шелковистый, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего, начиная с экспозиции в 10 секунд и доведя время заваривания до 2 минут, можно заварить 10 раз. Воздействие согревающее, мягкое тонизирующее.",10,6,,,,,60,60,,,80,,,,,,,40,,,,,,,,,,,,,,40,,,,,,,,
Хун Гунфу Лун,red,0,790,"В сухом виде: среднего размера, темно-коричневые листики, скрученные вдоль оси. Аромат сдержанный, фруктово-древесный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, фруктово-древесный, с медовыми, хлебными и пряными нотками. Аромат интенсивный, фруктово-древесный. Вкус плотный, темного терпкий, сладковатый, с ягодной кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками или в керамической гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее, начиная с экспозиции в 10 секунд и доведя время выдержки до 3 минут, можно заварить 6 раз. Воздействие согревающее, мягкое тонизирующее.",10,6,,40,,,80,,40,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дун Дин Улун,ulun,94,4100,"Сделан в районе Лугу (округ Наньтоу) по традиционной технологии (длительный прогрев на древесных углях). В сухом виде: мелкие, коричневые шарики скрученных чайных побегов. Аромат густой, пряный. Настой прозрачный, светлого орехового оттенка. Букет готового чая теплый, многогранный, пряно-древесный с ореховыми, бисквитными и фруктовыми нотками. Аромат густой и теплый, сложный. Вкус плотный, мягкий, сладковатый, немного пряный, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после чего пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат 12 завариваний. Прекрасный выбор, чтобы переключить внимание, успокоить ум и согреться душой и телом.",10,6,60,,,,60,80,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
