name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Среднекамышлинская сельская библиотека,"Респ Татарстан,р-н Нурлатский,с Средняя Камышла,ул Школьная,двлд 39",50.80343,54.498806,"Средне-Камышлинская сельская библиотека Нурлатского муниципального района РТ обслуживает жителей сел Средняя Камышла, Малая Камышла, пос. Красный Октябрь. Книжный фонд включает 8 956 экз. Количество читателей – 650 человек. Библиотека является культурным, информационным и познавательным центром. Тесно работает с советом местного самоуправления, с школой и сельским Домом культуры. Она оснащена компьютерным оборудованием и стремится к формированию информационной культуры пользователей, активно участвует в областных и районных конкурсах. В библиотеку можно прийти не только за книгой, но и почитать газеты.",2022-03-15T11:39:09Z,2023-10-18T08:50:30Z,13:00:00,20:00:00,13:00:00,20:00:00,13:00:00,20:00:00,13:00:00,20:00:00,13:00:00,20:00:00,,,,
Ново-Мелькенская сельская библиотека – филиал № 22,"Респ Татарстан,р-н Мензелинский,с Новый Мелькен,ул Школьная,д 30",53.298474,55.694495,"В годы коллективизации в Старом Мелькене в одном из нежилых домов была открыта библиотека-красный уголок. Для правления колхоза было построено отдельное здание, и в нем была открыта библиотека, предоставив одну комнату для библиотеки. Библиотека располагалась в живописном месте с видом на реку Ик в доме, построенном в конце 1800-х годов. Каждые 10 дней в район привозили книги из Москвы и распределяли их по селам. В 1956 году Архипова М. С. забрала библиотеку и начала работать. До 1959 года он работал в библиотеке. С 2018 года библиотека находится в новом здании. Работает множество книжных выставок, проводятся различные мероприятия, встречи с интересными людьми, конкурсы для всех категорий читателей. Читателей библиотеки – 276 человек, фонд включает 9 582 экземпляров книг, книговыдача – 9 152 экземпляров. Посещений – 5 215 человек в год. В библиотеке ведут работу следующие клубные объединения: «Китаплы гаилә – белемле гаилә», «Шигъри тәлгәшләр». За год проведено – 70 мероприятий, из них 16 мероприятий – для детей.",2021-04-27T12:06:01Z,2023-02-21T09:59:23Z,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,,
Миннибаевская сельская библиотека – филиал № 39,"Респ Татарстан,р-н Альметьевский,с Миннибаево,ул Ш.Бикчурина,зд 50",52.232902,54.815835,"Миннибаевская сельская библиотека была открыта 1 июня 1957 года в маленьком деревянном домике, книжный фонд в то время включал около 79 экземпляров. Первым библиотекарем была Жинан Ахметшина, окончившая педагогические курсы города Бугульмы. В период ее работы количество книг увеличилось до 3 951 экземпляра. Она работала до 1963 года, старожилы села до сих пор вспоминают ее с восхищением.В 1985 году библиотека переехала в двухэтажное здание Дома культуры, где для нее было выделено помещение площадью 75 кв. м. Это был огромный праздник для коллектива и читателей. Новое помещение отличали высокие потолки и просторные, светлые залы. Заведующая – Лилия Муллахметовна Габдуллина. Фонд включает около 11 000 экземпляров книг, выписываются газеты и журналы. Библиотека обслуживает детей дошкольного возраста, школьников, рабочих и служащих, студентов и пенсионеров. Проводятся разнообразные массовые мероприятия: для младших школьников – утренники, экскурсии, познавательные часы, для старших – библиотечные уроки, обсуждения книг, тематические часы. Установлен компьютер, для удобства читателей проведен интернет. Количество юных читателей – 171, взрослых – 546. Посещений за год – около 6 000. Библиотека тесно сотрудничает с Домом культуры, администрацией, детским садом, школой.",2021-04-12T14:32:58Z,2023-08-29T09:48:34Z,,,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00
Верхнеякинская сельская библиотека – филиал № 51,"Респ Татарстан,р-н Мамадышский,с Верхние Яки,ул Центральная,д 19",51.03595,55.966932,"Библиотека открылась в 1988 году в здании сельского клуба. Первая заведующая библиотеки – Ахметшина Фанзия. На сегодняшний день книжный фонд составляет 4 392 экземпляра книг, читателей – 129. Библиотекарь старается удовлетворить запросы разных возрастных и социальных категорий населения. Для читателей организуются тематические книжные выставки, стенды, литературные вечера, встречи с местными поэтами и писателями, громкие чтения, конкурсы, викторины, диспуты, информационные часы, познавательно-игровые мероприятия. Основные направления работы – формирование и развитие у жителей интереса к книге, воспитание у подрастающего поколения интереса к истории своей малой родины, сохранение и развитие традиций семейного чтения.",2021-04-27T10:49:00Z,2023-03-01T13:48:53Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,18:00:00,21:45:00,,
Тавлинская библиотека – филиал № 43,"Респ Татарстан,р-н Зеленодольский,с Тавлино,ул Центральная,д 14",48.272894,55.649586,"Первое найденное документальное упоминание о работе Тавлинской избы-читальни относится к 1941 году. Но в качестве полноценной сельской библиотеки с большим фондом она стала существовать с 1 апреля 1966 года, когда была закрыта Албабинская библиотека, а ее книжный фонд передан Тавлинской библиотеке, с перездом в сельский клуб. Библиотека обслуживала 5 сел: Тат. Исламово, Русск. Исламово, Старое Кирмялле, Новое Кирмялле и Тавлино. В настоящее время библиотекой заведует Кадырова Р. Г. Фонд составляет 3 800 ед. книг и журналов, а посещаемость за месяц составляет 160 чел. Библиотека оказывает населению разностороннюю библиотечно-информационную поддержку, свободный доступ к информации, знаниям и культурным ценностям, а также проводит культурно-массовые мероприятия по продвижению книги и чтения, с учетом календаря знаменательных и памятных дат как в стране, так и в республике.",2021-03-30T06:38:35Z,2023-02-28T07:27:33Z,,,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00,13:00:00,16:00:00
Черемшанская центральная детская библиотека,"Респ Татарстан,р-н Черемшанский,с Черемшан,ул Советская,д 16",51.508841,54.654469,"В сентябре 1961 года открылась самостоятельная детская библиотека. В то время она находилась в деревянном доме на улице Дзержинского, вместе с районной библиотекой, занимая там один закуток. Фонд детской библиотеки был невелик, около 2 500 экземпляров книг. По воспоминаниям ветеранов библиотечного дела, в первые годы работать в библиотеке было трудно. В помещении было холодно и сыро. Отопление печное, дрова работники готовили сами, ездили за ними в лес зимой на лошадях. В комнате, где находилась библиотека, было очень тесно. В таких условиях она существовала 18 лет. К 1970 году фонд возрос до 15 000 экземпляров. В 1983 году построили красивое здание для Центральной библиотеки, где нашлось место и для детской. В этом здании она находится по сей день. Ежегодно библиотека обслуживает больше тысячи читателей (1 095). Количество посещений – 13 866, книговыдача – 23 498 единиц. Фонд – 12 133 экземпляра книг и периодических изданий. В библиотеке проходят выставки, акции, чтения, развлекательные и познавательные программы.",2021-04-02T12:50:31Z,2023-08-29T13:41:04Z,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,18:00:00,08:00:00,17:00:00,,,08:00:00,16:00:00
Беркетключевская сельская библиотека,"Респ Татарстан,р-н Черемшанский,с Беркет-Ключ,ул Ленина,д 56а",51.633806,54.813692,"Беркетключевская сельская библиотека основана в мае 1951 года. Сельская библиотека – информационный и культурно-просветительский центр, место досуга и общения читателей. Читатели пользуются всеми бесплатными услугами, открыт доступ ко всем сетевым ресурсам, к фонду.Читатели общаются в клубах «Подружки» – для женщин старшего поколения. «Ак калфак» – для младшего и среднего поколения. С 2010 года детям – школьникам работает кукольный театр «Радость». С 2020 года организована детский кружок «Умелые руки». Участники клубов и кружков проводят свое свободное время с пользой. Постоянным, активным посетителям двери библиотеки всегда открыты, новичкам всегда рады. Планы на будущее составляются совместно с другими учреждениями, которые находятся на территории местного самоуправления: со средней общеобразовательной школой, с детским садом «Солнышко», фельдшерско-акушерским пунктом, сельским домом культуры, с мечетью, родительским комитетом, советом ветеранов, обществом инвалидов и участковым. Мастер – классы, конкурсы и соревнования чтецов проходят на «Ура». Выставки и тематические полки – актуальные, привлекательные и нужные. Библиотека учувствует в российских, республиканских, межрегиональных акциях, конкурсах, которые проходят с большим энтузиазмом. Интервью-опросы сближают с населением, а анкеты помогают найти общий язык с молодежью. Библиотека – центр объединения разных национальностей. Жить в дружбе и согласии помогают знания языка, обычаев, нравов, культуры и традиций каждой нации.В настоящее время фонд библиотеки насчитывает 11548 экземпляров. Число пользователей – 432.",2023-01-23T06:36:55Z,2023-01-31T09:18:13Z,,,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00
Альшиховская сельская библиотека,"Респ Татарстан,р-н Буинский,с Альшихово,ул Правды,д 48А",48.167746,54.936538,"Альшиховская сельская библиотека образовалась в 1960 году. Книжный фонд составляет 17 025 экземпляров, читателей – 1 278. Основным направлением работы является краеведение, пропаганда здорового образа жизни, патриотическое воспитание детей и молодежи. Библиотека работает в тесном контакте со школой, Домом культуры, исполкомом. Развито книгоношество. Широко использует возможности ВСО. Проводит массовые мероприятия различной направленности, обслуживает население сел Тингаши, Кайрево, М. Вахитово. Библиотечные работники – активные участники всех мероприятий. При библиотеке работают клубы по интересам: «Экос», «Почемучки», «Истоки», «Ветеран».",2021-04-17T06:59:23Z,2023-02-21T10:58:27Z,,,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00,09:00:00,12:00:00
Биляр-Озерская сельская библиотека,"Респ Татарстан,р-н Нурлатский,с Биляр-Озеро,ул Зеленая,д 48А",50.478905,54.505011,"Биляр-Озерская сельская библиотека расположена в селе Биляр-Озеро Нурлатского муниципального района РТ. Основные направления работы: информационная, просветительская, образовательная, досуговая, воспитательная деятельность. Фонд насчитывает 5 546 книг, число читателей – 650 человек. Библиотека активно сотрудничает с администрацией Биляр-Озерского сельского поселения, Биляр-Озерской средней школой, сельским Домом культуры; оснащена компьютерным оборудованием. Ведется работа по правовому просвещению пользователей. Работают клубы по интересам «Книгочей» и «Правовед» для детей и юношества. Библиотека активно участвует в областных и районных конкурсах.",2022-03-03T08:03:55Z,2023-10-18T07:44:46Z,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,,
Староубеевская сельская библиотека,"Респ Татарстан,р-н Дрожжановский,с Старый Убей,ул Школьная,д 2",47.7207551448441,54.7975052333493,"Староубеевская сельская библиотека начала свою работу 1957 году. В настоящее время ее фонд составляет примерно 4 500 книг. Он постоянно пополняется новыми книгами. Количество посетителей – 201 человек. Библиотека охватывает своей деятельностью все социальные группы жителей села, помогая им решить их многочисленные образовательные и самообразовательные проблемы. Также она участвует в различных конкурсах и мероприятиях. Ведется работа по передвижке, оборудовано автоматизированное рабочее место «Книговыдача» по системе «Руслан». К пожилым читателям библиотеки приходят специальные сотрудники – книгоноши.",2021-04-10T04:42:54Z,2023-02-22T11:43:50Z,13:00:00,17:00:00,13:00:00,17:00:00,13:00:00,17:00:00,13:00:00,17:00:00,13:00:00,17:00:00,,,,
Большетиганская сельская библиотека – филиал № 6,"Респ Татарстан,р-н Алексеевский,с Большие Тиганы,ул А.Баттала",50.147651,55.126205,"Большетиганская сельская библиотека – филиал № 6 расположена в здании Большетиганского сельского дома культуры и работает с 1960 года. Вот уже более 60 лет она радует своих читателей. Более 500 человек посещает библиотеку. В настоящее время ее книжный фонд разнообразен: есть художественная литература на русском и татарском языках, справочники, а также научно-популярная литература.Вся деятельность сельской библиотеки направлена на пропаганду книги и чтения, воспитание духовно-нравственных ценностей, здорового поколения и развитие информационной культуры населения. Для привлечения читателей проводятся различные мероприятия: тематические вечера, беседы, викторины, литературные часы, устные журналы, флешмобы, акции и др. Библиотека работает по следующим направлениям: краеведческое, военно-патриотическое воспитание, экологическое просвещение и др.",2021-11-01T12:03:44Z,2023-02-20T11:19:36Z,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,19:00:00,22:00:00,,
Мичуринская сельская библиотека – филиал № 16,"Респ Татарстан,р-н Лениногорский,п им. Мичурина,ул Советская,д 28",51.8335155746832,54.5583346868285,"Мичуринская сельская библиотека открылась в 1961 году. В 2015 году в Республиканском конкурсе на лучшее учреждение культуры села она была признана лучшей сельской библиотекой и получила правительственный грант. Книжный фонд – более 13 тысяч экземпляров. Библиотека за год обслуживает 300 читателей. Ее деятельность нацелена на повышение интереса детей и молодежи к изучению истории своего края. При участии работников Дома культуры в библиотеке проводятся литературные вечера, викторины, обзоры, диспуты. На базе учреждения ведут работу кружки «Сценическое искусство», «Я и мои друзья», «Народное декоративно-прикладное искусство народов Татарстана» и «Умелые руки», занятия которых с большим удовольствием посещают дети и молодежь. В библиотеке есть компьютер с доступом к интернету, копировально-множительная техника.",2021-04-02T08:17:42Z,2023-02-20T14:11:11Z,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,13:00:00,18:00:00,13:00:00,18:00:00,15:00:00,18:00:00,,
Старосафаровская сельская библиотека № 29,"Респ Татарстан,р-н Актанышский,с Старое Сафарово,ул М.Вахитова,д 16",53.7879680837435,55.5488778446204,"С 1 февраля 2014 года библиотекарем работает Альфинур Явдатовна Шайхулмарданова. Читатели-активисты организовали при библиотеке клуб под названием «Балкыш», который работает по нескольким направлениям. Под руководством библиотекаря здесь знакомятся с новыми произведениями современных писателей и поэтов, при этом особое место занимает творчество земляков М. Амирханова, М. Мирзы, Д. Салихова, А. Ахметгалиевой, Ф. Давлетбаева, А. Ситдиковой и односельчан М. Фатыхова, Л. Нуриевой, Л. Аминовых и др. Успешно работает направление «Умелые руки». Особое место занимает изучение основ религии. Каждый год отмечаются религиозные и национальные праздники. Сегодня библиотека на должном уровне обслуживает всех читателей, проживающих в поселении.",2022-11-08T07:33:05Z,2023-06-15T06:22:10Z,,,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00
Ташлиярская сельская библиотека,"Респ Татарстан,р-н Муслюмовский,с Ташлияр,ул Урожайная,зд 78б",52.9407138254082,55.2606490923682,"В 1930 годы в д. Ташлияр открывается первая изба-читальня, в отдельной комнате. Там работала Монипова Накия. В 1961 году построили новый дом культуры. На втором этаже разместилась библиотека. Ташлиярская сельская библиотека обслуживает 446 читателей Фонд насчитывает 10732 экземпляра книг и журналов. Работают 2 клуба по интересам: «Ветераны»; «Кукольный театр». Проводятся следующие мероприятия: литературные и тематические вечера; встречи, беседы;библиографические обзоры; книжные выставки. Проводятся различные мастер классы для детей и взрослых. Проводятся конкурсы рисунков, поделок. Самый любимый проект для детей это кукольный театр.",2022-03-26T06:42:35Z,2023-03-23T14:23:31Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00
Большекармалинская сельская библиотека,"Респ Татарстан,р-н Камско-Устьинский,с Большие Кармалы,ул Школьная,д 6",49.130588,55.214907,"Большекармалинская сельская библиотека начала свою работу в одном из помещений здания клуба, построенного в 1936 году. Сначала она называлась изба-читальня и лишь с 1950 года была переименована в библиотеку. В 2008 году переехала в бывшее здание школы, заняла комнату площадью 33 кв. м. Сегодня библиотека является не только информационным, но и образовательным, культурно-просветительным, досуговым учреждением поселения с фондом 8 134 печатных издания. Располагая таким фондом, она всегда может удовлетворить любой читательский спрос. Ежегодно ее посещают 202 читателя. В своей деятельности библиотека реализует принцип общей доступности, это означает, что она открыта для всех, пользоваться ею может каждый житель, она максимально приближена к потребностям местного населения. Библиотека работает с разными категориями читателей: пенсионерами, молодежью, учащимися, детьми, используя стационарную и передвижную форму обслуживания. Индивидуальная работа ведется с учетом личностных особенностей каждого читателя. Тесное сотрудничество с органами местного самоуправления, учреждениями культуры, общественными организациями, объединениями по интересам является одним из условий эффективного библиотечного обслуживания Большекармалинской сельской библиотеки.",2021-05-25T13:07:28Z,2023-02-21T09:39:13Z,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,08:30:00,16:00:00,09:00:00,12:00:00,,,,
