author,title,n_words,total_words
"Franklin, Jay",The Rat Race,7664,83576
"Fletcher, J. S. (Joseph Smith)",The Talleyrand Maxim,5303,74737
"Prince, Mary","The History of Mary Prince, a West Indian Slave",3766,27855
"Gaboriau, Emile",The Count's Millions,8339,116649
"Blanchard, Amy Ella",Little Maid Marian,3690,39043
"Griffith, George Chetwynd",A Honeymoon in Space,5801,66074
"Douglass, Ellsworth","Pharaoh's Broker
Being the Very Remarkable Experiences in Another World of Isidor Werner",6984,72787
"Bangs, John Kendrick","R. Holmes & Co.
Being the Remarkable Adventures of Raffles Holmes, Esq., Detective and Amateur Cracksman by Birth",4791,34327
"Hastings, Milo",City of Endless Night,8157,87446
"Jókai, Mór",Halil the Pedlar: A Tale of Old Stambul,7172,63511
"Gale, Floyd C.",Someone to Watch Over Me,3140,22401
"Yonge, Charlotte M. (Charlotte Mary)","Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise",9194,133497
"Chesterton, G. K. (Gilbert Keith)",The Wisdom of Father Brown,7890,73696
"Morrison, Arthur","The Red Triangle: Being Some Further Chronicles of Martin Hewitt, Investigator",5241,63497
"Sutphen, Van Tassel",The Doomsman,8728,80401
"Grisewood, R. Norman (Robert Norman)",Zarlah the Martian,3996,35760
"Benoît, Pierre",Atlantida,7851,66635
"Buchan, John",Greenmantle,8835,101433
"Bennett, John",Master Skylark: A Story of Shakspere's Time,7207,76603
"Ebers, Georg",The Bride of the Nile — Volume 08,3762,23252
"Evans, E. Everett (Edward Everett)",Man of Many Minds,6536,69574
"Pelcher, Anthony",Astounding Stories of Super-Science April 1930,7861,75565
"Wood, Robert Williams",The Man Who Rocked the Earth,6640,44159
"Stevenson, Burton Egbert",The Holladay Case: A Tale,4609,46952
"Hyne, Charles John Cutcliffe Wright",The Lost Continent,8176,99630
"Arnold, Edwin Lester",Gulliver of Mars,7887,72310
"Starzl, Roman Frederick",The Martian Cabal,5074,29236
"Barr, Robert",The Face and the Mask,6829,73501
"Lewis, Myron R.",The Dueling Machine,3899,22437
"Hale, Edward Everett","The Man Without a Country, and Other Tales",8261,79356
"Sacher-Masoch, Leopold, Ritter von",Venus in Furs,5197,43958
"Curtis, Alice Turner",A Yankee Girl at Fort Sumter,3241,40924
"Church, Alfred John","The Count of the Saxon Shore; or The Villa in Vectis.
A Tale of the Departure of the Romans from Britain",7058,72788
"Freeman, R. Austin (Richard Austin)",The Mystery of 31 New Inn,6807,80889
"Crake, A. D. (Augustine David)","Alfgar the Dane or the Second Chronicle of Aescendune
A Tale of the Days of Edmund Ironside",7441,77218
"Piper, H. Beam",A Slave is a Slave,3631,21907
"Gold, H. L. (Horace Leonard)",Someone to Watch Over Me,3140,22401
"Perrin, Alice",Star of India,8431,79805
"Aguilar, Grace",The Days of Bruce: A Story from Scottish History. Vol. 1,9566,148475
"Stoker, Bram",The Lair of the White Worm,5680,57066
"Rockwell, Carey",Sabotage in Space,4770,47718
"Ballantyne, R. M. (Robert Michael)",Martin Rattler,7003,62860
"Smith, E. E. (Edward Elmer)",The Skylark of Space,7555,87912
"Shelley, Mary Wollstonecraft","Frankenstein; Or, The Modern Prometheus",6810,73828
"Brazil, Angela",A Popular Schoolgirl,7682,66794
"Ashwell, Pauline",The Lost Kafoozalum,3516,23299
"Donovan, Francis",The Short Life,4046,21208
"Chambers, Robert W. (Robert William)",In Search of the Unknown,8422,74764
"Sutton, Lee",Venus Boy,3583,41316
"Delany, Samuel R.",The Jewels of Aptor,5082,54107
"Stratemeyer, Edward","Young Captain Jack; Or, The Son of a Soldier",4003,51795
"Diffin, Charles Willard",The Finding of Haldgren,4180,31755
"Hornung, E. W. (Ernest William)",The Shadow of the Rope,7140,80254
"Alger, Horatio, Jr.","Young Captain Jack; Or, The Son of a Soldier",4003,51795
"Bramah, Ernest",Max Carrados,7498,71011
"Harrison, Harry",Planet of the Damned,6193,57569
"Flint, Homer Eon",The Blind Spot,8160,110446
"Stoddard, William O.",Dab Kinzer: A Story of a Growing Boy,5359,70946
"Lynch, Lawrence L.",The Last Stroke: A Detective Story,6374,72352
"Bova, Ben",The Dueling Machine,3899,22437
