name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Нижнекаракитанская сельская библиотека,"Респ Татарстан,р-н Дрожжановский,с Нижний Каракитан,ул Ленина,д 30",47.325899,54.725165,"Нижнекаракитанская сельская библиотека была основана в 1938 году. Библиотекарем работал Шагизян Сафиуллин. Наиля Сафина работает с 1986 года.В сельскую библиотеку поступают периодические издания (газеты и журналы) на двух языках. Фонд насчитывает более 7 737 экземпляров. Количество посетителей – 700 человек, посещений – 6 798. Книговыдача – 14 533 экземпляров. На базе библиотеки работают кружки. Удаленным пользователям предоставляются онлайн-услуги (регистрация, виртуальная справка и др.). Библиотека проводит фестивали, ярмарки, конференции, семинары, презентации книг – более 80 мероприятий в год.",2021-04-20T08:00:37Z,2023-02-22T09:17:20Z,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,08:00:00,13:00:00,,
Калмашская сельская библиотека,"Респ Татарстан,р-н Тукаевский,с Калмаш,ул Центральная,д 32",52.639551,55.733721,"Калмашская сельская библиотека образовалась в 1951 г. Фонд – свыше 12 тысяч экземпляров различной литературы. Библиотека выписывает множество периодических изданий. Работает клуб по интересам «Волшебный квиллинг» для детей дошкольного и младшего школьного возраста. Заведующий Калмашской сельской библиотеки – Маннапова Зинфира МИрхазияновна. Библиотека – это центр организации досуговой деятельности. Здесь создаются условия для интеллектуального, духовного, творческого общения. Основными целями деятельности библиотеки являются осуществление социальных, культурных, образовательных и научных функций по удовлетворению универсальных информационных потребностей общества на основе принципов общедоступности.",2016-07-25T06:14:40Z,2023-01-30T09:55:39Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,,,
Данауровская сельская библиотека – филиал № 11,"Респ Татарстан,р-н Чистопольский,д Данауровка,ул Центральная,влд 30А",50.551121,55.369065,"Данауровская сельская библиотека-филиал № 11 образовалась в 1954 году. Библиотекой собран большой материал по истории села, который систематизируется по тематическим папкам. Используются возможности интернета, идет поисковая работа материала, а также людей, готовых сотрудничать с библиотекой. При библиотеке работают два детских кружка – это «Умелые ручки» и экологический «Родничок». Ребята готовят кукольные спектакли, театрализованные представления, фольклорные посиделки. Организована книжная работа, выходы на производственные участки, беседами, информацией о книгах и изданиях. При библиотеке работает «Книжная больница» – дети помогают ремонтировать книги, некоторые читатели приносят книги в библиотеку и оставляют их, чтобы другие люди, которые любят чтение, смогли прочесть книги. Фонд библиотеки – 12 489 экз.Количество читателей – 509 чел.",2021-04-06T08:28:51Z,2023-02-06T13:56:37Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,15:00:00,,
"Большерусаковская сельская библиотека, филиал № 5","Респ Татарстан,р-н Кайбицкий,с Большое Русаково,ул Зиганшина,влд 74",48.407722,55.361912,"Большерусковская сельская библиотека была основана в 1917-1918 годах, считалась как изба-читальня. Первым библиотекарем была С.Ярхамова. В2018 году в деревне открылся новый МФЦ, где расположились библиотека и клуб. Книжный фонд составляет 8418 экз. книг. Фонд каждый год обновляется. Ежегодно библиотеку посещают 5612 пользователей. Книги и периодические издания расположены в открытом доступе. Основными направлениями работы библиотеки являются: историческое, краеведческое, эстетическое, экологическое, патриотическое воспитание. При библиотеке работает кружок «Умелые руки», проводятся различные мероприятия для детей и взрослых.",2022-04-01T08:39:06Z,2023-02-09T13:27:01Z,09:00:00,16:30:00,09:00:00,16:30:00,09:00:00,16:30:00,09:00:00,16:30:00,13:00:00,16:30:00,18:30:00,16:30:00,,
Ново-Иглайкинская сельская библиотека,"Респ Татарстан,р-н Нурлатский,с Новое Иглайкино,ул Чапаева,д 23",50.907626,54.407528,"МБУ «Межпоселенческая центральная библиотека» Ново-Иглайкинская сельская библиотека Нурлатского муниципального района РТ была создана в 1930 году как изба-читальня.Число читателей – 719 человек. В фонде библиотеки более 10 000 экземпляров книг журналов, газет. На сегодняшний день расположена на территории Новоиглайкинского сельского поселения. Библиотека активно сотрудничает с администрацией сельского поселения, сельской школой, сельским Домом культуры, ФАПом.Особое место уделяется гражданскому и патриотическому воспитанию, краеведческой работе и по семейному направлению. Большое внимание читателей обращается на общественные ценности, на литературу и искусство. Посредством литературы уделяется внимание нравственному, эстетическому, экологическому воспитанию, темам духовности и милосердия. В библиотеке проводятся различные мероприятия: беседы, викторины, игры, конкурсы, диспуты, тематические вечера, библиотечные уроки, обзоры, книжные выставки.",2022-03-05T09:44:17Z,2023-10-18T08:04:51Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,
Реченская сельская библиотека – филиал № 22,"Респ Татарстан,р-н Алексеевский,с Речное,ул Комсомольская,зд 9",50.272643,55.363688,"Год образования Реченской сельской библиотеки помнили только старожилы, но, к сожалению, никого из них уже нет в живых, поэтому можно только догадываться, когда именно она была образована. Есть информация, что только с 1962 года в работе библиотеки появилась стабильность. Читальный зал библиотеки вмещает в себя до 10 человек. Книжный фонд укомплектован изданиями в основном на русском и татарском языках. На сегодняшний день в фонде насчитывается более 7 000 экземпляров книг и журналов. Число пользователей – 181 человек. Библиотека работает в тесном контакте с Реченским сельским клубом, детским садом, школой, проводя совместные мероприятия для детей и взрослых. Основной круг читателей – дошкольники и их родители, начальные и средние классы школы, пенсионеры.",2021-04-22T08:47:06Z,2023-02-20T10:56:44Z,,,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00,08:00:00,14:00:00
Топасевская сельская библиотека – филиал № 31,"Респ Татарстан,р-н Мензелинский,с Топасево,ул М.Джалиля,д 22",52.9431633354331,55.6230778196131,"Топасевская сельская библиотека – филиал № 31 Межпоселенческой центральной библиотеки Мензелинского района. Находится в уютном здании МФЦ. Общая площадь библиотеки – 22 кв. м. В настоящее время в библиотеке есть 2 компьютера (1 – для читателей), принтер. Доступа к интернету нет. Количество читателей – 214 человек, книговыдача составляет 3 638 экземпляров. Фонд библиотеки насчитывает 11 926 экземпляров. Количество посещений – 4 037 в год. В среднем учреждение за год проводит 46 различных мероприятий, из них 8 – для детей. Здесь также ведут деятельность клубные объединения «Книгоренок» и «Ак калфак».",2021-04-30T06:49:05Z,2023-02-21T11:08:27Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,
Керлигачская сельская библиотека – филиал № 12,"Респ Татарстан,р-н Лениногорский,с Керлигач,ул Советская,д 33а",51.8883971817125,54.700527398696,"Керлигачская сельская библиотека открыта в 1956 году. В 1993 году из деревянного здания с печным отоплением она переехала в здание сельского Дома культуры. В настоящее время книжный фонд Керлигачской сельской библиотеки насчитывает более 13 000 экземпляров. В год она обслуживает 500 читателей. При библиотеке создан музей национального крестьянского быта. Совместно с жителями села была собрана традиционная утварь: тканые и вышитые изделия, одежда, изделия ручной работы из дерева, железа. Проводится большая краеведческая работа. Различные викторины, игры и конкурсы давно стали визитной карточкой учреждения. Библиотека оснащена компьютером и оргтехникой.",2021-03-31T09:29:58Z,2023-06-06T13:04:51Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,
Татарско-Елтанская сельская библиотека – филиал № 25,"Респ Татарстан,р-н Чистопольский,с Татарский Елтан,ул Кооперативная,д 9",50.79151,55.118086,"Татарско-Елтанская сельская библиотека (филиал № 25) была основана в 1952 году. Она находилась в деревянном помещении. Потом ее перевели в здание сельского Дома культуры. Затем здание СДК стало аварийным, и библиотеку перевели в здание Татарско-Елтанская детского сада. Она разместилась на 1-м этаже с отдельным входом.Библиотека тесно сотрудничает с сельским советом, с детским садом, школой и сельским Домом культуры. Участвует в организации и проведении праздников села, улиц. Ведет активную работу по обслуживанию на дому ветеранов тыла, инвалидов и пенсионеров. Фонд библиотеки – 8 540 экз. Количество читателей – 603 чел., количество посещений – 8 175 чел. Книговыдача –13 080 экз.",2021-04-06T07:28:21Z,2023-01-31T08:07:17Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,15:00:00,,
Карек-Серминская библиотека,"Респ Татарстан,р-н Балтасинский,д Карек-Серма,ул Мира,д 39",50.312573,56.468264,"В деревне Карек-Серма впервые библиотека открылась в 1930-е годы. Она разместилась в доме Петрова Ивана. Первым заведующим библиотекой работал Чегаев Аркадий – уроженец с. Ципья. В 1935 году библиотеку перевели в деревню Средний Кушкет, т. к. там находился сельский совет, а библиотеки в этой деревне не было. Вновь в деревне Карек-Серма библиотека открылась в октябре 1954 года. Она размещалась в здании, построенном для конторы колхоза «Азьлане» размером 25 кв. м.В 1978 году библиотека перешла в новое здание, построенное для клуба и библиотеки. Площадь библиотеки – 36 кв. м, читального зала нет. Библиотекарь ведет активную работу по продвижению книги и чтения среди широкого круга населения. Все посетители являются активными читателями и участниками мероприятий, которые проводятся в библиотеке. Роль библиотеки важна и в сохранении национального колорита.На 1 января 2021 г. фонд библиотеки составляет 11 286 единиц, число посетителей – 5 327 человек.",2021-04-06T08:22:50Z,2023-02-21T14:45:37Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,,
