creators,title,description,geoContext,minDate,maxDate,latitude,longitude
"A. Hausleiter, M. Roaf, E.J. Keall",KS391,"An ancient place, cited: BAtlas 92 D4 KS391",KS391,300,640,32.347129,48.226407
P.O. Spann,Ossigi,"An ancient place, cited: BAtlas 27 B4 Ossigi","Cerro Alcal, 6 miles NE Mancha Real",-30,640,37.848915,-3.560303
S.E. Kroll,Mishkinshahr,"An ancient place, cited: BAtlas 90 C2 Mishkinshahr",Mishkinshahr,300,640,38.394859,47.671094
G. Wagner,Balat,"An ancient place, cited: BAtlas 79 inset Balat",Balat,-30,640,25.599839,29.296487
"E.M. Meyers, J.P. Brown",Sennabris/Ginnabris,"An ancient place, cited: BAtlas 69 C4 Sennabris/Ginnabris",Senn en Nabra ISR,-30,640,32.709862,35.566036
E.W.B. Fentress,Untitled,"An ancient place, cited: BAtlas 34 E2 unnamed feature ()",Barrington Atlas grid 34 E2,-30,640,35.83055,6.180237
"J. Fossey, J. Morin",Eurymenai,"An ancient place, cited: BAtlas 55 D1 Eurymenai",Kokkino Nero,-330,640,39.820808,22.828885
T.W. Potter,Manliana,"An ancient place, cited: BAtlas 30 D4 Manliana","Khemis Miliana, formerly Affreville",-30,640,36.26087,2.220412
"J.P. Brown, E.M. Meyers",Sasa,"An ancient place, cited: BAtlas 69 B3 Sasa","Sasa, ISR",-30,640,33.025753,35.398513
"F.T. Hiebert, P.L. Kohl",Siah Rigan,"An ancient place, cited: BAtlas 99 B3 Siah Rigan","Siah Rigan, AFG",-30,640,36.888354,67.688849
R.B. Hitchner,*Gunela?,"An ancient place, cited: BAtlas 32 E2 *Gunela?","Henchir-Goungla, near Menzel Bourgiba",-30,640,37.165524,9.765536
M.U. Erdosy,Jaffna,"An ancient place, cited: BAtlas 5 inset Jaffna","Jaffna, SRI",300,640,9.661533,80.044986
"J. Fossey, J. Morin",Gonnoi,"An ancient settlement of Perrhaibia, located at the western entry of the Tempe pass.",Dereli,-750,640,39.858934,22.498138
D.J. Mattingly,Settlement near Magrusa,An ancient settlement near modern site of Magrusa,Magrusa,-330,640,30.959084,14.193826
"E.J. Keall, M. Roaf",Qal'eh Tokhmaq,"An ancient place, cited: BAtlas 96 C2 Qal'eh Tokhmaq",Qal'eh Tokhmaq,-550,640,37.1314,54.2733
"M. Šašel Kos, P. Kos",Lopsica,"An ancient place, cited: BAtlas 20 B5 Lopsica",Sv. Juraj near Senj CRO,-330,640,44.928868,14.92
S.M. Burstein,Tafis,"An ancient place, cited: BAtlas 81 C2 Tafis",Tafa,-30,640,23.637446,32.863758
E.N. Borza,Harmanli,"An ancient place, cited: BAtlas 51 F1 Harmanli","Harmanli, BUL",-30,640,41.93033,25.902487
