id,registration,name,category,сultural_property,height,width,depth,preservation,description
10882,2016-06-14T09:46:14Z,Яичко,,,,,,,
16008,2016-06-14T09:46:25Z,Солонка,,,,,,,"Ссылка на каталоги / инвентари: МУК ""Литературно-мемореальный музей А.П. Гадара г. Арзамаса"". 607220, Нижегородская область, г. Арзамас, ул. Космонавтов, д. 39 а    Инвентарный номер: 616 (1)"
20138,2018-12-04T12:38:26Z,"Аммонит Simbirskites sp., 1 шт.,д-2.5 см.,инв № 1829.",ОБРАЗЦЫ ФЛОРЫ И ФАУНЫ,Объект является культурной ценностью,,,,неполная :раковина имеет трещины,УПМ 1829
4439,2016-06-14T09:44:58Z,Горный пейзаж (название употребляемое)    Автор: Занковский Илья Николаевич (художник)    Школа / Место издания: Россия    Период оригинала: 2 половина 19 век,ЖИВОПИСЬ,,,,,,Ссылка на каталоги / инвентари: Состояние: после реставрации на месте (1960-1970 гг.).
22218,2020-09-08T07:23:31Z,"ШКМ КП-1255/105. Номер по ГК 14798709. Монета Название: ""10 сантимов"". Датировка: 1862 Место создания: Бельгия страна Материал: металл Техника: чеканка Размеры: Д-21мм",ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Потерта,нет
10873,2016-06-14T09:46:14Z,Яичко,,,3,,,,Размеры: В. 3.0
18750,2016-06-14T09:46:45Z,пластина круглой формы (возможно фалар)    Период оригинала: середина I тыс. до н.э.,РАЗНОЕ,,,,,,"Стиль: чеканка    Размеры: диаметр - 14,1 см.    Ссылка на каталоги / инвентари: пластина с зооморфными украшениями, на обратной стороне - заклепки от крепления и следы желеной основы, имеются 2 сквозных отверстия."
22315,2020-09-09T09:10:13Z,"Чучело. Чирок свистун. 1950-е гг. Кожа, перо, металл.",ОБРАЗЦЫ ФЛОРЫ И ФАУНЫ,Объект является культурной ценностью,,,,Длительное экспонирование.,Учетные обозначения - АСИЛМ ОФ-12/4
13668,2016-06-14T09:46:06Z,Рамка для фотографий,,,,,,,
16734,2016-06-14T09:46:32Z,На память о юбилейной выставке первых - Русских ведомостей,,,,,,,"Инвентарный номер: КП-2815/45, КПМ-666"
8024,2016-06-14T09:45:22Z,"Автор: Петров Л.Г. (художник, литограф); Петрова В.В. (художник, литограф), Петрова Валентина Владимировна (художник, литограф) ?    Школа / Место издания: Россия    Период оригинала: 20 век",ОТТИСК,,,,,,
15087,2016-06-14T09:46:18Z,Портрет Толстой Софьи Петровны дочери графа Толстого П.А. жена В.В. Апраксина    Автор: Брюллов,ЖИВОПИСЬ,,54,67,,,"Размеры: В. 67, Д. 54    Ссылка на каталоги / инвентари: 95"
2649,2016-06-14T09:44:44Z,"На заключение мира с Турциею в 1774 году (название изначальное)    Автор: Егер Иоганн Георг Каспар (медальер, резчик, аверс); Гасс Иоганн Балтазар (медальер, резчик, реверс)    Школа / Место издания: Россия    Монетный двор    Период оригинала: 3 четверть 18 век",,,83,,,,"Размеры: Д. 83 мм (штемпель)    Характер подписи: I. C. I. FEC. (?); GASS F. (слева над обрезом, реверс)    Характер подписи: Россия, Турция / Порта    Характер подписи: Б М ЕКАТЕРИНА II IМПЕРАТ И САМОДЕРЖ ВСЕРОССIИС (по окружности); ТВЕРДОСТIЮ РАЗУМОМЪ И СИЛОЮ (О. по верху);  МИРЪ СЪ ОТТОМАНСКОЮ ПОРТОЮ / ЗАКЛЮЧЕНЪ 10 IЮЛЯ / 1774 ГОДА. (под обрезом)    Ссылка на каталоги / инвентари: СМИРНОВ: № 273а    Ссылка на каталоги / инвентари: Фото: см. Источники.  Описание составлено по каталогу, см. СМИРНОВ: № 273а (реверс) и Источнику."
9794,2016-06-14T09:45:36Z,Стопочка,,,,,,,Инвентарный номер: Инв. № 160
1287,2016-06-14T09:44:20Z,"Рождество Христово (название изменяемое); Сошествие во ад / Воскресение Христово (название двойное, название изначальное); Сошествие во ад (название употребляемое);  Сошествие во ад / Воскресение Христово и праздники (название последнее)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 16 век",ИКОНА,,88,65,,,"Размеры: В. 88, Ш. 65 (доска)    Ссылка на каталоги / инвентари: Устюжна/1995: с. 314 ?    Ссылка на каталоги / инвентари: Фото: источник не указан.  В источнике не содержатся сведения о  школе, о цветах, о наличии надписей , даются два разных названия ( Рождество не соответствует певоначальным сведениям и фото).  Сравни с Предметом № 1."
5940,2016-06-14T09:44:28Z,"Богоматерь Всех Скорбящих Радость (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия, Мстера    Период оригинала: 18 век",ИКОНА,,14.5,19,,,"Стиль: С окладом: Медь 7 / Белая жесть ?/ Другое ? - металл (?); Зеленый: темный хитон; Красный, Золотистый: мафорий; Золотистый: цветочный узор, фон; Овал: ""слава"", окружающая Богоматерь    Размеры: В. 14.5, Ш. 19 (в окладе) / В. 19, Ш. 14.5 (в окладе)    Ссылка на каталоги / инвентари: Состояние: вздутие грунта: кракелюр."
22601,2021-01-25T14:05:15Z,Краткосрочное обязательство Государственного Казначейства «50 рублей». Россия. 1919 г. №ББ 0092. ОФ-307,ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Без видимых повреждений,№ББ 0092.
8238,2016-06-14T09:45:30Z,В память битвы при Лейпциге (название употребляемое); Битва при Лейпциге (название изначальное)    Автор: Толстой Федор Петрович (скульптор); Аноним (модельщик)    Школа / Место издания: Россия    Касли (завод чугуноплавильный)    Период оригинала: 19 век ?,,,,,,,"Ссылка на каталоги / инвентари: Фото: образец в бронзе, см. Источники."
13838,2016-06-14T09:46:07Z,"Фотография членов семьи Романовых, их датских и английских родственников",,,,,,,
17442,2016-06-14T09:46:36Z,"Самовар жаровой    Школа / Место издания: Россия    Период оригинала: 20 век, 1 половина",,,46,,,,"Размеры: В. 46    Характер подписи: ""Товарищество торгового дома братьев Шемариных. Тула""    Инвентарный номер: КИКМ №6504"
22159,2020-09-01T12:21:43Z,"ШКМ КП-1255/45. Номер по ГК 14797663. Монета Название: ""50 грошей"". Датировка: 1949 Место создания: Польша Материал: металл Техника: чеканка Размеры: Д-23мм",ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Потерта,нет
