title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Моли Люй Ча (жасминовый зеленый чай),green,88,630,"Приготовлен в горах Мэндин (провинция Сычуань). Готовый чай смешан с живыми цветами жасмина. В сухом виде – небольшие жгутики ворсистых почук и мелкие цветки жасмина. Аромат свежий, жасминовый. Настой прозрачный, светлого, золотисто-зеленого оттенка. Букет готового чая яркий, свежий, жасминовый с травянистыми и пряными нотками. Беззаботный, игривый аромат. Вкус свежий, сочный, маслянистый, прохладный, с легкой кислинкой лемонграсса. Прохладное, освежающее послевкусие. Заваривать горячей водой (80°С), в фарфоровой гайвани или стеклянной посуде. Пропорция заварки к воде: 2-3 г на 100 мл. Пить проливом, постепенно увеличивая экспозицию. Выдерживает 6-7 заварок. Легкий жасминовый чай для повседневного чаепития – освежающий, умиротворяющий, романтичный. По устоявшейся традиции считается, что лучший эффект его воздействия достигается в холодную, сырую погоду.",1,3,,,,100,,60,,,,,60,,,,,,,,,,,,,,,,60,,,,,,40,,,,,
Айцзяо Улун,ulun,88,2050,"Cделан из осенних побегов чайного куста Ай Цзяо. История сорта Ай Цзяо или Низкорослый (высота куста не превышает 120 см) ведет свое начало из сунских императорских Северных садов Бэй Юань (ныне уезд Цзяньоу, Фуцзянь). В 90-е годы ХХ века сорт был клонирован на основе материала, взятого с вековых материнских деревьев из старого сада поселка Дунфэн чжэнь. В сухом виде: изогнутые, буро-коричневые жгутики скрученных листиков среднего размера. Аромат интенсивный, пряный. Настой прозрачный, оттенка лугового меда. Букет готового чая теплый, пряно-древесный с ореховыми, фруктовыми и цветочными нотками. Аромат теплый, пряно-древесный, холодный аромат сладкий, цветочный. Вкус сочный, шелковистый, чуть вяжущий, с легкой кислинкой. Сочное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пористой глины для сильно-ферментированных улунов или в гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Пить проливом, постепенно увеличивая экспозицию. Выдерживает 7 завариваний. Отличный выбор для психо-эмоциональной перезагрузки во второй половине дня. Согревает, снимает усталость и переключает внимание. Понравится тем любителям яньча, кто ценит в них тонкую, цветочную составляющую.",1,6,,,,60,60,60,,,60,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Фушоу Шань Улун,ulun,92,5600,"Чайные сады на Фушоу Шань (гора Счастья и Долголетия) располагаются на высоте свыше 2200 м на стыке уездов Наньтоу, Хуалянь и Тайчжун. Чистейший воздух, богатые минералами каменистые почвы и сильные колебания дневных и ночных температур рождают совершенно уникальный чайный лист. «Улун с горы Счастья и Долголетия» сделан весной 2023 года по технологии цин сян (многократная скрутка, неглубокая ферментация и прогрев при относительно низких температурах). В сухом виде: среднего размера, оливково-зеленые комочки скрученных чайных побегов. Аромат интенсивный, травянисто-цветочный с ореховой ноткой. Настой прозрачный, желто-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный с ореховыми, пряными и фруктовыми нотками. Аромат нежный, травянисто-цветочный. Вкус чистый, плотный, гладкий и сладкий, маслянистый, с легкой фруктовой кислинкой и долгим послевкусием. Заваривать горячей водой (85-90°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, далее пить проливом, постепенно увеличивая экспозицию. Держит вкус и аромат до 12 завариваний. Отличный выбор для церемонии гунфуча. Освежает, снимает напряжение, повышает жизненный тонус, рождает чувство гармонии.",2,6,,,,80,60,,40,,,,,,,,,80,,,,,,,,,,,100,,,,,,,,,,,
"Лао Сяо Е Чунь Люй Ча, 2005",green,98,1260,"Выдержанный зеленый чай из провинции Хунань. Урожй 2005 года. В сухом виде: тонкие бурые жгутики скрученных листиков. Аромат сдержанный, пряно-древесный с цветочной ноткой. Настой прозрачный, виноградно-желтого оттенка. Букет готового чая выдержанный, пряно-древесный с цветочными и ореховыми нотками. Аромат нежный, пряно-травянистый. Вкус плотный, очень мягкий, маслянистый, сладкий, с легкой фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (70-75°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Для первого раза настоять 15 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 8-9 завариваний. Воздействие освежающее, легкое тонизирующее.",3,4,,,,60,,80,,,40,,,,,,,60,,,,,,,,,,,,,,,,,,,,60,,
Дундин Чуаньтун Улун,ulun,98,4300,"Улун «Дундин», обработанный в традиционной манере («чуаньтун») и пропеченный на древесных углях. В сухом виде: небольшие бурые комочки скрученных чайных побегов. Аромат интенсивный, острый, пряный. Настой прозрачный, оттенка белого вина, в процессе заваривания желтеет. Букет готового чая многогранный, пряно-древесный с бисквитными, ореховыми и фруктовыми нотками. Аромат теплый, пряно-ореховый. Вкус плотный, гладкий, маслянистый, сладковатый, с фруктовой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, затем, начиная с экспозиции в 5-10 секунд и увеличив время выдержки до 2 минут, можно заварить 12 раз. Отличный выбор для церемонии гунфуча. Воздействие согревающее, расслабляющее.",7,6,80,,,,80,80,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
Луо Лао Шэн Ча (2012),puer,90,2270,"В сухом виде: крупные, скрученные бурые листики и почки с длинными черенками. Аромат интенсивный, древесно-бальзамический с цветочной ноткой. Настой прозрачный, виноградно-желтого оттенка, в процессе заваривания темнеет. Букет готового чая зрелый, древесно-бальзамический, c нотками пряных трав, печеных каштанов и сухофруктов. Аромат многогранный, фруктово-бальзамический с копченой ноткой. Вкус плотный, сочный, сладковатый, немного терпкий, с фруктовой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Отличный, выдержанный шэн – многогранный, яркий, ароматный.",2,6,,,,,60,,,,80,,,,,,,40,60,,,,,,40,,,,,,,,,,,,,,,
"Чжэн Шань Сяо Чжун ""511"", (""Лапсанг Сушонг"")",red,86,1350,"Один из старейших сортов красного чая. Особенностью его изготовления является длительный прогрев на сосновых углях, во время которого чай пропитывается смолистым, дымным ароматом. Впервые этот чай был сделан в районе Тунмугуань (район Уишань, провинция Фуцзянь), где и получил свое первое название «Лао Сун Сяо Чжун», «Старая Сосна – Редкий Сорт». Именно он пришелся особенно по вкусу европейцам, что в конечном итоге определило общее направление развития чайного дела в Юго-восточном Китае. Но в Европе этот сорт стал известен под именем «Лапсан Сушонг» (английская транслитерация ""Lapsang Souchong""): так англичане слышат китайское ""Lao Song Xiao Zhong"". ""511"" урожая 2021 г. изготовлен на территории природного заповедника Тунмугуань из осенних побегов аутентичного чайного куста Сяо Чжун. В сухом виде – тонкие, изящные жгутики черно-коричневых листиков. Аромат теплый, пряно-ягодный. Настой прозрачный, каштанового оттенка. Букет готового чая яркий, теплый, древесно-ягодный с нотками имбирного печенья и хвои можжевельника. Вкус сочный, достаточно тонкий, шелковистый, приятно-вяжущий, сладковатый, с легкой кислинкой. Аромат интенсивный, теплый, бисквитно-ягодный. Сочное, освежающее послевкусие. Заваривать горячей водой (95°С) в чайнике из пурпурной глины для красных чаев или в гайвани. Пропорция сухого чая к воде: 5 гр. на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 9 заварок. Отличный выбор для сырой и холодной погоды, минорных состояний и бесконечных зимних вечеров – яркий, эмоциональный, согревающий.",5,5,60,,,,,40,,,60,60,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
"Мэнхай Лао Шэн пуэр (сырье 2012, пресс 2021), 357 г",puer,92,5641,"357-граммовый блинчик средней плотности, разделяется на зеленовато-бурые скрученные листики и почки. Аромат сдержанный, пряно-древесный с копченой ноткой. Настой прозрачный, янтарно-желтого оттенка. Букет готового чая зрелый, пряно-бальзамический с ореховыми и фруктовыми нотками. Аромат яркий, фруктово-бальзамический. Вкус плотный, шелковистый, сладковатый, приятно терпкий, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 5-6 г на 100 мл. Для первого раза настоять 10-15 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний.",3,6,,,,,60,80,,,60,,,,,,,40,80,,,,,,,,,,,,,,,,,,,,,
Чао Ча Бай Е Я,ulun,86,1300,"Сделан в округе Мэйчжоу из весенних почек сорта Бай Е по аутентичной технологии чао ча. В сухом виде: мелкие, красновато-коричневые фрагменты скрученных почек, тонкие черенки. Аромат интенсивный, острый, пряно-цветочный. Настой прозрачный, каштаново-лилового оттенка, в процессе заваривания желтеет. Букет готового чая яркий, многогранный, пряно-цветочный, с фруктовыми, ореховыми, бисквитными, табачными и древесными нотками. Аромат сложный, фруктово-цветочный. Вкус плотный, терпкий, сладковатый, с ягодной кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 4 г на 100 мл. Для первого дайте настояться в течение 8-10 секунд, далее пейте проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний. Воздействие согревающее, тонизирующее.",1,4,60,,,,80,80,,,80,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
Те Гуаньинь Лао Ча (2009),ulun,100,890,"В сухом виде: небольшие, красно-коричневые комочки скрученных чайных побегов с тонкими черенками. Аромат интенсивный, фруктово-бисквитный с копченой ноткой. Настой прозрачный, светлого оттенка красного дерева. Букет готового чая теплый, многогранный, фруктово-древесный, с копчеными, бисквитными и пряными нотками. Аромат нежный, фруктово-бисквитный. Вкус плотный, гладкий, сладковатый, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, далее пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 10 завариваний. Воздействие согревающее, расслабляющее.",10,7,80,,,,,60,,,80,,,80,,,,,,,,,,,40,,,,,,,,,,,,,,,
