name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Библиотека им. И. С. Тургенева г. Новосибирска,"обл Новосибирская,г Новосибирск,пр-кт Дзержинского,д 79",82.9886430446396,55.0625948929301,"История библиотеки им. И. С. Тургенева ведет отсчет с 1954 года, когда решением мсполкома Дзержинского района на базе детского отделения библиотеки № 22 создали полноценный отдел. Ежегодно библиотека обслуживает более 4 000 читателей, а количество посещений – свыше 24 000 в год. На сегодняшний день фонд насчитывает более 49 000 экземпляров. Для читателей всегда открыты уютные просторные залы, доступен библиотечный фонд, справочно-библиографический аппарат. В течение года проводится большое количество массовых мероприятий, которые отличает индивидуальность и информативность. Это костюмированные праздники, утренники, литературные путешествия, различные игры, конкурсы, викторины, встречи с детскими писателями и поэтами, дни открытых дверей, ролевые игры, презентации новых книг.",Новосибирск,2021-04-14T03:52:17Z,2023-10-10T06:41:26Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,17:00:00,,
Библиотека им. А. С. Макаренко,"обл Нижегородская,г Нижний Новгород,ул Мончегорская,д 11А",43.830725,56.231703,"Библиотека распахнула двери для читателей микрорайона Мончегорский в марте 1978 года в статусе Центральной районной библиотеки. Уже с самого начала работы библиотеки закладывались традиции, которые сохраняются и сейчас. С 1987 года ведущим направлением библиотеки стала работа с молодежью.В 1996 году Центральная библиотека переехала на проспект Молодежный и стала называться ЦБ «Библиотечно-досуговый центр». Библиотека им. А. С. Макаренко перешла в статус библиотеки-филиала. Освободившиеся площади дали возможность расширить сферу деятельности библиотеки. Для читателей микрорайона заработал выставочный зал, в котором впервые в ЦБС стали организовываться самые разные выставки: книжные выставки-панорамы, экспозиции картин нижегородских художников, предметные и др.Заняв одно из призовых мест, в профессиональном конкурсе проектов «Есть идея!», библиотека в 2010 году открыла литературно-игровой зал для детей 5–10 лет. Его ласково назвали «Библионяня». Здесь есть все для организации досуга маленьких читателей: можно послушать сказку, посмотреть любимые мультфильмы, порисовать, полепить, поиграть в настольные игры.В 2014 году в структуре библиотеки произошли значительные изменения: расширилось информационное пространство сектора обслуживания детей и подростков, для удобства юных книголюбов приобретена новая стильная мебель, сделан косметический ремонт. А читальный зал библиотеки преобразован в справочно-информационный сектор. Здесь собран фонд справочных изданий, словарей и энциклопедий. Всего 858 изданий. Получить информацию об интересующей книге можно с помощью каталогов и ЭБД. Приобретены два компьютера для читателей.В самом большом зале библиотеки двери всегда открыты. Здесь можно познакомиться не только с фотовыставками из Русского музея фотографии, но и с самими авторами выставленных работ, узнать много интересного во время экскурсии об истории создания того или иного снимка. В дальнейшем выставочный центр «Объектив» планирует проведение мастер-классов по фотоискусству, встречи с известными фотографами города.Количество читателей – 5424 чел. Книжный фонд – 39078 экз.Структура:абонемент для взрослых,абонемент для детей,справочно-информационный зал,выставочный зал,литературно-игровой зал.",Нижний Новгород,2016-06-02T12:59:03Z,2023-01-30T15:12:10Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,10:00:00,17:00:00
Детская библиотека № 11 им. П. Морозова г. Перми,"край Пермский,г Пермь,ул Дружбы,д 22",56.284959,58.015647,"Дата рождения детской библиотеки № 11 имени Павлика Морозова считается июль 1961 года, когда в инвентарной книге появилась первая запись о поступлении книг. А место ее расположения микрорайон Городские Горки по улице Дружбы, дом 22. С виду неприметная, библиотека насчитывает около пяти тысяч читателей. Сюда приходят дети и подростки, живущие не только в Мотовилихинском, но и в других районах города. При библиотеке работает абонемент и читальный зал. Одно из направлений по которой работает библиотека: краеведение, детские сады района активно принимают участие в программе для дошкольников по краеведению «Я-пермяк!», рассчитанную на два года. Цель программы: познакомить детей с историей и литературой Прикамья, развить стремление к краеведческому поиску. В библиотеке организован центр: «Твой курс: ИТ для молодежи», где детей и подростков обучают бесплатно тайнам программирования, созданию игр в 3D.Каждый год библиотека проводит конкурс для своих читателей «Лучший читатель года», победителей награждают дипломами и памятными подарками, экскурсиями по городу. Ежегодно:– библиотекой пользуются более 4 тысяч читателей;– проводятся массовые мероприятия, которые посещают более 2,5 тысяч человек;– выдаются свыше 90 тысяч книг, журналов;К услугам пользователей фонд в 21 тысячу документов. Доступны различные электронные библиотеки.",Пермь,2022-02-18T07:03:47Z,2023-11-09T10:25:22Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,,10:00:00,18:00:00
Детская библиотека им. Мусы Джалиля г. Малая Вишера,"обл Новгородская,р-н Маловишерский,г Малая Вишера,ул Московская,д 23",32.217611,58.844161,"Первое упоминание о самостоятельной детской библиотеке встречается в архивных данных в Новгородском областном архиве. Там говорится, что в 1923 году в Малой Вишере открылась детская библиотека, больше других данных нет. С 1986 года библиотека носит имя татарского поэта Мусы Джалиля. Больше 15 лет библиотекари собирали материалы о поэте, о его жизни, переписывались со школами, музеями, пропагандировали его творчество. С его именем связана история города. Здесь, во время Великой Отечественной войны поэт был прикомандирован к штабу Волховского фронта, выполнял отдельные задания, здесь же был принят в штат фронтовой газеты. В библиотеке имеется уголок поэта, ведется работа по краеведению. Книжный фонд составляет 16257 экземпляров книг, брошюр и журналов, в ней обслуживается более 1650 читателей. В 2019 году в детской библиотеке открыт театр кукол «Тросточка», при нем работает теаральный кружок для детей. В 2022 году при поддержке Президентского фонда культурных инициатив открылась литературно-поэтическая гостинная «СТИХиЯ» в которой проходят литературные вечера, встречи с поэтами и занятия с детьми в поэтическом клубе «Зарянка».",Маловишерский район,2022-12-12T12:44:23Z,2022-12-16T08:31:35Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,17:00:00,,
Библиотека № 3 им. Б. Л. Васильева г. Смоленска,"обл Смоленская,г Смоленск,ул Юрьева,д 3",32.047056,54.810439,"Библиотека № 3 им. Б.Л. Васильева – старейшая библиотека города Смоленска, была открыта в 1898 году. До этого времени библиотеки Смоленска были недоступны большинству населения. Поэтому группа интеллигентов-книголюбов на частные пожертвования во временно «дарованном» помещении за Днепром организовала общедоступную библиотеку. Книги для библиотеки покупались библиотечным комитетом и жертвовались горожанами. Библиотека не осталась в стороне от политической жизни города Смоленска и страны – в 1905–1906 годах пять сотрудников библиотеки были арестованы за свои убеждения и высланы из города. После революции 1917 года библиотека становится центром просвещения и воспитания нового поколения. В 1923 году в библиотеке насчитывается 14 000 томов (из них 2 059 – для детей) и 1 642 читателя. В годы Великой Отечественной войны город был практически полностью разрушен. Не стало исключением и зданием библиотеки, 16 июля 1941 года в него попал снаряд и все имущество сгорело. Но уже в 1943 году, после освобождения Смоленщины, работа библиотеки вновь возобновляется в небольшом здании. Книги присылала вся страна. Кроме основной деятельности, в библиотеке выпускались иллюстрированные библиографические плакаты, которые использовались в школах, госпиталях и на призывных пунктах. В 1973 году библиотека переехала в новое здание по улице Юрьева, дом 3, где располагается по настоящее время. В 1976 году библиотека вошла в состав централизованной библиотечной системы города Смоленска. Фонд – 34 680 экземпляров, количество читателей – 3 237, количество посещений – 24 121, книговыдача – 78 340. Библиотека предоставляет разным возрастным категориям удобный читальный зал с новейшей периодикой и справочными изданиями, абонемент с обширной литературой для всех категорий населения. В оснащенном современной техникой Центре правовой и деловой информации, жители микрорайона могут получить информацию по интересующим вопросам при помощи баз данных «Консультант», «Гарант», ресурсов Интернет. Несмотря на все изменения в жизни страны, библиотека всегда была, есть и будет верна своему предназначению – быть не только хранилищем книг, но и центром знания. Она по-прежнему является просветительским и информационным центром микрорайона «Покровка».",Смоленск,2015-08-13T13:33:29Z,2023-02-01T09:05:38Z,11:00:00,19:00:00,11:00:00,19:00:00,,,11:00:00,19:00:00,11:00:00,19:00:00,10:00:00,18:00:00,10:00:00,18:00:00
Библиотека № 10 им. Фёдора Абрамова округа Варавино-Фактория,"обл Архангельская,г Архангельск,пр-кт Ленинградский,д 269",40.669122,64.506848,"Первое упоминание о библиотеке датируется 1935 годом. В то время она называлась Второй районной библиотекой, а книжный фонд на 1 января 1936 составлял 6 016 экземпляров книг.В настоящее время Библиотека № 10 округа Варавино-Фактория выполняет миссию просветительства, сохранения культурного наследия, обеспечения свободного доступа граждан к информации, знаниям, культуре. Документный фонд насчитывает 43 000 экземпляров книг, периодических и электронных изданий. Ежегодно библиотека обслуживает более 5 000 пользователей.Библиотека осуществляет обслуживание с учётом интересов, потребностей граждан, местных традиций. На базе библиотеки работают клубы:«Родник» – литературно-поэтический клуб;«Северяночка» – клуб ветеранов дошкольных учреждений округа Варавино-Фактория;«Оптимист» – клуб общения ветеранов-учителей округа Варавино-Фактория; «Надежда» – клуб ветеранов округа Варавино-Фактория;«Открытый мир» – клуб общения.Библиотека ведёт мемориальную и краеведческую деятельность, направленную на изучение и популяризацию истории и культуры территориального округа Варавино-Фактория. Библиотека выступает инициатором в собирании предметов материального характера (произведения народных промыслов, предметы быта, фотографии и многое другое), которые становятся основой музейных экспозиций.Будучи открытой для сотрудничества с органами власти, различными учреждениями и организациями округа Варавино-Фактория, библиотека является центром культурных и социальных инициатив.Библиотека стремится к инновациям, репутация библиотеки базируется на профессионализме сотрудников, обеспечивающих высокое качество, полноту и оперативность информационного обслуживания пользователей библиотеки и партнёров.",Архангельск,2016-11-03T08:24:49Z,2023-03-14T10:58:37Z,,,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,18:00:00,12:00:00,18:00:00
Библиотека-филиал № 15 им. М. С. Петровых,"обл Ярославская,г Ярославль,пр-кт Ленинградский,д 117",39.7664420710945,57.6942189846117,"Библиотека-филиал № 15 имени М. С. Петровых находится в Дзержинском районе, самом молодом и многочисленном районе Ярославля. Она открылась в 1987 году. Основное направление работы – краеведение. В 2000 году стала библиотекой – краеведческим музеем «Наше наследие», вошла в число корпоративных музеев города Ярославля. Основой деятельности библиотеки по краеведению в единстве музейной и библиотечной работы стали краеведческие экспозиции «Уголок русской избы», «Художник Григорий Иванович Угрюмов», «Русская поэтесса Мария Петровых», «Храмы Дзержинского района».Фонд насчитывает более 63 000 экземпляров. Здесь проводятся экскурсии для различных категорий пользователей.",Ярославль,2019-10-17T11:56:12Z,2023-09-13T11:50:29Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00
Городская библиотека им. А. Н. Ткалуна,"АО Ханты-Мансийский Автономный округ - Югра,г Белоярский,кв-л Молодежный,д 10",66.678548,63.715294,"В 1987 году открыта библиотека-филиал № 1. Сначала она размещалась в трехкомнатной квартире жилого дома. Первый руководитель – Адодина Ирина Генриховна.С первых дней существования библиотеки юношество, молодые люди стали приоритетной группой обслуживания. На протяжении ряда лет (1993–1995) при библиотеке функционировала «Школа выживания для подростков», целью работы которой выступало содействие успешной социализации юношества, организации полезного досуга. В 2002 году библиотека официально получила статус юношеской.В 2015 году состоялось присвоение юношеской библиотеке имени Анатолия Николаевича Ткалуна – сотрудника милиции, погибшего при исполнении служебного долга в Чеченской Республике в 2000 году. Библиотечный фонд на 1 января 2021 года – 23 661 единица. Количество читателей – 1 390 человек. Количество посещений – 7 621 человек.",Белоярский район,2018-04-17T05:00:12Z,2023-03-03T12:39:58Z,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,,
Специализированная библиотека № 22 им. М. Ю. Лермонтова г. Ульяновска,"обл Ульяновская,г Ульяновск,пр-кт Авиастроителей,д 17",48.580154,54.383798,"Библиотека № 22 имени М. Ю. Лермонтова открылась в 1978 году как профсоюзная библиотека авиационно-промышленного комплекса им. Д. Ф. Устинова (УАПК). Комплектовалась как библиотека Всесоюзной ударной комсомольской стройки и имела право заказывать лучшую издаваемую литературу. В 1995 году было принято решение передать библиотеку городу, она вошла в состав Централизованной библиотечной системы г. Ульяновска как библиотека № 22. В 2014 году ей было присвоено имя русского писателя М. Ю. Лермонтова. В центре внимания учреждения – библиотечно-информационное обслуживание читателей и культурно-просветительская работа. Ежегодно библиотеку посещают более 3 500 человек. Фонд – 36 500 книг, журналов, газет и дисков. В структуре: отдел абонемента; читальный зал. Ведется деятельность в рамках просветительской программы для школьников «Есть сила благодатная в созвучье слов живых...».",Ульяновск,2023-01-17T11:35:40Z,2023-08-29T13:29:22Z,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,10:30:00,19:00:00,,,10:30:00,19:00:00,10:30:00,19:00:00
Алтайская краевая детская библиотека им. Н. К. Крупской,"край Алтайский,г Барнаул,пр-кт Строителей,д 21",83.7638283214264,53.3514846442862,"Алтайская краевая детская библиотека им. Н. К. Крупской – старейшая библиотека для детей в Алтайском крае. В 2020 году ей исполнилось 100 лет. С 1955 года является научно-методическим информационным центром по вопросам библиотечного обслуживания детей всеми типами муниципальных библиотек Алтайского края. На протяжении ряда лет осуществляется издательский проект «Алтайские писатели – детям». Библиотека располагает фондом более 135 тысяч экземпляров, имеет 41 автоматизированное рабочее место с доступом в интернет. Ежегодно читателями библиотеки становятся более 9 тысяч детей и подростков, здесь проходят более 400 разноплановых мероприятий в поддержку чтения и воспитания лучших нравственных и человеческих качеств. В 2022 году библиотека открылась для читателей после модернизации. В залах появились новые комфортные зоны. Это отдельная комната для подростков, где можно играть в настольные игры, делать домашнее задание или просто удобно устроиться с книжкой. Также в числе новинок – большой светодиодный экран для проведения мероприятий. Еще одно новшество – книжный манеж для детей, которые еще не умеют ходить, появился в зале для детей младшего возраста. Теперь родители могут оставить малыша в безопасном месте и спокойно выбирать книги для старших детей. Жизнь библиотеки продолжается в соответствии с сегодняшними требованиями времени, более того, она постоянно находится в динамичном развитии, что делает ее интересной, многогранной и современной.",Алтайский край,2016-04-04T10:02:48Z,2023-03-10T05:42:58Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,17:00:00,,
