language,glottocode,latitude,longitude,value
Arop-Sissano,arop1242,-3.06984,142.12,absent
Nusu,nusu1239,26.7292,98.8801,absent
Mandarin Chinese,mand1415,40.0209,116.228,absent
Lao,laoo1244,19,102.46,absent
Lule Saami,lule1254,67.2759,17.8057,absent
Chukchi,chuk1273,68.6436,170.045,absent
Sie,siee1239,-18.8181,169.166,absent
Chuj,chuj1250,15.8399,-91.76,absent
Bongo,bong1285,7.4145,27.9918,absent
Alagwa,alag1248,-4.64148,35.7231,absent
Central Bai,cent2004,26.1666,99.7052,absent
Meramera,mera1242,-4.97468,151.528,absent
Makwe,makw1236,-10.4673,40.0274,absent
Oroch,oroc1248,50.3235,137.851,absent
East Ambae,east2443,-15.3523,167.89,absent
Western Subanon,west2557,7.79964,122.341,absent
Gorum-Parenga,pare1266,19.075,83.9723,absent
Muduapa,mudu1242,-4.69751,149.489,absent
Sri Lanka Malay,sril1245,6.91603,79.864,absent
Iwal,iwal1237,-7.20938,146.983,absent
Asuri,asur1254,21.5721,83.4562,absent
Sochiapam Chinantec,soch1239,17.7985,-96.6079,absent
Kanasi,kana1288,-10.1658,149.751,absent
Benga,beng1282,1.075766,9.600739,absent
Ksingmul,puoc1238,20.8862,103.931,absent
Chilcotin-Nicola,chil1280,51.98952,-123.24458,absent
Umbundu,umbu1257,-12.4763,14.4148,absent
Babatana,baba1268,-7.22281,157.149,absent
Thao,thao1240,23.8333,120.93,absent
Western Muya,west2417,29.444,101.418,absent
Colloquial Malay,mala1479,1.85856,103,absent
Wirangu,wira1265,-32,134,absent
Cakfem-Mushere-Jibyal,cakf1236,9.00924,9.16071,absent
Jah Hut,jahh1242,3.67619,102.291,absent
Chechen,chec1245,43.5,45.5,absent
Pilagá,pila1245,-25.0058,-60.1537,absent
Namia,nami1256,-3.85538,141.788,absent
Chong of Chanthaburi,chon1284,12.5218,102.514,absent
Sagalla,saga1262,-3.60164,38.5037,absent
Waimiri-Atroari,waim1253,-0.61832,-60.4259,absent
Urali Irula,irul1244,12.70645,79.95209,absent
Mombum,nucl1452,-8.27141,138.773,absent
Makonde,mako1251,-10.9906,39.5133,absent
Dura,dura1244,28.173,84.435,absent
Pengo,peng1244,19.3435,83.6552,absent
Ternate,tern1247,0.80562,127.333,absent
Waima'a,waim1252,-8.53416,126.317,absent
Maybrat-Karon,maib1239,-1.3679,132.591,absent
Shona,shon1251,-17.20849,29.75725,absent
Laven,lave1248,15.2726,106.322,absent
Michoacán Nahuatl,mich1245,18.3412,-103.361,absent
Kaba,kaba1281,7.64972,16.7344,absent
Ho,hooo1248,23.9596,87.1188,absent
Hu,huuu1240,22.0163,100.881,absent
Sarangani Manobo,sara1327,5.84903,125.499,absent
Gwama,kwam1249,9.50836,34.2457,absent
Tanzanian Ngoni,tanz1241,-11.779,35.459,absent
Tagwana Senoufo,tagw1240,8.67053,-5.17372,absent
Haruai,haru1245,-5.09522,144.3375,absent
Zulgo-Gemzek,zulg1242,10.827,14.0578,absent
